dt,x,y,position,velocity,acceleration,jerk,heading
0.030000,114.999993,99.985420,0.001298,0.086505,2.883506,96.116878,4.711417
0.030000,114.999994,99.987039,0.002917,0.053966,-1.084624,-132.271008,4.711525
0.030000,114.999997,99.990683,0.006561,0.121467,2.250026,111.154987,4.711768
0.030000,115.000000,99.997165,0.013043,0.216088,3.154017,30.133048,4.712200
0.030000,115.000004,99.983937,0.026272,0.440959,7.495710,144.723083,4.712876
0.030000,115.000035,99.951864,0.058344,1.069077,20.937252,448.051403,4.713852
0.030000,115.000128,99.908281,0.101928,1.452791,12.790484,-271.558916,4.715185
0.030000,115.000336,99.851473,0.158737,1.893616,14.694168,63.456111,4.716935
0.030000,115.000742,99.779775,0.230435,2.389965,16.544945,61.692582,4.719161
0.030000,115.001461,99.691565,0.318649,2.940437,18.349077,60.137742,4.721931
0.030000,115.002655,99.585292,0.424927,3.542631,20.073143,57.468853,4.725313
0.030000,115.004536,99.459485,0.550749,4.194056,21.714155,54.700418,4.729382
0.030000,115.007383,99.312777,0.697485,4.891182,23.237541,50.779535,4.734219
0.030000,115.011548,99.143933,0.866380,5.629851,24.622290,46.158299,4.739914
0.030000,115.017473,98.951872,1.058532,6.405061,25.840342,40.601719,4.746567
0.030000,115.025695,98.735707,1.274854,7.210723,26.855415,33.835757,4.754291
0.030000,115.036866,98.494795,1.516025,8.039030,27.610207,25.159727,4.763213
0.030000,115.051657,98.230409,1.780823,8.826629,26.253319,-45.229586,4.773415
0.030000,115.070688,97.945653,2.066215,9.513064,22.881168,-112.405017,4.784925
0.030000,115.094560,97.643749,2.369062,10.094881,19.393883,-116.242843,4.797780
0.030000,115.123828,97.328033,2.686131,10.568981,15.803330,-119.685098,4.812022
0.030000,115.158981,97.001942,3.014112,10.932686,12.123522,-122.660263,4.827700
0.030000,115.200410,96.668994,3.349627,11.183845,8.371963,-125.051973,4.844865
0.030000,115.248377,96.332769,3.689257,11.320980,4.571160,-126.693453,4.863572
0.030000,115.302997,95.996868,4.029569,11.343743,0.758781,-127.079282,4.883877
0.030000,115.364197,95.664887,4.367144,11.252511,-3.041081,-126.662078,4.905835
0.030000,115.431705,95.340349,4.698629,11.049510,-6.766701,-124.187317,4.929497
0.030000,115.505021,95.026650,5.020782,10.738403,-10.370235,-120.117806,4.954905
0.030000,115.583413,94.726978,5.330537,10.325193,-13.773670,-113.447825,4.982092
0.030000,115.665919,94.444220,5.625087,9.818310,-16.896080,-104.080333,5.011070
0.030000,115.751367,94.180864,5.901958,9.229041,-19.642327,-91.541570,5.041833
0.030000,115.838417,93.938893,6.159111,8.571754,-21.909541,-75.573793,5.074343
0.030000,115.925625,93.719691,6.395023,7.863759,-23.599834,-56.343124,5.108528
0.030000,116.011533,93.523952,6.608785,7.125406,-24.611769,-33.731143,5.144276
0.030000,116.094913,93.351353,6.800469,6.389449,-24.531925,2.661461,5.181496
0.030000,116.174854,93.200726,6.970994,5.684174,-23.509164,34.092033,5.220127
0.030000,116.250697,93.070446,7.121743,5.024961,-21.973758,51.180198,5.260077
0.030000,116.322131,92.958440,7.254589,4.428200,-19.892022,69.391183,5.301220
0.030000,116.389278,92.862247,7.371900,3.910368,-17.261076,87.698225,5.343398
0.030000,116.452763,92.779096,7.476516,3.487202,-14.105531,105.184823,5.386423
0.030000,116.513751,92.706028,7.571691,3.172510,-10.489730,120.526708,5.430078
0.030000,116.573943,92.640043,7.661006,2.977157,-6.511763,132.598896,5.474123
0.030000,116.635537,92.578255,7.748251,2.908148,-2.300294,140.382285,5.518306
0.030000,116.701130,92.518041,7.837291,2.968007,1.995271,143.185506,5.562370
0.030000,116.773594,92.457172,7.931927,3.154543,6.217873,140.753389,5.606060
0.030000,116.855928,92.393910,8.035759,3.461056,10.217121,133.308280,5.649137
0.030000,116.951098,92.327050,8.152067,3.876933,13.862538,121.513907,5.691383
0.030000,117.061891,92.255931,8.283722,4.388505,17.052399,106.328708,5.732605
0.030000,117.190798,92.180397,8.433128,4.980220,19.723862,89.048747,5.772644
0.030000,117.339916,92.100730,8.602194,5.635506,21.842851,70.632985,5.811372
0.030000,117.510906,92.017567,8.792335,6.338045,23.417984,52.504433,5.848696
0.030000,117.704968,91.931805,9.004502,7.072244,24.473297,35.177098,5.884550
0.030000,117.922857,91.844510,9.239228,7.824199,25.065160,19.728746,5.918901
