dt,x,y,position,velocity,acceleration,jerk,heading
0.030000,100.000000,100.000000,0.001298,0.086505,2.883506,96.116878,4.711417
0.030000,100.000000,100.000000,0.006488,0.259516,5.767013,96.116878,4.711525
0.030000,100.000000,100.000000,0.018166,0.519031,8.650519,96.116878,4.711768
0.030000,100.000000,100.000000,0.038927,0.865052,11.534025,96.116878,4.712200
0.030000,100.000006,99.976627,0.071367,1.297578,14.417532,96.116878,4.712876
0.030000,100.000051,99.929914,0.118080,1.816609,17.301038,96.116878,4.713852
0.030000,100.000187,99.866335,0.181661,2.422145,20.184544,96.116878,4.715185
0.030000,100.000491,99.783289,0.264706,3.114187,23.068051,96.116878,4.716935
0.030000,100.001086,99.678188,0.369810,3.892734,25.951557,96.116878,4.719161
0.030000,100.002144,99.548433,0.499567,4.757785,28.835063,96.116878,4.721931
0.030000,100.003907,99.391438,0.656574,5.709343,31.718570,96.116878,4.725313
0.030000,100.006702,99.204607,0.843426,6.747405,34.602076,96.116878,4.729382
0.030000,100.010957,98.985358,1.062716,7.871972,37.485582,96.116878,4.734219
0.030000,100.017230,98.731112,1.317042,9.083045,40.369089,96.116878,4.739914
0.030000,100.026233,98.439299,1.608997,10.380623,43.252595,96.116878,4.746567
0.030000,100.038862,98.107357,1.941176,11.764706,46.136101,96.116878,4.754291
0.030000,100.056235,97.732760,2.316176,13.235294,49.019608,96.116878,4.763213
0.030000,100.079579,97.315594,2.733997,14.619377,46.136101,-96.116878,4.773415
0.030000,100.110132,96.858573,3.192042,15.916955,43.252595,-96.116878,4.784925
0.030000,100.149213,96.364446,3.687716,17.128028,40.369089,-96.116878,4.797780
0.030000,100.198217,95.836009,4.218426,18.252595,37.485582,-96.116878,4.812022
0.030000,100.258595,95.276111,4.781574,19.290657,34.602076,-96.116878,4.827700
0.030000,100.331841,94.687665,5.374567,20.242215,31.718570,-96.116878,4.844865
0.030000,100.419473,94.073656,5.994810,21.107266,28.835063,-96.116878,4.863572
0.030000,100.523018,93.437136,6.639706,21.885813,25.951557,-96.116878,4.883877
0.030000,100.643984,92.781258,7.306661,22.577855,23.068051,-96.116878,4.905835
0.030000,100.783838,92.109253,7.993080,23.183391,20.184544,-96.116878,4.929497
0.030000,100.943970,91.424459,8.696367,23.702422,17.301038,-96.116878,4.954905
0.030000,101.125661,90.730304,9.413927,24.134948,14.417532,-96.116878,4.982092
0.030000,101.330038,90.030318,10.143166,24.480969,11.534025,-96.116878,5.011070
0.030000,101.558030,89.328112,10.881488,24.740484,8.650519,-96.116878,5.041833
0.030000,101.810314,88.627365,11.626298,24.913495,5.767013,-96.116878,5.074343
0.030000,102.087258,87.931808,12.375000,25.000000,2.883506,-96.116878,5.108528
0.030000,102.388872,87.245170,13.125000,25.000000,0.000000,-96.116878,5.144276
0.030000,102.715331,86.569997,13.875000,25.000000,0.000000,0.000000,5.181496
0.030000,103.067159,85.907693,14.625000,25.000000,0.000000,0.000000,5.220127
0.030000,103.444734,85.259727,15.375000,25.000000,0.000000,0.000000,5.260077
0.030000,103.848271,84.627604,16.125000,25.000000,0.000000,0.000000,5.301220
0.030000,104.277792,84.012846,16.875000,25.000000,0.000000,0.000000,5.343398
0.030000,104.733113,83.416949,17.625000,25.000000,0.000000,0.000000,5.386423
0.030000,105.213836,82.841348,18.375000,25.000000,0.000000,0.000000,5.430078
0.030000,105.719338,82.287384,19.125000,25.000000,0.000000,0.000000,5.474123
0.030000,106.248790,81.756264,19.875000,25.000000,0.000000,0.000000,5.518306
0.030000,106.801164,81.249026,20.625000,25.000000,0.000000,0.000000,5.562370
0.030000,107.375267,80.766516,21.375000,25.000000,0.000000,0.000000,5.606060
0.030000,107.969766,80.309369,22.125000,25.000000,0.000000,0.000000,5.649137
0.030000,108.583231,79.878002,22.875000,25.000000,0.000000,0.000000,5.691383
0.030000,109.214166,79.472614,23.625000,25.000000,0.000000,0.000000,5.732605
0.030000,109.861056,79.093193,24.375000,25.000000,0.000000,0.000000,5.772644
0.030000,110.522387,78.739543,25.125000,25.000000,0.000000,0.000000,5.811372
0.030000,111.196692,78.411292,25.875000,25.000000,0.000000,0.000000,5.848696
0.030000,111.882555,78.107930,26.625000,25.000000,0.000000,0.000000,5.884550
0.030000,112.578649,77.828824,27.375000,25.000000,0.000000,0.000000,5.918901
0.030000,113.283726,77.573255,28.125000,25.000000,0.000000,0.000000,5.951737
0.030000,113.996639,77.340434,28.875000,25.000000,0.000000,0.000000,5.983068
0.030000,114.716346,77.129524,29.625000,25.000000,0.000000,0.000000,6.012920
0.030000,115.441889,76.939664,30.375000,25.000000,0.000000,0.000000,6.041333
0.030000,116.172419,76.769980,31.125000,25.000000,0.000000,0.000000,6.068354
0.030000,116.907165,76.619601,31.875000,25.000000,0.000000,0.000000,6.094039
0.030000,117.645449,76.487666,32.625000,25.000000,0.000000,0.000000,6.118448
0.030000,118.386667,76.373335,33.375000,25.000000,0.000000,0.000000,6.141644
0.030000,119.130283,76.275795,34.125000,25.000000,0.000000,0.000000,6.163688
0.030000,119.875826,76.194259,34.875000,25.000000,0.000000,0.000000,6.184644
0.030000,120.622879,76.127976,35.625000,25.000000,0.000000,0.000000,6.204572
0.030000,121.371076,76.076228,36.375000,25.000000,0.000000,0.000000,6.223533
0.030000,122.120112,76.038329,37.125000,25.000000,0.000000,0.000000,6.241583
0.030000,122.869693,76.013631,37.875000,25.000000,0.000000,0.000000,6.258776
0.030000,123.619589,76.001519,38.625000,25.000000,0.000000,0.000000,6.275165
0.030000,124.321589,76.001085,39.375000,25.000000,0.000000,0.000000,0.006768
0.030000,125.071498,76.012234,40.125000,25.000000,0.000000,0.000000,0.023095
0.030000,125.821114,76.035923,40.875000,25.000000,0.000000,0.000000,0.040224
0.030000,126.570195,76.072763,41.625000,25.000000,0.000000,0.000000,0.058204
0.030000,127.318475,76.123401,42.375000,25.000000,0.000000,0.000000,0.077092
0.030000,128.065631,76.188519,43.125000,25.000000,0.000000,0.000000,0.096942
0.030000,128.811303,76.268831,43.875000,25.000000,0.000000,0.000000,0.117815
0.030000,129.555087,76.365088,44.625000,25.000000,0.000000,0.000000,0.139772
0.030000,130.296508,76.478072,45.375000,25.000000,0.000000,0.000000,0.162874
0.030000,131.035046,76.608596,46.125000,25.000000,0.000000,0.000000,0.187186
0.030000,131.770095,76.757499,46.875000,25.000000,0.000000,0.000000,0.212769
0.030000,132.500982,76.925637,47.625000,25.000000,0.000000,0.000000,0.239684
0.030000,133.226947,77.113883,48.375000,25.000000,0.000000,0.000000,0.267985
0.030000,133.947142,77.323110,49.125000,25.000000,0.000000,0.000000,0.297723
0.030000,134.660627,77.554183,49.875000,25.000000,0.000000,0.000000,0.328936
0.030000,135.366359,77.807939,50.625000,25.000000,0.000000,0.000000,0.361654
0.030000,136.063199,78.085170,51.375000,25.000000,0.000000,0.000000,0.395886
0.030000,136.749913,78.386606,52.125000,25.000000,0.000000,0.000000,0.431624
0.030000,137.425173,78.712884,52.875000,25.000000,0.000000,0.000000,0.468834
0.030000,138.087576,79.064528,53.625000,25.000000,0.000000,0.000000,0.507455
0.030000,138.735651,79.441916,54.375000,25.000000,0.000000,0.000000,0.547395
0.030000,139.367893,79.845265,55.125000,25.000000,0.000000,0.000000,0.588530
0.030000,139.982781,80.274598,55.875000,25.000000,0.000000,0.000000,0.630702
0.030000,140.578821,80.729735,56.625000,25.000000,0.000000,0.000000,0.673721
0.030000,141.154573,81.210276,57.375000,25.000000,0.000000,0.000000,0.717372
0.030000,141.708698,81.715602,58.125000,25.000000,0.000000,0.000000,0.761415
0.030000,142.239987,82.244885,58.875000,25.000000,0.000000,0.000000,0.805598
0.030000,142.747401,82.797098,59.625000,25.000000,0.000000,0.000000,0.849664
0.030000,143.230092,83.371048,60.375000,25.000000,0.000000,0.000000,0.893358
0.030000,143.687423,83.965406,61.125000,25.000000,0.000000,0.000000,0.936440
0.030000,144.118977,84.578738,61.875000,25.000000,0.000000,0.000000,0.978692
0.030000,144.524553,85.209552,62.625000,25.000000,0.000000,0.000000,1.019923
0.030000,144.904160,85.856332,63.375000,25.000000,0.000000,0.000000,1.059971
0.030000,145.257996,86.517566,64.125000,25.000000,0.000000,0.000000,1.098709
0.030000,145.586428,87.191781,64.875000,25.000000,0.000000,0.000000,1.136042
0.030000,145.889967,87.877565,65.625000,25.000000,0.000000,0.000000,1.171908
0.030000,146.169246,88.573590,66.375000,25.000000,0.000000,0.000000,1.206270
0.030000,146.424982,89.278606,67.125000,25.000000,0.000000,0.000000,1.239117
0.030000,146.657964,89.991466,67.875000,25.000000,0.000000,0.000000,1.270458
0.030000,146.869030,90.711128,68.625000,25.000000,0.000000,0.000000,1.300321
0.030000,147.059040,91.436635,69.375000,25.000000,0.000000,0.000000,1.328744
0.030000,147.228865,92.167128,70.125000,25.000000,0.000000,0.000000,1.355775
0.030000,147.379381,92.901849,70.875000,25.000000,0.000000,0.000000,1.381469
0.030000,147.511446,93.640109,71.625000,25.000000,0.000000,0.000000,1.405888
0.030000,147.625901,94.381309,72.375000,25.000000,0.000000,0.000000,1.429092
0.030000,147.723559,95.124906,73.125000,25.000000,0.000000,0.000000,1.451144
0.030000,147.805208,95.870438,73.875000,25.000000,0.000000,0.000000,1.472107
0.030000,147.871598,96.617480,74.625000,25.000000,0.000000,0.000000,1.492043
0.030000,147.923449,97.365671,75.375000,25.000000,0.000000,0.000000,1.511010
0.030000,147.961446,98.114702,76.125000,25.000000,0.000000,0.000000,1.529067
0.030000,147.986236,98.864283,76.875000,25.000000,0.000000,0.000000,1.546266
0.030000,147.998437,99.614175,77.625000,25.000000,0.000000,0.000000,1.562660
0.030000,147.998952,100.316176,78.375000,25.000000,0.000000,0.000000,1.577449
0.030000,147.987891,101.066086,79.125000,25.000000,0.000000,0.000000,1.593771
0.030000,147.964295,101.815705,79.875000,25.000000,0.000000,0.000000,1.610893
0.030000,147.927552,102.564790,80.625000,25.000000,0.000000,0.000000,1.628868
0.030000,147.877015,103.313078,81.375000,25.000000,0.000000,0.000000,1.647748
0.030000,147.812005,104.060243,82.125000,25.000000,0.000000,0.000000,1.667592
0.030000,147.731805,104.805928,82.875000,25.000000,0.000000,0.000000,1.688457
0.030000,147.635666,105.549724,83.625000,25.000000,0.000000,0.000000,1.710406
0.030000,147.522805,106.291164,84.375000,25.000000,0.000000,0.000000,1.733500
0.030000,147.392411,107.029725,85.125000,25.000000,0.000000,0.000000,1.757803
0.030000,147.243644,107.764804,85.875000,25.000000,0.000000,0.000000,1.783376
0.030000,147.075648,108.495722,86.625000,25.000000,0.000000,0.000000,1.810281
0.030000,146.887550,109.221726,87.375000,25.000000,0.000000,0.000000,1.838572
0.030000,146.678477,109.941967,88.125000,25.000000,0.000000,0.000000,1.868299
0.030000,146.447565,110.655503,88.875000,25.000000,0.000000,0.000000,1.899502
0.030000,146.193976,111.361295,89.625000,25.000000,0.000000,0.000000,1.932209
0.030000,145.916917,112.058204,90.375000,25.000000,0.000000,0.000000,1.966430
0.030000,145.615658,112.744995,91.125000,25.000000,0.000000,0.000000,2.002157
0.030000,145.289562,113.420342,91.875000,25.000000,0.000000,0.000000,2.039356
0.030000,144.938103,114.082843,92.625000,25.000000,0.000000,0.000000,2.077967
0.030000,144.560901,114.731028,93.375000,25.000000,0.000000,0.000000,2.117899
0.030000,144.157740,115.363389,94.125000,25.000000,0.000000,0.000000,2.159025
0.030000,143.728593,115.978409,94.875000,25.000000,0.000000,0.000000,2.201190
0.030000,143.273642,116.574590,95.625000,25.000000,0.000000,0.000000,2.244205
0.030000,142.793282,117.150494,96.375000,25.000000,0.000000,0.000000,2.287852
