dt,x,y,position,velocity,acceleration,jerk,heading
0.030000,85.000007,100.014580,0.001298,0.086505,2.883506,96.116878,4.711417
0.030000,85.000006,100.012961,0.002917,0.053966,-1.084624,-132.271008,4.711525
0.030000,85.000003,100.009317,0.006561,0.121467,2.250026,111.154987,4.711768
0.030000,85.000000,100.002835,0.013043,0.216088,3.154017,30.133048,4.712200
0.030000,85.000007,99.969318,0.046560,1.117226,30.037935,896.130595,4.712876
0.030000,85.000067,99.907965,0.107913,2.045107,30.929384,29.714969,4.713852
0.030000,85.000245,99.824390,0.191488,2.785832,24.690809,-207.952502,4.715185
0.030000,85.000646,99.715105,0.300774,3.642846,28.567146,129.211218,4.716935
0.030000,85.001430,99.576601,0.439280,4.616872,32.467538,130.013067,4.719161
0.030000,85.002827,99.405302,0.610584,5.710156,36.442791,132.508454,4.721931
0.030000,85.005160,99.197584,0.818316,6.924387,40.474364,134.385757,4.725313
0.030000,85.008867,98.949730,1.066198,8.262717,44.611019,137.888492,4.729382
0.030000,85.014531,98.657938,1.358044,9.728219,48.850065,141.301531,4.734219
0.030000,85.022912,98.318291,1.697795,11.325033,53.227129,145.902154,4.739914
0.030000,85.034993,97.926725,2.089547,13.058403,57.779008,151.729308,4.746567
0.030000,85.052028,97.479007,2.537589,14.934739,62.544506,158.849901,4.754291
0.030000,85.075604,96.970724,3.046418,16.960972,67.541101,166.553192,4.763213
0.030000,85.107502,96.400779,3.617256,19.027917,68.898192,45.236348,4.773415
0.030000,85.149575,95.771493,4.247946,21.023016,66.503281,-79.830349,4.784925
0.030000,85.203867,95.085144,4.936440,22.949773,64.225247,-75.934490,4.797780
0.030000,85.272606,94.343985,5.680779,24.811305,62.051045,-72.473386,4.812022
0.030000,85.358209,93.550281,6.479086,26.610249,59.964801,-69.541464,4.827700
0.030000,85.463272,92.706336,7.329546,28.348646,57.946589,-67.273740,4.844865
0.030000,85.590568,91.814542,8.230379,30.027777,55.971034,-65.851840,4.863572
0.030000,85.743039,90.877404,9.179839,31.648680,54.030083,-64.698370,4.883877
0.030000,85.923770,89.897629,10.176144,33.210147,52.048923,-66.038667,4.905835
0.030000,86.135970,88.878158,11.217465,34.710709,50.018729,-67.673115,4.929497
0.030000,86.382918,87.822267,12.301850,36.146151,47.848069,-72.355340,4.954905
0.030000,86.667909,86.733631,13.427171,37.510713,45.485406,-78.755434,4.982092
0.030000,86.994158,85.616416,14.591047,38.795879,42.838839,-88.218887,5.011070
0.030000,87.364694,84.475359,15.790758,39.990371,39.816412,-100.747583,5.041833
0.030000,87.782212,83.315836,17.023161,41.080075,36.323467,-116.431506,5.074343
0.030000,88.248891,82.143924,18.284575,42.047154,32.235973,-136.249781,5.108528
0.030000,88.766211,80.966388,19.570737,42.872041,27.496227,-157.991523,5.144276
0.030000,89.335750,79.788641,20.878965,43.607619,24.519259,-99.232294,5.181496
0.030000,89.959464,78.614659,22.208346,44.312696,23.502582,-33.889209,5.220127
0.030000,90.638772,77.449008,23.557494,44.971611,21.963833,-51.291650,5.260077
0.030000,91.374412,76.296768,24.924543,45.568300,19.889623,-69.140318,5.301220
0.030000,92.166305,75.163446,26.307119,46.085854,17.251810,-87.927114,5.343398
0.030000,93.013463,74.054801,27.702386,46.508892,14.101265,-105.018146,5.386423
0.030000,93.913920,72.976667,29.107091,46.823496,10.486785,-120.482674,5.430078
0.030000,94.864733,71.934725,30.517654,47.018778,6.509417,-132.578949,5.474123
0.030000,95.862043,70.934273,31.930287,47.087751,2.299086,-140.344349,5.518306
0.030000,96.901199,69.980011,33.341124,47.027908,-1.994775,-143.128717,5.562370
