dt,x,y,position,velocity,acceleration,jerk,heading
0.030000,0.014904,14.999993,0.001298,0.086505,2.883506,96.116878,6.282192
0.030000,0.014580,14.999993,0.001621,0.010792,-2.523777,-180.242763,6.282213
0.030000,0.013852,14.999994,0.002350,0.024283,0.449719,99.116523,6.282262
0.030000,0.012557,14.999995,0.003645,0.043176,0.629766,6.001559,6.282348
0.030000,0.010532,14.999996,0.005669,0.067478,0.810057,6.009700,6.282483
0.030000,0.007616,14.999998,0.008585,0.097201,0.990748,6.023036,6.282678
0.030000,0.003645,15.000000,0.012556,0.132362,1.172034,6.042877,6.282942
0.030000,0.023172,15.000001,0.032083,0.650887,17.284175,537.071353,0.000103
0.030000,0.121718,15.000033,0.130629,3.284866,87.799314,2350.504637,0.000541
0.030000,0.243327,15.000132,0.252238,4.053623,25.625230,-2072.469483,0.001083
0.030000,0.390492,15.000339,0.399403,4.905522,28.396630,92.380008,0.001740
0.030000,0.565596,15.000713,0.574508,5.836816,31.043132,88.216749,0.002524
0.030000,0.771057,15.001326,0.779969,6.848719,33.730112,89.566000,0.003446
0.030000,1.009295,15.002275,1.018209,7.941337,36.420584,89.682399,0.004518
0.030000,1.282712,15.003679,1.291630,9.114016,39.089302,88.957262,0.005753
0.030000,1.593709,15.005687,1.602634,10.366794,41.759264,88.998725,0.007164
0.030000,1.944711,15.008483,1.953647,11.700431,44.454576,89.843738,0.008764
0.030000,2.335642,15.012259,2.344596,13.031649,44.373925,-2.688370,0.010556
0.030000,2.764032,15.017204,2.773015,14.280623,41.632483,-91.381406,0.012531
0.030000,3.227413,15.023508,3.236438,15.447454,38.894346,-91.271224,0.014681
0.030000,3.723298,15.031363,3.732385,16.531551,36.136584,-91.925409,0.016998
0.030000,4.249207,15.040954,4.258382,17.533241,33.389648,-91.564520,0.019474
0.030000,4.802700,15.052460,4.811994,18.453729,30.682929,-90.223966,0.022101
0.030000,5.381251,15.066049,5.390705,19.290365,27.887881,-93.168278,0.024869
0.030000,5.982392,15.081873,5.992054,20.044964,25.153284,-91.153236,0.027771
0.030000,6.603690,15.100071,6.613619,20.718841,22.462567,-89.690541,0.030797
0.030000,7.242647,15.120759,7.252911,21.309719,19.695964,-92.220122,0.033940
0.030000,7.896794,15.144031,7.907472,21.818705,16.966196,-90.992256,0.037188
0.030000,8.563671,15.169957,8.574852,22.246012,14.243554,-90.754748,0.040532
0.030000,9.240848,15.198582,9.252634,22.592712,11.556682,-89.562376,0.043964
0.030000,9.925857,15.229918,9.938360,22.857531,8.827281,-90.980058,0.047471
0.030000,10.616245,15.263950,10.629586,23.040873,6.111409,-90.529070,0.051043
0.030000,11.309571,15.300628,11.323881,23.143190,3.410567,-90.028067,0.054669
0.030000,12.003444,15.339874,12.018863,23.166044,0.761784,-88.292761,0.058337
0.030000,12.696629,15.381644,12.713306,23.148102,-0.598040,-45.327468,0.062042
0.030000,13.389085,15.425959,13.407178,23.129068,-0.634480,-1.214673,0.065783
0.030000,14.080818,15.472839,14.100498,23.110676,-0.613067,0.713769,0.069561
0.030000,14.771824,15.522307,14.793272,23.092453,-0.607446,0.187390,0.073377
0.030000,15.462040,15.574379,15.485450,23.072599,-0.661793,-1.811565,0.077231
0.030000,16.151485,15.629080,16.177061,23.053725,-0.629130,1.088764,0.081124
0.030000,16.840136,15.686429,16.868096,23.034497,-0.640920,-0.393002,0.085056
0.030000,17.527937,15.746445,17.558510,23.013789,-0.690264,-1.644823,0.089026
0.030000,18.214932,15.809154,18.248362,22.995056,-0.624440,2.194156,0.093038
0.030000,18.901044,15.874573,18.937586,22.974126,-0.697670,-2.440994,0.097089
0.030000,19.586273,15.942724,19.626195,22.953649,-0.682579,0.503022,0.101181
0.030000,20.270612,16.013631,20.314198,22.933424,-0.674161,0.280584,0.105315
0.030000,20.953997,16.087309,21.001543,22.911513,-0.730364,-1.873432,0.109491
0.030000,21.636475,16.163789,21.688293,22.891651,-0.662075,2.276306,0.113709
0.030000,22.317943,16.243082,22.374358,22.868859,-0.759741,-3.255540,0.117970
0.030000,22.998460,16.325219,23.059814,22.848529,-0.677649,2.736407,0.122274
0.030000,23.677926,16.410214,23.744575,22.825367,-0.772057,-3.146936,0.126622
0.030000,24.356387,16.498096,24.428705,22.804313,-0.701813,2.341490,0.131014
0.030000,25.033753,16.588878,25.112127,22.780738,-0.785831,-2.800614,0.135452
0.030000,25.710068,16.682592,25.794904,22.759245,-0.716434,2.313244,0.139934
0.030000,26.385233,16.779249,26.476953,22.734952,-0.809778,-3.111466,0.144463
0.030000,27.059308,16.878883,27.158351,22.713291,-0.722021,2.925226,0.149038
0.030000,27.732187,16.981504,27.839011,22.688641,-0.821661,-3.321350,0.153659
0.030000,28.403904,17.087143,28.518984,22.665772,-0.762314,1.978246,0.158329
0.030000,29.074396,17.195817,29.198226,22.641406,-0.812188,-1.662463,0.163046
0.030000,29.743645,17.307547,29.876737,22.617049,-0.811906,0.009409,0.167811
0.030000,30.411647,17.422361,30.554534,22.593224,-0.794152,0.591788,0.172625
0.030000,31.078330,17.540273,31.231564,22.567664,-0.852008,-1.928545,0.177489
0.030000,31.743716,17.661312,31.907870,22.543529,-0.804510,1.583276,0.182402
0.030000,32.407747,17.785496,32.583413,22.518113,-0.847190,-1.422656,0.187366
0.030000,33.070381,17.912844,33.258173,22.491995,-0.870591,-0.780058,0.192381
0.030000,33.731640,18.043387,33.932195,22.467391,-0.820163,1.680935,0.197447
0.030000,34.391452,18.177138,34.605426,22.441043,-0.878243,-1.935978,0.202565
0.030000,35.049782,18.314119,35.277857,22.414350,-0.889772,-0.384302,0.207736
0.030000,35.706638,18.454358,35.949516,22.388636,-0.857137,1.087817,0.212959
0.030000,36.361967,18.597872,36.620375,22.361984,-0.888413,-1.042535,0.218235
0.030000,37.015727,18.744680,37.290417,22.334707,-0.909236,-0.694081,0.223565
0.030000,37.667890,18.894804,37.959636,22.307301,-0.913502,-0.142191,0.228950
0.030000,38.318462,19.048273,38.628064,22.280935,-0.878896,1.153506,0.234389
0.030000,38.967372,19.205101,39.295656,22.253076,-0.928613,-1.657233,0.239883
0.030000,39.614591,19.365306,39.962408,22.225057,-0.933975,-0.178721,0.245433
0.030000,40.260086,19.528912,40.628314,22.196878,-0.939302,-0.177564,0.251038
0.030000,40.903839,19.695941,41.293383,22.168970,-0.930269,0.301107,0.256700
0.030000,41.545819,19.866415,41.957611,22.140930,-0.934653,-0.146135,0.262419
0.030000,42.185976,20.040349,42.620977,22.112200,-0.957686,-0.767772,0.268194
0.030000,42.824278,20.217765,43.283477,22.083320,-0.962642,-0.165197,0.274028
0.030000,43.460692,20.398681,43.945105,22.054296,-0.967473,-0.161043,0.279919
0.030000,44.095183,20.583117,44.605859,22.025131,-0.972160,-0.156229,0.285868
0.030000,44.727717,20.771093,45.265734,21.995831,-0.976682,-0.150729,0.291876
0.030000,45.358269,20.962630,45.924735,21.966690,-0.971366,0.177187,0.297942
0.030000,45.986798,21.157745,46.582853,21.937251,-0.981297,-0.331024,0.304068
0.030000,46.613264,21.356456,47.240078,21.907512,-0.991307,-0.333685,0.310253
0.030000,47.237630,21.558780,47.896408,21.877666,-0.994871,-0.118799,0.316498
0.030000,47.859863,21.764736,48.551840,21.847721,-0.998155,-0.109457,0.322803
0.030000,48.479924,21.974341,49.206370,21.817687,-1.001134,-0.099295,0.329167
0.030000,49.097778,22.187611,49.859997,21.787574,-1.003783,-0.088296,0.335592
0.030000,49.713389,22.404565,50.512719,21.757391,-1.006076,-0.076441,0.342077
0.030000,50.326720,22.625217,51.164534,21.727152,-1.007988,-0.063715,0.348623
0.030000,50.937734,22.849585,51.815440,21.696867,-1.009491,-0.050103,0.355229
0.030000,51.546394,23.077684,52.465436,21.666550,-1.010558,-0.035594,0.361896
0.030000,52.152662,23.309529,53.114523,21.636215,-1.011164,-0.020177,0.368623
0.030000,52.756502,23.545134,53.762699,21.605877,-1.011279,-0.003845,0.375411
0.030000,53.357876,23.784515,54.409965,21.575551,-1.010877,0.013408,0.382260
0.030000,53.956747,24.027685,55.056323,21.545253,-1.009929,0.031584,0.389169
0.030000,54.553077,24.274657,55.701773,21.515000,-1.008409,0.050683,0.396139
0.030000,55.146831,24.525446,56.346317,21.484812,-1.006288,0.070703,0.403169
0.030000,55.737979,24.780067,56.989970,21.455083,-0.990958,0.511005,0.410259
0.030000,56.326476,25.038529,57.632723,21.425105,-0.999256,-0.276628,0.417409
0.030000,56.912285,25.300843,58.274580,21.395247,-0.995285,0.132380,0.424618
0.030000,57.495369,25.567021,58.915546,21.365529,-0.990586,0.156629,0.431887
0.030000,58.075690,25.837074,59.555626,21.335975,-0.985154,0.181088,0.439215
0.030000,58.653213,26.111011,60.194824,21.306606,-0.978962,0.206381,0.446601
0.030000,59.227901,26.388843,60.833147,21.277446,-0.971988,0.232482,0.454046
0.030000,59.799732,26.670584,61.470618,21.249028,-0.947262,0.824175,0.461548
0.030000,60.368658,26.956239,62.107231,21.220423,-0.953501,-0.207953,0.469108
0.030000,60.934643,27.245815,62.742992,21.192042,-0.946041,0.248662,0.476723
0.030000,61.497650,27.539319,63.377911,21.163968,-0.935807,0.341127,0.484395
0.030000,62.057647,27.836759,64.011998,21.136249,-0.923965,0.394740,0.492122
0.030000,62.614614,28.138151,64.645283,21.109481,-0.892251,1.057129,0.499903
0.030000,63.168502,28.443491,65.277757,21.082482,-0.899986,-0.257830,0.507738
0.030000,63.719276,28.752785,65.909434,21.055896,-0.886197,0.459634,0.515626
0.030000,64.266906,29.066039,66.540327,21.029771,-0.870815,0.512737,0.523566
0.030000,64.811373,29.383268,67.170469,21.004731,-0.834667,1.204947,0.531557
0.030000,65.352631,29.704465,67.799855,20.979539,-0.839752,-0.169519,0.539598
0.030000,65.890646,30.029634,68.428502,20.954872,-0.822219,0.584425,0.547688
0.030000,66.425399,30.358784,69.056434,20.931092,-0.792672,0.984902,0.555825
0.030000,66.956856,30.691916,69.683670,20.907863,-0.774295,0.612564,0.564010
0.030000,67.484982,31.029029,70.310218,20.884920,-0.764761,0.317813,0.572240
0.030000,68.009752,31.370128,70.936102,20.862809,-0.737038,0.924106,0.580514
0.030000,68.531143,31.715216,71.561350,20.841587,-0.707415,0.987429,0.588831
0.030000,69.049117,32.064288,72.185968,20.820613,-0.699108,0.276904,0.597189
0.030000,69.563652,32.417347,72.809985,20.800554,-0.668659,1.014954,0.605588
0.030000,70.074726,32.774396,73.433427,20.781421,-0.637761,1.029935,0.614025
0.030000,70.582303,33.135428,74.056307,20.762656,-0.625488,0.409100,0.622499
0.030000,71.086367,33.500445,74.678656,20.744963,-0.589778,1.190358,0.631009
0.030000,71.586891,33.869447,75.300497,20.728052,-0.563707,0.869025,0.639553
0.030000,72.083847,34.242425,75.921849,20.711721,-0.544350,0.645210,0.648129
0.030000,72.577220,34.619385,76.542748,20.696641,-0.502661,1.389666,0.656736
0.030000,73.066982,35.000317,77.163212,20.682120,-0.484033,0.620911,0.665372
