dt,x,y,position,velocity,acceleration,jerk,heading
0.030000,-0.014904,-14.999993,0.001298,0.086505,2.883506,96.116878,6.282192
0.030000,-0.014580,-14.999993,0.001621,0.010792,-2.523777,-180.242763,6.282213
0.030000,-0.013852,-14.999994,0.002350,0.024283,0.449719,99.116523,6.282262
0.030000,-0.012557,-14.999995,0.003645,0.043176,0.629766,6.001559,6.282348
0.030000,-0.010532,-14.999996,0.005669,0.067478,0.810057,6.009700,6.282483
0.030000,-0.007616,-14.999998,0.008585,0.097201,0.990748,6.023036,6.282678
0.030000,-0.003645,-15.000000,0.012556,0.132362,1.172034,6.042877,6.282942
0.030000,0.026262,-14.999999,0.042464,0.996911,28.818300,921.542195,0.000103
0.030000,0.137961,-14.999963,0.154163,3.723300,90.879650,2068.711646,0.000541
0.030000,0.275826,-14.999851,0.292028,4.595512,29.073730,-2060.197322,0.001083
0.030000,0.442703,-14.999615,0.458905,5.562549,32.234580,105.361681,0.001740
0.030000,0.641313,-14.999192,0.657516,6.620376,35.260872,100.876387,0.002524
0.030000,0.874431,-14.998496,0.890634,7.770622,38.341540,102.688942,0.003446
0.030000,1.144840,-14.997419,1.161046,9.013711,41.436299,103.158630,0.004518
0.030000,1.455314,-14.995825,1.471524,10.349260,44.518299,102.733331,0.005753
0.030000,1.808638,-14.993543,1.824855,11.777728,47.615626,103.244220,0.007164
0.030000,2.207640,-14.990365,2.223869,13.300466,50.757911,104.742859,0.008764
0.030000,2.652317,-14.986070,2.668568,14.823271,50.760173,0.075390,0.010556
0.030000,3.139953,-14.980441,3.156235,16.255600,47.744288,-100.529516,0.012531
0.030000,3.667833,-14.973259,3.684164,17.597629,44.734297,-100.333017,0.014681
0.030000,4.233223,-14.964303,4.249625,18.848697,41.702285,-101.067071,0.016998
0.030000,4.833397,-14.953358,4.849899,20.009133,38.681207,-100.702608,0.019474
0.030000,5.465667,-14.940213,5.482306,21.080225,35.703054,-99.271747,0.022101
0.030000,6.127249,-14.924674,6.144070,22.058807,32.619404,-102.788337,0.024869
0.030000,6.815413,-14.906559,6.832473,22.946765,29.598588,-100.693880,0.027771
0.030000,7.527469,-14.885702,7.544835,23.745379,26.620490,-99.269940,0.030797
0.030000,8.260638,-14.861964,8.278388,24.451774,23.546477,-102.467075,0.033940
0.030000,9.012170,-14.835227,9.030395,25.066901,20.504239,-101.407941,0.037188
0.030000,9.779310,-14.805403,9.798114,25.590657,17.458524,-101.523852,0.040532
0.030000,10.559330,-14.772431,10.578831,26.023891,14.441163,-100.578693,0.043964
0.030000,11.349445,-14.736286,11.369773,26.364718,11.360898,-102.675487,0.047471
0.030000,12.146872,-14.696978,12.168167,26.613152,8.281114,-102.659458,0.051043
0.030000,12.948827,-14.654552,12.971244,26.769232,5.202670,-102.614802,0.054669
0.030000,13.752571,-14.609092,13.776272,26.834264,2.167737,-101.164434,0.058337
0.030000,14.556691,-14.560636,14.581851,26.852621,0.611904,-51.861115,0.062042
0.030000,15.361151,-14.509153,15.387957,26.870191,0.585666,-0.874602,0.065783
0.030000,16.165974,-14.454608,16.194626,26.888993,0.626740,1.369144,0.069561
0.030000,16.971168,-14.396966,17.001881,26.908486,0.649751,0.767028,0.073377
0.030000,17.776676,-14.336195,17.809678,26.926575,0.602965,-1.559550,0.077231
0.030000,18.582533,-14.272258,18.618067,26.946308,0.657764,1.826657,0.081124
0.030000,19.388726,-14.205120,19.427052,26.966135,0.660916,0.105070,0.085056
0.030000,20.195204,-14.134748,20.236594,26.984738,0.620106,-1.360346,0.089026
0.030000,21.002035,-14.061099,21.046779,27.006173,0.714481,3.145835,0.093038
0.030000,21.809141,-13.984144,21.857545,27.025548,0.645835,-2.288210,0.097089
0.030000,22.616537,-13.903842,22.668925,27.045977,0.680959,1.170821,0.101181
0.030000,23.424230,-13.820154,23.480942,27.067232,0.708496,0.917881,0.105315
0.030000,24.232158,-13.733047,24.293552,27.087026,0.659811,-1.622817,0.109491
0.030000,25.040393,-13.642475,25.106846,27.109778,0.758399,3.286266,0.113709
0.030000,25.848826,-13.548408,25.920734,27.129598,0.660661,-3.257934,0.117970
0.030000,26.657543,-13.450797,26.735320,27.152880,0.776081,3.847341,0.122274
0.030000,27.466439,-13.349611,27.550520,27.173341,0.682029,-3.135066,0.126622
0.030000,28.275585,-13.244801,28.366426,27.196857,0.783862,3.394415,0.131014
0.030000,29.084886,-13.136335,29.182963,27.217915,0.701953,-2.730290,0.135452
0.030000,29.894412,-13.024162,30.000224,27.242013,0.803238,3.376163,0.139934
0.030000,30.704057,-12.908253,30.818123,27.263310,0.709912,-3.110857,0.144463
0.030000,31.513907,-12.788549,31.636773,27.288319,0.833639,4.124212,0.149038
0.030000,32.323851,-12.665024,32.456081,27.310293,0.732469,-3.372316,0.153659
0.030000,33.133943,-12.537622,33.276130,27.334965,0.822391,2.997395,0.158329
0.030000,33.944122,-12.406308,34.096882,27.358390,0.780828,-1.385443,0.163046
0.030000,34.754379,-12.271035,34.918353,27.382379,0.799634,0.626887,0.167811
0.030000,35.564723,-12.131755,35.740581,27.407570,0.839698,1.335446,0.172625
0.030000,36.375083,-11.988432,36.563517,27.431209,0.787962,-1.724524,0.177489
0.030000,37.185497,-11.841010,37.387231,27.457132,0.864117,2.538491,0.182402
0.030000,37.995908,-11.689450,38.211692,27.482049,0.830563,-1.118459,0.187366
0.030000,38.806278,-11.533709,39.036892,27.506654,0.820157,-0.346865,0.192381
0.030000,39.616647,-11.373729,39.862901,27.533655,0.900037,2.662680,0.197447
0.030000,40.426939,-11.209473,40.689673,27.559064,0.846975,-1.768764,0.202565
0.030000,41.237124,-11.040895,41.517211,27.584581,0.850571,0.119893,0.207736
0.030000,42.047221,-10.867938,42.345566,27.611835,0.908458,1.929563,0.212959
0.030000,42.857180,-10.690560,43.174720,27.638459,0.887480,-0.699274,0.218235
0.030000,43.666958,-10.508715,44.004665,27.664828,0.878970,-0.283671,0.223565
0.030000,44.476532,-10.322355,44.835411,27.691547,0.890621,0.388362,0.228950
0.030000,45.285918,-10.131421,45.667013,27.720060,0.950421,1.993344,0.234389
0.030000,46.095040,-9.935873,46.499429,27.747213,0.905103,-1.510590,0.239883
0.030000,46.903868,-9.735663,47.332669,27.774646,0.914449,0.311523,0.245433
0.030000,47.712373,-9.530741,48.166739,27.802350,0.923469,0.300652,0.251038
0.030000,48.520539,-9.321052,49.001665,27.830854,0.950133,0.888828,0.256700
0.030000,49.328333,-9.106546,49.837454,27.859643,0.959625,0.316372,0.262419
0.030000,50.135701,-8.887178,50.674094,27.887996,0.945107,-0.483936,0.268194
0.030000,50.942609,-8.662898,51.511591,27.916579,0.952747,0.254696,0.274028
0.030000,51.749019,-8.433656,52.349953,27.945379,0.959998,0.241674,0.279919
0.030000,52.554894,-8.199400,53.189184,27.974384,0.966843,0.228185,0.285868
0.030000,53.360193,-7.960081,54.029292,28.003582,0.973270,0.214224,0.291876
0.030000,54.164887,-7.715646,54.870291,28.033330,0.991595,0.610831,0.297942
0.030000,54.968927,-7.466045,55.712182,28.063024,0.989797,-0.059927,0.304068
0.030000,55.772261,-7.211231,56.554961,28.092636,0.987067,-0.090988,0.310253
0.030000,56.574846,-6.951155,57.398633,28.122388,0.991755,0.156241,0.316498
0.030000,57.376634,-6.685766,58.243201,28.152267,0.995954,0.139966,0.322803
0.030000,58.177577,-6.415015,59.088669,28.182257,0.999650,0.123201,0.329167
0.030000,58.977625,-6.138854,59.935039,28.212341,1.002828,0.105946,0.335592
0.030000,59.776728,-5.857233,60.782314,28.242506,1.005474,0.088201,0.342077
0.030000,60.574832,-5.570105,61.630496,28.272733,1.007573,0.069966,0.348623
0.030000,61.371883,-5.277422,62.479586,28.303006,1.009110,0.051244,0.355229
0.030000,62.167826,-4.979137,63.329585,28.333308,1.010071,0.032038,0.361896
0.030000,62.962602,-4.675203,64.180494,28.363622,1.010442,0.012352,0.368623
0.030000,63.756154,-4.365574,65.032312,28.393928,1.010208,-0.007810,0.375411
0.030000,64.548420,-4.050207,65.885038,28.424208,1.009354,-0.028441,0.382260
0.030000,65.339338,-3.729055,66.738671,28.454444,1.007868,-0.049532,0.389169
0.030000,66.128845,-3.402077,67.593210,28.484617,1.005736,-0.071077,0.396139
0.030000,66.916875,-3.069229,68.448651,28.514705,1.002944,-0.093063,0.403169
0.030000,67.703376,-2.730464,69.305007,28.545192,1.016239,0.443156,0.410259
0.030000,68.488266,-2.385747,70.162260,28.575090,0.996585,-0.655143,0.417409
0.030000,69.271475,-2.035038,71.020405,28.604837,0.991593,-0.166396,0.424618
0.030000,70.052932,-1.678301,71.879437,28.634415,0.985917,-0.189210,0.431887
0.030000,70.832564,-1.315498,72.739351,28.663800,0.979519,-0.213252,0.439215
0.030000,71.610297,-0.946594,73.600140,28.692972,0.972390,-0.237638,0.446601
0.030000,72.386054,-0.571555,74.461798,28.721908,0.964519,-0.262345,0.454046
0.030000,73.159776,-0.190339,75.324336,28.751273,0.978853,0.477778,0.461548
0.030000,73.931370,0.197075,76.187728,28.779758,0.949474,-0.979299,0.469108
0.030000,74.700752,0.590717,77.051964,28.807856,0.936627,-0.428216,0.476723
0.030000,75.467842,0.990614,77.917033,28.835624,0.925582,-0.368195,0.484395
0.030000,76.232557,1.396791,78.782925,28.863066,0.914742,-0.361309,0.492122
0.030000,76.994835,1.809284,79.649653,28.890940,0.929116,0.479137,0.499903
0.030000,77.754569,2.228101,80.517180,28.917565,0.887509,-1.386920,0.507738
0.030000,78.511671,2.653263,81.385493,28.943761,0.873198,-0.477014,0.515626
0.030000,79.266057,3.084787,82.254579,28.969531,0.858992,-0.473543,0.523566
0.030000,80.017658,3.522702,83.124449,28.995672,0.871381,0.412975,0.531557
0.030000,80.766364,3.967005,83.995061,29.020416,0.824786,-1.553183,0.539598
0.030000,81.512084,4.417709,84.866400,29.044632,0.807200,-0.586206,0.547688
0.030000,82.254738,4.874828,85.738463,29.068757,0.804187,-0.100434,0.555825
0.030000,82.994235,5.338367,86.611231,29.092265,0.783608,-0.685967,0.564010
0.030000,83.730471,5.808322,87.484673,29.114722,0.748558,-1.168323,0.572240
0.030000,84.463359,6.284697,88.358777,29.136824,0.736716,-0.394716,0.580514
0.030000,85.192815,6.767497,89.233535,29.158589,0.725512,-0.373477,0.588831
0.030000,85.918729,7.256705,90.108907,29.179061,0.682416,-1.436552,0.597189
0.030000,86.641015,7.752318,90.984880,29.199109,0.668253,-0.472099,0.605588
0.030000,87.359585,8.254330,91.861441,29.218692,0.652783,-0.515661,0.614025
0.030000,88.074331,8.762718,92.738550,29.236967,0.609160,-1.454108,0.622499
0.030000,88.785168,9.277472,93.616196,29.254865,0.596589,-0.419008,0.631009
0.030000,89.492003,9.798573,94.494354,29.271923,0.568613,-0.932549,0.639553
0.030000,90.194732,10.325991,95.372988,29.287803,0.529326,-1.309575,0.648129
0.030000,90.893276,10.859711,96.252090,29.303400,0.519882,-0.314778,0.656736
