dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,303.000000,117.000000,0.001737,0.173729,8.686436,434.321777,4.712389
0.020000,303.000000,117.000000,0.008686,0.521186,17.372871,434.321777,4.712389
0.020000,303.000000,117.000000,0.024322,1.042372,26.059307,434.321777,4.712389
0.020000,303.000000,117.000000,0.052119,1.737287,34.745742,434.321777,4.712389
0.020000,303.000000,116.983186,0.093814,2.432202,34.745742,0.000000,4.712389
0.020000,303.000000,116.927593,0.149407,3.127117,34.745742,0.000000,4.712389
0.020000,303.000000,116.858102,0.218898,3.822032,34.745742,-0.000000,4.712389
0.020000,303.000000,116.774712,0.302288,4.516946,34.745742,0.000000,4.712389
0.020000,303.000000,116.677424,0.399576,5.211861,34.745742,0.000000,4.712389
0.020000,303.000000,116.566238,0.510762,5.906776,34.745742,-0.000000,4.712389
0.020000,303.000000,116.441153,0.635847,6.601691,34.745742,0.000000,4.712389
0.020000,303.000000,116.302170,0.774830,7.296606,34.745742,0.000000,4.712389
0.020000,303.000000,116.149289,0.927711,7.991521,34.745742,-0.000000,4.712389
0.020000,303.000000,115.982509,1.094491,8.686436,34.745742,0.000000,4.712389
0.020000,303.000000,115.801831,1.275169,9.381350,34.745742,-0.000000,4.712389
0.020000,303.000000,115.607255,1.469745,10.076265,34.745742,0.000000,4.712389
0.020000,303.000000,115.398781,1.678219,10.771180,34.745742,0.000000,4.712389
0.020000,303.000000,115.176408,1.900592,11.466095,34.745742,0.000000,4.712389
0.020000,303.000000,114.940137,2.136863,12.161010,34.745742,-0.000000,4.712389
0.020000,303.000000,114.689968,2.387032,12.855925,34.745742,0.000000,4.712389
0.020000,303.000000,114.425900,2.651100,13.550839,34.745742,0.000000,4.712389
0.020000,303.000000,114.147934,2.929066,14.245754,34.745742,-0.000000,4.712389
0.020000,303.000000,113.856070,3.220930,14.940669,34.745742,0.000000,4.712389
0.020000,303.000000,113.550307,3.526693,15.635584,34.745742,0.000000,4.712389
0.020000,303.000000,113.230646,3.846354,16.330499,34.745742,-0.000000,4.712389
0.020000,303.000000,112.897087,4.179913,17.025414,34.745742,0.000000,4.712389
0.020000,303.000000,112.549630,4.527370,17.720328,34.745742,0.000000,4.712389
0.020000,303.000000,112.188274,4.888726,18.415243,34.745742,-0.000000,4.712389
0.020000,303.000000,111.813020,5.263980,19.110158,34.745742,0.000000,4.712389
0.020000,303.000000,111.423868,5.653132,19.805073,34.745742,0.000000,4.712389
0.020000,303.000000,111.020817,6.056183,20.499988,34.745742,-0.000000,4.712389
0.020000,303.000000,110.603868,6.473132,21.194903,34.745742,0.000000,4.712389
0.020000,303.000000,110.173021,6.903979,21.889818,34.745742,0.000000,4.712389
0.020000,303.000000,109.728276,7.348724,22.584732,34.745742,-0.000000,4.712389
0.020000,303.000000,109.269632,7.807368,23.279647,34.745742,0.000000,4.712389
0.020000,303.000000,108.797090,8.279910,23.974562,34.745742,0.000000,4.712389
0.020000,303.000000,108.310649,8.766351,24.669477,34.745742,-0.000000,4.712389
0.020000,303.000000,107.810311,9.266689,25.364392,34.745742,0.000000,4.712389
0.020000,303.000000,107.296074,9.780926,26.059307,34.745742,0.000000,4.712389
0.020000,303.000000,106.767938,10.309062,26.754221,34.745742,-0.000000,4.712389
0.020000,303.000000,106.225905,10.851095,27.449136,34.745742,0.000000,4.712389
0.020000,303.000000,105.669973,11.407027,28.144051,34.745742,-0.000000,4.712389
0.020000,303.000000,105.100143,11.976857,28.838966,34.745742,0.000000,4.712389
0.020000,303.000000,104.516414,12.560586,29.533881,34.745742,-0.000000,4.712389
0.020000,303.000000,103.918787,13.158213,30.228796,34.745742,0.000000,4.712389
0.020000,303.000000,103.307262,13.769738,30.923711,34.745742,-0.000000,4.712389
0.020000,303.000000,102.681839,14.395161,31.618625,34.745742,0.000000,4.712389
0.020000,303.000000,102.042517,15.034483,32.313540,34.745742,-0.000000,4.712389
0.020000,303.000000,101.389297,15.687703,33.008455,34.745742,0.000000,4.712389
0.020000,303.000000,100.722179,16.354821,33.703370,34.745742,-0.000000,4.712389
0.020000,303.000000,100.041163,17.035837,34.398285,34.745742,0.000000,4.712389
0.020000,303.000000,99.346248,17.730752,35.093200,34.745742,-0.000000,4.712389
