dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.500357,39.000000,0.007826,0.782609,39.130435,1956.521739,6.283156
0.020000,7.500288,39.000000,0.007895,0.003424,-38.959226,-3904.483059,6.283161
0.020000,7.500151,39.000000,0.008032,0.006867,0.172150,1956.568819,6.283173
0.020000,7.525416,39.000000,0.033297,1.263273,62.820289,3132.406960,0.000005
0.020000,7.650356,39.000002,0.158237,6.246984,249.185569,9318.264008,0.000028
0.020000,7.806528,39.000009,0.314409,7.808590,78.080281,-8555.264438,0.000057
0.020000,7.993930,39.000023,0.501811,9.370099,78.075475,-0.240271,0.000092
0.020000,8.212560,39.000047,0.720441,10.931498,78.069952,-0.276173,0.000134
0.020000,8.462415,39.000087,0.970296,12.492764,78.063284,-0.333370,0.000182
0.020000,8.743492,39.000146,1.251374,14.053879,78.055723,-0.378074,0.000237
0.020000,9.055789,39.000230,1.563670,15.614823,78.047236,-0.424335,0.000300
0.020000,9.399301,39.000345,1.907182,17.175581,78.037901,-0.466762,0.000369
0.020000,9.774023,39.000498,2.281904,18.736132,78.027526,-0.518727,0.000447
0.020000,10.179952,39.000696,2.687833,20.296454,78.016104,-0.571130,0.000532
0.020000,10.617083,39.000950,3.124964,21.856534,78.004001,-0.605136,0.000627
0.020000,11.085410,39.001267,3.593291,23.416347,77.990639,-0.668081,0.000730
0.020000,11.584927,39.001660,4.092809,24.975880,77.976640,-0.699962,0.000843
0.020000,12.115629,39.002139,4.623511,26.535111,77.961595,-0.752238,0.000965
0.020000,12.677509,39.002719,5.185391,28.094021,77.945493,-0.805142,0.001098
0.020000,13.270561,39.003413,5.778443,29.652588,77.928319,-0.858703,0.001243
0.020000,13.894776,39.004237,6.402659,31.210805,77.910870,-0.872411,0.001398
0.020000,14.550148,39.005208,7.058032,32.768638,77.891625,-0.962270,0.001567
0.020000,15.236669,39.006346,7.744553,34.326076,77.871900,-0.986268,0.001748
0.020000,15.954329,39.007670,8.462215,35.883098,77.851104,-1.039766,0.001943
0.020000,16.703122,39.009202,9.211009,37.439688,77.829534,-1.078531,0.002152
0.020000,17.483036,39.010967,9.990926,38.995823,77.806747,-1.139309,0.002376
0.020000,18.294063,39.012992,10.801955,40.551489,77.783284,-1.173174,0.002617
0.020000,19.136193,39.015303,11.644089,42.106660,77.758568,-1.235803,0.002874
0.020000,20.009416,39.017931,12.517315,43.661322,77.733079,-1.274450,0.003148
0.020000,20.913720,39.020910,13.421624,45.215454,77.706595,-1.324209,0.003441
0.020000,21.849095,39.024274,14.357005,46.769043,77.679468,-1.356353,0.003754
0.020000,22.815529,39.028062,15.323446,48.322057,77.650707,-1.438032,0.004086
0.020000,23.813009,39.032314,16.320936,49.874488,77.621514,-1.459632,0.004441
0.020000,24.841525,39.037074,17.349462,51.426314,77.591329,-1.509272,0.004817
0.020000,25.901061,39.042388,18.409012,52.977515,77.560020,-1.565442,0.005217
0.020000,26.991607,39.048308,19.499574,54.528066,77.527566,-1.622681,0.005641
0.020000,28.113147,39.054886,20.621133,56.077965,77.494978,-1.629423,0.006091
0.020000,29.265667,39.062179,21.773677,57.627172,77.460312,-1.733303,0.006567
0.020000,30.449153,39.070248,22.957190,59.175680,77.425398,-1.745691,0.007072
