dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.500000,27.000000,0.007826,0.782609,39.130435,1956.521739,6.283156
0.020000,7.500000,27.000000,0.039130,2.347826,78.260870,1956.521739,6.283161
0.020000,7.500000,27.000000,0.101739,3.913043,78.260870,0.000000,6.283173
0.020000,7.525472,27.000000,0.195652,5.478261,78.260870,0.000000,0.000005
0.020000,7.650690,27.000002,0.320870,7.043478,78.260870,-0.000000,0.000028
0.020000,7.807212,27.000009,0.477391,8.608696,78.260870,0.000000,0.000057
0.020000,7.995038,27.000023,0.665217,10.173913,78.260870,-0.000000,0.000092
0.020000,8.214168,27.000048,0.884348,11.739130,78.260870,0.000000,0.000134
0.020000,8.464603,27.000087,1.134783,13.304348,78.260870,-0.000000,0.000182
0.020000,8.746342,27.000146,1.416522,14.869565,78.260870,0.000000,0.000237
0.020000,9.059385,27.000230,1.729565,16.434783,78.260870,-0.000000,0.000300
0.020000,9.403733,27.000345,2.073913,18.000000,78.260870,0.000000,0.000369
0.020000,9.779385,27.000499,2.449565,19.565217,78.260870,0.000000,0.000447
0.020000,10.186342,27.000698,2.856522,21.130435,78.260870,0.000000,0.000532
0.020000,10.624603,27.000952,3.294783,22.695652,78.260870,-0.000000,0.000627
0.020000,11.094168,27.001270,3.764348,24.260870,78.260870,0.000000,0.000730
0.020000,11.595037,27.001664,4.265217,25.826087,78.260870,0.000000,0.000843
0.020000,12.127211,27.002145,4.797391,27.391304,78.260870,0.000000,0.000965
0.020000,12.690689,27.002726,5.360870,28.956522,78.260870,-0.000000,0.001098
0.020000,13.285471,27.003422,5.955652,30.521739,78.260870,-0.000000,0.001243
0.020000,13.911557,27.004248,6.581739,32.086957,78.260870,0.000000,0.001398
0.020000,14.568948,27.005223,7.239130,33.652174,78.260870,0.000000,0.001567
0.020000,15.257643,27.006364,7.927826,35.217391,78.260870,0.000000,0.001748
0.020000,15.977642,27.007692,8.647826,36.782609,78.260870,0.000000,0.001943
0.020000,16.728944,27.009230,9.399130,38.347826,78.260870,-0.000000,0.002152
0.020000,17.511551,27.011001,10.181739,39.913043,78.260870,0.000000,0.002376
0.020000,18.325462,27.013033,10.995652,41.478261,78.260870,-0.000000,0.002617
0.020000,19.170676,27.015352,11.840870,43.043478,78.260870,0.000000,0.002874
0.020000,20.047193,27.017991,12.717391,44.608696,78.260870,0.000000,0.003148
0.020000,20.955015,27.020981,13.625217,46.173913,78.260870,-0.000000,0.003441
0.020000,21.894139,27.024359,14.564348,47.739130,78.260870,0.000000,0.003754
0.020000,22.864566,27.028162,15.534783,49.304348,78.260870,0.000000,0.004086
0.020000,23.866296,27.032432,16.536522,50.869565,78.260870,-0.000000,0.004441
0.020000,24.899329,27.037213,17.569565,52.434783,78.260870,0.000000,0.004817
0.020000,25.963663,27.042552,18.633913,54.000000,78.260870,-0.000000,0.005217
0.020000,27.059299,27.048499,19.729565,55.565217,78.260870,0.000000,0.005641
0.020000,28.186236,27.055108,20.856522,57.130435,78.260870,0.000000,0.006091
0.020000,29.344474,27.062437,22.014783,58.695652,78.260870,-0.000000,0.006567
0.020000,30.534012,27.070548,23.204348,60.260870,78.260870,0.000000,0.007072
0.020000,31.754848,27.079505,24.425217,61.826087,78.260870,-0.000000,0.007605
0.020000,33.006983,27.089379,25.677391,63.391304,78.260870,0.000000,0.008169
0.020000,34.290416,27.100243,26.960870,64.956522,78.260870,0.000000,0.008764
0.020000,35.605144,27.112176,28.275652,66.521739,78.260870,-0.000000,0.009392
0.020000,36.951167,27.125262,29.621739,68.086957,78.260870,0.000000,0.010054
0.020000,38.328484,27.139588,30.999130,69.652174,78.260870,0.000000,0.010752
0.020000,39.737093,27.155249,32.407826,71.217391,78.260870,0.000000,0.011487
0.020000,41.176991,27.172343,33.847826,72.782609,78.260870,-0.000000,0.012260
0.020000,42.648177,27.190975,35.319130,74.347826,78.260870,0.000000,0.013073
0.020000,44.150649,27.211256,36.821739,75.913043,78.260870,0.000000,0.013927
0.020000,45.684404,27.233303,38.355652,77.478261,78.260870,-0.000000,0.014824
0.020000,47.249438,27.257238,39.920870,79.043478,78.260870,0.000000,0.015765
0.020000,48.845749,27.283192,41.517391,80.608696,78.260870,0.000000,0.016753
0.020000,50.473332,27.311300,43.145217,82.173913,78.260870,-0.000000,0.017788
0.020000,52.132184,27.341707,44.804348,83.739130,78.260870,0.000000,0.018873
0.020000,53.822299,27.374563,46.494783,85.304348,78.260870,-0.000000,0.020008
0.020000,55.543673,27.410028,48.216522,86.869565,78.260870,0.000000,0.021196
0.020000,57.296299,27.448267,49.969565,88.434783,78.260870,-0.000000,0.022439
0.020000,59.080171,27.489456,51.753913,90.000000,78.260870,0.000000,0.023738
0.020000,60.895282,27.533778,53.569565,91.565217,78.260870,0.000000,0.025095
