dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.499643,15.000000,0.007826,0.782609,39.130435,1956.521739,6.283156
0.020000,7.499712,15.000000,0.007895,0.003424,-38.959226,-3904.483059,6.283161
0.020000,7.499849,15.000000,0.008032,0.006867,0.172150,1956.568819,6.283173
0.020000,7.525529,15.000000,0.033711,1.283969,63.855073,3184.146131,0.000005
0.020000,7.651024,15.000002,0.159206,6.274754,249.539287,9284.210697,0.000028
0.020000,7.807895,15.000009,0.316078,7.843585,78.441533,-8554.887664,0.000057
0.020000,7.996146,15.000023,0.504328,9.412508,78.446146,0.230639,0.000092
0.020000,8.215777,15.000048,0.723959,10.981546,78.451926,0.288994,0.000134
0.020000,8.466791,15.000087,0.974973,12.550715,78.458445,0.325970,0.000182
0.020000,8.749192,15.000147,1.257374,14.120034,78.465955,0.375508,0.000237
0.020000,9.062982,15.000231,1.571165,15.689523,78.474425,0.423499,0.000300
0.020000,9.408166,15.000346,1.916349,17.259202,78.483933,0.475361,0.000369
0.020000,9.784748,15.000500,2.292930,18.829087,78.494286,0.517662,0.000447
0.020000,10.192732,15.000700,2.700914,20.399197,78.505477,0.559545,0.000532
0.020000,10.632123,15.000954,3.140305,21.969554,78.517876,0.619945,0.000627
0.020000,11.102926,15.001273,3.611109,23.540172,78.530902,0.651289,0.000730
0.020000,11.605147,15.001668,4.113330,25.111076,78.545179,0.713893,0.000843
0.020000,12.138793,15.002150,4.646976,26.682282,78.560300,0.756035,0.000965
0.020000,12.703869,15.002733,5.212052,28.253807,78.576252,0.797585,0.001098
0.020000,13.300382,15.003431,5.808566,29.825668,78.593022,0.838517,0.001243
0.020000,13.928339,15.004260,6.436523,31.397896,78.611414,0.919590,0.001398
0.020000,14.587748,15.005238,7.095933,32.970494,78.629896,0.924121,0.001567
0.020000,15.278617,15.006382,7.786803,34.543490,78.649796,0.994961,0.001748
0.020000,16.000954,15.007715,8.509141,36.116900,78.670519,1.036194,0.001943
0.020000,16.754767,15.009258,9.262956,37.690747,78.692366,1.092328,0.002152
0.020000,17.540066,15.011035,10.048257,39.265045,78.714894,1.126382,0.002376
0.020000,18.356860,15.013074,10.865053,40.839818,78.738646,1.187614,0.002617
0.020000,19.205158,15.015402,11.713355,42.415079,78.763045,1.219975,0.002874
0.020000,20.084971,15.018050,12.593172,43.990851,78.788577,1.276584,0.003148
0.020000,20.996309,15.021052,13.504515,45.567151,78.815019,1.322107,0.003441
0.020000,21.939183,15.024443,14.447395,47.144006,78.842729,1.385498,0.003754
0.020000,22.913604,15.028262,15.421823,48.721420,78.870711,1.399076,0.004086
0.020000,23.919583,15.032551,16.427812,50.299423,78.900177,1.473337,0.004441
0.020000,24.957133,15.037352,17.465373,51.878035,78.930567,1.519474,0.004817
0.020000,26.026265,15.042715,18.534518,53.457270,78.961750,1.559157,0.005217
0.020000,27.126992,15.048690,19.635261,55.037144,78.993708,1.597895,0.005641
0.020000,28.259326,15.055331,20.767615,56.617693,79.027463,1.687762,0.006091
0.020000,29.423281,15.062696,21.931593,58.198914,79.061058,1.679730,0.006567
0.020000,30.618870,15.070848,23.127210,59.780841,79.096342,1.764219,0.007072
0.020000,31.846107,15.079852,24.354480,61.363489,79.132415,1.803618,0.007605
0.020000,33.105005,15.089779,25.613417,62.946874,79.169256,1.842059,0.008169
0.020000,34.395580,15.100704,26.904038,64.531030,79.207779,1.926151,0.008764
0.020000,35.717844,15.112706,28.226357,66.115953,79.246150,1.918543,0.009392
0.020000,37.071814,15.125868,29.580390,67.701681,79.286395,2.012253,0.010054
0.020000,38.457503,15.140282,30.966155,69.288229,79.327422,2.051349,0.010752
0.020000,39.874928,15.156041,32.383667,70.875614,79.369212,2.089528,0.011487
0.020000,41.324103,15.173245,33.832944,72.463849,79.411751,2.126930,0.012260
0.020000,42.805044,15.192001,35.314004,74.052976,79.456379,2.231387,0.013073
0.020000,44.317766,15.212420,36.826863,75.642988,79.500568,2.209473,0.013927
0.020000,45.862284,15.234621,38.371542,77.233919,79.546590,2.301075,0.014824
0.020000,47.438616,15.258729,39.948058,78.825787,79.593370,2.339035,0.015765
0.020000,49.046775,15.284876,41.556430,80.418608,79.641050,2.383981,0.016753
0.020000,50.686779,15.313198,43.196678,82.012415,79.690354,2.465194,0.017788
0.020000,52.358642,15.343844,44.868822,83.607206,79.739554,2.460004,0.018873
0.020000,54.062381,15.376965,46.572882,85.203015,79.790456,2.545092,0.020008
0.020000,55.798010,15.412723,48.308880,86.799860,79.842258,2.590119,0.021196
0.020000,57.565544,15.451288,50.076835,88.397756,79.894802,2.627211,0.022439
0.020000,59.364999,15.492837,51.876769,89.996731,79.948759,2.697857,0.023738
0.020000,61.196389,15.537556,53.708705,91.596792,80.003042,2.714152,0.025095
0.020000,63.059728,15.585641,55.572665,93.197978,80.059264,2.811077,0.026512
0.020000,64.955030,15.637297,57.468671,94.800285,80.115382,2.805904,0.027991
0.020000,66.882308,15.692738,59.396746,96.403749,80.173192,2.890519,0.029533
0.020000,68.841574,15.752189,61.356913,98.008385,80.231800,2.930402,0.031141
0.020000,70.832840,15.815882,63.349197,99.614203,80.290881,2.954033,0.032817
0.020000,72.856116,15.884065,65.373622,101.221235,80.351617,3.036813,0.034563
0.020000,74.911412,15.956992,67.430212,102.829496,80.413062,3.072256,0.036380
0.020000,76.998738,16.034931,69.518992,104.439001,80.475222,3.107960,0.038271
0.020000,79.118100,16.118160,71.639987,106.049771,80.538536,3.165740,0.040238
0.020000,81.269504,16.206970,73.793224,107.661814,80.602115,3.178920,0.042283
0.020000,83.452955,16.301664,75.978727,109.275169,80.667770,3.282779,0.044409
0.020000,85.668455,16.402557,78.196524,110.889830,80.733041,3.263537,0.046616
0.020000,87.916006,16.509977,80.446640,112.505825,80.799750,3.335425,0.048909
0.020000,90.195606,16.624266,82.729103,114.123167,80.867097,3.367373,0.051288
0.020000,92.507252,16.745779,85.043941,115.741878,80.935578,3.424045,0.053756
0.020000,94.850938,16.874886,87.391180,117.361959,81.004028,3.422476,0.056316
0.020000,97.226655,17.011969,89.770849,118.983438,81.073944,3.495835,0.058970
0.020000,99.634392,17.157428,92.182975,120.606318,81.144021,3.503857,0.061719
0.020000,102.074133,17.311674,94.627588,122.230616,81.214880,3.542908,0.064568
0.020000,104.545860,17.475137,97.104714,123.856341,81.286261,3.569077,0.067517
0.020000,107.049552,17.648260,99.614385,125.483504,81.358136,3.593764,0.070569
0.020000,109.585182,17.831505,102.156627,127.112111,81.430383,3.612314,0.073727
0.020000,112.152718,18.025347,104.731470,128.742173,81.503083,3.635013,0.076993
0.020000,114.752126,18.230279,107.338944,130.373694,81.576065,3.649121,0.080370
0.020000,117.383365,18.446813,109.979078,132.006677,81.649140,3.653756,0.083859
0.020000,120.046389,18.675475,112.651900,133.641122,81.722258,3.655859,0.087464
0.020000,122.741144,18.916810,115.357441,135.277038,81.795783,3.676282,0.091187
0.020000,125.467574,19.171382,118.095729,136.914416,81.868895,3.655581,0.095030
0.020000,128.225611,19.439770,120.866794,138.553248,81.941596,3.635033,0.098995
0.020000,131.015183,19.722576,123.670665,140.193532,82.014186,3.629533,0.103086
0.020000,133.836209,20.020415,126.507370,141.835267,82.086778,3.629591,0.107305
0.020000,136.688600,20.333925,129.376939,143.478421,82.157697,3.545937,0.111653
0.020000,139.572258,20.663762,132.279399,145.123005,82.229194,3.574861,0.116133
0.020000,142.479155,21.009637,135.206800,146.370077,62.353588,-993.780282,0.120736
0.020000,145.393342,21.370135,138.143201,146.820022,22.497268,-1992.816023,0.125436
0.020000,148.306796,21.744580,141.080618,146.870892,2.543487,-997.689027,0.130221
0.020000,151.219410,22.133217,144.019047,146.921415,2.526174,-0.865655,0.135091
0.020000,154.131075,22.536292,146.958478,146.971566,2.507555,-0.930978,0.140043
0.020000,157.041674,22.954045,149.898904,147.021320,2.487664,-0.994546,0.145079
0.020000,159.951091,23.386715,152.840317,147.070649,2.466468,-1.059789,0.150197
0.020000,162.859203,23.834536,155.782708,147.119528,2.443936,-1.126609,0.155397
0.020000,165.758449,24.296537,158.718533,146.791242,-16.414277,-942.910624,0.160663
0.020000,168.633385,24.770259,161.632237,145.685189,-55.302656,-1944.418946,0.165967
0.020000,171.475572,25.254108,164.515314,144.153888,-76.565049,-1063.119677,0.171289
0.020000,174.284479,25.747711,167.367262,142.597383,-77.825281,-63.011598,0.176626
0.020000,177.060038,26.250755,170.188038,141.038818,-77.928229,-5.147407,0.181974
0.020000,179.651352,26.733604,172.823954,131.795759,-462.152960,-19211.236512,0.184290
0.020000,182.208797,27.199736,175.423532,129.978900,-90.842946,18565.500698,0.176422
0.020000,184.749328,27.643335,178.002500,128.948422,-51.523909,1965.951815,0.169446
0.020000,187.272010,28.066823,180.560481,127.899044,-52.468892,-47.249144,0.163329
0.020000,189.775980,28.472507,183.097102,126.831034,-53.400496,-46.580190,0.158041
0.020000,192.260440,28.862580,185.611997,125.744772,-54.313087,-45.629569,0.153551
0.020000,194.724653,29.239118,188.104812,124.640743,-55.201452,-44.418231,0.149829
0.020000,197.167933,29.604086,190.575201,123.519436,-56.065359,-43.195347,0.146847
0.020000,199.589642,29.959338,193.022828,122.381357,-56.903947,-41.929405,0.144577
0.020000,201.989183,30.306619,195.447369,121.227043,-57.715719,-40.588585,0.142992
0.020000,204.365993,30.647567,197.848509,120.057021,-58.501099,-39.269010,0.142066
0.020000,206.719544,30.983718,200.225945,118.871779,-59.262069,-38.048483,0.141773
0.020000,209.049333,31.316506,202.579381,117.671809,-59.998506,-36.821849,0.142088
0.020000,211.354879,31.647265,204.908532,116.457546,-60.713143,-35.731865,0.142989
0.020000,213.635723,31.977234,207.213120,115.229418,-61.406434,-34.664534,0.144451
0.020000,215.891420,32.307557,209.492875,113.987772,-62.082294,-33.793026,0.146453
0.020000,218.121542,32.639289,211.747535,112.732960,-62.740611,-32.915847,0.148972
0.020000,220.325669,32.973394,213.976840,111.465263,-63.384810,-32.209940,0.151987
0.020000,222.503393,33.310748,216.180539,110.184963,-64.015016,-31.510329,0.155477
0.020000,224.654313,33.652143,218.358384,108.892238,-64.636253,-31.061828,0.159421
0.020000,226.778035,33.998290,220.510130,107.587303,-65.246747,-30.524714,0.163798
0.020000,228.874169,34.349815,222.635536,106.270280,-65.851138,-30.219529,0.168590
