dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.991033,56.999997,0.001995,0.199521,9.976036,498.801778,0.000690
0.020000,11.991467,56.999997,0.002430,0.021737,-8.889208,-943.262162,0.000656
0.020000,11.992445,56.999998,0.003408,0.048898,1.358091,512.364942,0.000581
0.020000,11.994183,56.999999,0.005146,0.086900,1.900087,27.099773,0.000447
0.020000,11.996897,57.000000,0.007860,0.135704,2.440178,27.004550,0.000239
0.020000,12.013463,57.000000,0.024426,0.828283,34.628970,1609.439614,6.283132
0.020000,12.108124,56.999977,0.119086,4.733042,195.237924,8030.447692,6.282757
0.020000,12.223811,56.999901,0.234774,5.784370,52.566420,-7133.575177,6.282299
0.020000,12.360521,56.999743,0.371483,6.835472,52.555102,-0.565915,6.281759
0.020000,12.518247,56.999469,0.529210,7.886335,52.543157,-0.597267,6.281137
0.020000,12.696983,56.999040,0.707947,8.936828,52.524634,-0.926146,6.280434
0.020000,12.896721,56.998412,0.907686,9.986955,52.506384,-0.912482,6.279649
0.020000,13.117453,56.997536,1.128419,11.036657,52.485062,-1.066075,6.278785
0.020000,13.359166,56.996358,1.370136,12.085837,52.458993,-1.303492,6.277841
0.020000,13.621853,56.994820,1.632826,13.134531,52.434744,-1.212437,6.276819
0.020000,13.905499,56.992858,1.916479,14.182653,52.406067,-1.433840,6.275719
0.020000,14.210093,56.990404,2.221083,15.230192,52.376958,-1.455473,6.274542
0.020000,14.535619,56.987387,2.546624,16.277024,52.341597,-1.768015,6.273290
0.020000,14.882063,56.983728,2.893087,17.323166,52.307107,-1.724540,6.271962
0.020000,15.249408,56.979348,3.260458,18.368555,52.269451,-1.882789,6.270562
0.020000,15.637636,56.974161,3.648721,19.413129,52.228716,-2.036731,6.269089
0.020000,16.046728,56.968077,4.057857,20.456845,52.185781,-2.146762,6.267545
0.020000,16.476664,56.961005,4.487852,21.499725,52.143981,-2.090019,6.265931
0.020000,16.927421,56.952847,4.938683,22.541550,52.091283,-2.634902,6.264249
0.020000,17.398978,56.943504,5.410332,23.582465,52.045756,-2.276336,6.262501
0.020000,17.891309,56.932872,5.902778,24.622289,51.991172,-2.729171,6.260688
0.020000,18.404388,56.920845,6.415998,25.661009,51.936024,-2.757405,6.258811
0.020000,18.938189,56.907313,6.949970,26.698586,51.878834,-2.859532,6.256873
0.020000,19.492681,56.892165,7.504669,27.734958,51.818607,-3.011327,6.254876
0.020000,20.067835,56.875286,8.080071,28.770077,51.755946,-3.133044,6.252820
0.020000,20.663619,56.856559,8.676149,29.803933,51.692811,-3.156745,6.250709
0.020000,21.279999,56.835865,9.292877,30.836363,51.621487,-3.566202,6.248544
0.020000,21.916941,56.813084,9.930226,31.867468,51.555241,-3.312306,6.246328
0.020000,22.574408,56.788094,10.588167,32.897059,51.479566,-3.783744,6.244063
0.020000,23.252361,56.760771,11.266670,33.925158,51.404918,-3.732414,6.241750
0.020000,23.950760,56.730990,11.965704,34.951702,51.327227,-3.884560,6.239393
0.020000,24.669564,56.698627,12.685237,35.976635,51.246648,-4.028948,6.236994
0.020000,25.408731,56.663555,13.425235,36.999902,51.163329,-4.165935,6.234556
0.020000,26.168215,56.625648,14.185664,38.021457,51.077786,-4.277131,6.232081
0.020000,26.947970,56.584781,14.966489,39.041260,50.990121,-4.383250,6.229571
0.020000,27.747948,56.540829,15.767674,40.059231,50.898548,-4.578680,6.227031
0.020000,28.568100,56.493665,16.589181,41.075344,50.805651,-4.644839,6.224461
0.020000,29.408375,56.443167,17.430972,42.089544,50.710034,-4.780842,6.221866
0.020000,30.268720,56.389213,18.293007,43.101773,50.611450,-4.929211,6.219249
0.020000,31.149082,56.331680,19.175247,44.111989,50.510755,-5.034745,6.216612
0.020000,32.049405,56.270452,20.077650,45.120139,50.407539,-5.160813,6.213960
0.020000,32.969633,56.205410,21.000173,46.126174,50.301728,-5.290525,6.211294
0.020000,33.909707,56.136442,21.942774,47.130052,50.193903,-5.391267,6.208618
0.020000,34.869569,56.063436,22.905409,48.131712,50.082982,-5.546071,6.205936
0.020000,35.849158,55.986286,23.888031,49.131125,49.970662,-5.616005,6.203252
0.020000,36.848413,55.904887,24.890596,50.128228,49.855151,-5.775512,6.200568
0.020000,37.867271,55.819140,25.913055,51.122976,49.737422,-5.886448,6.197889
0.020000,38.905668,55.728950,26.955362,52.115337,49.618024,-5.969903,6.195217
0.020000,39.963541,55.634227,28.017467,53.105249,49.495601,-6.121180,6.192558
0.020000,41.040823,55.534885,29.099320,54.092674,49.371270,-6.216535,6.189914
0.020000,42.137451,55.430845,30.200872,55.077586,49.245586,-6.284220,6.187290
0.020000,43.253356,55.322034,31.322070,56.059905,49.115950,-6.481767,6.184689
0.020000,44.388474,55.208384,32.462863,57.039634,48.986436,-6.475703,6.182115
0.020000,45.542735,55.089834,33.623196,58.016665,48.851549,-6.744344,6.179574
0.020000,46.716074,54.966332,34.803017,58.991025,48.718041,-6.675393,6.177068
0.020000,47.908422,54.837831,36.002269,59.962640,48.580752,-6.864489,6.174602
0.020000,49.119713,54.704292,37.220899,60.931473,48.441646,-6.955295,6.172180
0.020000,50.349879,54.565687,38.458849,61.897485,48.300569,-7.053841,6.169807
0.020000,51.598852,54.421993,39.716061,62.860604,48.155974,-7.229748,6.167487
0.020000,52.866567,54.273199,40.992478,63.820864,48.012993,-7.149025,6.165225
0.020000,54.152957,54.119302,42.288041,64.778139,47.863757,-7.461812,6.163024
0.020000,55.457957,53.960309,43.602690,65.732463,47.716169,-7.379421,6.160890
0.020000,56.781501,53.796237,44.936365,66.683748,47.564250,-7.595929,6.158828
0.020000,58.123525,53.627114,46.289004,67.631959,47.410582,-7.683416,6.156841
0.020000,59.483967,53.452979,47.660545,68.577064,47.255238,-7.767181,6.154935
0.020000,60.862765,53.273883,49.050926,69.519024,47.097997,-7.862080,6.153115
0.020000,62.259857,53.089888,50.460082,70.457803,46.938965,-7.951585,6.151385
0.020000,63.675185,52.901068,51.887949,71.393361,46.777873,-8.054600,6.149751
0.020000,65.108688,52.707511,53.334461,72.325604,46.612188,-8.284257,6.148217
0.020000,66.560312,52.509318,54.799553,73.254569,46.448249,-8.196964,6.146789
0.020000,68.030001,52.306602,56.283156,74.180159,46.279497,-8.437582,6.145471
0.020000,69.517700,52.099493,57.785202,75.102328,46.108436,-8.553070,6.144270
0.020000,71.023358,51.888131,59.305623,76.021052,45.936180,-8.612787,6.143190
0.020000,72.546925,51.672676,60.844349,76.936266,45.760702,-8.773911,6.142237
0.020000,74.088351,51.453299,62.401307,77.847927,45.583040,-8.883057,6.141416
0.020000,75.647589,51.230190,63.976427,78.755989,45.403102,-8.996946,6.140732
0.020000,77.224595,51.003554,65.569635,79.660386,45.219861,-9.162029,6.140193
0.020000,78.819324,50.773614,67.180856,80.561072,45.034326,-9.276734,6.139802
0.020000,80.431735,50.540607,68.810016,81.457987,44.845734,-9.429629,6.139566
0.020000,82.061788,50.304792,70.457037,82.351078,44.654557,-9.558825,6.139491
0.020000,83.709443,50.066443,72.121843,83.240282,44.460170,-9.719338,6.139583
0.020000,85.374664,49.825856,73.804354,84.125537,44.262781,-9.869471,6.139847
0.020000,87.057414,49.583344,75.504489,85.006781,44.062190,-10.029570,6.140291
0.020000,88.757660,49.339241,77.222168,85.883950,43.858460,-10.186495,6.140920
0.020000,90.475367,49.093900,78.957308,86.756984,43.651689,-10.338539,6.141740
0.020000,92.210503,48.847697,80.709824,87.625798,43.440687,-10.550072,6.142759
0.020000,93.963035,48.601028,82.479631,88.490344,43.227335,-10.667614,6.143982
0.020000,95.732934,48.354313,84.266642,89.350547,43.010132,-10.860166,6.145417
0.020000,97.520166,48.107993,86.070768,90.206328,42.789026,-11.055291,6.147070
0.020000,99.324701,47.862534,87.891921,91.057625,42.564855,-11.208546,6.148948
0.020000,101.146506,47.618423,89.730008,91.904365,42.337039,-11.390788,6.151058
0.020000,102.985550,47.376174,91.584938,92.746496,42.106511,-11.526427,6.153407
0.020000,104.841797,47.136326,93.456617,93.583937,41.872065,-11.722297,6.156003
0.020000,106.715212,46.899443,95.344949,94.416609,41.633617,-11.922398,6.158852
0.020000,108.605758,46.666114,97.249839,95.244493,41.394170,-11.972337,6.161963
0.020000,110.513393,46.436957,99.171189,96.067504,41.150561,-12.180465,6.165342
0.020000,112.438075,46.212616,101.108901,96.885590,40.904325,-12.311784,6.168997
0.020000,114.379754,45.993762,103.062875,97.698722,40.656565,-12.388034,6.172936
0.020000,116.338379,45.781095,105.033012,98.506858,40.406827,-12.486855,6.177167
0.020000,118.313893,45.575345,107.019212,99.309972,40.155675,-12.557623,6.181696
0.020000,120.306233,45.377269,109.021374,100.108087,39.905751,-12.496207,6.186533
0.020000,122.315328,45.187653,111.039396,100.901134,39.652356,-12.669741,6.191684
0.020000,124.341101,45.007314,113.073180,101.689206,39.403591,-12.438262,6.197158
0.020000,126.383466,44.837099,115.122626,102.472286,39.154010,-12.479027,6.202961
0.020000,128.442328,44.677884,117.187635,103.250464,38.908888,-12.256102,6.209102
0.020000,130.517582,44.530575,119.268112,104.023816,38.667611,-12.063858,6.215589
0.020000,132.609113,44.396107,121.363961,104.792450,38.431728,-11.794145,6.222427
0.020000,134.716793,44.275447,123.475091,105.556511,38.203054,-11.433692,6.229625
0.020000,136.840480,44.169589,125.601415,106.316185,37.983686,-10.968421,6.237188
0.020000,138.980019,44.079556,127.742848,107.071648,37.773164,-10.526071,6.245124
0.020000,141.133345,44.006456,129.897414,107.728322,32.833660,-246.975233,6.253431
0.020000,143.296492,43.951398,132.061261,108.192361,23.201986,-481.583702,6.262099
0.020000,145.465505,43.915375,134.230574,108.465633,13.663592,-476.919667,6.271113
0.020000,147.636443,43.899253,136.401571,108.549863,4.211506,-472.604295,6.280458
0.020000,149.804855,43.903750,138.569988,108.420826,-6.451852,-533.167928,0.006928
0.020000,151.966311,43.929412,140.731597,108.080456,-17.018540,-528.334374,0.016868
0.020000,154.116926,43.976612,142.882730,107.556645,-26.190538,-458.599936,0.027070
0.020000,156.252834,44.045545,145.019749,106.850960,-35.284247,-454.685459,0.037504
0.020000,158.370190,44.136223,147.139046,105.964876,-44.304210,-450.998123,0.048143
0.020000,160.465702,44.248498,149.237564,104.925854,-51.951104,-382.344725,0.058957
0.020000,162.537959,44.382177,151.314128,103.828227,-54.881349,-146.512216,0.069925
0.020000,164.586909,44.537082,153.368926,102.739887,-54.416958,23.219546,0.081033
0.020000,166.612506,44.712998,155.402147,101.661051,-53.941814,23.757182,0.092265
0.020000,168.614702,44.909678,157.413980,100.591639,-53.470626,23.559423,0.103608
0.020000,170.593458,45.126841,159.404617,99.531867,-52.988602,24.101202,0.115046
0.020000,172.548742,45.364175,161.374251,98.481725,-52.507078,24.076161,0.126566
0.020000,174.480512,45.621336,163.323064,97.440605,-52.056009,22.553479,0.138152
0.020000,176.332380,45.889139,165.194195,93.556570,-194.201739,-7107.286491,0.146026
0.020000,178.762708,46.209008,167.645483,122.564400,1450.391520,82229.662915,0.115884
0.020000,181.160418,46.453291,170.055605,120.506107,-102.914674,-77665.309676,0.087375
0.020000,183.522184,46.628055,172.423828,118.411147,-104.748019,-91.667241,0.060555
0.020000,185.845448,46.739423,174.749759,116.296566,-105.729036,-49.050885,0.035454
0.020000,188.128347,46.793446,177.033298,114.176937,-105.981446,-12.620503,0.012081
0.020000,190.369633,46.796009,179.274585,112.064335,-105.630116,17.566540,6.273608
0.020000,192.568577,46.752754,181.473955,109.968510,-104.791211,41.945244,6.253641
0.020000,194.724890,46.669028,183.631892,107.896846,-103.583216,60.399733,6.235326
0.020000,196.838631,46.549859,185.748990,105.854916,-102.096522,74.334708,6.218618
0.020000,198.910142,46.399940,187.825919,103.846426,-100.424465,83.602827,6.203466
0.020000,200.939968,46.223623,189.863389,101.873496,-98.646542,88.896191,6.189815
0.020000,202.928822,46.024932,191.862142,99.937668,-96.791385,92.757833,6.177608
0.020000,204.877513,45.807568,193.822919,98.038855,-94.940659,92.536314,6.166787
0.020000,206.786928,45.574936,195.746453,96.176691,-93.108162,91.624829,6.157296
0.020000,208.657990,45.330151,197.633459,94.350293,-91.319930,89.411583,6.149081
0.020000,210.491637,45.076070,199.484626,92.558346,-89.597328,86.130117,6.142088
0.020000,212.288800,44.815301,201.300609,90.799155,-87.959582,81.887315,6.136266
0.020000,214.050392,44.550230,203.082032,89.071186,-86.398435,78.057327,6.131569
0.020000,215.777296,44.283034,204.829486,87.372657,-84.926430,73.600270,6.127950
0.020000,217.470356,44.015698,206.543521,85.701776,-83.544079,69.117540,6.125366
0.020000,219.130371,43.750034,208.224660,84.056938,-82.241898,65.109037,6.123778
0.020000,220.758094,43.487688,209.873389,82.436464,-81.023708,60.909529,6.123149
0.020000,222.354230,43.230161,211.490167,80.838883,-79.879048,57.232989,6.123443
0.020000,223.919433,42.978813,213.075423,79.262801,-78.804093,53.747748,6.124626
0.020000,225.454309,42.734876,214.629562,77.706968,-77.791622,50.623555,6.126669
0.020000,226.959416,42.499462,216.152969,76.170321,-76.832365,47.962868,6.129541
0.020000,228.435265,42.273570,217.646005,74.651837,-75.924197,45.408395,6.133214
0.020000,229.882327,42.058095,219.109022,73.150828,-75.050452,43.687209,6.137661
0.020000,231.301028,41.853832,220.542352,71.666521,-74.215370,41.754146,6.142857
0.020000,232.691759,41.661480,221.946322,70.198466,-73.402714,40.632780,6.148777
0.020000,234.054875,41.481652,223.321249,68.746367,-72.604977,39.886822,6.155396
0.020000,235.390702,41.314870,224.667447,67.309918,-71.822457,39.126013,6.162691
0.020000,236.699538,41.161578,225.985229,65.889083,-71.041755,39.035114,6.170636
0.020000,237.981655,41.022141,227.274907,64.483884,-70.259907,39.092376,6.179208
0.020000,239.237310,40.896846,228.536798,63.094551,-69.466668,39.661950,6.188383
