dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.000000,44.000000,0.001995,0.199521,9.976036,498.801778,0.000690
0.020000,12.000000,44.000000,0.009976,0.598562,19.952071,498.801778,0.000656
0.020000,12.000000,44.000000,0.027933,1.197124,29.928107,498.801778,0.000581
0.020000,12.000000,44.000000,0.059856,1.995207,39.904142,498.801778,0.000447
0.020000,12.000000,44.000000,0.109736,2.992811,49.880178,498.801778,0.000239
0.020000,12.012769,44.000000,0.179569,3.990414,49.880178,0.000000,6.283132
0.020000,12.102554,43.999978,0.269353,4.988018,49.880178,-0.000000,6.282757
0.020000,12.212290,43.999906,0.379089,5.985621,49.880178,0.000000,6.282299
0.020000,12.341978,43.999756,0.508778,6.983225,49.880178,0.000000,6.281759
0.020000,12.491618,43.999496,0.658418,7.980828,49.880178,0.000000,6.281137
0.020000,12.661210,43.999089,0.828011,8.978432,49.880178,0.000000,6.280434
0.020000,12.850754,43.998493,1.017556,9.976036,49.880178,-0.000000,6.279649
0.020000,13.060250,43.997662,1.227052,10.973639,49.880178,0.000000,6.278785
0.020000,13.289696,43.996544,1.456501,11.971243,49.880178,-0.000000,6.277841
0.020000,13.539092,43.995083,1.705902,12.968846,49.880178,0.000000,6.276819
0.020000,13.808439,43.993220,1.975255,13.966450,49.880178,0.000000,6.275719
0.020000,14.097735,43.990890,2.264560,14.964053,49.880178,-0.000000,6.274542
0.020000,14.406978,43.988023,2.573817,15.961657,49.880178,0.000000,6.273290
0.020000,14.736169,43.984547,2.903026,16.959260,49.880178,-0.000000,6.271962
0.020000,15.085306,43.980384,3.252188,17.956864,49.880178,0.000000,6.270562
0.020000,15.454386,43.975452,3.621301,18.954468,49.880178,-0.000000,6.269089
0.020000,15.843408,43.969667,4.010366,19.952071,49.880178,0.000000,6.267545
0.020000,16.252370,43.962940,4.419384,20.949675,49.880178,0.000000,6.265931
0.020000,16.681269,43.955178,4.848353,21.947278,49.880178,0.000000,6.264249
0.020000,17.130103,43.946285,5.297275,22.944882,49.880178,-0.000000,6.262501
0.020000,17.598867,43.936162,5.766149,23.942485,49.880178,0.000000,6.260688
0.020000,18.087558,43.924706,6.254974,24.940089,49.880178,0.000000,6.258811
0.020000,18.596173,43.911813,6.763752,25.937692,49.880178,-0.000000,6.256873
0.020000,19.124705,43.897374,7.292482,26.935296,49.880178,0.000000,6.254876
0.020000,19.673151,43.881279,7.841164,27.932900,49.880178,-0.000000,6.252820
0.020000,20.241504,43.863414,8.409798,28.930503,49.880178,0.000000,6.250709
0.020000,20.829758,43.843664,8.998384,29.928107,49.880178,0.000000,6.248544
0.020000,21.437908,43.821913,9.606922,30.925710,49.880178,-0.000000,6.246328
0.020000,22.065944,43.798042,10.235412,31.923314,49.880178,0.000000,6.244063
0.020000,22.713860,43.771929,10.883855,32.920917,49.880178,0.000000,6.241750
0.020000,23.381648,43.743453,11.552249,33.918521,49.880178,-0.000000,6.239393
0.020000,24.069297,43.712493,12.240596,34.916124,49.880178,0.000000,6.236994
0.020000,24.776800,43.678923,12.948894,35.913728,49.880178,-0.000000,6.234556
0.020000,25.504145,43.642620,13.677145,36.911332,49.880178,0.000000,6.232081
0.020000,26.251322,43.603461,14.425347,37.908935,49.880178,0.000000,6.229571
0.020000,27.018319,43.561320,15.193502,38.906539,49.880178,0.000000,6.227031
0.020000,27.805126,43.516074,15.981609,39.904142,49.880178,0.000000,6.224461
0.020000,28.611729,43.467600,16.789668,40.901746,49.880178,0.000000,6.221866
0.020000,29.438117,43.415774,17.617679,41.899349,49.880178,-0.000000,6.219249
0.020000,30.284274,43.360477,18.465642,42.896953,49.880178,0.000000,6.216612
0.020000,31.150189,43.301588,19.333557,43.894557,49.880178,0.000000,6.213960
0.020000,32.035846,43.238990,20.221424,44.892160,49.880178,-0.000000,6.211294
0.020000,32.941232,43.172567,21.129243,45.889764,49.880178,0.000000,6.208618
0.020000,33.866331,43.102205,22.057015,46.887367,49.880178,0.000000,6.205936
0.020000,34.811128,43.027794,23.004738,47.884971,49.880178,0.000000,6.203252
0.020000,35.775609,42.949228,23.972413,48.882574,49.880178,0.000000,6.200568
0.020000,36.759757,42.866402,24.960041,49.880178,49.880178,-0.000000,6.197889
0.020000,37.763557,42.779217,25.967621,50.877781,49.880178,0.000000,6.195217
0.020000,38.786994,42.687577,26.995152,51.875385,49.880178,-0.000000,6.192558
0.020000,39.830052,42.591391,28.042636,52.872989,49.880178,0.000000,6.189914
0.020000,40.892715,42.490574,29.110072,53.870592,49.880178,-0.000000,6.187290
