dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.991450,14.000003,0.002663,0.266268,13.313395,665.669739,6.282528
0.020000,17.992018,14.000002,0.003231,0.028395,-11.893634,-1260.351433,6.282571
0.020000,17.993296,14.000002,0.004508,0.063880,1.774247,683.394030,6.282670
0.020000,17.995425,14.000001,0.006637,0.106439,2.127940,17.684662,6.282833
0.020000,17.998404,14.000000,0.009616,0.148956,2.125841,-0.104933,6.283063
0.020000,18.044154,14.000004,0.055367,2.287529,106.928642,5240.140016,0.000172
0.020000,18.136699,14.000036,0.147911,4.627216,116.984379,502.786868,0.000531
0.020000,18.246066,14.000118,0.257279,5.468382,42.058269,-3746.305473,0.000956
0.020000,18.372252,14.000269,0.383465,6.309306,42.046216,-0.602660,0.001446
0.020000,18.515256,14.000516,0.526468,7.150187,42.044060,-0.107826,0.002000
0.020000,18.675076,14.000885,0.686289,7.991045,42.042886,-0.058678,0.002619
0.020000,18.851708,14.001408,0.862922,8.831618,42.028647,-0.711959,0.003303
0.020000,19.045148,14.002119,1.056364,9.672098,42.024003,-0.232217,0.004050
0.020000,19.255395,14.003056,1.266612,10.512408,42.015531,-0.423575,0.004862
0.020000,19.482440,14.004259,1.493660,11.352425,42.000807,-0.736225,0.005736
0.020000,19.726279,14.005772,1.737504,12.192193,41.988418,-0.619417,0.006674
0.020000,19.986912,14.007642,1.998144,13.031980,41.989340,0.046089,0.007675
0.020000,20.264327,14.009919,2.275568,13.871231,41.962573,-1.338338,0.008738
0.020000,20.558521,14.012655,2.569775,14.710344,41.955615,-0.347920,0.009863
0.020000,20.869489,14.015907,2.880760,15.549251,41.945351,-0.513189,0.011050
0.020000,21.197222,14.019733,3.208515,16.387733,41.924123,-1.061431,0.012297
0.020000,21.541711,14.024195,3.553033,17.225917,41.909210,-0.745643,0.013606
0.020000,21.902949,14.029358,3.914308,18.063759,41.892114,-0.854808,0.014974
0.020000,22.280927,14.035288,4.292333,18.901217,41.872891,-0.961137,0.016402
0.020000,22.675639,14.042056,4.687102,19.738475,41.862890,-0.500017,0.017889
0.020000,23.087070,14.049736,5.098605,20.575136,41.833026,-1.493244,0.019435
0.020000,23.515210,14.058401,5.526833,21.411417,41.814062,-0.948157,0.021038
0.020000,23.960050,14.068130,5.971780,22.247315,41.794928,-0.956732,0.022698
0.020000,24.421577,14.079004,6.433435,23.082761,41.772297,-1.131520,0.024414
0.020000,24.899777,14.091105,6.911788,23.917650,41.744428,-1.393462,0.026186
0.020000,25.394637,14.104519,7.406830,24.752084,41.721722,-1.135287,0.028013
0.020000,25.906143,14.119333,7.918550,25.586019,41.696737,-1.249255,0.029893
0.020000,26.434280,14.135637,8.446938,26.419410,41.669556,-1.359063,0.031827
0.020000,26.979031,14.153523,8.991982,27.252215,41.640263,-1.464669,0.033814
0.020000,27.540378,14.173085,9.553670,28.084394,41.608942,-1.566043,0.035851
0.020000,28.118305,14.194418,10.131991,28.916038,41.582185,-1.337839,0.037940
0.020000,28.712793,14.217620,10.726932,29.747036,41.549885,-1.615001,0.040077
0.020000,29.323822,14.242791,11.338479,30.577341,41.515273,-1.730598,0.042263
0.020000,29.951369,14.270032,11.966617,31.406929,41.479408,-1.793271,0.044497
0.020000,30.595417,14.299446,12.611337,32.235979,41.452477,-1.346533,0.046777
0.020000,31.255941,14.331136,13.272620,33.064160,41.409051,-2.171305,0.049102
0.020000,31.932916,14.365209,13.950452,33.891610,41.372494,-1.827866,0.051472
0.020000,32.626319,14.401770,14.644818,34.718286,41.333796,-1.934866,0.053884
0.020000,33.336122,14.440929,15.355701,35.544147,41.293068,-2.036435,0.056338
0.020000,34.062302,14.482793,16.083087,36.369286,41.256950,-1.805874,0.058832
0.020000,34.804829,14.527473,16.826956,37.193466,41.209008,-2.397124,0.061366
0.020000,35.563672,14.575079,17.587291,38.016766,41.164997,-2.200536,0.063937
0.020000,36.338804,14.625722,18.364076,38.839243,41.123832,-2.058254,0.066544
0.020000,37.130193,14.679514,19.157291,39.660744,41.075054,-2.438905,0.069187
0.020000,37.937806,14.736566,19.966916,40.481272,41.026388,-2.433281,0.071862
0.020000,38.761610,14.796992,20.792933,41.300850,40.978919,-2.373451,0.074570
0.020000,39.601571,14.860902,21.635322,42.119437,40.929364,-2.477754,0.077309
0.020000,40.457653,14.928410,22.494062,42.936994,40.877853,-2.575559,0.080076
0.020000,41.329820,14.999628,23.369132,43.753485,40.824511,-2.667074,0.082870
0.020000,42.218033,15.074666,24.260509,44.568874,40.769461,-2.752519,0.085690
0.020000,43.122254,15.153636,25.168172,45.383159,40.714262,-2.759969,0.088533
0.020000,44.042445,15.236649,26.092100,46.196378,40.660942,-2.665992,0.091399
0.020000,44.978563,15.323813,27.032267,47.008350,40.598600,-3.117077,0.094285
0.020000,45.930567,15.415238,27.988651,47.819191,40.542081,-2.825951,0.097190
0.020000,46.898415,15.511030,28.961227,48.628834,40.482147,-2.996712,0.100111
0.020000,47.882062,15.611296,29.949972,49.437213,40.418931,-3.160819,0.103047
0.020000,48.881464,15.716140,30.954859,50.244344,40.356547,-3.119202,0.105996
0.020000,49.896577,15.825666,31.975862,51.050194,40.292511,-3.201775,0.108956
0.020000,50.927353,15.939973,33.012957,51.854733,40.226953,-3.277893,0.111924
0.020000,51.973746,16.059161,34.066116,52.657960,40.161340,-3.280652,0.114900
0.020000,53.035708,16.183328,35.135313,53.459835,40.093767,-3.378676,0.117880
0.020000,54.113191,16.312566,36.220519,54.260293,40.022884,-3.544136,0.120862
0.020000,55.206147,16.446969,37.321707,55.059414,39.956030,-3.342671,0.123845
0.020000,56.314524,16.586624,38.438848,55.857061,39.882389,-3.682062,0.126827
0.020000,57.438274,16.731620,39.571914,56.653276,39.810723,-3.583317,0.129804
0.020000,58.577346,16.882038,40.720875,57.448032,39.737816,-3.645321,0.132775
0.020000,59.731689,17.037958,41.885701,58.241303,39.663534,-3.714106,0.135737
0.020000,60.901253,17.199458,43.066362,59.033063,39.588000,-3.776725,0.138689
0.020000,62.085985,17.366609,44.262828,59.823289,39.511325,-3.833744,0.141628
0.020000,63.285835,17.539482,45.475067,60.611962,39.433610,-3.885730,0.144551
0.020000,64.500750,17.718141,46.703048,61.399061,39.354945,-3.933251,0.147456
0.020000,65.730680,17.902646,47.946740,62.184588,39.276375,-3.928510,0.150340
0.020000,66.975572,18.093055,49.206110,62.968486,39.194916,-4.072980,0.153202
0.020000,68.235375,18.289419,50.481125,63.750770,39.114190,-4.036289,0.156038
0.020000,69.510039,18.491787,51.771753,64.531402,39.031582,-4.130396,0.158846
0.020000,70.799513,18.700199,53.077960,65.310370,38.948398,-4.159201,0.161624
0.020000,72.103746,18.914694,54.399714,66.087656,38.864334,-4.203207,0.164368
0.020000,73.422688,19.135304,55.736978,66.863244,38.779365,-4.248457,0.167077
0.020000,74.756291,19.362055,57.089721,67.637115,38.693564,-4.290034,0.169748
0.020000,76.104505,19.594969,58.457906,68.409255,38.606981,-4.329148,0.172377
0.020000,77.467283,19.834060,59.841499,69.179637,38.519119,-4.393086,0.174963
0.020000,78.844578,20.079338,61.240464,69.948264,38.431339,-4.389002,0.177502
