dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.021197,39.999983,0.001749,0.174863,8.743155,437.157761,6.281555
0.020000,18.020364,39.999984,0.002581,0.041637,-6.661289,-770.222191,6.281619
0.020000,18.018490,39.999987,0.004455,0.093678,2.602010,463.164906,6.281763
0.020000,18.015160,39.999991,0.007785,0.166516,3.641907,51.994875,6.282019
0.020000,18.010166,39.999996,0.012780,0.249720,4.160229,25.916107,6.282403
0.020000,18.003508,40.000000,0.019437,0.332861,4.157024,-0.160266,6.282915
0.020000,18.035644,40.000007,0.051572,1.606778,63.695839,2976.940784,0.000370
0.020000,18.109600,40.000062,0.125529,3.697816,104.551916,2042.803828,0.001138
0.020000,18.195883,40.000199,0.211812,4.314162,30.817327,-3686.729467,0.002033
0.020000,18.294497,40.000450,0.310426,4.930688,30.826282,0.447774,0.003056
0.020000,18.405450,40.000853,0.421380,5.547701,30.850645,1.218138,0.004206
0.020000,18.528733,40.001450,0.544664,6.164230,30.826470,-1.208724,0.005483
0.020000,18.664353,40.002289,0.680286,6.781090,30.843005,0.826743,0.006887
0.020000,18.812313,40.003421,0.828251,7.398229,30.856923,0.695859,0.008418
0.020000,18.972618,40.004904,0.988563,8.015596,30.868379,0.572820,0.010076
0.020000,19.145270,40.006798,1.161226,8.633147,30.877546,0.458368,0.011859
0.020000,19.330272,40.009168,1.346242,9.250840,30.884611,0.353233,0.013769
0.020000,19.527623,40.012087,1.543615,9.868635,30.889773,0.258127,0.015803
0.020000,19.737323,40.015627,1.753345,10.486500,30.893248,0.173747,0.017963
0.020000,19.959397,40.019871,1.975460,11.105726,30.961284,3.401790,0.020247
0.020000,20.193822,40.024900,2.209938,11.723941,30.910786,-2.524922,0.022656
0.020000,20.440623,40.030805,2.456810,12.343553,30.980590,3.490205,0.025188
0.020000,20.699783,40.037679,2.716062,12.962601,30.952376,-1.410683,0.027842
0.020000,20.971326,40.045619,2.987721,13.582955,31.017725,3.267420,0.030619
0.020000,21.255248,40.054727,3.271788,14.203392,31.021831,0.205337,0.033518
0.020000,21.551550,40.065110,3.568272,14.824193,31.040075,0.912163,0.036538
0.020000,21.860238,40.076879,3.877185,15.445619,31.071269,1.559719,0.039677
0.020000,22.181317,40.090150,4.198538,16.067648,31.101466,1.509851,0.042936
0.020000,22.514790,40.105041,4.532343,16.690268,31.131012,1.477304,0.046313
0.020000,22.860660,40.121676,4.878613,17.313474,31.160263,1.462526,0.049806
0.020000,23.218934,40.140184,5.237365,17.937612,31.206920,2.332886,0.053416
0.020000,23.589621,40.160696,5.608618,18.562659,31.252361,2.272040,0.057141
0.020000,23.972708,40.183348,5.992375,19.187840,31.259062,0.335030,0.060979
