dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.000000,27.000000,0.001740,0.173969,8.698454,434.922680,6.281555
0.020000,18.000000,27.000000,0.008698,0.521907,17.396907,434.922680,6.281618
0.020000,18.000000,27.000000,0.024356,1.043814,26.095361,434.922680,6.281762
0.020000,18.000000,27.000000,0.052191,1.739691,34.793814,434.922680,6.282017
0.020000,18.000000,27.000000,0.095683,2.609536,43.492268,434.922680,6.282415
0.020000,18.000000,27.000000,0.158312,3.653351,52.190722,434.922680,6.282988
0.020000,18.063686,27.000019,0.243557,4.871134,60.889175,434.922680,0.000583
0.020000,18.175018,27.000140,0.354897,6.262887,69.587629,434.922680,0.001601
0.020000,18.314200,27.000451,0.494072,7.654639,69.587629,0.000000,0.002873
0.020000,18.481210,27.001059,0.661082,9.046392,69.587629,-0.000000,0.004399
0.020000,18.676051,27.002089,0.855928,10.438144,69.587629,0.000000,0.006177
0.020000,18.898718,27.003691,1.078608,11.829897,69.587629,-0.000000,0.008208
0.020000,19.149232,27.006033,1.329124,13.221649,69.587629,0.000000,0.010492
0.020000,19.427555,27.009306,1.607474,14.613402,69.587629,0.000000,0.013025
0.020000,19.733716,27.013720,1.913660,16.005155,69.587629,-0.000000,0.015809
0.020000,20.067687,27.019507,2.247680,17.396907,69.587629,0.000000,0.018842
0.020000,20.429466,27.026919,2.609536,18.788660,69.587629,0.000000,0.022123
0.020000,20.819043,27.036226,2.999227,20.180412,69.587629,0.000000,0.025649
0.020000,21.236406,27.047721,3.416753,21.572165,69.587629,-0.000000,0.029420
0.020000,21.681552,27.061716,3.862113,22.963918,69.587629,0.000000,0.033434
0.020000,22.154446,27.078540,4.335309,24.355670,69.587629,-0.000000,0.037688
0.020000,22.655072,27.098543,4.836340,25.747423,69.587629,0.000000,0.042181
0.020000,23.183412,27.122094,5.365206,27.139175,69.587629,0.000000,0.046909
0.020000,23.739437,27.149580,5.921907,28.530928,69.587629,-0.000000,0.051871
0.020000,24.323109,27.181402,6.506443,29.922680,69.587629,0.000000,0.057062
0.020000,24.934381,27.217983,7.118814,31.314433,69.587629,0.000000,0.062479
0.020000,25.573226,27.259759,7.759021,32.706186,69.587629,-0.000000,0.068118
0.020000,26.239579,27.307183,8.427062,34.097938,69.587629,0.000000,0.073976
0.020000,26.933390,27.360723,9.122938,35.489691,69.587629,0.000000,0.080047
0.020000,27.654599,27.420859,9.846649,36.881443,69.587629,-0.000000,0.086327
0.020000,28.403131,27.488086,10.598196,38.273196,69.587629,0.000000,0.092810
0.020000,29.178905,27.562911,11.377577,39.664948,69.587629,-0.000000,0.099490
0.020000,29.981852,27.645851,12.184794,41.056701,69.587629,0.000000,0.106361
0.020000,30.811864,27.737433,13.019845,42.448454,69.587629,0.000000,0.113416
0.020000,31.668845,27.838191,13.882732,43.840206,69.587629,0.000000,0.120648
0.020000,32.552687,27.948670,14.773454,45.231959,69.587629,-0.000000,0.128048
0.020000,33.463270,28.069417,15.692010,46.623711,69.587629,0.000000,0.135609
0.020000,34.400466,28.200984,16.638402,48.015464,69.587629,0.000000,0.143322
0.020000,35.364149,28.343928,17.612629,49.407216,69.587629,-0.000000,0.151177
0.020000,36.354167,28.498803,18.614691,50.798969,69.587629,0.000000,0.159164
0.020000,37.370371,28.666164,19.644588,52.190722,69.587629,-0.000000,0.167273
0.020000,38.412602,28.846564,20.702320,53.582474,69.587629,0.000000,0.175493
