dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.978832,14.000017,0.001989,0.198943,9.947150,497.357506,6.281557
0.020000,17.979779,14.000016,0.002937,0.047371,-7.578606,-876.287806,6.281630
0.020000,17.981911,14.000013,0.005068,0.106576,2.960261,526.943353,6.281794
0.020000,17.985700,14.000008,0.008857,0.189440,4.143192,59.146552,6.282085
0.020000,17.991618,14.000003,0.014776,0.295926,5.324317,59.056263,6.282541
0.020000,17.999901,14.000000,0.023059,0.414146,5.910965,29.332387,6.283178
0.020000,18.099252,14.000040,0.122409,4.967519,227.668683,11087.885894,0.000811
0.020000,18.221669,14.000201,0.244827,6.120882,57.668126,-8500.027854,0.001812
0.020000,18.366349,14.000548,0.389507,7.234007,55.656254,-100.593570,0.002994
0.020000,18.533278,14.001162,0.556437,8.346509,55.625123,-1.556560,0.004357
0.020000,18.722447,14.002132,0.745609,9.458599,55.604469,-1.032713,0.005901
0.020000,18.933853,14.003562,0.957020,10.570540,55.597062,-0.370335,0.007625
0.020000,19.167487,14.005566,1.190662,11.682126,55.579303,-0.887954,0.009529
0.020000,19.423344,14.008271,1.446533,12.793533,55.570332,-0.448581,0.011613
0.020000,19.701424,14.011815,1.724635,13.905130,55.579860,0.476396,0.013876
0.020000,20.001687,14.016348,2.024934,15.014906,55.488814,-4.552286,0.016317
0.020000,20.324158,14.022033,2.347454,16.126039,55.556656,3.392099,0.018936
0.020000,20.668790,14.029042,2.692158,17.235175,55.456807,-4.992453,0.021731
0.020000,21.035575,14.037559,3.059041,18.344152,55.448845,-0.398110,0.024703
0.020000,21.424495,14.047781,3.448095,19.452727,55.428727,-1.005864,0.027850
0.020000,21.835529,14.059914,3.859309,20.560662,55.396779,-1.597414,0.031170
0.020000,22.268649,14.074177,4.292663,21.667729,55.353347,-2.171615,0.034664
0.020000,22.723820,14.090796,4.748137,22.773705,55.298799,-2.727376,0.038328
0.020000,23.201002,14.110011,5.225707,23.878464,55.237928,-3.043564,0.042163
0.020000,23.700184,14.132072,5.725376,24.983457,55.249660,0.586604,0.046166
0.020000,24.221294,14.157236,6.247093,26.085877,55.120991,-6.433447,0.050336
0.020000,24.764301,14.185772,6.790849,27.187770,55.094647,-1.317191,0.054670
0.020000,25.329155,14.217958,7.356620,28.288542,55.038596,-2.802549,0.059167
0.020000,25.915793,14.254080,7.944368,29.387432,54.944490,-4.705325,0.063825
0.020000,26.524152,14.294434,8.554064,30.484797,54.868258,-3.811578,0.068641
0.020000,27.154166,14.339321,9.185675,31.580560,54.788163,-4.004752,0.073612
0.020000,27.805769,14.389053,9.839174,32.674932,54.718596,-3.478380,0.078736
0.020000,28.478865,14.443948,10.514505,33.766535,54.580141,-6.922744,0.084010
0.020000,29.173380,14.504329,11.211639,34.856712,54.508883,-3.562866,0.089430
0.020000,29.889206,14.570526,11.930519,35.944010,54.364885,-7.199912,0.094993
0.020000,30.626257,14.642875,12.671113,37.029674,54.283180,-4.085262,0.100696
0.020000,31.384416,14.721716,13.433360,38.112357,54.134164,-7.450812,0.106534
0.020000,32.163565,14.807392,14.217206,39.192292,53.996761,-6.870117,0.112503
0.020000,32.963581,14.900251,15.022592,40.269341,53.852464,-7.214874,0.118599
0.020000,33.784336,15.000642,15.849465,41.343629,53.714358,-6.905285,0.124817
0.020000,34.625689,15.108918,16.697756,42.414543,53.545725,-8.431635,0.131153
0.020000,35.487483,15.225428,17.567390,43.481729,53.359286,-9.321976,0.137600
0.020000,36.369577,15.350527,18.458311,44.546027,53.214892,-7.219672,0.144154
0.020000,37.271796,15.484565,19.370432,45.606054,53.001351,-10.677095,0.150808
0.020000,38.193970,15.627891,20.303677,46.662267,52.810687,-9.533179,0.157558
0.020000,39.135921,15.780852,21.257967,47.714479,52.610577,-10.005477,0.164395
0.020000,40.097462,15.943790,22.233216,48.762433,52.397676,-10.645051,0.171315
0.020000,41.078397,16.117044,23.229334,49.805898,52.173276,-11.220011,0.178309
0.020000,42.078523,16.300946,24.246227,50.844671,51.938629,-11.732345,0.185372
0.020000,43.097635,16.495822,25.283804,51.878850,51.708981,-11.482393,0.192495
0.020000,44.135515,16.701989,26.341963,52.907948,51.454909,-12.703608,0.199671
0.020000,45.191945,16.919759,27.420605,53.932076,51.206382,-12.426346,0.206892
0.020000,46.266696,17.149429,28.519621,54.950826,50.937474,-13.445399,0.214150
0.020000,47.359537,17.391290,29.638906,55.964258,50.671607,-13.293357,0.221437
0.020000,48.470235,17.645619,30.778350,56.972184,50.396325,-13.764114,0.228745
0.020000,49.598549,17.912681,31.937839,57.974447,50.113115,-14.160490,0.236064
0.020000,50.744237,18.192728,33.117257,58.970914,49.823362,-14.487659,0.243385
0.020000,51.907054,18.485998,34.316487,59.961486,49.528637,-14.736238,0.250701
0.020000,53.086757,18.792713,35.535410,60.946165,49.233930,-14.735341,0.258001
0.020000,54.283098,19.113081,36.773903,61.924665,48.924996,-15.446723,0.265276
0.020000,55.495831,19.447289,38.031845,62.897061,48.619799,-15.259849,0.272516
0.020000,56.724710,19.795513,39.309109,63.863207,48.307325,-15.623720,0.279713
0.020000,57.969493,20.157904,40.605570,64.823058,47.992505,-15.740984,0.286856
0.020000,59.229938,20.534600,41.921101,65.776562,47.675238,-15.863332,0.293935
0.020000,60.505810,20.925716,43.255575,66.723680,47.355904,-15.966728,0.300942
0.020000,61.796874,21.331348,44.608861,67.664335,47.032752,-16.157562,0.307865
0.020000,63.102904,21.751573,45.980832,68.598548,46.710622,-16.106522,0.314695
0.020000,64.423681,22.186444,47.371359,69.526312,46.388196,-16.121321,0.321422
0.020000,65.758988,22.635996,48.780309,70.447524,46.060631,-16.378219,0.328036
0.020000,67.108620,23.100238,50.207554,71.362253,45.736426,-16.210240,0.334527
0.020000,68.472381,23.579162,51.652964,72.270503,45.412525,-16.195046,0.340885
0.020000,69.850081,24.072732,53.116409,73.172232,45.086409,-16.305840,0.347100
0.020000,71.241544,24.580892,54.597758,74.067456,44.761218,-16.259551,0.353162
0.020000,72.646602,25.103563,56.096882,74.956202,44.437305,-16.195648,0.359061
0.020000,74.065101,25.640640,57.613652,75.838499,44.114826,-16.123911,0.364786
0.020000,75.496895,26.191995,59.147935,76.714170,43.783585,-16.562074,0.370329
0.020000,76.941856,26.757477,60.699607,77.583561,43.469525,-15.702989,0.375679
0.020000,78.399864,27.336909,62.268533,78.446307,43.137302,-16.611177,0.380826
0.020000,79.870819,27.930088,63.854587,79.302718,42.820571,-15.836533,0.385760
0.020000,81.354628,28.536789,65.457639,80.152603,42.494223,-16.317395,0.390471
0.020000,82.851217,29.156757,67.077559,80.995967,42.168221,-16.300105,0.394949
0.020000,84.360525,29.789713,68.714215,81.832810,41.842166,-16.302761,0.399184
0.020000,85.882506,30.435351,70.367477,82.663120,41.515483,-16.334142,0.403167
0.020000,87.417132,31.093339,72.037215,83.486869,41.187440,-16.402166,0.406886
0.020000,88.964386,31.763315,73.723294,84.303985,40.855783,-16.582854,0.410333
0.020000,90.524268,32.444890,75.425580,85.114287,40.515144,-17.031919,0.413495
0.020000,92.096796,33.137646,77.143939,85.917927,40.181989,-16.657778,0.416364
0.020000,93.682001,33.841136,78.878231,86.714633,39.835303,-17.334258,0.418927
0.020000,95.279928,34.554880,80.628318,87.504314,39.484058,-17.562264,0.421176
0.020000,96.890641,35.278369,82.394056,88.286928,39.130686,-17.668614,0.423098
0.020000,98.514217,36.011060,84.175302,89.062275,38.767365,-18.166029,0.424683
0.020000,100.150748,36.752379,85.971906,89.830205,38.396453,-18.545624,0.425918
0.020000,101.800339,37.501715,87.783716,90.590513,38.015416,-19.051842,0.426793
0.020000,103.463113,38.258422,89.610577,91.343066,37.627641,-19.388726,0.427296
0.020000,105.139203,39.021818,91.452329,92.087607,37.227045,-20.029845,0.427414
0.020000,106.828756,39.791183,93.308808,92.823915,36.815397,-20.582383,0.427134
0.020000,108.531933,40.565755,95.179843,93.551754,36.391952,-21.172256,0.426443
0.020000,110.248904,41.344734,97.065260,94.270845,35.954588,-21.868209,0.425329
0.020000,111.979852,42.127273,98.964878,94.980925,35.503967,-22.531017,0.423776
