dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.000000,105.000000,0.007650,0.764980,38.249008,1912.450383,0.000000
0.020000,25.000000,105.000000,0.007650,0.000000,-38.249008,-3824.900766,0.000000
0.020000,25.058447,105.000000,0.066097,2.922371,146.118550,9218.377873,0.000000
0.020000,25.150245,105.000000,0.157895,4.589881,83.375496,-3137.152681,0.000000
0.020000,25.272642,105.000000,0.280292,6.119841,76.498015,-343.874042,0.000000
0.020000,25.425638,105.000000,0.433288,7.649802,76.498015,0.000000,0.000000
0.020000,25.609233,105.000000,0.616883,9.179762,76.498015,-0.000000,0.000000
0.020000,25.823428,105.000000,0.831077,10.709722,76.498015,0.000000,0.000000
0.020000,26.068221,105.000000,1.075871,12.239682,76.498015,-0.000000,0.000000
0.020000,26.343614,105.000000,1.351264,13.769643,76.498015,0.000000,0.000000
0.020000,26.649606,105.000000,1.657256,15.299603,76.498015,-0.000000,0.000000
0.020000,26.986197,105.000000,1.993847,16.829563,76.498015,0.000000,0.000000
0.020000,27.353388,105.000000,2.361038,18.359524,76.498015,0.000000,0.000000
0.020000,27.751178,105.000000,2.758827,19.889484,76.498015,-0.000000,0.000000
0.020000,28.179566,105.000000,3.187216,21.419444,76.498015,0.000000,0.000000
0.020000,28.638555,105.000000,3.646204,22.949405,76.498015,-0.000000,0.000000
0.020000,29.128142,105.000000,4.135792,24.479365,76.498015,0.000000,0.000000
0.020000,29.648328,105.000000,4.655978,26.009325,76.498015,0.000000,0.000000
0.020000,30.199114,105.000000,5.206764,27.539286,76.498015,0.000000,0.000000
0.020000,30.780499,105.000000,5.788149,29.069246,76.498015,-0.000000,0.000000
0.020000,31.392483,105.000000,6.400133,30.599206,76.498015,0.000000,0.000000
0.020000,32.035066,105.000000,7.042716,32.129166,76.498015,0.000000,0.000000
0.020000,32.708249,105.000000,7.715899,33.659127,76.498015,-0.000000,0.000000
0.020000,33.412031,105.000000,8.419680,35.189087,76.498015,0.000000,0.000000
0.020000,34.146412,105.000000,9.154061,36.719047,76.498015,0.000000,0.000000
0.020000,34.911392,105.000000,9.919042,38.249008,76.498015,-0.000000,0.000000
0.020000,35.706971,105.000000,10.714621,39.778968,76.498015,0.000000,0.000000
0.020000,36.533150,105.000000,11.540800,41.308928,76.498015,0.000000,0.000000
0.020000,37.389927,105.000000,12.397577,42.838889,76.498015,0.000000,0.000000
0.020000,38.277304,105.000000,13.284954,44.368849,76.498015,-0.000000,0.000000
0.020000,39.195281,105.000000,14.202930,45.898809,76.498015,0.000000,0.000000
0.020000,40.143856,105.000000,15.151506,47.428769,76.498015,0.000000,0.000000
0.020000,41.123031,105.000000,16.130680,48.958730,76.498015,-0.000000,0.000000
0.020000,42.132804,105.000000,17.140454,50.488690,76.498015,0.000000,0.000000
0.020000,43.173177,105.000000,18.180827,52.018650,76.498015,-0.000000,0.000000
0.020000,44.244150,105.000000,19.251799,53.548611,76.498015,0.000000,0.000000
0.020000,45.338071,105.000000,20.345721,54.696081,57.373511,-956.225192,0.000000
0.020000,46.433957,105.000000,21.441607,54.794295,4.910719,-2623.139606,0.000000
0.020000,47.510822,105.000000,22.518472,53.843254,-47.552073,-2623.139606,0.000000
0.020000,48.559052,105.000000,23.566702,52.411508,-71.587296,-1201.761161,0.000000
0.020000,49.576683,105.000000,24.584333,50.881548,-76.498015,-245.535969,0.000000
0.020000,50.563715,105.000000,25.571365,49.351587,-76.498015,0.000000,0.000000
0.020000,51.520148,105.000000,26.527797,47.821627,-76.498015,0.000000,0.000000
0.020000,52.445981,105.000000,27.453631,46.291667,-76.498015,-0.000000,0.000000
0.020000,53.341215,105.000000,28.348865,44.761706,-76.498015,-0.000000,0.000000
0.020000,54.205850,105.000000,29.213500,43.231746,-76.498015,0.000000,0.000000
0.020000,55.039886,105.000000,30.047536,41.701786,-76.498015,-0.000000,0.000000
0.020000,55.843322,105.000000,30.850972,40.171826,-76.498015,0.000000,0.000000
0.020000,56.616160,105.000000,31.623809,38.641865,-76.498015,0.000000,0.000000
0.020000,57.358398,105.000000,32.366047,37.111905,-76.498015,-0.000000,0.000000
0.020000,58.070037,105.000000,33.077686,35.581945,-76.498015,0.000000,0.000000
0.020000,58.751076,105.000000,33.758726,34.051984,-76.498015,-0.000000,0.000000
0.020000,59.401517,105.000000,34.409167,32.522024,-76.498015,0.000000,0.000000
0.020000,60.021358,105.000000,35.029008,30.992064,-76.498015,0.000000,0.000000
0.020000,60.610600,105.000000,35.618250,29.462103,-76.498015,-0.000000,0.000000
0.020000,61.169243,105.000000,36.176893,27.932143,-76.498015,-0.000000,0.000000
0.020000,61.697287,105.000000,36.704936,26.402183,-76.498015,0.000000,0.000000
0.020000,62.194731,105.000000,37.202381,24.872222,-76.498015,-0.000000,0.000000
0.020000,62.661576,105.000000,37.669226,23.342262,-76.498015,0.000000,0.000000
0.020000,63.097822,105.000000,38.105472,21.812302,-76.498015,-0.000000,0.000000
0.020000,63.503469,105.000000,38.511119,20.282342,-76.498015,0.000000,0.000000
0.020000,63.878517,105.000000,38.886167,18.752381,-76.498015,0.000000,0.000000
0.020000,64.222965,105.000000,39.230615,17.222421,-76.498015,-0.000000,0.000000
0.020000,64.536814,105.000000,39.544464,15.692461,-76.498015,0.000000,0.000000
0.020000,64.820064,105.000000,39.827714,14.162500,-76.498015,0.000000,0.000000
0.020000,65.072715,105.000000,40.080365,12.632540,-76.498015,-0.000000,0.000000
0.020000,65.294767,105.000000,40.302417,11.102580,-76.498015,0.000000,0.000000
0.020000,65.486219,105.000000,40.493869,9.572619,-76.498015,0.000000,0.000000
0.020000,65.647072,105.000000,40.654722,8.042659,-76.498015,-0.000000,0.000000
0.020000,65.777326,105.000000,40.784976,6.512699,-76.498015,0.000000,0.000000
0.020000,65.876981,105.000000,40.884631,4.982738,-76.498015,-0.000000,0.000000
0.020000,65.946037,105.000000,40.953686,3.452778,-76.498015,0.000000,0.000000
0.020000,65.984493,105.000000,40.992143,1.922818,-76.498015,-0.000000,0.000000
0.020000,65.998036,105.000000,41.005686,0.677133,-62.284231,710.689222,0.000000
0.020000,66.000000,105.000000,41.007650,0.098214,-28.945943,1666.914414,0.000000
0.020000,66.000000,105.000000,41.007650,0.000000,-4.910719,1201.761161,0.000000
