dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,119.999145,131.000000,0.001744,0.174366,8.718292,435.914599,0.000066
0.020000,119.999418,131.000000,0.002016,0.013639,-8.036325,-837.730860,0.000045
0.020000,120.000933,131.000000,0.003532,0.075759,3.105982,557.115336,6.283183
0.020000,120.029943,130.999999,0.032542,1.450512,68.737634,3281.582620,6.283097
0.020000,120.075306,130.999992,0.077905,2.268153,40.882081,-1392.777665,6.282961
0.020000,120.140703,130.999970,0.143302,3.269854,50.085038,460.147882,6.282759
0.020000,120.229857,130.999920,0.232455,4.457675,59.391041,465.300147,6.282473
0.020000,120.346547,130.999814,0.349146,5.834500,68.841279,472.511891,6.282081
0.020000,120.492799,130.999615,0.495398,7.312628,73.906382,253.255147,6.281561
0.020000,120.668875,130.999271,0.671474,8.803787,74.557954,32.578584,6.280893
0.020000,120.875086,130.998712,0.877686,10.310614,75.341337,39.169158,6.280053
0.020000,121.111800,130.997849,1.114401,11.835765,76.257565,45.811396,6.279012
0.020000,121.379436,130.996564,1.382040,13.381946,77.309021,52.572813,6.277739
0.020000,121.678467,130.994708,1.681078,14.951861,78.495771,59.337492,6.276197
0.020000,122.009423,130.992093,2.012043,16.548293,79.821623,66.292593,6.274344
0.020000,122.372886,130.988484,2.375525,18.174068,81.288710,73.354352,6.272137
0.020000,122.769498,130.983590,2.772167,19.832090,82.901126,80.620836,6.269524
0.020000,123.199954,130.977057,3.202673,21.525318,84.661386,88.012964,6.266453
0.020000,123.665012,130.968451,3.667810,23.256849,86.576578,95.759637,6.262864
0.020000,124.165483,130.957248,4.168407,25.029837,88.649402,103.641183,6.258693
0.020000,124.702241,130.942820,4.705358,26.847592,90.887728,111.916287,6.253872
0.020000,125.276216,130.924416,5.279629,28.713512,93.295996,120.413392,6.248326
0.020000,125.888397,130.901143,5.892251,30.631138,95.881294,129.264917,6.241976
0.020000,126.539825,130.871947,6.544334,32.604109,98.648571,138.363844,6.234736
0.020000,127.231593,130.835586,7.237057,34.636157,101.602374,147.690183,6.226516
0.020000,127.964836,130.790605,7.971677,36.731034,104.743839,157.073205,6.217220
0.020000,128.740717,130.735308,8.749527,38.892484,108.072524,166.434288,6.206744
0.020000,129.560417,130.667722,9.572008,41.124059,111.578772,175.312392,6.194981
0.020000,130.425104,130.585570,10.440589,43.429042,115.249114,183.517104,6.181817
0.020000,131.335905,130.486228,11.356792,45.810141,119.054981,190.293327,6.167137
0.020000,132.293861,130.366696,12.322177,48.269242,122.955050,195.003469,6.150819
0.020000,133.299869,130.223563,13.338316,50.806970,126.886359,196.565436,6.132742
0.020000,134.354609,130.052980,14.406760,53.422212,130.762103,193.787184,6.112788
0.020000,135.458447,129.850645,15.528990,56.111471,134.462956,185.042686,6.090842
0.020000,136.611330,129.611802,16.706353,58.868175,137.835219,168.613124,6.066801
0.020000,137.812646,129.331266,17.939991,61.681862,140.684323,142.455198,6.040576
0.020000,139.061080,129.003481,19.230739,64.537407,142.777294,104.648559,6.012104
0.020000,140.354455,128.622619,20.579025,67.414310,143.845130,53.391784,5.981351
0.020000,141.689582,128.182732,21.984750,70.286273,143.598150,-12.348976,5.948325
0.020000,143.062129,127.677955,23.447175,73.121235,141.748088,-92.503104,5.913082
0.020000,144.466548,127.102765,24.964816,75.882069,138.041698,-185.319490,5.875737
0.020000,145.896068,126.452272,26.535380,78.528150,132.304079,-286.880964,5.836466
0.020000,147.342798,125.722528,28.155736,81.017815,124.483242,-391.041831,5.795510
0.020000,148.797937,124.910805,29.821966,83.311516,114.685056,-489.909322,5.753171
0.020000,150.073497,124.132666,31.316139,74.708665,-430.142563,-27241.380936,5.719643
0.020000,151.396295,123.267319,32.896841,79.035091,216.321312,32323.193737,5.688179
