dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.000000,118.000000,0.004989,0.498901,24.945071,1247.253556,6.282416
0.020000,66.000000,118.000000,0.019956,0.997803,24.945071,0.000000,6.282576
0.020000,66.000000,118.000000,0.044901,1.496704,24.945071,0.000000,6.282843
0.020000,66.002951,118.000000,0.079824,1.995606,24.945071,-0.000000,0.000032
0.020000,66.047852,118.000012,0.124725,2.494507,24.945071,0.000000,0.000511
0.020000,66.102731,118.000056,0.179605,2.993409,24.945071,0.000000,0.001095
0.020000,66.167588,118.000150,0.244462,3.492310,24.945071,0.000000,0.001784
0.020000,66.242423,118.000313,0.319297,3.991211,24.945071,-0.000000,0.002576
0.020000,66.327236,118.000569,0.404110,4.490113,24.945071,0.000000,0.003470
0.020000,66.422026,118.000945,0.498901,4.989014,24.945071,0.000000,0.004465
0.020000,66.526794,118.001470,0.603671,5.487916,24.945071,0.000000,0.005560
0.020000,66.641539,118.002177,0.718418,5.986817,24.945071,-0.000000,0.006752
0.020000,66.766262,118.003099,0.843143,6.485718,24.945071,0.000000,0.008041
0.020000,66.900960,118.004276,0.977847,6.984620,24.945071,0.000000,0.009425
0.020000,67.045633,118.005746,1.122528,7.483521,24.945071,0.000000,0.010900
0.020000,67.200282,118.007553,1.277188,7.982423,24.945071,-0.000000,0.012466
0.020000,67.364905,118.009742,1.441825,8.481324,24.945071,0.000000,0.014120
0.020000,67.539502,118.012360,1.616441,8.980226,24.945071,-0.000000,0.015860
0.020000,67.724069,118.015456,1.801034,9.479127,24.945071,0.000000,0.017683
0.020000,67.918607,118.019081,1.995606,9.978028,24.945071,-0.000000,0.019585
0.020000,68.123113,118.023290,2.200155,10.476930,24.945071,0.000000,0.021565
0.020000,68.337585,118.028137,2.414683,10.975831,24.945071,-0.000000,0.023619
0.020000,68.562023,118.033678,2.639189,11.474733,24.945071,-0.000000,0.025745
0.020000,68.796422,118.039972,2.873672,11.973634,24.945071,0.000000,0.027938
0.020000,69.040780,118.047077,3.118134,12.472536,24.945071,0.000000,0.030195
0.020000,69.295095,118.055054,3.372574,12.971437,24.945071,0.000000,0.032514
0.020000,69.559362,118.063964,3.636991,13.470338,24.945071,0.000000,0.034889
0.020000,69.833579,118.073869,3.911387,13.969240,24.945071,0.000000,0.037317
0.020000,70.117741,118.084832,4.195761,14.468141,24.945071,-0.000000,0.039794
0.020000,70.411845,118.096914,4.490113,14.967043,24.945071,0.000000,0.042316
0.020000,70.715886,118.110179,4.794443,15.465944,24.945071,-0.000000,0.044879
0.020000,71.029858,118.124690,5.108751,15.964846,24.945071,-0.000000,0.047478
0.020000,71.353758,118.140508,5.433036,16.463747,24.945071,0.000000,0.050109
0.020000,71.687580,118.157696,5.767300,16.962648,24.945071,0.000000,0.052767
0.020000,72.031318,118.176314,6.111542,17.461550,24.945071,-0.000000,0.055447
0.020000,72.384967,118.196423,6.465762,17.960451,24.945071,0.000000,0.058144
0.020000,72.748520,118.218082,6.829960,18.459353,24.945071,0.000000,0.060854
0.020000,73.121972,118.241347,7.204137,18.958254,24.945071,0.000000,0.063570
0.020000,73.505316,118.266275,7.588291,19.457155,24.945071,-0.000000,0.066289
0.020000,73.898546,118.292919,7.982423,19.956057,24.945071,0.000000,0.069004
0.020000,74.301657,118.321330,8.386533,20.454958,24.945071,0.000000,0.071710
0.020000,74.714640,118.351557,8.800621,20.953860,24.945071,0.000000,0.074401
0.020000,75.137490,118.383646,9.224687,21.452761,24.945071,-0.000000,0.077071
0.020000,75.570201,118.417641,9.658732,21.951663,24.945071,0.000000,0.079716
0.020000,76.012766,118.453581,10.102754,22.450564,24.945071,-0.000000,0.082328
0.020000,76.465180,118.491501,10.556754,22.949465,24.945071,0.000000,0.084902
0.020000,76.927436,118.531435,11.020732,23.448367,24.945071,0.000000,0.087432
0.020000,77.399530,118.573411,11.494689,23.947268,24.945071,-0.000000,0.089911
0.020000,77.881457,118.617451,11.978623,24.446170,24.945071,0.000000,0.092333
0.020000,78.373210,118.663575,12.472536,24.945071,24.945071,0.000000,0.094691
0.020000,78.874788,118.711797,12.976426,25.443973,24.945071,-0.000000,0.096980
0.020000,79.386186,118.762124,13.490294,25.942874,24.945071,0.000000,0.099192
0.020000,79.907401,118.814561,14.014141,26.441775,24.945071,0.000000,0.101320
0.020000,80.438432,118.869102,14.547965,26.940677,24.945071,-0.000000,0.103358
0.020000,80.979277,118.925740,15.091768,27.439578,24.945071,0.000000,0.105299
0.020000,81.529936,118.984457,15.645549,27.938480,24.945071,0.000000,0.107136
0.020000,82.090409,119.045230,16.209307,28.437381,24.945071,-0.000000,0.108861
0.020000,82.660699,119.108030,16.783044,28.936282,24.945071,0.000000,0.110467
0.020000,83.240807,119.172816,17.366759,29.435184,24.945071,0.000000,0.111946
0.020000,83.830738,119.239544,17.960451,29.934085,24.945071,0.000000,0.113292
0.020000,84.430497,119.308158,18.564122,30.432987,24.945071,-0.000000,0.114495
0.020000,85.040090,119.378594,19.177771,30.931888,24.945071,0.000000,0.115550
0.020000,85.659524,119.450780,19.801397,31.430790,24.945071,-0.000000,0.116446
0.020000,86.288810,119.524634,20.435002,31.929691,24.945071,0.000000,0.117177
0.020000,86.927958,119.600063,21.078585,32.428592,24.945071,0.000000,0.117734
0.020000,87.576979,119.676963,21.732146,32.927494,24.945071,-0.000000,0.118108
0.020000,88.235887,119.755222,22.395685,33.426395,24.945071,0.000000,0.118291
0.020000,88.904696,119.834712,23.069202,33.925297,24.945071,0.000000,0.118273
0.020000,89.583424,119.915298,23.752697,34.424198,24.945071,-0.000000,0.118047
0.020000,90.272087,119.996829,24.446170,34.923100,24.945071,0.000000,0.117601
0.020000,90.970706,120.079143,25.149621,35.422001,24.945071,0.000000,0.116928
0.020000,91.679300,120.162064,25.863050,35.920902,24.945071,0.000000,0.116017
0.020000,92.397891,120.245401,26.586457,36.419804,24.945071,0.000000,0.114857
0.020000,93.126501,120.328949,27.319842,36.918705,24.945071,-0.000000,0.113440
0.020000,93.865155,120.412487,28.063205,37.417607,24.945071,0.000000,0.111753
0.020000,94.613878,120.495781,28.816546,37.916508,24.945071,0.000000,0.109787
0.020000,95.372693,120.578576,29.579865,38.415410,24.945071,-0.000000,0.107530
0.020000,96.141627,120.660602,30.353163,38.914311,24.945071,0.000000,0.104971
0.020000,96.920706,120.741572,31.136438,39.413212,24.945071,0.000000,0.102098
0.020000,97.709955,120.821178,31.929691,39.912114,24.945071,0.000000,0.098899
0.020000,98.509398,120.899093,32.732922,40.411015,24.945071,0.000000,0.095361
0.020000,99.319059,120.974970,33.546132,40.909917,24.945071,0.000000,0.091472
0.020000,100.138960,121.048442,34.369319,41.408818,24.945071,-0.000000,0.087219
0.020000,100.969122,121.119119,35.202484,41.907719,24.945071,0.000000,0.082588
0.020000,101.809561,121.186586,36.045628,42.406621,24.945071,-0.000000,0.077565
0.020000,102.660291,121.250408,36.898749,42.905522,24.945071,0.000000,0.072137
0.020000,103.521321,121.310124,37.761849,43.404424,24.945071,0.000000,0.066290
0.020000,104.392654,121.365248,38.634926,43.903325,24.945071,0.000000,0.060008
0.020000,105.274291,121.415268,39.517982,44.402227,24.945071,-0.000000,0.053277
0.020000,106.166219,121.459645,40.411015,44.901128,24.945071,0.000000,0.046083
0.020000,107.068422,121.497812,41.314027,45.400029,24.945071,-0.000000,0.038409
0.020000,107.980870,121.529176,42.227016,45.898931,24.945071,0.000000,0.030242
0.020000,108.903524,121.553115,43.149984,46.397832,24.945071,0.000000,0.021566
0.020000,109.836331,121.568977,44.082930,46.896734,24.945071,0.000000,0.012367
0.020000,110.779224,121.576082,45.025853,47.395635,24.945071,0.000000,0.002630
0.020000,111.732119,121.573721,45.978755,47.894537,24.945071,-0.000000,6.275525
0.020000,112.694912,121.561156,46.941635,48.393438,24.945071,0.000000,6.264670
0.020000,113.667479,121.537623,47.914493,48.892339,24.945071,-0.000000,6.253237
0.020000,114.649675,121.502327,48.897328,49.391241,24.945071,0.000000,6.241214
0.020000,115.641327,121.454449,49.890142,49.890142,24.945071,-0.000000,6.228590
0.020000,116.642236,121.393145,50.892934,50.389044,24.945071,0.000000,6.215357
0.020000,117.652172,121.317549,51.905704,50.887945,24.945071,0.000000,6.201507
0.020000,118.670874,121.226775,52.928452,51.386846,24.945071,0.000000,6.187036
