dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.989999,105.000004,0.004989,0.498901,24.945071,1247.253556,6.282416
0.020000,65.992084,105.000002,0.007074,0.104251,-19.732535,-2233.880329,6.282576
0.020000,65.995556,105.000001,0.010546,0.173593,3.467091,1159.981347,6.282843
0.020000,66.003361,105.000000,0.018351,0.390242,10.832452,368.268008,0.000032
0.020000,66.054491,105.000014,0.069481,2.556497,108.312778,4874.016297,0.000511
0.020000,66.116966,105.000064,0.131956,3.123750,28.362636,-3997.507072,0.001095
0.020000,66.190775,105.000170,0.205765,3.690456,28.335329,-1.365380,0.001784
0.020000,66.275905,105.000356,0.290895,4.256522,28.303296,-1.601610,0.002576
0.020000,66.372342,105.000647,0.387332,4.821862,28.266970,-1.816308,0.003470
0.020000,66.480069,105.001075,0.495060,5.386389,28.226375,-2.029766,0.004465
0.020000,66.599068,105.001671,0.614061,5.950020,28.181537,-2.241869,0.005560
0.020000,66.729317,105.002473,0.744312,6.512591,28.128557,-2.649041,0.006752
0.020000,66.870795,105.003520,0.885795,7.074111,28.075990,-2.628356,0.008041
0.020000,67.023476,105.004853,1.038482,7.634348,28.011869,-3.206013,0.009425
0.020000,67.187335,105.006519,1.202348,8.193340,27.949579,-3.114521,0.010900
0.020000,67.362341,105.008564,1.377367,8.750922,27.879091,-3.524378,0.012466
0.020000,67.548465,105.011038,1.563507,9.307010,27.804390,-3.735076,0.014120
0.020000,67.745673,105.013995,1.760737,9.861516,27.725316,-3.953696,0.015860
0.020000,67.953929,105.017488,1.969023,10.414271,27.637746,-4.378477,0.017683
0.020000,68.173198,105.021575,2.188330,10.965346,27.553773,-4.198642,0.019585
0.020000,68.403438,105.026313,2.418619,11.514445,27.454933,-4.942000,0.021565
0.020000,68.644610,105.031763,2.659852,12.061645,27.360030,-4.745175,0.023619
0.020000,68.896668,105.037986,2.911987,12.606761,27.255773,-5.212831,0.025745
0.020000,69.159567,105.045045,3.174981,13.149711,27.147480,-5.414643,0.027938
0.020000,69.433260,105.053003,3.448789,13.690415,27.035232,-5.612444,0.030195
0.020000,69.717696,105.061925,3.733365,14.228797,26.919103,-5.806445,0.032514
0.020000,70.012823,105.071875,4.028659,14.764710,26.795650,-6.172614,0.034889
0.020000,70.318586,105.082920,4.334622,15.298133,26.671123,-6.226379,0.037317
0.020000,70.634929,105.095124,4.651200,15.828915,26.539120,-6.600134,0.039794
0.020000,70.961794,105.108552,4.978341,16.357037,26.406092,-6.651388,0.042316
0.020000,71.299120,105.123269,5.315988,16.882354,26.265873,-7.010966,0.044879
0.020000,71.646845,105.139339,5.664084,17.404796,26.122075,-7.189928,0.047478
0.020000,72.004904,105.156826,6.022570,17.924292,25.974783,-7.364555,0.050109
0.020000,72.373232,105.175790,6.391385,18.440773,25.824075,-7.535430,0.052767
0.020000,72.751758,105.196292,6.770467,18.954080,25.665327,-7.937417,0.055447
0.020000,73.140416,105.218392,7.159752,19.464256,25.508832,-7.824734,0.058144
0.020000,73.539130,105.242145,7.559174,19.971080,25.341202,-8.381487,0.060854
0.020000,73.947830,105.267606,7.968666,20.474612,25.176582,-8.231009,0.063570
0.020000,74.366440,105.294827,8.388160,20.974696,25.004192,-8.619497,0.066289
0.020000,74.794883,105.323856,8.817585,21.471271,24.828784,-8.770417,0.069004
0.020000,75.233082,105.354740,9.256871,21.964279,24.650402,-8.919059,0.071710
0.020000,75.680956,105.387521,9.705944,22.453635,24.467772,-9.131519,0.074401
0.020000,76.138426,105.422237,10.164728,22.939226,24.279557,-9.410747,0.077071
0.020000,76.605409,105.458924,10.633150,23.421100,24.093697,-9.293008,0.079716
0.020000,77.081822,105.497612,11.111132,23.899071,23.898538,-9.757933,0.082328
0.020000,77.567581,105.538327,11.598594,24.373101,23.701525,-9.850674,0.084902
0.020000,78.062600,105.581092,12.095457,24.843167,23.503307,-9.910889,0.087432
0.020000,78.566795,105.625921,12.601640,25.309169,23.300056,-10.162553,0.089911
0.020000,79.080076,105.672826,13.117061,25.771029,23.093031,-10.351240,0.092333
0.020000,79.602357,105.721813,13.641634,26.228669,22.882000,-10.551553,0.094691
0.020000,80.133550,105.772882,14.175277,26.682112,22.672161,-10.491975,0.096980
0.020000,80.673565,105.826025,14.717899,27.131142,22.451492,-11.033441,0.099192
0.020000,81.222311,105.881231,15.269416,27.575838,22.234786,-10.835311,0.101320
0.020000,81.779700,105.938480,15.829737,28.016041,22.010167,-11.230919,0.103358
0.020000,82.345639,105.997745,16.398771,28.451694,21.782620,-11.377344,0.105299
0.020000,82.920038,106.058993,16.976425,28.882732,21.551936,-11.534209,0.107136
0.020000,83.502804,106.122183,17.562607,29.309090,21.317870,-11.703311,0.108861
0.020000,84.093845,106.187267,18.157221,29.730693,21.080143,-11.886360,0.110467
0.020000,84.693068,106.254189,18.760169,30.147413,20.836011,-12.206601,0.111946
0.020000,85.300380,106.322882,19.371354,30.559242,20.591445,-12.228304,0.113292
0.020000,85.915687,106.393274,19.990674,30.966003,20.338070,-12.668743,0.114495
0.020000,86.538894,106.465284,20.618028,31.367685,20.084071,-12.699960,0.115550
0.020000,87.169907,106.538819,21.253311,31.764149,19.823239,-13.041567,0.116446
0.020000,87.808629,106.613780,21.896417,32.155301,19.557583,-13.282786,0.117177
0.020000,88.454964,106.690057,22.547238,32.541034,19.286631,-13.547608,0.117734
0.020000,89.108815,106.767530,23.205662,32.921224,19.009513,-13.855911,0.118108
0.020000,89.770083,106.846068,23.871578,33.295774,18.727524,-14.099453,0.118291
0.020000,90.438668,106.925532,24.544868,33.664540,18.438298,-14.461319,0.118273
0.020000,91.114469,107.005771,25.225416,34.027396,18.142767,-14.776545,0.118047
0.020000,91.797384,107.086621,25.913100,34.384198,17.840116,-15.132517,0.117601
0.020000,92.487307,107.167911,26.607796,34.734803,17.530235,-15.494083,0.116928
0.020000,93.184133,107.249455,27.309377,35.079053,17.212530,-15.885231,0.116017
0.020000,93.887753,107.331056,28.017713,35.416782,16.886411,-16.305948,0.114857
0.020000,94.598055,107.412504,28.732669,35.747816,16.551733,-16.733929,0.113440
0.020000,95.314925,107.493580,29.454110,36.072008,16.209587,-17.107259,0.111753
0.020000,96.038245,107.574048,30.181892,36.389120,15.855619,-17.698445,0.109787
0.020000,96.767894,107.653661,30.915872,36.698991,15.493518,-18.105014,0.107530
0.020000,97.503748,107.732160,31.655900,37.001428,15.121877,-18.582080,0.104971
0.020000,98.245676,107.809269,32.401825,37.296223,14.739760,-19.105839,0.102098
