dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,296.451742,57.881946,0.004000,0.400000,20.000000,1000.000000,3.709234
0.020000,296.455181,57.884139,0.008079,0.203927,-9.803638,-1490.181909,3.709574
0.020000,296.460908,57.887796,0.014874,0.339776,6.792446,829.804210,3.710141
0.020000,296.468109,57.892400,0.023421,0.427331,4.377722,-120.736197,3.710933
0.020000,296.448085,57.879570,0.047202,1.189077,38.087327,1685.480231,3.711952
0.020000,296.423626,57.863859,0.076272,1.453504,13.221335,-1243.299580,3.713196
0.020000,296.394738,57.845247,0.110637,1.718246,13.237121,0.789277,3.714665
0.020000,296.361427,57.823711,0.150304,1.983315,13.253449,0.816430,3.716360
0.020000,296.323703,57.799225,0.195278,2.248711,13.269807,0.817907,3.718278
0.020000,296.281576,57.771760,0.245567,2.514441,13.286481,0.833679,3.720421
0.020000,296.235061,57.741284,0.301177,2.780517,13.303793,0.865584,3.722787
0.020000,296.184168,57.707759,0.362119,3.047101,13.329228,1.271787,3.725375
0.020000,296.128911,57.671145,0.428406,3.314341,13.361987,1.637941,3.728185
0.020000,296.069305,57.631399,0.500049,3.582140,13.389930,1.397135,3.731214
0.020000,296.005366,57.588472,0.577061,3.850607,13.423386,1.672804,3.734463
0.020000,295.937109,57.542314,0.659459,4.119925,13.465863,2.123835,3.737930
0.020000,295.864552,57.492869,0.747262,4.390140,13.510766,2.245141,3.741613
0.020000,295.787713,57.440078,0.840488,4.661313,13.558656,2.394520,3.745511
0.020000,295.706611,57.383879,0.939159,4.933529,13.610774,2.605884,3.749622
0.020000,295.621261,57.324202,1.043304,5.207234,13.685251,3.723845,3.753943
0.020000,295.531686,57.260979,1.152943,5.481961,13.736386,2.556800,3.758473
0.020000,295.437904,57.194133,1.268110,5.758356,13.819740,4.167688,3.763209
0.020000,295.339934,57.123584,1.388838,6.036393,13.901831,4.104546,3.768148
0.020000,295.237797,57.049251,1.515160,6.316137,13.987206,4.268752,3.773288
