dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.000000,68.000000,0.007772,0.777234,38.861685,1943.084239,3.709341
0.020000,290.000000,68.000000,0.038862,2.331701,77.723370,1943.084239,3.710222
0.020000,289.967999,67.979495,0.101040,3.886168,77.723370,0.000000,3.711981
0.020000,289.889565,67.929032,0.194308,5.440636,77.723370,0.000000,3.714617
0.020000,289.785191,67.861425,0.318666,6.995103,77.723370,0.000000,3.718128
0.020000,289.655055,67.776401,0.474113,8.549571,77.723370,-0.000000,3.722509
0.020000,289.499387,67.673624,0.660649,10.104038,77.723370,0.000000,3.727753
0.020000,289.318461,67.552689,0.878274,11.658505,77.723370,-0.000000,3.733855
0.020000,289.112592,67.413131,1.126989,13.212973,77.723370,0.000000,3.740804
0.020000,288.882150,67.254424,1.406793,14.767440,77.723370,0.000000,3.748589
0.020000,288.627560,67.075992,1.717686,16.321908,77.723370,0.000000,3.757195
0.020000,288.349292,66.877202,2.059669,17.876375,77.723370,0.000000,3.766604
0.020000,288.047866,66.657376,2.432741,19.430842,77.723370,0.000000,3.776796
0.020000,287.723856,66.415790,2.836903,20.985310,77.723370,0.000000,3.787745
0.020000,287.377890,66.151692,3.272154,22.539777,77.723370,-0.000000,3.799420
0.020000,287.010643,65.864293,3.738494,24.094245,77.723370,0.000000,3.811789
0.020000,286.622834,65.552785,4.235924,25.648712,77.723370,-0.000000,3.824810
0.020000,286.215235,65.216345,4.764443,27.203179,77.723370,0.000000,3.838438
0.020000,285.788658,64.854147,5.324051,28.757647,77.723370,0.000000,3.852623
0.020000,285.343949,64.465366,5.914748,30.312114,77.723370,-0.000000,3.867306
0.020000,284.881985,64.049191,6.536535,31.866582,77.723370,0.000000,3.882424
0.020000,284.403669,63.604836,7.189412,33.421049,77.723370,0.000000,3.897908
0.020000,283.909914,63.131543,7.873377,34.975516,77.723370,0.000000,3.913684
0.020000,283.401642,62.628600,8.588432,36.529984,77.723370,0.000000,3.929670
0.020000,282.879765,62.095344,9.334577,38.084451,77.723370,-0.000000,3.945782
0.020000,282.345175,61.531169,10.111810,39.638918,77.723370,0.000000,3.961929
0.020000,281.798734,60.935540,10.920133,41.193386,77.723370,-0.000000,3.978018
0.020000,281.241256,60.307992,11.759546,42.747853,77.723370,0.000000,3.993953
0.020000,280.673494,59.648141,12.630048,44.302321,77.723370,0.000000,4.009635
0.020000,280.096126,58.955685,13.531639,45.856788,77.723370,-0.000000,4.024964
0.020000,279.509738,58.230408,14.464319,47.411255,77.723370,0.000000,4.039838
0.020000,278.914811,57.472188,15.428089,48.965723,77.723370,-0.000000,4.054158
0.020000,278.311707,56.680990,16.422948,50.520190,77.723370,0.000000,4.067821
0.020000,277.700654,55.856872,17.448896,52.074658,77.723370,-0.000000,4.080726
0.020000,277.081730,54.999989,18.505934,53.629125,77.723370,0.000000,4.092775
0.020000,276.454856,54.110586,19.594061,55.183592,77.723370,0.000000,4.103867
0.020000,275.819774,53.189008,20.713278,56.738060,77.723370,0.000000,4.113902
0.020000,275.176043,52.235695,21.863584,58.292527,77.723370,-0.000000,4.122781
0.020000,274.523018,51.251192,23.044979,59.846995,77.723370,0.000000,4.130403
0.020000,273.859843,50.236148,24.257464,61.401462,77.723370,0.000000,4.136665
0.020000,273.185436,49.191328,25.501038,62.955929,77.723370,0.000000,4.141461
0.020000,272.498472,48.117622,26.775701,64.510397,77.723370,0.000000,4.144680
0.020000,271.797372,47.016055,28.081453,66.064864,77.723370,0.000000,4.146207
0.020000,271.080284,45.887812,29.418295,67.619332,77.723370,0.000000,4.145918
0.020000,270.349257,44.740803,30.778454,68.396565,38.861685,-1943.084239,4.143699
0.020000,269.614119,43.595428,32.139452,67.703207,-34.667929,-3676.480704,4.139529
0.020000,268.884930,42.471969,33.478810,66.232614,-73.529614,-1943.084239,4.133507
0.020000,268.164666,41.378820,34.787918,64.678147,-77.723370,-209.687774,4.125766
0.020000,267.452410,40.317684,36.065936,63.123680,-77.723370,0.000000,4.116419
0.020000,266.747059,39.289435,37.312865,61.569212,-77.723370,0.000000,4.105574
0.020000,266.047765,38.294832,38.528705,60.014745,-77.723370,0.000000,4.093338
0.020000,265.353924,37.334522,39.713455,58.460277,-77.723370,-0.000000,4.079818
0.020000,264.665161,36.409040,40.867116,56.905810,-77.723370,0.000000,4.065122
0.020000,263.981319,35.518815,41.989687,55.351343,-77.723370,0.000000,4.049362
0.020000,263.302447,34.664158,43.081169,53.796875,-77.723370,0.000000,4.032649
0.020000,262.628780,33.845270,44.141562,52.242408,-77.723370,0.000000,4.015101
0.020000,261.960732,33.062233,45.170866,50.687940,-77.723370,0.000000,3.996835
0.020000,261.298872,32.315010,46.169080,49.133473,-77.723370,0.000000,3.977972
0.020000,260.643911,31.603444,47.136205,47.579006,-77.723370,0.000000,3.958635
0.020000,259.996682,30.927257,48.072240,46.024538,-77.723370,0.000000,3.938946
0.020000,259.358123,30.286053,48.977186,44.470071,-77.723370,0.000000,3.919025
0.020000,258.729252,29.679324,49.851043,42.915603,-77.723370,0.000000,3.898994
0.020000,258.111152,29.106448,50.693810,41.361136,-77.723370,0.000000,3.878967
0.020000,257.504953,28.566707,51.505488,39.806669,-77.723370,0.000000,3.859057
0.020000,256.911806,28.059286,52.286077,38.252201,-77.723370,-0.000000,3.839368
0.020000,256.332875,27.583294,53.035576,36.697734,-77.723370,-0.000000,3.819999
0.020000,255.769313,27.137765,53.753986,35.143267,-77.723370,0.000000,3.801040
0.020000,255.222255,26.721683,54.441307,33.588799,-77.723370,0.000000,3.782574
0.020000,254.692806,26.333987,55.097538,32.034332,-77.723370,0.000000,3.764674
0.020000,254.182020,25.973584,55.722680,30.479864,-77.723370,-0.000000,3.747406
0.020000,253.690906,25.639369,56.316733,28.925397,-77.723370,0.000000,3.730826
0.020000,253.220421,25.330233,56.879696,27.370930,-77.723370,0.000000,3.714981
0.020000,252.771459,25.045077,57.411570,25.816462,-77.723370,-0.000000,3.699912
0.020000,252.344845,24.782816,57.912355,24.261995,-77.723370,0.000000,3.685652
0.020000,251.941348,24.542399,58.382050,22.707527,-77.723370,-0.000000,3.672227
0.020000,251.561673,24.322812,58.820656,21.153060,-77.723370,0.000000,3.659659
0.020000,251.206456,24.123082,59.228172,19.598593,-77.723370,-0.000000,3.647962
0.020000,250.876288,23.942297,59.604600,18.044125,-77.723370,-0.000000,3.637148
0.020000,250.571682,23.779592,59.949937,16.489658,-77.723370,0.000000,3.627225
0.020000,250.293107,23.634167,60.264186,14.935190,-77.723370,-0.000000,3.618197
0.020000,250.040983,23.505290,60.547345,13.380723,-77.723370,0.000000,3.610068
0.020000,249.815661,23.392287,60.799415,11.826256,-77.723370,-0.000000,3.602836
0.020000,249.617465,23.294566,61.020395,10.271788,-77.723370,0.000000,3.596503
0.020000,249.446660,23.211595,61.210286,8.717321,-77.723370,-0.000000,3.591067
0.020000,249.303471,23.142921,61.369088,7.162853,-77.723370,0.000000,3.586525
0.020000,249.188094,23.088165,61.496800,5.608386,-77.723370,-0.000000,3.582875
0.020000,249.100672,23.047018,61.593423,4.053919,-77.723370,-0.000000,3.580116
0.020000,249.041313,23.019248,61.658957,2.499451,-77.723370,0.000000,3.578246
0.020000,249.010092,23.004696,61.693402,0.944984,-77.723370,0.000000,3.577263
0.020000,249.000761,23.000354,61.703690,0.083875,-43.055440,1733.396465,3.576970
0.020000,249.000000,23.000000,61.704529,0.000000,-4.193755,1943.084239,3.576946
0.020000,249.000000,23.000000,61.704529,0.000000,0.000000,209.687774,3.576946
