dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,283.011766,78.961961,0.000285,0.028456,1.422777,71.138829,3.709129
0.020000,283.011413,78.961736,0.000704,0.020958,-0.374858,-89.881726,3.709161
0.020000,283.010618,78.961229,0.001647,0.047155,1.309816,84.233710,3.709234
0.020000,283.009204,78.960327,0.003323,0.083825,1.833513,26.184849,3.709363
0.020000,283.006996,78.958919,0.005943,0.130962,2.356858,26.167218,3.709564
0.020000,283.003817,78.956889,0.009714,0.188555,2.879623,26.138290,3.709855
0.020000,282.999493,78.954127,0.014845,0.256585,3.401526,26.095151,3.710249
0.020000,282.993847,78.950517,0.021546,0.335030,3.922223,26.034804,3.710765
0.020000,282.971495,78.936204,0.048089,1.327134,49.605237,2284.150708,3.711417
0.020000,282.938734,78.915195,0.087007,1.945914,30.938982,-933.312741,3.712222
0.020000,282.899120,78.889741,0.134094,2.354348,20.421705,-525.863833,3.713195
0.020000,282.852016,78.859404,0.190121,2.801378,22.351521,96.490783,3.714353
0.020000,282.796782,78.823732,0.255873,3.287581,24.310149,97.931415,3.715712
0.020000,282.732798,78.782276,0.332114,3.812027,26.222266,95.605861,3.717286
0.020000,282.659442,78.734572,0.419616,4.375140,28.155658,96.669570,3.719092
0.020000,282.576105,78.680147,0.519151,4.976728,30.079422,96.188224,3.721145
0.020000,282.482186,78.618519,0.631485,5.616696,31.998385,95.948122,3.723460
0.020000,282.377090,78.549187,0.757390,6.295266,33.928474,96.504472,3.726053
0.020000,282.260250,78.471648,0.897617,7.011363,35.804884,93.820516,3.728938
0.020000,282.131103,78.385374,1.052930,7.765631,37.713371,95.424303,3.732130
0.020000,281.989103,78.289825,1.224085,8.557738,39.605363,94.599616,3.735643
0.020000,281.833724,78.184440,1.411831,9.387294,41.477826,93.623161,3.739490
0.020000,281.664467,78.068646,1.616907,10.253803,43.325407,92.379042,3.743686
0.020000,281.480854,77.941847,1.840047,11.157021,45.160906,91.774959,3.748243
0.020000,281.282430,77.803426,2.081982,12.096726,46.985263,91.217834,3.753173
0.020000,281.068770,77.652743,2.343432,13.072506,48.789028,90.188239,3.758487
0.020000,280.839484,77.489139,2.625103,14.083537,50.551535,88.125388,3.764197
0.020000,280.594219,77.311938,2.927683,15.129025,52.274383,86.142405,3.770312
0.020000,280.332655,77.120430,3.251861,16.208882,53.992843,85.923001,3.776840
0.020000,280.054517,76.913895,3.598296,17.321756,55.643736,82.544644,3.783789
0.020000,279.759574,76.691587,3.967636,18.467016,57.262968,80.961564,3.791165
0.020000,279.447652,76.452745,4.360498,19.643111,58.804757,77.089490,3.798971
0.020000,279.118618,76.196588,4.777487,20.849450,60.316941,75.609191,3.807210
0.020000,278.772402,75.922320,5.219175,22.084403,61.747636,71.534733,3.815883
0.020000,278.408994,75.629138,5.686103,23.346372,63.098464,67.541410,3.824987
0.020000,278.028734,75.316469,6.178403,24.615031,63.432975,16.725534,3.834510
0.020000,277.632305,74.983991,6.695798,25.869742,62.735527,-34.872380,3.844431
0.020000,277.220429,74.631405,7.237977,27.108955,61.960681,-38.742332,3.854727
0.020000,276.793861,74.258432,7.804607,28.331490,61.126720,-41.698051,3.865372
0.020000,276.353390,73.864823,8.395322,29.535718,60.211429,-45.764550,3.876336
0.020000,275.899833,73.450365,9.009722,30.720042,59.216170,-49.762921,3.887591
0.020000,275.434301,73.015139,9.647016,31.864657,57.230761,-99.270463,3.899096
0.020000,274.958170,72.559532,10.306014,32.949902,54.262234,-148.426333,3.910805
0.020000,274.472796,72.083995,10.985516,33.975120,51.260938,-150.064799,3.922668
0.020000,273.979499,71.589037,11.684318,34.940102,48.249101,-150.591865,3.934636
0.020000,273.479563,71.075233,12.401208,35.844521,45.220913,-151.409391,3.946661
0.020000,272.974220,70.543213,13.134977,36.688417,42.194836,-151.303834,3.958692
0.020000,272.464648,69.993671,13.884417,37.472020,39.180124,-150.735631,3.970682
0.020000,271.951962,69.427349,14.648333,38.195771,36.187550,-149.628709,3.982581
0.020000,271.437211,68.845043,15.425539,38.860297,33.226312,-148.061867,3.994342
0.020000,270.921368,68.247594,16.214867,39.466426,30.306463,-145.992463,4.005919
0.020000,270.405333,67.635882,17.015170,40.015132,27.435297,-143.558315,4.017268
0.020000,269.889924,67.010822,17.825321,40.507574,24.622085,-140.660608,4.028346
0.020000,269.375882,66.373359,18.644222,40.945040,21.873273,-137.440597,4.039112
0.020000,268.863866,65.724460,19.470799,41.328849,19.190476,-134.139850,4.049527
0.020000,268.354455,65.065112,20.304009,41.660522,16.583632,-130.342177,4.059555
0.020000,267.848150,64.396314,21.142840,41.941511,14.049487,-126.707266,4.069162
0.020000,267.345377,63.719071,21.986307,42.173383,11.593597,-122.794477,4.078315
0.020000,266.846491,63.034396,22.833460,42.357629,9.212258,-119.066978,4.086985
0.020000,266.351776,62.343300,23.683376,42.495781,6.907624,-115.231688,4.095146
0.020000,265.861456,61.646789,24.535162,42.589336,4.677751,-111.493620,4.102772
0.020000,265.375694,60.945866,25.387957,42.639720,2.519212,-107.926998,4.109841
0.020000,264.894600,60.241525,26.240921,42.648216,0.424786,-104.721268,4.116332
0.020000,264.418234,59.534747,27.093247,42.616279,-1.596839,-101.081257,4.122227
0.020000,263.946617,58.826505,27.944146,42.544989,-3.564531,-98.384618,4.127508
0.020000,263.479728,58.117756,28.792857,42.435542,-5.472315,-95.389180,4.132161
0.020000,263.017516,57.409445,29.638638,42.289021,-7.326068,-92.687638,4.136173
0.020000,262.559903,56.702501,30.480765,42.106388,-9.131662,-90.279718,4.139532
0.020000,262.106790,55.997839,31.318537,41.888568,-10.890999,-87.966865,4.142228
0.020000,261.658058,55.296357,32.151265,41.636421,-12.607311,-85.815593,4.144251
0.020000,261.213578,54.598939,32.978280,41.350755,-14.283342,-83.801530,4.145593
0.020000,260.773214,53.906451,33.798927,41.032329,-15.921269,-81.896382,4.146249
0.020000,260.336824,53.219742,34.612564,40.681876,-17.522645,-80.068797,4.146213
