dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.806060,40.809164,0.002654,0.265354,13.267710,663.385505,2.356026
0.020000,290.806273,40.808951,0.002954,0.015036,-12.515901,-1289.180541,2.356049
0.020000,290.806750,40.808474,0.003629,0.033750,0.935711,672.580570,2.356101
0.020000,290.807542,40.807682,0.004749,0.056001,1.112550,8.841948,2.356187
0.020000,290.771731,40.843488,0.055390,2.532058,123.802832,6134.514124,2.356307
0.020000,290.722464,40.892737,0.125052,3.483053,47.549727,-3812.655277,2.356459
0.020000,290.662219,40.952939,0.210220,4.258443,38.769512,-439.010736,2.356644
0.020000,290.590979,41.024100,0.310914,5.034666,38.811150,2.081912,2.356859
0.020000,290.508722,41.106227,0.427150,5.811825,38.857957,2.340333,2.357103
0.020000,290.415426,41.199329,0.558953,6.590158,38.916666,2.935469,2.357374
0.020000,290.311064,41.303414,0.706348,7.369724,38.978291,3.081237,2.357671
0.020000,290.195607,41.418493,0.869362,8.150718,39.049695,3.570227,2.357991
0.020000,290.069023,41.544580,1.048027,8.933265,39.127332,3.881809,2.358332
0.020000,289.931278,41.681688,1.242379,9.717554,39.214491,4.357955,2.358690
0.020000,289.782335,41.829833,1.452452,10.503679,39.306205,4.585724,2.359064
0.020000,289.622156,41.989034,1.678289,11.291823,39.407210,5.050229,2.359451
0.020000,289.450700,42.159309,1.919931,12.082106,39.514167,5.347860,2.359846
0.020000,289.267924,42.340682,2.177425,12.874690,39.629171,5.750221,2.360246
0.020000,289.073784,42.533176,2.450819,13.669719,39.751483,6.115605,2.360649
0.020000,288.868235,42.736820,2.740165,14.467310,39.879560,6.403836,2.361048
0.020000,288.651230,42.951644,3.045518,15.267647,40.016824,6.863189,2.361442
0.020000,288.422721,43.177680,3.366935,16.070855,40.160423,7.179958,2.361824
0.020000,288.182659,43.414966,3.704477,16.877081,40.311286,7.543165,2.362190
0.020000,287.930995,43.663541,4.058206,17.686449,40.468420,7.856655,2.362536
0.020000,287.667681,43.923451,4.428189,18.499146,40.634819,8.319991,2.362857
0.020000,287.392668,44.194744,4.814494,19.315266,40.805986,8.558353,2.363147
0.020000,287.105907,44.477471,5.217194,20.134996,40.986498,9.025580,2.363400
