dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,300.000000,50.000000,0.001730,0.173010,8.650486,432.524297,2.356024
0.020000,300.000000,50.000000,0.008650,0.519029,17.300972,432.524297,2.356039
0.020000,300.000000,50.000000,0.024221,1.038058,25.951458,432.524297,2.356073
0.020000,300.000000,50.000000,0.051903,1.730097,34.601944,432.524297,2.356133
0.020000,299.990845,50.009155,0.093425,2.422136,34.601944,0.000000,2.356222
0.020000,299.951694,50.048299,0.148788,3.114175,34.601944,-0.000000,2.356341
0.020000,299.902749,50.097223,0.217992,3.806214,34.601944,0.000000,2.356488
0.020000,299.844005,50.155922,0.301037,4.498253,34.601944,0.000000,2.356663
0.020000,299.775457,50.224391,0.397922,5.190292,34.601944,-0.000000,2.356864
0.020000,299.697101,50.302625,0.508649,5.882330,34.601944,0.000000,2.357090
0.020000,299.608929,50.390617,0.633216,6.574369,34.601944,0.000000,2.357341
0.020000,299.510934,50.488361,0.771623,7.266408,34.601944,-0.000000,2.357613
0.020000,299.403110,50.595848,0.923872,7.958447,34.601944,-0.000000,2.357906
0.020000,299.285448,50.713071,1.089961,8.650486,34.601944,0.000000,2.358218
0.020000,299.157940,50.840022,1.269891,9.342525,34.601944,-0.000000,2.358546
0.020000,299.020578,50.976693,1.463662,10.034564,34.601944,0.000000,2.358889
0.020000,298.873353,51.123074,1.671274,10.726603,34.601944,0.000000,2.359243
0.020000,298.716257,51.279158,1.892726,11.418641,34.601944,-0.000000,2.359607
0.020000,298.549282,51.444935,2.128020,12.110680,34.601944,0.000000,2.359977
0.020000,298.372419,51.620398,2.377154,12.802719,34.601944,-0.000000,2.360351
0.020000,298.185662,51.805540,2.640128,13.494758,34.601944,0.000000,2.360726
0.020000,297.989002,52.000352,2.916944,14.186797,34.601944,-0.000000,2.361098
0.020000,297.782434,52.204829,3.207600,14.878836,34.601944,0.000000,2.361464
0.020000,297.565952,52.418964,3.512097,15.570875,34.601944,-0.000000,2.361819
0.020000,297.339551,52.642754,3.830435,16.262914,34.601944,0.000000,2.362162
0.020000,297.103229,52.876195,4.162614,16.954952,34.601944,-0.000000,2.362487
0.020000,296.856984,53.119285,4.508633,17.646991,34.601944,0.000000,2.362790
0.020000,296.600816,53.372025,4.868493,18.339030,34.601944,0.000000,2.363068
0.020000,296.334726,53.634415,5.242194,19.031069,34.601944,-0.000000,2.363315
0.020000,296.058718,53.906460,5.629736,19.723108,34.601944,0.000000,2.363528
0.020000,295.772799,54.188165,6.031119,20.415147,34.601944,0.000000,2.363701
0.020000,295.476976,54.479540,6.446342,21.107186,34.601944,0.000000,2.363829
0.020000,295.171261,54.780596,6.875406,21.799225,34.601944,-0.000000,2.363908
