dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,309.180447,59.204314,0.001745,0.174481,8.724026,436.201285,2.357493
0.020000,309.181511,59.203252,0.003248,0.075166,-4.965703,-684.486448,2.357377
0.020000,309.183906,59.200863,0.006631,0.169136,4.698490,483.209686,2.357117
0.020000,309.188161,59.196613,0.012645,0.300727,6.579525,94.051740,2.356654
0.020000,309.184542,59.200236,0.017767,0.256064,-2.233143,-440.633429,2.355960
0.020000,309.153597,59.231224,0.061560,2.189644,96.678994,4945.606867,2.355034
0.020000,309.114965,59.269991,0.116289,2.736466,27.341136,-3466.892922,2.353875
0.020000,309.068683,59.316553,0.181940,3.282540,27.303657,-1.873920,2.352483
0.020000,309.014793,59.370933,0.258500,3.828015,27.273769,-1.494388,2.350856
0.020000,308.953332,59.433169,0.345968,4.373400,27.269245,-0.226243,2.348994
0.020000,308.884371,59.503278,0.444309,4.917038,27.181907,-4.366886,2.346896
0.020000,308.807955,59.581310,0.553526,5.460862,27.191209,0.465127,2.344560
0.020000,308.724163,59.667296,0.673588,6.003083,27.111030,-4.008956,2.341984
0.020000,308.633068,59.761282,0.804475,6.544378,27.064777,-2.312673,2.339168
0.020000,308.534752,59.863315,0.946168,7.084631,27.012653,-2.606169,2.336109
0.020000,308.429301,59.973454,1.098649,7.624080,26.972405,-2.012415,2.332806
0.020000,308.316817,60.091746,1.261883,8.161703,26.881168,-4.561852,2.329257
0.020000,308.197402,60.218254,1.435849,8.698300,26.829835,-2.566663,2.325459
0.020000,308.071164,60.353046,1.620525,9.233763,26.773176,-2.832944,2.321412
0.020000,307.938221,60.496190,1.815881,9.767824,26.703033,-3.507154,2.317112
0.020000,307.798701,60.647755,2.021886,10.300229,26.620272,-4.138022,2.312557
0.020000,307.652737,60.807819,2.238510,10.831202,26.548652,-3.581018,2.307746
0.020000,307.500468,60.976463,2.465725,11.360735,26.476641,-3.600567,2.302676
0.020000,307.342037,61.153776,2.703507,11.889109,26.418681,-2.897995,2.297345
0.020000,307.177602,61.339845,2.951823,12.415801,26.334614,-4.203316,2.291751
0.020000,307.007321,61.534768,3.210648,12.941265,26.273180,-3.071735,2.285891
0.020000,306.831369,61.738635,3.479945,13.464838,26.178682,-4.724866,2.279763
0.020000,306.649914,61.951561,3.759701,13.987787,26.147444,-1.561946,2.273366
0.020000,306.463144,62.173645,4.049881,14.509000,26.060667,-4.338847,2.266697
0.020000,306.271248,62.405002,4.350464,15.029153,26.007629,-2.651859,2.259754
0.020000,306.074425,62.645750,4.661428,15.548206,25.952644,-2.749257,2.252537
0.020000,305.872872,62.896016,4.982764,16.066821,25.930760,-1.094195,2.245043
0.020000,305.666807,63.155922,5.314447,16.584141,25.865985,-3.238758,2.237272
0.020000,305.456444,63.425602,5.656470,17.101157,25.850806,-0.758946,2.229222
0.020000,305.242008,63.705197,6.008828,17.617920,25.838151,-0.632752,2.220894
0.020000,305.023728,63.994848,6.371518,18.134472,25.827617,-0.526730,2.212286
0.020000,304.801843,64.294706,6.744544,18.651279,25.840334,0.635884,2.203400
0.020000,304.576595,64.604926,7.127914,19.168503,25.861198,1.043165,2.194236
0.020000,304.348230,64.925671,7.521650,19.686818,25.915743,2.727242,2.184796
0.020000,304.117003,65.257111,7.925776,20.206320,25.975106,2.968199,2.175081
0.020000,303.883174,65.599416,8.340323,20.727337,26.050873,3.788344,2.165094
0.020000,303.647010,65.952768,8.765330,21.250350,26.150638,4.988226,2.154838
0.020000,303.408778,66.317355,9.200850,21.776010,26.282969,6.616532,2.144317
0.020000,303.168752,66.693373,9.646947,22.304851,26.442077,7.955440,2.133536
0.020000,302.927212,67.081025,10.103692,22.837235,26.619188,8.855510,2.122500
0.020000,302.684443,67.480516,10.571164,23.373584,26.817481,9.914677,2.111216
0.020000,302.440728,67.892066,11.049463,23.914981,27.069849,12.618390,2.099690
