dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.000002,40.007658,0.004973,0.497331,24.866532,1243.326589,1.570207
0.020000,290.000002,40.006301,0.006331,0.067884,-21.472349,-2316.944051,1.570312
0.020000,290.000001,40.004037,0.008595,0.113196,2.265607,1186.897795,1.570486
0.020000,290.000000,40.000865,0.011767,0.158593,2.269837,0.211509,1.570730
0.020000,289.999996,40.032060,0.042962,1.559769,70.058844,3389.450371,1.571044
0.020000,289.999974,40.081766,0.092668,2.485281,46.275563,-1189.164069,1.571428
0.020000,289.999924,40.140506,0.151408,2.937004,22.586165,-1184.469916,1.571883
0.020000,289.999832,40.208266,0.219168,3.388012,22.550397,-1.788374,1.572409
0.020000,289.999685,40.285042,0.295944,3.838788,22.538815,-0.579091,1.573007
0.020000,289.999467,40.370826,0.381729,4.289246,22.522887,-0.796414,1.573677
0.020000,289.999159,40.465611,0.476514,4.739280,22.501693,-1.059679,1.574420
0.020000,289.998741,40.569388,0.580292,5.188869,22.479478,-1.110756,1.575235
0.020000,289.998190,40.682153,0.693058,5.638316,22.472325,-0.357675,1.576125
0.020000,289.997482,40.803883,0.814791,6.086624,22.415423,-2.845078,1.577090
0.020000,289.996592,40.934582,0.945492,6.535063,22.421925,0.325084,1.578131
0.020000,289.995490,41.074224,1.085139,6.982349,22.364305,-2.881006,1.579248
0.020000,289.994145,41.222801,1.233721,7.429124,22.338740,-1.278223,1.580443
0.020000,289.992525,41.380298,1.391227,7.875275,22.307574,-1.558327,1.581717
0.020000,289.990596,41.546700,1.557641,8.320690,22.270718,-1.842789,1.583071
0.020000,289.988318,41.721991,1.732946,8.765251,22.228083,-2.131728,1.584506
0.020000,289.985654,41.906148,1.917122,9.208843,22.179578,-2.425259,1.586023
0.020000,289.982560,42.099156,2.110155,9.651626,22.139178,-2.020030,1.587625
0.020000,289.978993,42.300995,2.312026,10.093538,22.095582,-2.179784,1.589312
0.020000,289.974906,42.511641,2.522712,10.534301,22.038128,-2.872695,1.591086
0.020000,289.970249,42.731070,2.742190,10.973901,21.980040,-2.904385,1.592948
0.020000,289.964971,42.959259,2.970440,11.412496,21.929729,-2.515552,1.594901
0.020000,289.959017,43.196183,3.207439,11.849956,21.872987,-2.837104,1.596946
0.020000,289.952330,43.441815,3.453162,12.286149,21.809674,-3.165679,1.599085
0.020000,289.944849,43.696124,3.707581,12.720942,21.739647,-3.501358,1.601321
0.020000,289.936514,43.959076,3.970665,13.154197,21.662762,-3.844209,1.603655
0.020000,289.927257,44.230642,4.242388,13.586192,21.599722,-3.152027,1.606089
0.020000,289.917011,44.510785,4.522719,14.016528,21.516817,-4.145259,1.608626
0.020000,289.905703,44.799473,4.811628,14.445464,21.446776,-3.502033,1.611269
0.020000,289.893260,45.096662,5.109077,14.872464,21.349994,-4.839119,1.614020
0.020000,289.879603,45.402313,5.415033,15.297793,21.266485,-4.175444,1.616882
0.020000,289.864651,45.716383,5.729459,15.721297,21.175208,-4.563812,1.619857
0.020000,289.848320,46.038826,6.052316,16.142817,21.075970,-4.961939,1.622949
0.020000,289.830523,46.369592,6.383559,16.562188,20.968575,-5.369744,1.626161
0.020000,289.811166,46.708639,6.723159,16.979986,20.889885,-3.934509,1.629495
0.020000,289.790157,47.055901,7.071055,17.394812,20.741320,-7.428241,1.632956
0.020000,289.767396,47.411333,7.427216,17.808034,20.661080,-4.011984,1.636547
0.020000,289.742780,47.774869,7.791585,18.218429,20.519739,-7.067050,1.640271
0.020000,289.716204,48.146448,8.164112,18.626369,20.397007,-6.136586,1.644133
0.020000,289.687557,48.526002,8.544746,19.031712,20.267161,-6.492302,1.648136
0.020000,289.656724,48.913463,8.933432,19.434265,20.127654,-6.975382,1.652285
0.020000,289.623587,49.308758,9.330113,19.834090,19.991221,-6.821626,1.656584
0.020000,289.588023,49.711811,9.734733,20.230968,19.843937,-7.364193,1.661038
0.020000,289.549904,50.122537,10.147223,20.624535,19.678317,-8.281021,1.665651
0.020000,289.509100,50.540850,10.567522,21.014907,19.518620,-7.984847,1.670429
0.020000,289.465473,50.966665,10.995566,21.402209,19.365101,-7.675969,1.675376
0.020000,289.418882,51.399881,11.431280,21.785711,19.175105,-9.499773,1.680499
0.020000,289.369182,51.840398,11.874591,22.165567,18.992799,-9.115292,1.685801
0.020000,289.316223,52.288115,12.325430,22.541956,18.819447,-8.667610,1.691291
0.020000,289.259847,52.742916,12.783711,22.914049,18.604628,-10.740958,1.696973
0.020000,289.199896,53.204682,13.249354,23.282116,18.403371,-10.062839,1.702853
0.020000,289.136204,53.673293,13.722273,23.645946,18.191503,-10.593409,1.708939
0.020000,289.068599,54.148620,14.202384,24.005569,17.981123,-10.518981,1.715237
0.020000,288.996905,54.630524,14.689592,24.360380,17.740587,-12.026815,1.721754
0.020000,288.920942,55.118861,15.183801,24.710473,17.504651,-11.796829,1.728497
0.020000,288.840523,55.613480,15.684916,25.055732,17.262941,-12.085493,1.735475
0.020000,288.755455,56.114227,16.192837,25.396066,17.016665,-12.313798,1.742694
