dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,303.000000,40.000000,0.001994,0.199438,9.971925,498.596243,1.570186
0.020000,303.000000,40.000000,0.009972,0.598315,19.943850,498.596243,1.570242
0.020000,303.000000,40.000000,0.027921,1.196631,29.915775,498.596243,1.570368
0.020000,303.000000,40.000000,0.059832,1.994385,39.887699,498.596243,1.570591
0.020000,302.999999,40.020636,0.109691,2.991577,49.859624,498.596243,1.570941
0.020000,302.999971,40.090436,0.179495,3.988770,49.859624,0.000000,1.571431
0.020000,302.999886,40.180184,0.269242,4.985962,49.859624,0.000000,1.572063
0.020000,302.999704,40.289878,0.378933,5.983155,49.859624,0.000000,1.572838
0.020000,302.999380,40.419512,0.508568,6.980347,49.859624,0.000000,1.573757
0.020000,302.998858,40.569091,0.658147,7.977540,49.859624,0.000000,1.574821
0.020000,302.998073,40.738611,0.827670,8.974732,49.859624,0.000000,1.576034
0.020000,302.996952,40.928075,1.017136,9.971925,49.859624,-0.000000,1.577396
0.020000,302.995411,41.137478,1.226547,10.969117,49.859624,0.000000,1.578910
0.020000,302.993359,41.366825,1.455901,11.966310,49.859624,-0.000000,1.580579
0.020000,302.990693,41.616108,1.705199,12.963502,49.859624,0.000000,1.582407
0.020000,302.987300,41.885329,1.974441,13.960695,49.859624,-0.000000,1.584396
0.020000,302.983056,42.174484,2.263627,14.957887,49.859624,0.000000,1.586549
0.020000,302.977828,42.483566,2.572757,15.955080,49.859624,-0.000000,1.588873
0.020000,302.971470,42.812580,2.901830,16.952272,49.859624,0.000000,1.591369
0.020000,302.963825,43.161514,3.250848,17.949465,49.859624,0.000000,1.594044
0.020000,302.954722,43.530360,3.619809,18.946657,49.859624,-0.000000,1.596901
0.020000,302.943980,43.919120,4.008714,19.943850,49.859624,0.000000,1.599948
0.020000,302.931402,44.327773,4.417563,20.941042,49.859624,0.000000,1.603188
0.020000,302.916779,44.756315,4.846355,21.938235,49.859624,-0.000000,1.606630
0.020000,302.899887,45.204735,5.295092,22.935427,49.859624,0.000000,1.610278
0.020000,302.880484,45.673016,5.763773,23.932620,49.859624,0.000000,1.614142
0.020000,302.858317,46.161135,6.252397,24.929812,49.859624,0.000000,1.618227
0.020000,302.833111,46.669077,6.760965,25.927005,49.859624,0.000000,1.622543
0.020000,302.804575,47.196819,7.289477,26.924197,49.859624,0.000000,1.627098
0.020000,302.772402,47.744330,7.837933,27.921390,49.859624,-0.000000,1.631900
0.020000,302.736260,48.311579,8.406333,28.918582,49.859624,0.000000,1.636961
0.020000,302.695801,48.898528,8.994676,29.915775,49.859624,0.000000,1.642291
0.020000,302.650653,49.505138,9.602964,30.912967,49.859624,-0.000000,1.647900
0.020000,302.600420,50.131357,10.231195,31.910160,49.859624,0.000000,1.653801
0.020000,302.544683,50.777130,10.879370,32.907352,49.859624,0.000000,1.660006
0.020000,302.482997,51.442394,11.547489,33.904545,49.859624,-0.000000,1.666528
0.020000,302.414890,52.127077,12.235552,34.901737,49.859624,0.000000,1.673381
0.020000,302.339861,52.831092,12.943558,35.898929,49.859624,0.000000,1.680581
0.020000,302.257378,53.554355,13.671509,36.896122,49.859624,-0.000000,1.688143
0.020000,302.166880,54.296752,14.419403,37.893314,49.859624,-0.000000,1.696083
