dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,315.999998,39.992071,0.001994,0.199438,9.971925,498.596243,1.570186
0.020000,315.999998,39.992797,0.002720,0.036291,-8.157381,-906.465272,1.570242
0.020000,315.999999,39.994430,0.004354,0.081681,2.269506,521.344318,1.570368
0.020000,316.000000,39.997336,0.007260,0.145301,3.181016,45.575532,1.570591
0.020000,315.999998,40.022518,0.032441,1.259065,55.688191,2625.358740,1.570941
0.020000,315.999969,40.098692,0.108616,3.808742,127.483847,3589.782777,1.571431
0.020000,315.999876,40.196655,0.206579,4.898141,54.469923,-3650.696164,1.572063
0.020000,315.999677,40.316420,0.326344,5.988260,54.505962,1.801929,1.572838
0.020000,315.999323,40.457999,0.467923,7.078964,54.535201,1.461928,1.573757
0.020000,315.998753,40.621416,0.631342,8.170914,54.597513,3.115627,1.574821
0.020000,315.997895,40.806695,0.816622,9.264020,54.655290,2.888862,1.576034
0.020000,315.996669,41.013864,1.023795,10.358667,54.732374,3.854167,1.577396
0.020000,315.994984,41.242953,1.252890,11.454729,54.803092,3.535890,1.578910
0.020000,315.992737,41.494000,1.503947,12.552876,54.907342,5.212510,1.580579
0.020000,315.989817,41.767038,1.777001,13.652672,54.989790,4.122410,1.582407
0.020000,315.986098,42.062113,2.072099,14.754894,55.111095,6.065247,1.584396
0.020000,315.981443,42.379267,2.389287,15.859430,55.226793,5.784902,1.586549
0.020000,315.975704,42.718544,2.728613,16.966270,55.342020,5.761360,1.588873
0.020000,315.968719,43.080006,3.090143,18.076503,55.511673,8.482655,1.591369
0.020000,315.960312,43.463701,3.473930,19.189353,55.642481,6.540369,1.594044
0.020000,315.950293,43.869686,3.880038,20.305416,55.803150,8.033451,1.596901
0.020000,315.938456,44.298034,4.308549,21.425563,56.007359,10.210459,1.599948
0.020000,315.924583,44.748795,4.759524,22.548741,56.158890,7.576571,1.603188
0.020000,315.908434,45.222049,5.233053,23.676448,56.385330,11.321992,1.606630
0.020000,315.889755,45.717870,5.729226,24.808625,56.608855,11.176237,1.610278
0.020000,315.868274,46.236329,6.248130,25.945217,56.829609,11.037704,1.614142
0.020000,315.843697,46.777504,6.789863,27.086638,57.071067,12.072924,1.618227
0.020000,315.815710,47.341480,7.354533,28.233522,57.344171,13.655203,1.622543
0.020000,315.783977,47.928348,7.942258,29.386220,57.634909,14.536877,1.627098
0.020000,315.748140,48.538190,8.553152,30.544720,57.925021,14.505618,1.631900
0.020000,315.707815,49.171098,9.187344,31.709582,58.243082,15.903027,1.636961
0.020000,315.662591,49.827167,9.844970,32.881293,58.585572,17.124517,1.642291
0.020000,315.612029,50.506496,10.526178,34.060408,58.955720,18.507392,1.647900
0.020000,315.555662,51.209178,11.231117,35.246966,59.327892,18.608608,1.653801
