dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.907534,38.985365,0.003992,0.399236,19.961795,998.089741,0.049392
0.020000,6.908875,38.985432,0.005335,0.067109,-16.606321,-1828.405814,0.049280
0.020000,6.911554,38.985563,0.008017,0.134142,3.351622,997.897168,0.049057
0.020000,6.915570,38.985760,0.012038,0.201020,3.343917,-0.385222,0.048722
0.020000,6.967061,38.988256,0.063589,2.577562,118.827086,5774.158444,0.048276
0.020000,7.053488,38.992408,0.150116,4.326360,87.439895,-1569.359558,0.047719
0.020000,7.157188,38.997325,0.253932,5.190800,43.222015,-2210.894006,0.047052
0.020000,7.278151,39.002974,0.375028,6.054769,43.198448,-1.178367,0.046277
0.020000,7.416370,39.009314,0.513392,6.918195,43.171296,-1.357601,0.045393
0.020000,7.571833,39.016298,0.669012,7.781015,43.140979,-1.515847,0.044401
0.020000,7.744530,39.023876,0.841875,8.643137,43.106094,-1.744219,0.043304
0.020000,7.934446,39.031991,1.031964,9.504470,43.066684,-1.970494,0.042102
0.020000,8.141568,39.040581,1.239264,10.364981,43.025563,-2.056059,0.040796
0.020000,8.365878,39.049579,1.463754,11.224538,42.977846,-2.385889,0.039389
0.020000,8.607360,39.058913,1.705416,12.083092,42.927658,-2.509370,0.037881
0.020000,8.865993,39.068507,1.964227,12.940556,42.873237,-2.721061,0.036276
0.020000,9.141757,39.078279,2.240164,13.796849,42.814657,-2.928992,0.034573
0.020000,9.434628,39.088145,2.533202,14.651890,42.752014,-3.132137,0.032777
0.020000,9.744583,39.098015,2.843314,15.505601,42.685560,-3.322726,0.030888
0.020000,10.071595,39.107795,3.170472,16.357896,42.614775,-3.539239,0.028910
0.020000,10.415635,39.117388,3.514646,17.208697,42.540019,-3.737797,0.026845
0.020000,10.776674,39.126693,3.875804,18.057920,42.461182,-3.941861,0.024695
0.020000,11.154678,39.135607,4.253914,18.905485,42.378239,-4.147162,0.022463
0.020000,11.549615,39.144023,4.648940,19.751309,42.291178,-4.353013,0.020152
0.020000,11.961447,39.151831,5.060846,20.595312,42.200141,-4.551885,0.017765
0.020000,12.390137,39.158919,5.489595,21.437404,42.104607,-4.776670,0.015306
0.020000,12.835643,39.165175,5.935145,22.277511,42.005363,-4.962195,0.012777
0.020000,13.297923,39.170481,6.397456,23.115547,41.901794,-5.178458,0.010183
0.020000,13.776933,39.174721,6.876484,23.951439,41.794591,-5.360167,0.007526
0.020000,14.272626,39.177777,7.372186,24.785092,41.682650,-5.597060,0.004810
0.020000,14.784951,39.179530,7.884515,25.616428,41.566809,-5.792023,0.002039
0.020000,15.313859,39.179860,8.413422,26.445373,41.447243,-5.978318,6.282403
0.020000,15.859294,39.178650,8.958859,27.271855,41.324112,-6.156550,6.279536
0.020000,16.421202,39.175779,9.520775,28.095765,41.195511,-6.430049,6.276625
0.020000,16.999525,39.171130,10.099116,28.917066,41.065024,-6.524353,6.273677
0.020000,17.594202,39.164586,10.693829,29.735624,40.927936,-6.854398,6.270695
0.020000,18.205170,39.156032,11.304857,30.551426,40.790077,-6.892954,6.267684
0.020000,18.832366,39.145354,11.932144,31.364360,40.646679,-7.169873,6.264649
0.020000,19.475724,39.132442,12.575631,32.174359,40.499978,-7.335043,6.261595
0.020000,20.135175,39.117186,13.235259,32.981356,40.349831,-7.507361,6.258527
0.020000,20.810647,39.099483,13.910963,33.785222,40.193339,-7.824592,6.255450
0.020000,21.502071,39.079231,14.602683,34.586016,40.039679,-7.683034,6.252369
