dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.500000,27.000000,0.007817,0.781723,39.086167,1954.308340,0.049365
0.020000,7.500000,27.000000,0.039086,2.345170,78.172334,1954.308340,0.049146
0.020000,7.500000,27.000000,0.101624,3.908617,78.172334,-0.000000,0.048709
0.020000,7.577851,27.003765,0.195431,5.472063,78.172334,0.000000,0.048054
0.020000,7.702785,27.009719,0.320507,7.035510,78.172334,-0.000000,0.047183
0.020000,7.858959,27.017008,0.476851,8.598957,78.172334,0.000000,0.046098
0.020000,8.046379,27.025532,0.664465,10.162403,78.172334,0.000000,0.044802
0.020000,8.265050,27.035171,0.883347,11.725850,78.172334,0.000000,0.043297
0.020000,8.514976,27.045784,1.133499,13.289297,78.172334,-0.000000,0.041587
0.020000,8.796164,27.057215,1.414919,14.852743,78.172334,0.000000,0.039675
0.020000,9.108620,27.069288,1.727609,16.416190,78.172334,0.000000,0.037567
0.020000,9.452350,27.081810,2.071567,17.979637,78.172334,-0.000000,0.035267
0.020000,9.827360,27.094574,2.446794,19.543083,78.172334,0.000000,0.032780
0.020000,10.233655,27.107354,2.853290,21.106530,78.172334,0.000000,0.030114
0.020000,10.671240,27.119912,3.291055,22.669977,78.172334,-0.000000,0.027274
0.020000,11.140118,27.131996,3.760089,24.233423,78.172334,0.000000,0.024266
0.020000,11.640292,27.143342,4.260392,25.796870,78.172334,0.000000,0.021100
0.020000,12.171763,27.153674,4.791964,27.360317,78.172334,-0.000000,0.017783
0.020000,12.734531,27.162706,5.354805,28.923763,78.172334,0.000000,0.014324
0.020000,13.328594,27.170146,5.948915,30.487210,78.172334,-0.000000,0.010731
0.020000,13.953947,27.175691,6.574293,32.050657,78.172334,0.000000,0.007014
0.020000,14.610586,27.179035,7.230941,33.614103,78.172334,0.000000,0.003184
0.020000,15.298501,27.179869,7.918857,35.177550,78.172334,-0.000000,6.282437
0.020000,16.017684,27.177878,8.638043,36.740997,78.172334,0.000000,6.278413
0.020000,16.768120,27.172751,9.388497,38.304443,78.172334,0.000000,6.274309
0.020000,17.549796,27.164176,10.170221,39.867890,78.172334,0.000000,6.270138
0.020000,18.362694,27.151843,10.983213,41.431337,78.172334,-0.000000,6.265912
0.020000,19.206795,27.135451,11.827474,42.994783,78.172334,0.000000,6.261644
