dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.508140,14.000003,0.000200,0.019960,0.998023,49.901168,0.000626
0.020000,7.508084,14.000003,0.000255,0.002774,-0.859303,-92.866294,0.000622
0.020000,7.507959,14.000002,0.000380,0.006242,0.173390,51.634609,0.000612
0.020000,7.507738,14.000002,0.000602,0.011096,0.242714,3.466203,0.000595
0.020000,7.507391,14.000002,0.000949,0.017336,0.311989,3.463762,0.000569
0.020000,7.506892,14.000002,0.001448,0.024960,0.381184,3.459766,0.000530
0.020000,7.506212,14.000001,0.002127,0.033965,0.450261,3.453825,0.000478
0.020000,7.505325,14.000001,0.003014,0.044349,0.519172,3.445551,0.000410
0.020000,7.504203,14.000001,0.004136,0.056106,0.587863,3.434553,0.000323
0.020000,7.502819,14.000000,0.005521,0.069231,0.656272,3.420443,0.000217
0.020000,7.501144,14.000000,0.007195,0.083718,0.724328,3.402832,0.000088
0.020000,7.511381,14.000000,0.017432,0.511836,21.405917,1034.079450,6.283120
0.020000,7.542779,13.999995,0.048830,1.569914,52.903912,1574.899707,6.282941
0.020000,7.579197,13.999982,0.085248,1.820879,12.548245,-2017.783304,6.282732
0.020000,7.621007,13.999958,0.127057,2.090483,13.480204,46.597916,6.282494
0.020000,7.668581,13.999919,0.174632,2.378733,14.412465,46.613062,6.282223
0.020000,7.722295,13.999859,0.228346,2.685694,15.348071,46.780301,6.281917
0.020000,7.782521,13.999772,0.288572,3.011316,16.281112,46.652026,6.281575
0.020000,7.849635,13.999651,0.355686,3.355702,17.219261,46.907477,6.281195
0.020000,7.924011,13.999488,0.430063,3.718822,18.156027,46.838285,6.280775
0.020000,8.006026,13.999271,0.512077,4.100718,19.094772,46.937266,6.280312
0.020000,8.096054,13.998990,0.602106,4.501443,20.036294,47.076075,6.279806
0.020000,8.194474,13.998630,0.700526,4.921017,20.978665,47.118576,6.279255
0.020000,8.301662,13.998176,0.807716,5.359479,21.923097,47.221588,6.278656
0.020000,8.417998,13.997612,0.924053,5.816875,22.869791,47.334704,6.278009
0.020000,8.543862,13.996916,1.049918,6.293254,23.818960,47.458436,6.277311
0.020000,8.679632,13.996068,1.185692,6.788670,24.770826,47.593306,6.276562
0.020000,8.825692,13.995042,1.331755,7.303171,25.725018,47.709614,6.275760
0.020000,8.982423,13.993811,1.488491,7.836803,26.681598,47.828977,6.274904
0.020000,9.150211,13.992345,1.656285,8.389682,27.643955,48.117873,6.273992
0.020000,9.329438,13.990610,1.835521,8.961796,28.605743,48.089414,6.273024
0.020000,9.520493,13.988571,2.026587,9.553294,29.574853,48.455489,6.271999
0.020000,9.723763,13.986186,2.229871,10.164218,30.546214,48.568036,6.270915
0.020000,9.939639,13.983414,2.445764,10.794649,31.521542,48.766396,6.269773
0.020000,10.168510,13.980206,2.674658,11.444679,32.501502,48.998029,6.268571
0.020000,10.410583,13.976516,2.916759,12.105057,33.018911,25.870408,6.267311
0.020000,10.665878,13.972294,3.172089,12.766512,33.072736,2.691289,6.265993
0.020000,10.934416,13.967492,3.440670,13.429068,33.127803,2.753344,6.264620
0.020000,11.216221,13.962058,3.722527,14.092826,33.187897,3.004670,6.263193
0.020000,11.511313,13.955939,4.017683,14.757802,33.248810,3.045679,6.261714
0.020000,11.819719,13.949080,4.326165,15.424097,33.314768,3.297873,6.260186
0.020000,12.141462,13.941425,4.648000,16.091734,33.381851,3.354166,6.258610
0.020000,12.476570,13.932915,4.983215,16.760776,33.452071,3.510998,6.256989
0.020000,12.825068,13.923493,5.331841,17.431285,33.525452,3.669047,6.255324
0.020000,13.186986,13.913097,5.693907,18.103325,33.602013,3.828065,6.253618
0.020000,13.562351,13.901667,6.069446,18.776956,33.681552,3.976962,6.251874
0.020000,13.951192,13.889141,6.458490,19.452168,33.760582,3.951495,6.250094
0.020000,14.353542,13.875456,6.861072,20.129136,33.848430,4.392405,6.248281
0.020000,14.769432,13.860549,7.277229,20.807812,33.933781,4.267515,6.246437
0.020000,15.198892,13.844356,7.706994,21.488285,34.023676,4.494777,6.244565
0.020000,15.641958,13.826814,8.150407,22.170631,34.117288,4.680591,6.242668
0.020000,16.098662,13.807859,8.607505,22.854884,34.212657,4.768456,6.240749
0.020000,16.569041,13.787428,9.078327,23.541101,34.310858,4.910065,6.238811
0.020000,17.053128,13.765457,9.562913,24.229296,34.409726,4.943384,6.236857
0.020000,17.550963,13.741885,10.061305,24.919616,34.515990,5.313200,6.234890
0.020000,18.062581,13.716648,10.573545,25.612017,34.620054,5.203210,6.232914
0.020000,18.588022,13.689686,11.099678,26.306629,34.730606,5.527601,6.230931
0.020000,19.127325,13.660941,11.639746,27.003416,34.839338,5.436581,6.228946
0.020000,19.680530,13.630352,12.193796,27.702505,34.954465,5.756331,6.226961
0.020000,20.247679,13.597865,12.761875,28.403924,35.070968,5.825163,6.224980
0.020000,20.828814,13.563424,13.344029,29.107722,35.189879,5.945535,6.223008
0.020000,21.423977,13.526977,13.940307,29.813911,35.309447,5.978414,6.221047
0.020000,22.033214,13.488473,14.550760,30.522608,35.434853,6.270285,6.219102
0.020000,22.656569,13.447865,15.175436,31.233837,35.561457,6.330223,6.217176
0.020000,23.294089,13.405109,15.814388,31.947604,35.688347,6.344483,6.215273
0.020000,23.945821,13.360163,16.467669,32.664011,35.820346,6.599943,6.213398
0.020000,24.611814,13.312988,17.135331,33.383094,35.954146,6.690025,6.211555
0.020000,25.292118,13.263552,17.817428,34.104885,36.089551,6.770238,6.209746
0.020000,25.986784,13.211822,18.514017,34.829440,36.227739,6.909397,6.207978
0.020000,26.695863,13.157774,19.225153,35.556813,36.368672,7.046680,6.206254
0.020000,27.419410,13.101386,19.950894,36.287059,36.512306,7.181669,6.204579
0.020000,28.157480,13.042642,20.691298,37.020168,36.655444,7.156932,6.202957
0.020000,28.910129,12.981530,21.446424,37.756298,36.806513,7.553427,6.201392
0.020000,29.677414,12.918045,22.216331,38.495373,36.953727,7.360727,6.199890
0.020000,30.459397,12.852187,23.001082,39.237547,37.108691,7.748162,6.198455
0.020000,31.256137,12.783963,23.800739,39.982815,37.263409,7.735905,6.197092
0.020000,32.067699,12.713387,24.615363,40.731235,37.420999,7.879496,6.195805
