dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,296.926914,56.999188,0.001730,0.173043,8.652132,432.606618,3.703545
0.020000,296.928871,57.000421,0.004044,0.115655,-2.869397,-576.076477,3.703723
0.020000,296.933273,57.003195,0.009246,0.260146,7.224556,504.697676,3.704123
0.020000,296.941091,57.008128,0.018491,0.462217,10.103556,143.949993,3.704834
0.020000,296.920149,56.994886,0.043268,1.238879,38.833088,1436.476599,3.705900
0.020000,296.888968,56.975118,0.080187,1.845936,30.352878,-424.010510,3.707320
0.020000,296.850007,56.950331,0.126365,2.308890,23.147677,-360.260042,3.709092
0.020000,296.803271,56.920470,0.181826,2.773050,23.208009,3.016614,3.711215
0.020000,296.748775,56.885473,0.246592,3.238288,23.261901,2.694566,3.713687
0.020000,296.686528,56.845267,0.320695,3.705146,23.342923,4.051128,3.716506
0.020000,296.616544,56.799765,0.404170,4.173781,23.431730,4.440359,3.719669
0.020000,296.538837,56.748873,0.497059,4.644429,23.532407,5.033823,3.723172
0.020000,296.453421,56.692483,0.599410,5.117539,23.655481,6.153689,3.727013
0.020000,296.360313,56.630477,0.711275,5.593298,23.787937,6.622837,3.731186
0.020000,296.259526,56.562724,0.832719,6.072152,23.942722,7.739248,3.735688
0.020000,296.151077,56.489085,0.963805,6.554342,24.109504,8.339099,3.740513
0.020000,296.034982,56.409405,1.104614,7.040410,24.303409,9.695228,3.745654
0.020000,295.911256,56.323520,1.255227,7.530667,24.512822,10.470656,3.751107
0.020000,295.779914,56.231253,1.415739,8.025602,24.746759,11.696840,3.756862
0.020000,295.640966,56.132413,1.586255,8.525806,25.010196,13.171853,3.762914
0.020000,295.494428,56.026800,1.766886,9.031556,25.287488,13.864581,3.769252
0.020000,295.340309,55.914200,1.957757,9.543524,25.598410,15.546136,3.775867
0.020000,295.178619,55.794386,2.159001,10.062195,25.933576,16.758266,3.782749
0.020000,295.009363,55.667117,2.370766,10.588282,26.304358,18.539106,3.789887
0.020000,294.832548,55.532145,2.593209,11.122150,26.693385,19.451363,3.797268
0.020000,294.648178,55.389204,2.826500,11.664543,27.119617,21.311579,3.804879
0.020000,294.456252,55.238019,3.070821,12.216047,27.575202,22.779278,3.812707
0.020000,294.256768,55.078300,3.326367,12.777323,28.063834,24.431605,3.820737
0.020000,294.049721,54.909748,3.593346,13.348946,28.581133,25.864954,3.828951
0.020000,293.835106,54.732053,3.871978,13.931559,29.130667,27.476670,3.837335
0.020000,293.612911,54.544890,4.162495,14.525864,29.715234,29.228342,3.845869
0.020000,293.383125,54.347930,4.465142,15.132357,30.324649,30.470778,3.854534
0.020000,293.145730,54.140829,4.780177,15.751750,30.969631,32.249100,3.863312
0.020000,292.900709,53.923236,5.107869,16.384590,31.642027,33.619770,3.872181
0.020000,292.648039,53.694795,5.448497,17.031427,32.341842,34.990754,3.881120
0.020000,292.387694,53.455138,5.802354,17.692856,33.071480,36.481905,3.890106
0.020000,292.119645,53.203896,6.169741,18.369324,33.823393,37.595682,3.899116
0.020000,291.843859,52.940693,6.550968,19.061341,34.600830,38.871837,3.908126
0.020000,291.560297,52.665150,6.946354,19.769332,35.399528,39.934895,3.917112
0.020000,291.268918,52.376889,7.356228,20.493696,36.218206,40.933884,3.926048
0.020000,290.969672,52.075528,7.780924,21.234792,37.054836,41.831505,3.934910
0.020000,290.662505,51.760688,8.220783,21.992942,37.907483,42.632382,3.943669
0.020000,290.347353,51.431994,8.676151,22.768412,38.773508,43.301225,3.952301
0.020000,290.024147,51.089074,9.147380,23.561460,39.652408,43.945020,3.960777
0.020000,289.692804,50.731561,9.634826,24.372285,40.541216,44.440401,3.969071
0.020000,289.353234,50.359097,10.138848,25.201069,41.439203,44.899328,3.977155
0.020000,289.005330,49.971333,10.659806,26.047933,42.343208,45.200239,3.985000
0.020000,288.648973,49.567929,11.198067,26.913055,43.256087,45.643949,3.992580
0.020000,288.284024,49.148559,11.753998,27.796523,44.173411,45.866229,3.999865
0.020000,287.910329,48.712907,12.327967,28.698457,45.096697,46.164272,4.006828
0.020000,287.527709,48.260675,12.920346,29.618941,46.024217,46.376009,4.013439
0.020000,287.135961,47.791576,13.531508,30.558141,46.959991,46.788691,4.019670
0.020000,286.734855,47.305344,14.161832,31.516172,47.901533,47.077094,4.025493
0.020000,286.324130,46.801729,14.811696,32.493198,48.851309,47.488816,4.030877
0.020000,285.903492,46.280500,15.481484,33.489413,49.810765,47.972820,4.035793
0.020000,285.472609,45.741445,16.171586,34.505079,50.783316,48.627520,4.040212
0.020000,285.031107,45.184375,16.882395,35.540487,51.770373,49.352870,4.044102
0.020000,284.578569,44.609123,17.614315,36.595980,52.774642,50.213432,4.047434
0.020000,284.114525,44.015544,18.367755,37.671990,53.800496,51.292725,4.050175
0.020000,283.638455,43.403522,19.143135,38.769004,54.850743,52.512360,4.052293
0.020000,283.149778,42.772964,19.940887,39.887602,55.929861,53.955901,4.053756
0.020000,282.648902,42.125171,20.759736,40.942459,52.742888,-159.348686,4.054527
0.020000,282.137275,41.462911,21.596605,41.843418,45.047942,-384.747306,4.054577
0.020000,281.616584,40.789363,22.447948,42.567197,36.188931,-442.950531,4.053890
0.020000,281.089674,40.109258,23.308284,43.016767,22.478506,-685.521233,4.052462
0.020000,280.559341,39.427262,24.172212,43.196396,8.981463,-674.852140,4.050309
0.020000,280.027437,38.746767,25.035923,43.185543,-0.542682,-476.207273,4.047460
0.020000,279.495743,38.070985,25.895794,42.993583,-9.597984,-452.765126,4.043949
0.020000,278.965034,37.401736,26.749929,42.706737,-14.342308,-237.216199,4.039816
0.020000,278.435210,36.739652,27.597908,42.398953,-15.389211,-52.345114,4.035090
0.020000,277.906207,36.085336,28.439320,42.070582,-16.418531,-51.466001,4.029805
0.020000,277.377993,35.439365,29.273758,41.721942,-17.431988,-50.672851,4.023992
0.020000,276.850575,34.802289,30.100823,41.353249,-18.434658,-50.133523,4.017681
0.020000,276.323992,34.174634,30.920116,40.964639,-19.430513,-49.792732,4.010902
0.020000,275.798323,33.556900,31.731241,40.556220,-20.420927,-49.520697,4.003688
0.020000,275.273683,32.949563,32.533803,40.128100,-21.406009,-49.254100,3.996067
0.020000,274.750222,32.353073,33.327409,39.680322,-22.388913,-49.145225,3.988070
0.020000,274.228128,31.767857,34.111667,39.212892,-23.371482,-49.128429,3.979727
0.020000,273.707624,31.194314,34.886184,38.725841,-24.352539,-49.052875,3.971068
0.020000,273.188966,30.632818,35.650568,38.219221,-25.331020,-48.924051,3.962125
0.020000,272.672445,30.083716,36.404430,37.693069,-26.307576,-48.827768,3.952925
0.020000,272.158383,29.547327,37.147378,37.147438,-27.281585,-48.700468,3.943501
0.020000,271.647131,29.023942,37.879027,36.582436,-28.250088,-48.425140,3.933880
0.020000,271.139070,28.513822,38.598991,35.998202,-29.211696,-48.080425,3.924094
0.020000,270.634605,28.017199,39.306889,35.394913,-30.164470,-47.638701,3.914171
0.020000,270.134162,27.534275,40.002345,34.772802,-31.105507,-47.051828,3.904140
0.020000,269.638190,27.065220,40.684988,34.132139,-32.033190,-46.384158,3.894029
0.020000,269.147154,26.610173,41.354454,33.473277,-32.943077,-45.494352,3.883868
0.020000,268.661532,26.169243,42.010386,32.796597,-33.833997,-44.545973,3.873683
0.020000,268.181817,25.742508,42.652437,32.102544,-34.702649,-43.432621,3.863500
0.020000,267.708506,25.330016,43.280269,31.391614,-35.546536,-42.194341,3.853347
0.020000,267.242104,24.931783,43.893556,30.664336,-36.363855,-40.865933,3.843247
0.020000,266.783116,24.547798,44.491982,29.921299,-37.151877,-39.401099,3.833226
0.020000,266.332049,24.178022,45.075245,29.163189,-37.905478,-37.680067,3.823306
0.020000,265.889403,23.822389,45.643057,28.390597,-38.629632,-36.207725,3.813510
0.020000,265.455674,23.480807,46.195143,27.604279,-39.315878,-34.312289,3.803859
0.020000,265.031350,23.153161,46.731242,26.804960,-39.965953,-32.503719,3.794373
0.020000,264.616911,22.839319,47.251105,25.993130,-40.591513,-31.278035,3.785070
0.020000,264.212817,22.539122,47.754503,25.169923,-41.160365,-28.442577,3.775970
0.020000,263.819521,22.252398,48.241219,24.335822,-41.705036,-27.233560,3.767088
0.020000,263.437454,21.978958,48.711053,23.491687,-42.206729,-25.084673,3.758439
0.020000,263.067041,21.718604,49.163812,22.637947,-42.687015,-24.014259,3.750039
0.020000,262.708675,21.471121,49.599327,21.775759,-43.109417,-21.120096,3.741901
0.020000,262.362741,21.236288,50.017439,20.905589,-43.508483,-19.953325,3.734037
0.020000,262.029600,21.013879,50.417999,20.027987,-43.880084,-18.580058,3.726457
0.020000,261.709594,20.803660,50.800877,19.143931,-44.202827,-16.137164,3.719174
0.020000,261.403049,20.605399,51.165949,18.253596,-44.516711,-15.694166,3.712194
0.020000,261.110268,20.418861,51.513105,17.357774,-44.791120,-13.720450,3.705529
0.020000,260.831533,20.243811,51.842249,16.457225,-45.027469,-11.817474,3.699183
0.020000,260.567109,20.080019,52.153292,15.552136,-45.254418,-11.347425,3.693166
0.020000,260.317242,19.927260,52.446156,14.643174,-45.448139,-9.686041,3.687482
0.020000,260.082158,19.785313,52.720770,13.730734,-45.621974,-8.691756,3.682137
0.020000,259.862069,19.653970,52.977071,12.815049,-45.784234,-8.113023,3.677135
0.020000,259.657163,19.533025,53.215008,11.896862,-45.909365,-6.256550,3.672482
0.020000,259.467619,19.422288,53.434530,10.976072,-46.039501,-6.506767,3.668180
0.020000,259.293594,19.321579,53.635595,10.053250,-46.141091,-5.079515,3.664233
0.020000,259.135225,19.230725,53.818174,9.128967,-46.214170,-3.653978,3.660643
0.020000,258.992649,19.149576,53.982226,8.202590,-46.318845,-5.233731,3.657413
0.020000,258.865971,19.077987,54.127733,7.275343,-46.362346,-2.175037,3.654546
0.020000,258.755294,19.015831,54.254670,6.346838,-46.425275,-3.146451,3.652041
0.020000,258.660701,18.962997,54.363017,5.417350,-46.474393,-2.455930,3.649902
0.020000,258.582265,18.919388,54.452761,4.487234,-46.505795,-1.570088,3.648129
0.020000,258.520042,18.884922,54.523892,3.556509,-46.536259,-1.523199,3.646723
0.020000,258.474079,18.859537,54.576399,2.625384,-46.556217,-0.997879,3.645684
0.020000,258.444041,18.842981,54.610697,1.714896,-45.524423,51.589705,3.645006
0.020000,258.427532,18.833892,54.629543,0.942270,-38.631282,344.657028,3.644633
0.020000,258.420482,18.830014,54.637589,0.402314,-26.997806,581.673788,3.644474
0.020000,258.418813,18.829096,54.639494,0.095273,-15.352044,582.288099,3.644436
0.020000,258.418813,18.829096,54.639494,0.000000,-4.763658,529.419296,3.644436
