dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,283.064934,78.995675,0.001738,0.173799,8.689932,434.496592,3.704286
0.020000,283.064059,78.995123,0.002772,0.051721,-6.103862,-739.689699,3.704366
0.020000,283.062091,78.993881,0.005099,0.116325,3.230162,466.701188,3.704545
0.020000,283.058597,78.991675,0.009232,0.206633,4.515441,64.263983,3.704863
0.020000,283.021505,78.968238,0.053107,2.193788,99.357731,4742.114471,3.705339
0.020000,282.967541,78.934099,0.116963,3.192797,49.950439,-2470.364588,3.705973
0.020000,282.900137,78.891390,0.196760,3.989819,39.851106,-504.966627,3.706764
0.020000,282.819324,78.840087,0.292482,4.786098,39.813972,-1.856734,3.707710
0.020000,282.725144,78.780162,0.404109,5.581392,39.764674,-2.464892,3.708810
0.020000,282.617643,78.711584,0.531622,6.375623,39.711543,-2.656534,3.710062
0.020000,282.496874,78.634316,0.674994,7.168597,39.648730,-3.140649,3.711465
0.020000,282.362897,78.548318,0.834196,7.960124,39.576309,-3.621051,3.713016
0.020000,282.215778,78.453547,1.009198,8.750093,39.498476,-3.891685,3.714713
0.020000,282.055589,78.349956,1.199964,9.538292,39.409954,-4.426071,3.716553
0.020000,281.882410,78.237494,1.406456,10.324576,39.314181,-4.788633,3.718533
0.020000,281.696325,78.116108,1.628631,11.108775,39.209952,-5.211466,3.720650
0.020000,281.497427,77.985744,1.866445,11.890710,39.096772,-5.658995,3.722900
0.020000,281.285811,77.846343,2.119850,12.670220,38.975472,-6.065012,3.725280
0.020000,281.061582,77.697846,2.388792,13.447108,38.844430,-6.552075,3.727786
0.020000,280.824849,77.540192,2.673216,14.221222,38.705691,-6.936990,3.730414
0.020000,280.575727,77.373321,2.973063,14.992345,38.556133,-7.477908,3.733158
0.020000,280.314335,77.197168,3.288270,15.760333,38.399395,-7.836891,3.736014
0.020000,280.040800,77.011673,3.618770,16.524991,38.232931,-8.323184,3.738977
0.020000,279.755252,76.816771,3.964492,17.286120,38.056416,-8.825767,3.742041
0.020000,279.457827,76.612403,4.325363,18.043572,37.872598,-9.190870,3.745201
0.020000,279.148664,76.398508,4.701306,18.797117,37.677297,-9.765088,3.748451
0.020000,278.827908,76.175028,5.092238,19.546595,37.473861,-10.171790,3.751785
0.020000,278.495708,75.941905,5.498074,20.291818,37.261190,-10.633555,3.755195
0.020000,278.152215,75.699087,5.918726,21.032591,37.038630,-11.127964,3.758676
0.020000,277.797585,75.446523,6.354101,21.768740,36.807448,-11.559137,3.762219
0.020000,277.431975,75.184167,6.804102,22.500067,36.566324,-12.056165,3.765818
0.020000,277.055547,74.911976,7.268630,23.226396,36.316487,-12.491850,3.769465
0.020000,276.668463,74.629912,7.747581,23.947534,36.056911,-12.978822,3.773152
0.020000,276.270889,74.337943,8.240847,24.663312,35.788868,-13.402146,3.776871
0.020000,275.862988,74.036043,8.748318,25.373544,35.511608,-13.862992,3.780613
0.020000,275.444928,73.724190,9.269879,26.078051,35.225336,-14.313584,3.784369
0.020000,275.016876,73.402372,9.805412,26.776662,34.930555,-14.739059,3.788130
0.020000,274.578997,73.070581,10.354796,27.469200,34.626928,-15.181360,3.791887
0.020000,274.131457,72.728821,10.917906,28.155499,34.314923,-15.600245,3.795631
0.020000,273.674419,72.377099,11.494614,28.835390,33.994544,-16.018963,3.799351
0.020000,273.208046,72.015434,12.084788,29.508707,33.665881,-16.433125,3.803037
0.020000,272.732496,71.643854,12.688294,30.175292,33.329209,-16.833617,3.806680
0.020000,272.247925,71.262396,13.304993,30.834985,32.984657,-17.227605,3.810267
0.020000,271.754487,70.871108,13.934746,31.487625,32.631996,-17.633064,3.813790
0.020000,271.252328,70.470047,14.577407,32.133069,32.272211,-17.989249,3.817235
0.020000,270.741592,70.059281,15.232830,32.771153,31.904232,-18.398925,3.820593
0.020000,270.222417,69.638891,15.900865,33.401733,31.528994,-18.761924,3.823852
0.020000,269.694934,69.208969,16.581358,34.024663,31.146477,-19.125860,3.826999
0.020000,269.159268,68.769619,17.274154,34.639794,30.756570,-19.495305,3.830023
0.020000,268.615537,68.320959,17.979094,35.246976,30.359087,-19.874163,3.832912
0.020000,268.063852,67.863117,18.696015,35.846061,29.954254,-20.241640,3.835652
0.020000,267.504313,67.396238,19.424753,36.436906,29.542261,-20.599678,3.838233
0.020000,266.937015,66.920480,20.165140,37.019355,29.122454,-20.990319,3.840640
0.020000,266.362042,66.436014,20.917005,37.593261,28.695301,-21.357698,3.842860
0.020000,265.779469,65.943027,21.680175,38.158465,28.260182,-21.755910,3.844880
0.020000,265.189361,65.441722,22.454471,38.714812,27.817328,-22.142736,3.846687
0.020000,264.591771,64.932317,23.239714,39.262131,27.365965,-22.568112,3.848266
0.020000,263.986746,64.415047,24.035719,39.800263,26.906601,-22.968206,3.849603
0.020000,263.374317,63.890163,24.842299,40.329028,26.438249,-23.417627,3.850685
0.020000,262.754507,63.357934,25.659264,40.848248,25.960993,-23.862784,3.851496
0.020000,262.127327,62.818648,26.486419,41.357732,25.474225,-24.338377,3.852021
0.020000,261.492777,62.272609,27.323565,41.857292,24.977972,-24.812665,3.852245
0.020000,260.852156,61.721271,28.168768,42.260161,20.143450,-241.726129,3.852153
0.020000,260.208034,61.167207,29.018403,42.481748,11.079356,-453.204674,3.851733
0.020000,259.562926,60.612952,29.868911,42.525393,2.182281,-444.853767,3.850979
0.020000,258.920493,60.062021,30.715223,42.315595,-10.489919,-633.610000,3.849893
0.020000,258.284337,59.517850,31.552371,41.857414,-22.909049,-620.956474,3.848483
0.020000,257.656817,58.982765,32.377051,41.234008,-31.170310,-413.063061,3.846763
0.020000,257.040268,58.459020,33.186026,40.448754,-39.262684,-404.618686,3.844750
0.020000,256.435827,57.947794,33.977672,39.582273,-43.324073,-203.069476,3.842464
0.020000,255.843356,57.449142,34.752059,38.719347,-43.146309,8.888224,3.839920
0.020000,255.262643,56.963025,35.509381,37.866101,-42.662299,24.200508,3.837133
0.020000,254.693493,56.489390,36.249828,37.022384,-42.185854,23.822252,3.834117
0.020000,254.135725,56.028169,36.973589,36.188050,-41.716671,23.459144,3.830888
0.020000,253.589177,55.579281,37.680848,35.362953,-41.254841,23.091478,3.827458
0.020000,253.053698,55.142634,38.371788,34.546972,-40.799058,22.789142,3.823843
0.020000,252.529153,54.718127,39.046587,33.739958,-40.350709,22.417485,3.820055
0.020000,252.015418,54.305646,39.705423,32.941787,-39.908560,22.107432,3.816109
0.020000,251.512380,53.905069,40.348469,32.152324,-39.473126,21.771688,3.812018
0.020000,251.019939,53.516265,40.975898,31.371436,-39.044407,21.435949,3.807796
0.020000,250.538004,53.139094,41.587878,30.598989,-38.622336,21.103553,3.803454
0.020000,250.066492,52.773412,42.184575,29.834848,-38.207089,20.762376,3.799007
0.020000,249.605330,52.419065,42.766152,29.078873,-37.798740,20.417442,3.794465
0.020000,249.154452,52.075894,43.332771,28.330919,-37.397676,20.053181,3.789843
0.020000,248.713801,51.743737,43.884587,27.590842,-37.003876,19.690004,3.785152
0.020000,248.283325,51.422425,44.421757,26.858488,-36.617686,19.309522,3.780403
0.020000,247.862978,51.111786,44.944431,26.133704,-36.239207,18.923930,3.775609
0.020000,247.452720,50.811645,45.452758,25.416324,-35.868987,18.510996,3.770781
0.020000,247.052518,50.521823,45.946881,24.706186,-35.506931,18.102783,3.765930
0.020000,246.662342,50.242142,46.426944,24.003112,-35.153687,17.662205,3.761066
0.020000,246.282165,49.972418,46.893082,23.306937,-34.808756,17.246553,3.756201
0.020000,245.911967,49.712470,47.345432,22.617467,-34.473492,16.763219,3.751345
0.020000,245.551729,49.462114,47.784122,21.934527,-34.146995,16.324850,3.746508
0.020000,245.201437,49.221167,48.209281,21.257925,-33.830074,15.846035,3.741700
0.020000,244.861079,48.989448,48.621030,20.587448,-33.523895,15.308972,3.736929
0.020000,244.530646,48.766774,49.019488,19.922934,-33.225665,14.911486,3.732206
0.020000,244.210132,48.552966,49.404771,19.264153,-32.939051,14.330702,3.727539
0.020000,243.899533,48.347846,49.776990,18.610916,-32.661870,13.859055,3.722936
0.020000,243.598845,48.151237,50.136250,17.963022,-32.394690,13.358995,3.718406
0.020000,243.308068,47.962968,50.482655,17.320252,-32.138494,12.809797,3.713956
0.020000,243.027204,47.782868,50.816303,16.682405,-31.892382,12.305610,3.709595
0.020000,242.756254,47.610770,51.137289,16.049260,-31.657230,11.757592,3.705330
0.020000,242.495221,47.446511,51.445702,15.420661,-31.429943,11.364356,3.701166
0.020000,242.244112,47.289933,51.741629,14.796337,-31.216212,10.686529,3.697112
0.020000,242.002930,47.140881,52.025151,14.176134,-31.010136,10.303828,3.693173
0.020000,241.771682,46.999205,52.296348,13.559837,-30.814856,9.763985,3.689356
0.020000,241.550376,46.864760,52.555292,12.947188,-30.632456,9.120010,3.685666
0.020000,241.339018,46.737405,52.802054,12.338097,-30.454564,8.894612,3.682108
0.020000,241.137617,46.617005,53.036699,11.732285,-30.290557,8.200310,3.678687
0.020000,240.946180,46.503431,53.259291,11.129595,-30.134543,7.800741,3.675409
