dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,163.000000,80.002235,0.001735,0.173489,8.674466,433.723300,4.712561
0.020000,163.000000,80.001981,0.001989,0.012705,-8.039219,-835.684258,4.712541
0.020000,163.000000,80.001408,0.002562,0.028642,0.796838,441.802871,4.712497
0.020000,163.000000,80.000386,0.003584,0.051109,1.123349,16.325515,4.712419
0.020000,162.999999,79.967659,0.036311,1.636369,79.262995,3906.982341,4.712300
0.020000,162.999989,79.910069,0.093902,2.879515,62.157297,-855.284912,4.712141
0.020000,162.999964,79.838053,0.165917,3.600779,36.063248,-1304.702455,4.711939
0.020000,162.999914,79.751594,0.252376,4.322946,36.108326,2.253904,4.711694
0.020000,162.999830,79.650669,0.353302,5.046272,36.166293,2.898350,4.711404
0.020000,162.999696,79.535252,0.468718,5.770835,36.228153,3.093017,4.711067
0.020000,162.999500,79.405314,0.598657,6.496931,36.304786,3.831622,4.710680
0.020000,162.999221,79.260820,0.743151,7.224706,36.388750,4.198186,4.710241
0.020000,162.998840,79.101734,0.902237,7.954304,36.479913,4.558150,4.709748
0.020000,162.998334,78.928014,1.075958,8.686035,36.586551,5.331926,4.709196
0.020000,162.997675,78.739616,1.264357,9.419976,36.697038,5.524338,4.708583
0.020000,162.996833,78.536489,1.467485,10.156406,36.821497,6.222964,4.707905
0.020000,162.995775,78.318582,1.685395,10.895477,36.953559,6.603112,4.707157
0.020000,162.994462,78.085836,1.918145,11.637492,37.100749,7.359491,4.706335
0.020000,162.992852,77.838191,2.165795,12.382517,37.251259,7.525478,4.705435
0.020000,162.990897,77.575580,2.428413,13.130903,37.419292,8.401660,4.704451
0.020000,162.988545,77.297934,2.706070,13.882816,37.595681,8.819444,4.703377
0.020000,162.985736,77.005179,2.998838,14.638422,37.780262,9.229039,4.702209
0.020000,162.982407,76.697234,3.306801,15.398141,37.985942,10.284027,4.700940
0.020000,162.978485,76.374018,3.630041,16.161997,38.192807,10.343253,4.699563
0.020000,162.973891,76.035442,3.968648,16.930365,38.418440,11.281638,4.698072
0.020000,162.968538,75.681414,4.322717,17.703447,38.654096,11.782813,4.696459
0.020000,162.962330,75.311832,4.692351,18.481696,38.912416,12.915994,4.694716
0.020000,162.955161,74.926596,5.077653,19.265098,39.170094,12.883902,4.692836
0.020000,162.946915,74.525598,5.478736,20.054144,39.452343,14.112457,4.690809
0.020000,162.937465,74.108724,5.895717,20.849077,39.746612,14.713440,4.688627
0.020000,162.926672,73.675852,6.328723,21.650299,40.061123,15.725565,4.686280
0.020000,162.914383,73.226861,6.777883,22.457997,40.384874,16.187536,4.683758
0.020000,162.900433,72.761615,7.243338,23.272722,40.736278,17.570201,4.681050
0.020000,162.884638,72.279979,7.725233,24.094763,41.102064,18.289282,4.678146
0.020000,162.866800,71.781810,8.223721,24.924412,41.482413,19.017465,4.675032
0.020000,162.846703,71.266957,8.738966,25.762234,41.891128,20.435762,4.671697
0.020000,162.824111,70.735265,9.271138,26.608595,42.318037,21.345453,4.668128
