dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,137.000010,79.984027,0.001728,0.172765,8.638260,431.912987,4.713618
0.020000,137.000007,79.986066,0.003767,0.101945,-3.541014,-608.963711,4.713461
0.020000,137.000003,79.990655,0.008355,0.229435,6.374493,495.775352,4.713108
0.020000,137.000000,79.998816,0.016517,0.408085,8.932497,127.900203,4.712480
0.020000,136.999988,79.972395,0.042938,1.321060,45.648757,1835.813013,4.711498
0.020000,136.999918,79.928625,0.086709,2.188537,43.373871,-113.744293,4.710081
0.020000,136.999723,79.869119,0.146214,2.975270,39.336624,-201.862356,4.708146
0.020000,136.999295,79.791531,0.223804,3.879493,45.211154,293.726518,4.705609
0.020000,136.998485,79.694755,0.320583,4.838963,47.973511,138.117859,4.702422
0.020000,136.997108,79.578931,0.436416,5.791628,47.633260,-17.012591,4.698574
0.020000,136.994943,79.444229,0.571134,6.735922,47.214711,-20.927431,4.694053
0.020000,136.991732,79.290857,0.724540,7.670290,46.718360,-24.817555,4.688842
0.020000,136.987178,79.119051,0.896407,8.593316,46.151337,-28.351156,4.682926
0.020000,136.980950,78.929078,1.086482,9.503785,45.523423,-31.395674,4.676284
0.020000,136.972675,78.721238,1.294486,10.400198,44.820659,-35.138219,4.668894
0.020000,136.961949,78.495885,1.520095,11.280419,44.011069,-40.479503,4.660733
0.020000,136.948326,78.253392,1.762970,12.143756,43.166842,-42.211337,4.651773
0.020000,136.931325,77.994183,2.022736,12.988294,42.226876,-46.998285,4.641986
0.020000,136.910431,77.718716,2.298994,13.812935,41.232061,-49.740763,4.631342
0.020000,136.885093,77.427497,2.591314,14.615964,40.151429,-54.031618,4.619807
0.020000,136.854722,77.121062,2.899250,15.396825,39.043084,-55.417231,4.607347
0.020000,136.818702,76.799993,3.222333,16.154164,37.866942,-58.807127,4.593925
0.020000,136.776380,76.464920,3.560068,16.886751,36.629368,-61.878687,4.579505
0.020000,136.727074,76.116492,3.911967,17.594952,35.410052,-60.965815,4.564047
0.020000,136.670073,75.755401,4.277530,18.278146,34.159692,-62.517963,4.547515
0.020000,136.604634,75.382357,4.656270,18.936996,32.942486,-60.860319,4.529869
0.020000,136.529986,74.998090,5.047720,19.572504,31.775380,-58.355322,4.511076
0.020000,136.445331,74.603335,5.451451,20.186537,30.701668,-53.685562,4.491100
0.020000,136.349834,74.198812,5.867093,20.782084,29.777346,-46.216100,4.469915
0.020000,136.242627,73.785228,6.294346,21.362638,29.027725,-37.481043,4.447496
0.020000,136.122802,73.363242,6.733015,21.933463,28.541227,-24.324916,4.423830
0.020000,135.989397,72.933451,7.183034,22.500938,28.373766,-8.373051,4.398910
0.020000,135.841388,72.496375,7.644490,23.072804,28.593295,10.976437,4.372744
0.020000,135.677675,72.052431,8.117658,23.658419,29.280745,34.372530,4.345352
0.020000,135.497059,71.601919,8.603028,24.268475,30.502771,61.101267,4.316773
0.020000,135.298228,71.145005,9.101329,24.915084,32.330484,91.385664,4.287062
0.020000,135.079730,70.681725,9.613549,25.610983,34.794928,123.222213,4.256296
0.020000,134.839957,70.211982,10.140947,26.369932,37.947464,157.626793,4.224572
0.020000,134.577131,69.735562,10.685057,27.205451,41.775950,191.424308,4.192006
0.020000,134.289292,69.252157,11.247668,28.130559,46.255394,223.972190,4.158738
0.020000,133.974304,68.761407,11.830808,29.157029,51.323516,253.406083,4.124922
0.020000,133.629869,68.262940,12.436700,30.294580,56.877550,277.701699,4.090730
0.020000,133.253561,67.756422,13.067706,31.550297,62.785851,295.415074,4.056345
0.020000,132.842862,67.241607,13.726270,32.928233,68.896796,305.547243,4.021952
0.020000,132.395228,66.718380,14.414851,34.429040,75.040354,307.177915,3.987743
0.020000,131.908143,66.186790,15.135850,36.049929,81.044426,300.203583,3.953900
0.020000,131.379193,65.647072,15.891551,37.785039,86.755526,285.554984,3.920601
0.020000,130.806128,65.099649,16.684063,39.625608,92.028446,263.645999,3.888008
0.020000,130.186914,64.545124,17.515281,41.560917,96.765431,236.849265,3.856265
0.020000,129.519785,63.984254,18.386853,43.578590,100.883681,205.912513,3.825500
0.020000,128.803262,63.417916,19.300167,45.665710,104.355998,173.615823,3.795819
0.020000,128.036178,62.847071,20.256348,47.809032,107.166096,140.504893,3.767310
0.020000,127.217672,62.272713,21.256268,49.996003,109.348514,109.120904,3.740038
0.020000,126.347173,61.695833,22.300567,52.214933,110.946542,79.901429,3.714054
0.020000,125.424385,61.117376,23.389671,54.455248,112.015715,53.458627,3.689390
0.020000,124.449251,60.538213,24.523830,56.707946,112.634936,30.961056,3.666065
0.020000,123.421924,59.959108,25.703137,58.965322,112.868762,11.691279,3.644087
0.020000,122.342726,59.380698,26.927566,61.221437,112.805787,-3.148718,3.623453
0.020000,121.212119,58.803478,28.196996,63.471532,112.504717,-15.053503,3.604155
0.020000,120.030670,58.227792,29.511240,65.712191,112.032937,-23.589001,3.586176
0.020000,118.799017,57.653822,30.870067,67.941363,111.458608,-28.716458,3.569501
0.020000,117.618100,57.125538,32.163762,64.684745,-162.830891,-13714.474956,3.554966
0.020000,116.349103,56.583428,33.543704,68.997066,215.616057,18922.347422,3.535663
0.020000,115.048747,56.057658,34.946330,70.131310,56.712223,-7945.191709,3.515979
0.020000,113.716571,55.549564,36.372111,71.289067,57.887834,58.780565,3.495949
0.020000,112.352119,55.060473,37.821573,72.473089,59.201081,65.662316,3.475615
0.020000,110.954924,54.591686,39.295314,73.687060,60.698565,74.874234,3.455023
0.020000,109.524525,54.144481,40.793992,74.933885,62.341245,82.133997,3.434222
0.020000,108.060474,53.720105,42.318308,76.215805,64.096015,87.738467,3.413267
0.020000,106.562313,53.319757,43.869039,77.536539,66.036705,97.034535,3.392218
0.020000,105.029610,52.944592,45.446989,78.897505,68.048269,100.578178,3.371136
0.020000,103.461947,52.595708,47.053005,80.300795,70.164527,105.812893,3.350087
0.020000,101.858926,52.274134,48.687962,81.747891,72.354786,109.512970,3.329138
0.020000,100.221643,51.981075,50.351266,83.165170,70.863928,-74.542897,3.308375
0.020000,98.552746,51.717751,52.040810,84.477202,65.601628,-263.114997,3.287904
0.020000,96.855005,51.485058,53.754423,85.680656,60.172670,-271.447893,3.267822
0.020000,95.131305,51.283567,55.489859,86.771815,54.557965,-280.735283,3.248223
0.020000,93.384652,51.113525,57.244770,87.745521,48.685293,-293.633608,3.229191
0.020000,91.618159,50.974863,59.016697,88.596370,42.542463,-307.141474,3.210804
0.020000,89.836468,50.867283,60.801632,89.246764,32.519679,-501.139188,3.193142
0.020000,88.045898,50.790152,62.593863,89.611541,18.238861,-714.040931,3.176290
0.020000,86.251473,50.742358,64.388924,89.753055,7.075724,-558.156816,3.160301
0.020000,84.456761,50.722460,66.183747,89.741134,-0.596078,-383.590119,3.145206
0.020000,82.665382,50.728820,67.975137,89.569525,-8.580451,-399.218630,3.131025
0.020000,80.881001,50.759636,69.759784,89.232337,-16.859401,-413.947532,3.117769
0.020000,79.107319,50.812966,71.534268,88.724183,-25.407664,-427.413115,3.105440
0.020000,77.348066,50.886763,73.295068,88.039999,-34.209218,-440.077711,3.094035
0.020000,75.605499,50.978988,75.040073,87.250278,-39.486066,-263.842392,3.083531
0.020000,73.880257,51.087722,76.768739,86.433285,-40.849612,-68.177341,3.073897
0.020000,72.172827,51.211137,78.480624,85.594225,-41.953010,-55.169895,3.065098
0.020000,70.483661,51.347497,80.175284,84.733020,-43.060287,-55.363859,3.057101
0.020000,68.813176,51.495155,81.852282,83.849899,-44.156012,-54.786216,3.049871
0.020000,67.161758,51.652552,83.511184,82.945124,-45.238781,-54.138478,3.043376
0.020000,65.529762,51.818219,85.151567,82.019136,-46.299386,-53.030255,3.037582
0.020000,63.917522,51.990774,86.773016,81.072421,-47.335755,-51.818422,3.032458
