Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 209.998433, 161.000000, 0.002759, 0.275862, 13.793103, 689.655172, 3.141602, 
20, 209.988161, 161.000000, 0.013031, 0.513604, 11.887079, -95.301243, 3.141660, 
20, 209.965046, 160.999997, 0.036145, 1.155733, 32.106476, 1010.969875, 3.141792, 
20, 209.923945, 160.999984, 0.077247, 2.055064, 44.966526, 643.002509, 3.142026, 
20, 209.859703, 160.999944, 0.141489, 3.212130, 57.853296, 644.338487, 3.142389, 
20, 209.769718, 160.999850, 0.231474, 4.499215, 64.354286, 325.049502, 3.142894, 
20, 209.653948, 160.999662, 0.347244, 5.788524, 64.465440, 5.557708, 3.143538, 
20, 209.512335, 160.999331, 0.488858, 7.080676, 64.607586, 7.107306, 3.144315, 
20, 209.344810, 160.998799, 0.656383, 8.376279, 64.780171, 8.629254, 3.145222, 
20, 209.151293, 160.997996, 0.849902, 9.675930, 64.982541, 10.118454, 3.146251, 
20, 208.931692, 160.996847, 1.069506, 10.980209, 65.213935, 11.569728, 3.147396, 
20, 208.685903, 160.995267, 1.315299, 12.289679, 65.473530, 12.979741, 3.148648, 
20, 208.413814, 160.993162, 1.587397, 13.604888, 65.760428, 14.344926, 3.149998, 
20, 208.115299, 160.990437, 1.885924, 14.926362, 66.073689, 15.663047, 3.151438, 
20, 207.790225, 160.986989, 2.211017, 16.254609, 66.412340, 16.932515, 3.152956, 
20, 207.438449, 160.982710, 2.562819, 17.590117, 66.775401, 18.153044, 3.154541, 
20, 207.059818, 160.977495, 2.941486, 18.933354, 67.161895, 19.324743, 3.156182, 
20, 206.654171, 160.971232, 3.347182, 20.284772, 67.570893, 20.449874, 3.157866, 
20, 206.221338, 160.963813, 3.780078, 21.644802, 68.001503, 21.530494, 3.159580, 
20, 205.761143, 160.955133, 4.240355, 23.013861, 68.452921, 22.570896, 3.161309, 
20, 205.273399, 160.945089, 4.728202, 24.392350, 68.924442, 23.576046, 3.163040, 
20, 204.757914, 160.933584, 5.243815, 25.780659, 69.415492, 24.552544, 3.164756, 
20, 204.214488, 160.920530, 5.787398, 27.179172, 69.925644, 25.507586, 3.166444, 
20, 203.642911, 160.905847, 6.359164, 28.588265, 70.454654, 26.450475, 3.168085, 
20, 203.042968, 160.889468, 6.959330, 30.008315, 71.002479, 27.391261, 3.169664, 
20, 202.414435, 160.871340, 7.588124, 31.439701, 71.569316, 28.341831, 3.171162, 
20, 201.757081, 160.851427, 8.245780, 32.882814, 72.155617, 29.315063, 3.172563, 
20, 201.070663, 160.829710, 8.932541, 34.338056, 72.762132, 30.325780, 3.173846, 
20, 200.354932, 160.806195, 9.648659, 35.805855, 73.389937, 31.390209, 3.174994, 
20, 199.609628, 160.780909, 10.394392, 37.286664, 74.040465, 32.526430, 3.175985, 
20, 198.834478, 160.753909, 11.170011, 38.780975, 74.715549, 33.754178, 3.176800, 
20, 198.029200, 160.725282, 11.975798, 40.289325, 75.417463, 35.095700, 3.177415, 
20, 197.193497, 160.695149, 12.812044, 41.812304, 76.148966, 36.575164, 3.177810, 
20, 196.327058, 160.663671, 13.679055, 43.350571, 76.913356, 38.219508, 3.177961, 
20, 195.429553, 160.631048, 14.577153, 44.904862, 77.714530, 40.058675, 3.177842, 
20, 194.500638, 160.597531, 15.506673, 46.476003, 78.557047, 42.125849, 3.177428, 
20, 193.539944, 160.563419, 16.467971, 48.064927, 79.446209, 44.458144, 3.176691, 
20, 192.547085, 160.529070, 17.461425, 49.672690, 80.388152, 47.097114, 3.175603, 
20, 191.521644, 160.494905, 18.487435, 51.300489, 81.389938, 50.089295, 3.174133, 
20, 190.463180, 160.461416, 19.546428, 52.949682, 82.459684, 53.487330, 3.172248, 
20, 189.371220, 160.429172, 20.638865, 54.621816, 83.606694, 57.350496, 3.169912, 
20, 188.245255, 160.398829, 21.765238, 56.318648, 84.841608, 61.745704, 3.167087, 
20, 187.084742, 160.371140, 22.926081, 58.042180, 86.176592, 66.749166, 3.163733, 
20, 185.889093, 160.346965, 24.121975, 59.794691, 87.625529, 72.446855, 3.159805, 
20, 184.657674, 160.327285, 25.353551, 61.578776, 89.204253, 78.936204, 3.155254, 
20, 183.389804, 160.313219, 26.621498, 63.397392, 90.930795, 86.327105, 3.150027, 
20, 182.084746, 160.306037, 27.926576, 65.253905, 92.825667, 94.743611, 3.144066, 
20, 180.741704, 160.307183, 29.269619, 67.152148, 94.912142, 104.323742, 3.137306, 
20, 179.359819, 160.318298, 30.651549, 69.096479, 97.216546, 115.220183, 3.129678, 
20, 177.938167, 160.341247, 32.073386, 71.091849, 99.768525, 127.598957, 3.121101, 
20, 176.475755, 160.378151, 33.536264, 73.143875, 102.601276, 141.637559, 3.111489, 
20, 174.971520, 160.431427, 35.041442, 75.258907, 105.751595, 157.515962, 3.100746, 
20, 173.424331, 160.503825, 36.590324, 77.444102, 109.259783, 175.409384, 3.088762, 
20, 171.832994, 160.598487, 38.184473, 79.707485, 113.169134, 195.467570, 3.075418, 
20, 170.196266, 160.719003, 39.825633, 82.057982, 117.524836, 217.785063, 3.060580, 
20, 168.512869, 160.869479, 41.515741, 84.505422, 122.371995, 242.357953, 3.044098, 
20, 166.781530, 161.054616, 43.256951, 87.060466, 127.752223, 269.011436, 3.025806, 
20, 165.001025, 161.279802, 45.051639, 89.734431, 133.698233, 297.300490, 3.005523, 
20, 163.173511, 161.550687, 46.899121, 92.374059, 131.981392, -85.842054, 2.983088, 
20, 161.304795, 161.872839, 48.795401, 94.814030, 121.998552, -499.142002, 2.958383, 
20, 159.401318, 162.251949, 50.736265, 97.043191, 111.458089, -527.023135, 2.931310, 
20, 157.470306, 162.693670, 52.717154, 99.044466, 100.063729, -569.717989, 2.901793, 
20, 155.519944, 163.203401, 54.733026, 100.793584, 87.455916, -630.390692, 2.869796, 
20, 153.556121, 163.787062, 56.781748, 102.436087, 82.125153, -266.538144, 2.835271, 
20, 151.582479, 164.451449, 58.864216, 104.123401, 84.365701, 112.027389, 2.798149, 
20, 149.603933, 165.203308, 60.980802, 105.829289, 85.294395, 46.434743, 2.758401, 
20, 147.626848, 166.049028, 63.131176, 107.518720, 84.471527, -41.143398, 2.716052, 
20, 145.659146, 166.994251, 65.314131, 109.147767, 81.452362, -150.958291, 2.671195, 
20, 143.710319, 168.043414, 67.527425, 110.664694, 75.846364, -280.299893, 2.624003, 
20, 141.791270, 169.199258, 69.767677, 112.012582, 67.394366, -422.599901, 2.574736, 
20, 139.913978, 170.462375, 72.030349, 113.133617, 56.051776, -567.129500, 2.523742, 
20, 138.090974, 171.830860, 74.309844, 113.974757, 42.056995, -699.739013, 2.471453, 
20, 136.334649, 173.300169, 76.599723, 114.493948, 25.959569, -804.871326, 2.418365, 
20, 134.656508, 174.863221, 78.893037, 114.665701, 8.587643, -868.596283, 2.365012, 
20, 133.066444, 176.510763, 81.182731, 114.484710, -9.049543, -881.859296, 2.311938, 
20, 131.572173, 178.231958, 83.462063, 113.966601, -25.905475, -842.796641, 2.259662, 
20, 130.178901, 180.015091, 85.724976, 113.145601, -41.049998, -757.226116, 2.208650, 
20, 128.889251, 181.848300, 87.966371, 112.069763, -53.791880, -637.094130, 2.159294, 
20, 127.703431, 183.720207, 90.182269, 110.794918, -63.742254, -497.518685, 2.111901, 
20, 126.619583, 185.620404, 92.369842, 109.378653, -70.813264, -353.550503, 2.066689, 
20, 125.634219, 187.539751, 94.527349, 107.875342, -75.165563, -217.614929, 2.023791, 
20, 124.742687, 189.470511, 96.654004, 106.332743, -77.129929, -98.218306, 1.983268, 
20, 123.939596, 191.406342, 98.749808, 104.790228, -77.125766, 0.208138, 1.945119, 
20, 123.219177, 193.342204, 100.815376, 103.278362, -75.593313, 76.622667, 1.909298, 
20, 122.575563, 195.274209, 102.851764, 101.819436, -72.946270, 132.352111, 1.875722, 
20, 122.002997, 197.199443, 104.860335, 100.428548, -69.544416, 170.092723, 1.844287, 
20, 121.495969, 199.115800, 106.842633, 99.114893, -65.682720, 193.084817, 1.814874, 
20, 121.049295, 201.021822, 108.800295, 97.883070, -61.591176, 204.577177, 1.787357, 
20, 120.658168, 202.916559, 110.734979, 96.734242, -57.441419, 207.487850, 1.761608, 
20, 120.318168, 204.799450, 112.648322, 95.667126, -53.355775, 204.282214, 1.737501, 
20, 120.025260, 206.670234, 114.541898, 94.678786, -49.416988, 196.939356, 1.714915, 
20, 119.775774, 208.528869, 116.417202, 93.765234, -45.677607, 186.969061, 1.693735, 
20, 119.566386, 210.375474, 118.275640, 92.921888, -42.167306, 175.515012, 1.673853, 
20, 119.394087, 212.210279, 120.118518, 92.143895, -38.899653, 163.382676, 1.655168, 
20, 119.256157, 214.033597, 121.947045, 91.426361, -35.876691, 151.148074, 1.637587, 
20, 119.150135, 215.845788, 123.762335, 90.764504, -33.092857, 139.191704, 1.621025, 
20, 119.073796, 217.647247, 125.565410, 90.153750, -30.537704, 127.757658, 1.605402, 
20, 119.025125, 219.438381, 127.357206, 89.589792, -28.197906, 116.989921, 1.590648, 
20, 119.002293, 221.219607, 129.138579, 89.068620, -26.058605, 106.965039, 1.576695, 
20, 119.002566, 222.964595, 130.883566, 87.249385, -90.961756, -3245.157551, 1.565456, 
20, 119.020275, 224.692911, 132.611973, 86.420320, -41.453206, 2475.427509, 1.555578, 
20, 119.055554, 226.426749, 134.346170, 86.709859, 14.476910, 2796.505783, 1.545255, 
20, 119.109322, 228.166206, 136.086457, 87.014371, 15.225596, 37.434318, 1.534463, 
20, 119.182553, 229.911364, 137.833152, 87.334737, 16.018342, 39.637289, 1.523178, 
20, 119.276282, 231.662295, 139.586589, 87.671870, 16.856605, 41.913123, 1.511374, 
20, 119.391611, 233.419047, 141.347123, 88.026700, 17.741504, 44.244981, 1.499024, 
20, 119.529710, 235.181649, 143.115127, 88.400175, 18.673748, 46.612210, 1.486100, 
20, 119.691823, 236.950099, 144.890992, 88.793243, 19.653434, 48.984281, 1.472571, 
20, 119.879273, 238.724361, 146.675129, 89.206841, 20.679896, 51.323083, 1.458405, 
20, 120.093466, 240.504358, 148.467966, 89.641871, 21.751486, 53.579499, 1.443571, 
20, 120.335891, 242.289960, 150.269950, 90.099176, 22.865271, 55.689278, 1.428032, 
20, 120.608130, 244.080978, 152.081540, 90.579512, 24.016786, 57.575736, 1.411754, 
20, 120.911854, 245.877150, 153.903210, 91.083504, 25.199608, 59.141086, 1.394701, 
20, 121.248829, 247.678128, 155.735442, 91.611604, 26.404981, 60.268684, 1.376835, 
20, 121.620913, 249.483464, 157.578723, 92.164031, 27.621334, 60.817643, 1.358119, 
20, 122.030056, 251.292590, 159.433537, 92.740706, 28.833794, 60.622980, 1.338516, 
20, 122.478295, 253.104802, 161.300360, 93.341179, 30.023654, 59.493010, 1.317988, 
20, 122.967745, 254.919236, 163.179651, 93.964536, 31.167845, 57.209544, 1.296502, 
20, 123.500588, 256.734848, 165.071837, 94.609306, 32.238490, 53.532250, 1.274023, 
20, 124.079057, 258.550386, 166.977304, 95.273356, 33.202516, 48.201304, 1.250522, 
20, 124.705411, 260.364369, 168.896380, 95.953786, 34.021496, 40.948994, 1.225974, 
20, 125.381911, 262.175057, 170.829316, 96.646821, 34.651743, 31.512346, 1.200359, 
20, 126.110778, 263.980433, 172.776271, 97.347718, 35.044823, 19.654035, 1.173666, 
20, 126.894155, 265.778181, 174.737285, 98.050690, 35.148591, 5.188369, 1.145891, 
20, 127.734050, 267.565668, 176.712262, 98.748866, 34.908842, -11.987423, 1.117041, 
20, 128.632282, 269.339943, 178.700948, 99.434301, 34.271717, -31.856248, 1.087137, 
20, 129.590414, 271.097734, 180.702909, 100.098038, 33.186839, -54.243912, 1.056210, 
20, 130.609686, 272.835468, 182.717514, 100.730260, 31.611138, -78.785038, 1.024311, 
20, 131.690945, 274.549299, 184.743924, 101.320524, 29.513170, -104.898398, 0.991503, 
20, 132.834036, 276.234389, 186.780142, 101.810877, 24.517678, -249.774633, 0.957884, 
20, 134.036040, 277.882980, 188.820403, 102.013071, 10.109667, -720.400535, 0.923627, 
20, 135.291315, 279.485571, 190.856088, 101.784251, -11.440958, -1077.531272, 0.888972, 
20, 136.592848, 281.033327, 192.878349, 101.113026, -33.561251, -1106.014609, 0.854174, 
20, 137.932356, 282.518301, 194.878206, 99.992871, -56.007774, -1122.326188, 0.819501, 
20, 139.301117, 283.934304, 196.847615, 98.470437, -76.121694, -1005.695971, 0.785203, 
20, 140.692204, 285.278707, 198.782180, 96.728272, -87.108263, -549.328449, 0.751465, 
20, 142.100363, 286.551448, 200.680280, 94.904958, -91.165675, -202.870613, 0.718409, 
20, 143.520411, 287.753043, 202.540486, 93.010301, -94.732843, -178.358426, 0.686147, 
20, 144.947332, 288.884547, 204.361585, 91.054984, -97.765853, -151.650459, 0.654772, 
20, 146.376354, 289.947496, 206.142586, 89.050059, -100.246275, -124.021139, 0.624359, 
20, 147.803012, 290.943838, 207.882716, 87.006485, -102.178697, -96.621060, 0.594969, 
20, 149.223185, 291.875864, 209.581411, 84.934747, -103.586910, -70.410661, 0.566645, 
20, 150.633126, 292.746126, 211.238302, 82.844559, -104.509369, -46.122947, 0.539414, 
20, 152.029464, 293.557372, 212.853196, 80.744668, -104.994575, -24.260306, 0.513293, 
20, 153.409207, 294.312476, 214.426050, 78.642733, -105.096767, -5.109590, 0.488284, 
20, 154.769723, 295.014380, 215.956956, 76.545288, -104.872211, 11.227790, 0.464380, 
20, 156.108721, 295.666045, 217.446111, 74.457762, -104.376294, 24.795825, 0.441565, 
20, 157.424226, 296.270408, 218.893802, 72.384535, -103.661355, 35.746974, 0.419819, 
20, 158.714549, 296.830350, 220.300383, 70.329029, -102.775318, 44.301830, 0.399113, 
20, 159.978259, 297.348669, 221.666259, 68.293812, -101.760847, 50.723552, 0.379417, 
20, 161.214154, 297.828061, 222.991873, 66.280712, -100.655012, 55.291752, 0.360696, 
20, 162.421233, 298.271107, 224.277692, 64.290923, -99.489422, 58.279498, 0.342914, 
20, 163.598670, 298.680265, 225.524194, 62.325115, -98.290414, 59.950425, 0.326035, 
20, 164.745791, 299.057864, 226.731864, 60.383524, -97.079570, 60.542169, 0.310021, 
20, 165.862053, 299.406104, 227.901185, 58.466039, -95.874212, 60.267928, 0.294835, 
20, 166.947023, 299.727054, 229.032631, 56.572281, -94.687940, 59.313586, 0.280440, 
20, 168.000364, 300.022659, 230.126664, 54.701656, -93.531215, 57.836237, 0.266802, 
20, 169.021816, 300.294740, 231.183732, 52.853420, -92.411805, 55.970527, 0.253885, 
20, 170.011190, 300.544999, 232.204267, 51.026714, -91.335319, 53.824288, 0.241656, 
20, 170.968349, 300.775028, 233.188679, 49.220604, -90.305514, 51.490246, 0.230084, 
20, 171.893205, 300.986310, 234.137361, 47.434109, -89.324750, 49.038189, 0.219139, 
20, 172.785705, 301.180228, 235.050685, 45.666224, -88.394220, 46.526502, 0.208791, 
20, 173.645831, 301.358069, 235.929004, 43.915940, -87.514217, 44.000164, 0.199015, 
20, 174.473587, 301.521031, 236.772649, 42.182253, -86.684358, 41.492976, 0.189783, 
20, 175.269000, 301.670227, 237.581933, 40.464178, -85.903758, 39.029998, 0.181073, 
20, 176.032109, 301.806691, 238.357148, 38.760755, -85.171104, 36.632658, 0.172861, 
20, 176.762969, 301.931384, 239.098569, 37.071057, -84.484905, 34.309981, 0.165127, 
20, 177.461644, 302.045197, 239.806453, 35.394189, -83.843415, 32.074502, 0.157851, 
20, 178.128202, 302.148956, 240.481039, 33.729292, -83.244841, 29.928679, 0.151014, 
20, 178.762719, 302.243426, 241.122549, 32.075546, -82.687329, 27.875592, 0.144599, 
20, 179.365272, 302.329315, 241.731193, 30.432166, -82.168986, 25.917148, 0.138590, 
20, 179.935939, 302.407278, 242.307161, 28.798405, -81.688029, 24.047867, 0.132973, 
20, 180.474800, 302.477919, 242.850632, 27.173553, -81.242624, 22.270276, 0.127734, 
20, 180.981932, 302.541793, 243.361771, 25.556931, -80.831099, 20.576249, 0.122860, 
20, 181.457411, 302.599414, 243.840728, 23.947895, -80.451812, 18.964305, 0.118339, 
20, 181.901311, 302.651250, 244.287645, 22.345830, -80.103225, 17.429371, 0.114162, 
20, 182.313703, 302.697730, 244.702648, 20.750152, -79.783929, 15.964807, 0.110316, 
20, 182.694653, 302.739247, 245.085854, 19.160301, -79.492537, 14.569595, 0.106795, 
20, 183.044225, 302.776155, 245.437369, 17.575743, -79.227872, 13.233248, 0.103590, 
20, 183.362477, 302.808775, 245.757288, 15.995968, -78.988768, 11.955187, 0.100693, 
20, 183.649464, 302.837394, 246.045698, 14.420484, -78.774213, 10.727759, 0.098098, 
20, 183.905233, 302.862268, 246.302674, 12.848818, -78.583268, 9.547238, 0.095798, 
20, 184.129831, 302.883622, 246.528285, 11.280516, -78.415116, 8.407628, 0.093790, 
20, 184.323295, 302.901652, 246.722587, 9.715136, -78.269015, 7.305045, 0.092068, 
20, 184.485660, 302.916525, 246.885632, 8.152249, -78.144332, 6.234162, 0.090628, 
20, 184.616955, 302.928380, 247.017461, 6.591439, -78.040523, 5.190416, 0.089467, 
20, 184.717202, 302.937328, 247.118107, 5.032296, -77.957121, 4.170128, 0.088583, 
20, 184.787252, 302.943528, 247.188430, 3.516156, -75.806987, 107.506687, 0.087967, 
20, 184.831047, 302.947382, 247.232395, 2.198246, -65.895505, 495.574080, 0.087582, 
20, 184.854797, 302.949465, 247.256236, 1.192064, -50.309129, 779.318826, 0.087373, 
20, 184.864706, 302.950333, 247.266183, 0.497327, -34.736822, 778.615364, 0.087286, 
20, 184.866975, 302.950531, 247.268461, 0.113898, -19.171460, 778.268098, 0.087266, 
20, 184.866975, 302.950531, 247.268461, 0.000000, -5.694909, 673.827520, 0.087266, 
