Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 293.000000, 198.001976, 0.002388, 0.238806, 11.940299, 597.014925, 1.570788, 
20, 293.000000, 198.012078, 0.012490, 0.505112, 13.315304, 68.750274, 1.570746, 
20, 293.000003, 198.034802, 0.035215, 1.136216, 31.555202, 911.994882, 1.570651, 
20, 293.000011, 198.072659, 0.073071, 1.892814, 37.829895, 313.734689, 1.570494, 
20, 293.000033, 198.125621, 0.126033, 2.648095, 37.764028, -3.293391, 1.570278, 
20, 293.000077, 198.193651, 0.194063, 3.401535, 37.671999, -4.601436, 1.570005, 
20, 293.000157, 198.276703, 0.277116, 4.152614, 37.553987, -5.900606, 1.569678, 
20, 293.000285, 198.374720, 0.375132, 4.900818, 37.410210, -7.188829, 1.569303, 
20, 293.000477, 198.487632, 0.488045, 5.645637, 37.240924, -8.464332, 1.568883, 
20, 293.000751, 198.615363, 0.615776, 6.386565, 37.046404, -9.725970, 1.568426, 
20, 293.001124, 198.757825, 0.758238, 7.123104, 36.826943, -10.973033, 1.567938, 
20, 293.001613, 198.914919, 0.915333, 7.854761, 36.582837, -12.205308, 1.567427, 
20, 293.002237, 199.086539, 1.086954, 8.581048, 36.314368, -13.423440, 1.566901, 
20, 293.003012, 199.272567, 1.272984, 9.301484, 36.021796, -14.628624, 1.566368, 
20, 293.003953, 199.472877, 1.473296, 10.015591, 35.705336, -15.823018, 1.565839, 
20, 293.005072, 199.687332, 1.687754, 10.722894, 35.365146, -17.009493, 1.565324, 
20, 293.006379, 199.915786, 1.916212, 11.422920, 35.001305, -18.192023, 1.564834, 
20, 293.007880, 200.158086, 2.158516, 12.115196, 34.613797, -19.375427, 1.564381, 
20, 293.009576, 200.414065, 2.414501, 12.799245, 34.202482, -20.565743, 1.563978, 
20, 293.011461, 200.683550, 2.683993, 13.474587, 33.767081, -21.770032, 1.563638, 
20, 293.013525, 200.966357, 2.966807, 14.140730, 33.307147, -22.996698, 1.563376, 
20, 293.015749, 201.262292, 3.262751, 14.797171, 32.822039, -24.255424, 1.563206, 
20, 293.018106, 201.571151, 3.571619, 15.443388, 32.310893, -25.557295, 1.563143, 
20, 293.020560, 201.892718, 3.893195, 16.078840, 31.772593, -26.915001, 1.563206, 
20, 293.023066, 202.226768, 4.227254, 16.702955, 31.205735, -28.342880, 1.563410, 
20, 293.025565, 202.573062, 4.573557, 17.315127, 30.608593, -29.857125, 1.563775, 
20, 293.027988, 202.931348, 4.931851, 17.914708, 29.979073, -31.475971, 1.564320, 
20, 293.030253, 203.301361, 5.301871, 18.501002, 29.314676, -33.219883, 1.565064, 
20, 293.032262, 203.682821, 5.683336, 19.073251, 28.612438, -35.111889, 1.566031, 
20, 293.033902, 204.075430, 6.075949, 19.630628, 27.868882, -37.177778, 1.567242, 
20, 293.035046, 204.478873, 6.479393, 20.172227, 27.079951, -39.446549, 1.568722, 
20, 293.035546, 204.892813, 6.893334, 20.697046, 26.240936, -41.950770, 1.570497, 
20, 293.035238, 205.316893, 7.317414, 21.203974, 25.346395, -44.727073, 1.572594, 
20, 293.033938, 205.750726, 7.751249, 21.691775, 24.390061, -47.816693, 1.575043, 
20, 293.031441, 206.193900, 8.194431, 22.159070, 23.364740, -51.266044, 1.577875, 
20, 293.027520, 206.645970, 8.646517, 22.604314, 22.262188, -55.127605, 1.581125, 
20, 293.021927, 207.106451, 9.107032, 23.025773, 21.072983, -59.460216, 1.584828, 
