dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,204.999711,138.000000,0.001994,0.199382,9.969119,498.455944,3.141570
0.020000,204.999735,138.000000,0.002018,0.001214,-9.908407,-993.876272,3.141572
0.020000,204.999790,138.000000,0.002074,0.002777,0.078144,499.327553,3.141577
0.020000,204.999892,138.000000,0.002175,0.005091,0.115706,1.878086,3.141584
0.020000,204.982720,138.000000,0.019348,0.858633,42.677091,2128.069217,3.141597
0.020000,204.913186,137.999999,0.088882,3.476689,130.902812,4411.286065,3.141616
0.020000,204.823813,137.999996,0.178255,4.468647,49.597875,-4065.246836,3.141643
0.020000,204.714622,137.999988,0.287446,5.459559,49.545605,-2.613527,3.141679
0.020000,204.585638,137.999974,0.416430,6.449205,49.482296,-3.165430,3.141727
0.020000,204.436891,137.999950,0.565177,7.437325,49.406027,-3.813454,3.141787
0.020000,204.268417,137.999910,0.733651,8.423724,49.319935,-4.304581,3.141864
0.020000,204.080253,137.999850,0.921814,9.408153,49.221441,-4.924699,3.141961
0.020000,203.872446,137.999762,1.129622,10.390389,49.111811,-5.481500,3.142079
0.020000,203.645043,137.999635,1.357025,11.370155,48.988319,-6.174618,3.142224
0.020000,203.398097,137.999458,1.603970,12.347269,48.855653,-6.633307,3.142400
0.020000,203.131668,137.999215,1.870399,13.321451,48.709109,-7.327179,3.142611
0.020000,202.845819,137.998889,2.156249,14.292487,48.551791,-7.865932,3.142861
0.020000,202.540617,137.998457,2.461451,15.260103,48.380805,-8.549300,3.143156
0.020000,202.216135,137.997895,2.785934,16.224124,48.201050,-8.987748,3.143502
0.020000,201.872452,137.997170,3.129617,17.184187,48.003185,-9.893234,3.143905
0.020000,201.509651,137.996248,3.492420,18.140135,47.797404,-10.289051,3.144371
0.020000,201.127819,137.995086,3.874254,19.091672,47.576834,-11.028490,3.144907
0.020000,200.727052,137.993637,4.275023,20.038476,47.340207,-11.831333,3.145519
0.020000,200.307448,137.991845,4.694631,20.980414,47.096864,-12.167190,3.146216
0.020000,199.869113,137.989648,5.132972,21.917027,46.830683,-13.309019,3.147006
0.020000,199.412158,137.986973,5.589935,22.848135,46.555406,-13.763872,3.147898
0.020000,198.936701,137.983740,6.065402,23.773370,46.261713,-14.684633,3.148899
0.020000,198.442866,137.979858,6.559252,24.692508,45.956903,-15.240492,3.150020
0.020000,197.930786,137.975226,7.071353,25.605046,45.626927,-16.498832,3.151271
0.020000,197.400599,137.969730,7.601570,26.510821,45.288723,-16.910168,3.152662
0.020000,196.852449,137.963244,8.149757,27.409388,44.928361,-18.018125,3.154205
0.020000,196.286495,137.955629,8.715762,28.300255,44.543357,-19.250172,3.155911
0.020000,195.702901,137.946729,9.299425,29.183116,44.143048,-20.015453,3.157792
0.020000,195.101841,137.936376,9.900574,30.057472,43.717797,-21.262565,3.159861
0.020000,194.483498,137.924384,10.519033,30.922936,43.273197,-22.229977,3.162133
0.020000,193.848071,137.910547,11.154611,31.778883,42.797341,-23.792842,3.164622
0.020000,193.195769,137.894644,11.807106,32.624776,42.294661,-25.133967,3.167343
0.020000,192.526815,137.876431,12.476308,33.460096,41.765991,-26.433535,3.170312
0.020000,191.841446,137.855644,13.161993,34.284238,41.207123,-27.943379,3.173548
0.020000,191.139914,137.831995,13.863923,35.096509,40.613552,-29.678572,3.177067
0.020000,190.422496,137.805175,14.581842,35.895956,39.972335,-32.060838,3.180891
0.020000,189.689483,137.774846,15.315483,36.682036,39.303991,-33.417172,3.185038
0.020000,188.941189,137.740647,16.064558,37.453743,38.585365,-35.931319,3.189532
