dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,205.003099,164.000000,0.001745,0.174467,8.723328,436.166389,3.141354
0.020000,205.002714,164.000000,0.002130,0.019247,-7.760956,-824.214190,3.141384
0.020000,205.001847,164.000000,0.002997,0.043359,1.205566,448.326107,3.141451
0.020000,205.000302,164.000000,0.004542,0.077260,1.695069,24.475156,3.141569
0.020000,204.959702,163.999997,0.045141,2.029975,97.635739,4797.033496,3.141756
0.020000,204.893385,163.999977,0.111459,3.315885,64.295490,-1667.012462,3.142026
0.020000,204.803081,163.999921,0.201763,4.515183,59.964890,-216.529979,3.142396
0.020000,204.685068,163.999797,0.319776,5.900662,69.273990,465.454980,3.142885
0.020000,204.537446,163.999561,0.467398,7.381098,74.021804,237.390726,3.143504
0.020000,204.360146,163.999155,0.644698,8.865007,74.195446,8.682095,3.144259
0.020000,204.153084,163.998511,0.851761,10.353147,74.406987,10.577017,3.145156
0.020000,203.916160,163.997543,1.088688,11.846321,74.658675,12.584422,3.146203
0.020000,203.649261,163.996152,1.355590,13.345145,74.941209,14.126707,3.147408
0.020000,203.352257,163.994222,1.652600,14.850501,75.267812,16.330125,3.148782
0.020000,203.025004,163.991616,1.979863,16.363146,75.632263,18.222550,3.150336
0.020000,202.667345,163.988178,2.337539,17.883787,76.032013,19.987533,3.152083
0.020000,202.279102,163.983728,2.725808,19.413439,76.482612,22.529934,3.154035
0.020000,201.860085,163.978061,3.144863,20.952764,76.966263,24.182536,3.156208
0.020000,201.410084,163.970944,3.594920,22.502840,77.503814,26.877572,3.158618
0.020000,200.928876,163.962113,4.076209,24.064463,78.081116,28.865085,3.161284
0.020000,200.416217,163.951267,4.588984,25.638718,78.712749,31.581633,3.164225
0.020000,199.871845,163.938068,5.133515,27.226562,79.392220,33.973546,3.167461
0.020000,199.295483,163.922137,5.710097,28.829123,80.128043,36.791192,3.171015
0.020000,198.686832,163.903045,6.319048,30.447538,80.920748,39.635230,3.174911
0.020000,198.045574,163.880310,6.960708,32.082996,81.772902,42.607725,3.179177
0.020000,197.371374,163.853395,7.635445,33.736853,82.692865,45.998103,3.183840
0.020000,196.663877,163.821695,8.343652,35.410364,83.675556,49.134573,3.188930
0.020000,195.922705,163.784536,9.085756,37.105166,84.740083,53.226371,3.194480
0.020000,195.147465,163.741163,9.862207,38.822573,85.870351,56.513365,3.200525
0.020000,194.337744,163.690734,10.673497,40.564517,87.097188,61.341875,3.207103
0.020000,193.493111,163.632310,11.520149,42.332570,88.402666,65.273884,3.214254
