dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,170.787051,35.828218,0.001735,0.173481,8.674035,433.701751,2.353955
0.020000,170.787722,35.827545,0.002686,0.047541,-6.296981,-748.550786,2.354028
0.020000,170.789232,35.826028,0.004825,0.106985,2.972195,463.458769,2.354193
0.020000,170.791918,35.823333,0.008630,0.190255,4.163525,59.566493,2.354486
0.020000,170.796118,35.819120,0.014579,0.297428,5.358616,59.754591,2.354943
0.020000,170.802174,35.813053,0.023151,0.428625,6.559868,60.062593,2.355603
0.020000,170.789898,35.825320,0.040506,0.867740,21.955720,769.792573,2.356502
0.020000,170.722126,35.892972,0.136265,4.787946,196.010328,8702.730399,2.357678
0.020000,170.637365,35.977357,0.255870,5.980221,59.613754,-6819.828661,2.359153
0.020000,170.535570,36.078372,0.399279,7.170486,59.513244,-5.025547,2.360930
0.020000,170.416658,36.195917,0.566482,8.360153,59.483349,-1.494706,2.363013
0.020000,170.280557,36.329855,0.757435,9.547632,59.373929,-5.471001,2.365406
0.020000,170.127198,36.480007,0.972061,10.731318,59.184323,-9.480324,2.368115
0.020000,169.956523,36.646156,1.210253,11.909600,58.914078,-13.512262,2.371146
0.020000,169.768482,36.828046,1.471871,13.080859,58.562965,-17.555652,2.374503
0.020000,169.562852,37.025551,1.756988,14.255865,58.750314,9.367490,2.378197
0.020000,169.339641,37.238290,2.065340,15.417609,58.087185,-33.156475,2.382234
0.020000,169.098698,37.465999,2.396859,16.575965,57.917822,-8.468158,2.386624
0.020000,168.839882,37.708370,2.751442,17.729128,57.658110,-12.985577,2.391375
0.020000,168.563065,37.965045,3.128947,18.875270,57.307126,-17.549205,2.396500
0.020000,168.268125,38.235622,3.529198,20.012557,56.864351,-22.138766,2.402009
0.020000,167.954923,38.519680,3.952028,21.141484,56.446353,-20.899888,2.407914
0.020000,167.623254,38.816812,4.397328,22.264982,56.174879,-13.573723,2.414229
0.020000,167.272997,39.126500,4.864860,23.376614,55.581635,-29.662170,2.420969
0.020000,166.903987,39.448223,5.354425,24.478236,55.081055,-25.029009,2.428148
0.020000,166.516040,39.781431,5.865826,25.570065,54.591468,-24.479339,2.435782
0.020000,166.108987,40.125520,6.398826,26.650001,53.996797,-29.733580,2.443890
0.020000,165.682647,40.479851,6.953187,27.718035,53.401723,-29.753663,2.452488
0.020000,165.236796,40.843773,7.528706,28.775979,52.897200,-25.226172,2.461598
0.020000,164.771284,41.216527,8.125068,29.818062,52.104141,-39.652934,2.471238
0.020000,164.285915,41.597345,8.742001,30.846656,51.429673,-33.723427,2.481430
0.020000,163.780482,41.985419,9.379231,31.861531,50.743792,-34.294051,2.492196
0.020000,163.254807,42.379869,10.036442,32.860513,49.949089,-39.735128,2.503560
