dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.212746,54.171986,0.001983,0.198254,9.912707,495.635338,2.353977
0.020000,189.211964,54.172771,0.003091,0.055409,-7.142240,-852.747339,2.354063
0.020000,189.210204,54.174538,0.005585,0.124692,3.464131,530.318550,2.354255
0.020000,189.207073,54.177679,0.010019,0.221746,4.852713,69.429081,2.354596
0.020000,189.202177,54.182588,0.016953,0.346662,6.245787,69.653709,2.355129
0.020000,189.195313,54.189462,0.026667,0.485703,6.952031,35.312188,2.355876
0.020000,189.144219,54.240526,0.098903,3.611830,156.306354,7467.716161,2.356839
0.020000,189.056186,54.328343,0.223248,6.217245,130.270752,-1301.780098,2.358017
0.020000,188.951949,54.432056,0.370292,7.352172,56.746360,-3676.219604,2.359414
0.020000,188.831487,54.551551,0.539968,8.483801,56.581461,-8.244931,2.361030
0.020000,188.694661,54.686812,0.732366,9.619905,56.805213,11.187579,2.362869
0.020000,188.541330,54.837798,0.947557,10.759563,56.982883,8.883518,2.364933
0.020000,188.371413,55.004388,1.185515,11.897896,56.916632,-3.312576,2.367225
0.020000,188.184772,55.186497,1.446280,13.038254,57.017909,5.063883,2.369747
0.020000,187.981189,55.384090,1.729987,14.185334,57.354028,16.805930,2.372505
0.020000,187.760554,55.597004,2.036601,15.330691,57.267847,-4.309045,2.375502
0.020000,187.522717,55.825090,2.366129,16.476438,57.287333,0.974299,2.378740
0.020000,187.267367,56.068329,2.718789,17.633005,57.828339,27.050291,2.382227
0.020000,186.994419,56.326456,3.094463,18.783661,57.532804,-14.776738,2.385965
0.020000,186.703517,56.599439,3.493390,19.946383,58.136133,30.166467,2.389962
0.020000,186.394484,56.887047,3.915552,21.108066,58.084103,-2.601520,2.394222
0.020000,186.067053,57.189102,4.361027,22.273749,58.284167,10.003229,2.398751
0.020000,185.720938,57.505418,4.829910,23.444161,58.520627,11.822984,2.403556
0.020000,185.355844,57.835779,5.322284,24.618713,58.727576,10.347460,2.408643
0.020000,184.971472,58.179943,5.838220,25.796815,58.905095,8.875930,2.414020
0.020000,184.567402,58.537742,6.377936,26.985761,59.447287,27.109606,2.419696
0.020000,184.143394,58.908810,6.941385,28.172444,59.334191,-5.654793,2.425676
0.020000,183.699002,59.292927,7.528777,29.369647,59.860133,26.297086,2.431970
0.020000,183.233906,59.689724,8.140138,30.568029,59.919098,2.948238,2.438587
0.020000,182.747649,60.098908,8.775652,31.775677,60.382409,23.165558,2.445535
0.020000,182.239797,60.520126,9.435453,32.990049,60.718582,16.808682,2.452825
0.020000,181.709945,60.952956,10.119620,34.208397,60.917399,9.940827,2.460466
0.020000,181.157577,61.397020,10.828354,35.436655,61.412933,24.776706,2.468469
0.020000,180.582251,61.851836,11.561742,36.669399,61.637195,11.213101,2.476844
