dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.428792,46.987445,0.001735,0.173510,8.675494,433.774699,0.043953
0.020000,17.428226,46.987420,0.002302,0.028358,-7.257605,-796.654926,0.043997
0.020000,17.426951,46.987364,0.003578,0.063794,1.771813,451.470894,0.044095
0.020000,17.424686,46.987264,0.005846,0.113374,2.479005,35.359562,0.044269
0.020000,17.421148,46.987106,0.009387,0.177051,3.183841,35.241822,0.044542
0.020000,17.433968,46.987683,0.022219,0.641639,23.229407,1002.278304,0.044934
0.020000,17.511981,46.991211,0.100312,3.904653,163.150717,6996.065474,0.045467
0.020000,17.613886,46.995883,0.202324,5.100591,59.796903,-5167.690688,0.046162
0.020000,17.741283,47.001824,0.329860,6.376760,63.808435,200.576587,0.047029
0.020000,17.894183,47.009099,0.482932,7.653628,63.843408,1.748659,0.048067
0.020000,18.072598,47.017790,0.661559,8.931328,63.884996,2.079410,0.049275
0.020000,18.276545,47.027988,0.865761,10.210095,63.938312,2.665795,0.050651
0.020000,18.506039,47.039800,1.095559,11.489899,63.990242,2.596508,0.052194
0.020000,18.761099,47.053343,1.350978,12.770996,64.054814,3.228588,0.053901
0.020000,19.041747,47.068748,1.632049,14.053523,64.126358,3.577236,0.055771
0.020000,19.348005,47.086159,1.938801,15.337588,64.203253,3.844721,0.057801
0.020000,19.679899,47.105728,2.271271,16.623531,64.297140,4.694369,0.059988
0.020000,20.037453,47.127623,2.629496,17.911212,64.384048,4.345364,0.062329
0.020000,20.420697,47.152022,3.013515,19.200993,64.489088,5.252035,0.064822
0.020000,20.829661,47.179112,3.423375,20.492993,64.599965,5.543826,0.067462
0.020000,21.264375,47.209092,3.859122,21.787326,64.716676,5.835541,0.070247
0.020000,21.724875,47.242172,4.320808,23.084317,64.849518,6.642098,0.073171
0.020000,22.211193,47.278569,4.808486,24.383905,64.979446,6.496419,0.076232
0.020000,22.723366,47.318513,5.322215,25.686435,65.126456,7.350489,0.079425
0.020000,23.261433,47.362240,5.862055,26.992030,65.279761,7.665242,0.082744
0.020000,23.825431,47.409993,6.428072,28.300831,65.440053,8.014631,0.086186
0.020000,24.415403,47.462026,7.020334,29.613102,65.613536,8.674162,0.089744
0.020000,25.031389,47.518598,7.638912,30.928917,65.790769,8.861646,0.093413
0.020000,25.673434,47.579974,8.283883,32.248549,65.981612,9.542120,0.097187
0.020000,26.341580,47.646424,8.955326,33.572143,66.179699,9.904357,0.101061
0.020000,27.035874,47.718225,9.653323,34.899857,66.385707,10.300388,0.105027
0.020000,27.756364,47.795656,10.377962,36.231911,66.602675,10.848417,0.109080
0.020000,28.503096,47.879001,11.129331,37.568462,66.827581,11.245285,0.113212
0.020000,29.276122,47.968544,11.907525,38.909726,67.063177,11.779838,0.117416
0.020000,30.075492,48.064572,12.712643,40.255858,67.306599,12.171082,0.121685
0.020000,30.901258,48.167373,13.544783,41.607026,67.558418,12.590958,0.126010
0.020000,31.753474,48.277234,14.404052,42.963420,67.819678,13.062994,0.130384
0.020000,32.632197,48.394441,15.290556,44.325224,68.090228,13.527501,0.134799
0.020000,33.537482,48.519275,16.204408,45.692603,68.368953,13.936224,0.139245
0.020000,34.469390,48.652017,17.145723,47.065721,68.655887,14.346730,0.143714
0.020000,35.427982,48.792940,18.114617,48.444746,68.951241,14.767673,0.148198
0.020000,36.413321,48.942315,19.111214,49.829844,69.254883,15.182128,0.152686
0.020000,37.425472,49.100403,20.135638,51.221163,69.565977,15.554684,0.157168
0.020000,38.464506,49.267457,21.188015,52.618868,69.885222,15.962262,0.161636
0.020000,39.530494,49.443722,22.268477,54.023107,70.211981,16.337941,0.166080
0.020000,40.623510,49.629429,23.377157,55.434005,70.544891,16.645507,0.170488
0.020000,41.743634,49.824800,24.514192,56.851748,70.887121,17.111511,0.174850
0.020000,42.890949,50.030043,25.679720,58.276416,71.233432,17.315522,0.179156
0.020000,44.065543,50.245350,26.873884,59.708193,71.588836,17.770233,0.183395
0.020000,45.267508,50.470896,28.096828,61.147187,71.949695,18.042937,0.187556
0.020000,46.496943,50.706840,29.348698,62.593517,72.316505,18.340488,0.191627
0.020000,47.753951,50.953321,30.629645,64.047314,72.689861,18.667788,0.195597
0.020000,49.038645,51.210456,31.939819,65.508708,73.069671,18.990505,0.199454
0.020000,50.351142,51.478341,33.279375,66.977816,73.455399,19.286395,0.203186
0.020000,51.691569,51.757048,34.648470,68.454750,73.846736,19.566886,0.206782
0.020000,53.060060,52.046621,36.047263,69.939648,74.244865,19.906444,0.210229
0.020000,54.456760,52.347080,37.475915,71.432578,74.646506,20.082041,0.213515
0.020000,55.881823,52.658414,38.934590,72.933744,75.058310,20.590168,0.216626
0.020000,57.335413,52.980581,40.423454,74.443205,75.473057,20.737389,0.219551
0.020000,58.817707,53.313507,41.942676,75.961107,75.895076,21.100926,0.222276
0.020000,60.328894,53.657082,43.492428,77.487596,76.324460,21.469217,0.224788
0.020000,61.869177,54.011162,45.072884,79.022807,76.760570,21.805486,0.227074
