dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.558948,21.012022,0.001993,0.199265,9.963269,498.163473,0.043009
0.020000,18.560171,21.012075,0.003217,0.061221,-6.902202,-843.273581,0.043103
0.020000,18.562923,21.012194,0.005972,0.137736,3.825717,536.395960,0.043315
0.020000,18.567815,21.012406,0.010868,0.244821,5.354275,76.427911,0.043692
0.020000,18.575456,21.012743,0.018517,0.382425,6.880170,76.294729,0.044280
0.020000,18.610056,21.014297,0.053151,1.731724,67.464973,3029.240171,0.045104
0.020000,18.713377,21.019015,0.156581,5.171476,171.987592,5226.130935,0.046162
0.020000,18.839645,21.024929,0.282987,6.320304,57.441421,-5727.308535,0.047455
0.020000,18.988847,21.032129,0.432362,7.468753,57.422453,-0.948437,0.048982
0.020000,19.160978,21.040719,0.604707,8.617261,57.425365,0.145625,0.050744
0.020000,19.356027,21.050821,0.800018,9.765543,57.414133,-0.561580,0.052738
0.020000,19.573977,21.062569,1.018284,10.913322,57.388941,-1.259596,0.054966
0.020000,19.814803,21.076117,1.259491,12.060322,57.350006,-1.946769,0.057427
0.020000,20.078505,21.091633,1.523649,13.207928,57.380279,1.513646,0.060119
0.020000,20.365032,21.109300,1.810720,14.353543,57.280776,-4.975161,0.063042
0.020000,20.674389,21.129318,2.120725,15.500222,57.333935,2.657970,0.066195
0.020000,21.006523,21.151900,2.453625,16.645008,57.239288,-4.732378,0.069577
0.020000,21.361401,21.177275,2.809409,17.789223,57.210734,-1.427687,0.073186
0.020000,21.738985,21.205687,3.188060,18.932542,57.165968,-2.238290,0.077022
0.020000,22.139224,21.237393,3.589553,20.074650,57.105422,-3.027324,0.081082
0.020000,22.562090,21.272667,4.013888,21.216757,57.105333,-0.004409,0.085366
0.020000,23.007494,21.311794,4.461008,22.355980,56.961134,-7.209983,0.089870
0.020000,23.475401,21.355073,4.930912,23.495203,56.961180,0.002306,0.094594
0.020000,23.965720,21.402816,5.423550,24.631895,56.834610,-6.328493,0.099534
0.020000,24.478379,21.455347,5.938893,25.767169,56.763701,-3.545446,0.104688
0.020000,25.013294,21.513003,6.476906,26.900638,56.673404,-4.514868,0.110052
0.020000,25.570367,21.576131,7.037545,28.031927,56.564480,-5.446200,0.115624
0.020000,26.149489,21.645089,7.620758,29.160682,56.437725,-6.337756,0.121401
0.020000,26.750562,21.720245,8.226511,30.287623,56.347086,-4.531956,0.127377
0.020000,27.373441,21.801973,8.854729,31.410939,56.165779,-9.065338,0.133550
0.020000,28.018014,21.890662,9.505375,32.532278,56.066934,-4.942253,0.139914
0.020000,28.684120,21.986701,10.178369,33.649707,55.871478,-9.772777,0.146465
0.020000,29.371607,22.090488,10.873646,34.763847,55.706991,-8.224352,0.153198
0.020000,30.080307,22.202427,11.591132,35.874279,55.521625,-9.268293,0.160105
0.020000,30.810038,22.322923,12.330744,36.980613,55.316678,-10.247348,0.167183
0.020000,31.560621,22.452389,13.092411,38.083334,55.136067,-9.030589,0.174423
0.020000,32.331834,22.591234,13.876023,39.180610,54.863765,-13.615054,0.181819
0.020000,33.123479,22.739872,14.681501,40.273898,54.664404,-9.968057,0.189364
0.020000,33.935317,22.898710,15.508731,41.361538,54.382002,-14.120128,0.197050
0.020000,34.767111,23.068160,16.357610,42.443934,54.119787,-13.110752,0.204868
0.020000,35.618612,23.248623,17.228024,43.520676,53.837104,-14.134153,0.212810
0.020000,36.489554,23.440500,18.119852,44.591393,53.535879,-15.061225,0.220867
0.020000,37.379666,23.644182,19.032970,45.655930,53.226830,-15.452435,0.229028
0.020000,38.288664,23.860054,19.967250,46.714006,52.903806,-16.151244,0.237284
0.020000,39.216252,24.088490,20.922553,47.765119,52.555668,-17.406858,0.245625
0.020000,40.162127,24.329851,21.898736,48.809187,52.203393,-17.613785,0.254039
0.020000,41.125979,24.584489,22.895657,49.846019,51.841569,-18.091180,0.262515
0.020000,42.107488,24.852740,23.913163,50.875297,51.463906,-18.883141,0.271042
