dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,277.838266,25.407373,0.001728,0.172816,8.640820,432.041001,1.931870
0.020000,277.837518,25.409353,0.003844,0.105812,-3.350202,-599.551099,1.931707
0.020000,277.835837,25.413809,0.008607,0.238131,6.615954,498.307809,1.931341
0.020000,277.832852,25.421736,0.017078,0.423528,9.269828,132.693680,1.930689
0.020000,277.828194,25.434135,0.030322,0.662231,11.935166,133.266892,1.929671
0.020000,277.801221,25.506208,0.107277,3.847761,159.276486,7367.065997,1.928201
0.020000,277.762579,25.610002,0.218031,5.537691,84.496521,-3738.998216,1.926195
0.020000,277.712377,25.745806,0.362818,7.239312,85.081023,29.225091,1.923565
0.020000,277.650066,25.915916,0.543981,9.058163,90.942565,293.077077,1.920263
0.020000,277.575917,26.120650,0.761728,10.887351,91.459395,25.841520,1.916277
0.020000,277.490316,26.360245,1.016155,12.721379,91.701399,12.100199,1.911594
0.020000,277.393690,26.635059,1.307461,14.565290,92.195550,24.707568,1.906201
0.020000,277.286530,26.945533,1.635908,16.422340,92.852483,32.846638,1.900079
0.020000,277.169436,27.292069,2.001692,18.289222,93.344098,24.580734,1.893211
0.020000,277.043068,27.675191,2.405117,20.171229,94.100356,37.812925,1.885575
0.020000,276.908196,28.095407,2.846447,22.066510,94.764075,33.185925,1.877150
0.020000,276.765665,28.553347,3.326055,23.980404,95.694691,46.530827,1.867908
0.020000,276.616458,29.049583,3.844237,25.909107,96.435162,37.023544,1.857825
0.020000,276.461654,29.584780,4.401373,27.856783,97.383766,47.430180,1.846872
0.020000,276.302465,30.159614,4.997842,29.823462,98.333972,47.510326,1.835021
0.020000,276.140237,30.774774,5.634034,31.809585,99.306145,48.608645,1.822241
0.020000,275.976456,31.430986,6.310376,33.817101,100.375817,53.483574,1.808501
0.020000,275.812789,32.128876,7.027200,35.841205,101.205195,41.468898,1.793772
0.020000,275.651043,32.869146,7.784934,37.886712,102.275315,53.506036,1.778024
0.020000,275.493214,33.652378,8.583910,39.948799,103.104383,41.453372,1.761229
0.020000,275.341474,34.479136,9.424479,42.028410,103.980520,43.806862,1.743363
0.020000,275.198189,35.349822,10.306875,44.119839,104.571461,29.547029,1.724405
0.020000,275.065898,36.264785,11.231353,46.223862,105.201144,31.484160,1.704338
0.020000,274.947336,37.224101,12.197967,48.330731,105.343465,7.116053,1.683156
0.020000,274.845398,38.227694,13.206724,50.437862,105.356533,0.653418,1.660858
0.020000,274.763130,39.275224,14.257480,52.537771,104.995446,-18.054348,1.637457
0.020000,274.703696,40.366064,15.349938,54.622900,104.256459,-36.949346,1.612975
0.020000,274.670343,41.499187,16.483551,56.680682,102.889115,-68.367241,1.587453
0.020000,274.666343,42.673270,17.657641,58.704492,101.190469,-84.932254,1.560945
0.020000,274.694935,43.886529,18.871237,60.679771,98.763988,-121.324064,1.533525
0.020000,274.759252,45.136778,20.123139,62.595102,95.766520,-149.873417,1.505285
0.020000,274.862243,46.421418,21.411901,64.438113,92.150556,-180.798196,1.476335
0.020000,275.006591,47.737467,22.735843,66.197105,87.949610,-210.047305,1.446807
0.020000,275.194635,49.081581,24.093046,67.860153,83.152423,-239.859355,1.416847
0.020000,275.428291,50.450124,25.481393,69.417321,77.858398,-264.701231,1.386618
0.020000,275.709001,51.839265,26.898612,70.860969,72.182393,-283.800238,1.356295
