dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.000000,30.000000,0.001728,0.172816,8.640820,432.041001,1.931870
0.020000,290.000000,30.000000,0.008641,0.518449,17.281640,432.041001,1.931707
0.020000,290.000000,30.000000,0.024194,1.036898,25.922460,432.041001,1.931341
0.020000,290.000000,30.000000,0.051845,1.728164,34.563280,432.041001,1.930689
0.020000,290.000000,30.000000,0.095049,2.592246,43.204100,432.041001,1.929671
0.020000,289.979726,30.054177,0.157263,3.629144,51.844920,432.041001,1.928201
0.020000,289.950181,30.133536,0.241943,4.838859,60.485740,432.041001,1.926195
0.020000,289.911831,30.237277,0.352545,6.221390,69.126560,432.041001,1.923565
0.020000,289.864285,30.367077,0.490799,7.603922,69.126560,0.000000,1.920263
0.020000,289.807785,30.523082,0.656702,8.986453,69.126560,-0.000000,1.916277
0.020000,289.742664,30.705352,0.850257,10.368984,69.126560,0.000000,1.911594
0.020000,289.669295,30.914023,1.071462,11.751515,69.126560,-0.000000,1.906201
0.020000,289.588099,31.149271,1.320317,13.134046,69.126560,0.000000,1.900079
0.020000,289.499586,31.411222,1.596824,14.516578,69.126560,0.000000,1.893211
0.020000,289.404310,31.700074,1.900980,15.899109,69.126560,0.000000,1.885575
0.020000,289.302912,32.015994,2.232788,17.281640,69.126560,-0.000000,1.877150
0.020000,289.196084,32.359220,2.592246,18.664171,69.126560,0.000000,1.867908
0.020000,289.084619,32.729928,2.979355,20.046702,69.126560,0.000000,1.857825
0.020000,288.969377,33.128349,3.394114,21.429234,69.126560,-0.000000,1.846872
0.020000,288.851304,33.554704,3.836524,22.811765,69.126560,0.000000,1.835021
0.020000,288.731439,34.009216,4.306585,24.194296,69.126560,-0.000000,1.822241
0.020000,288.610910,34.492125,4.804296,25.576827,69.126560,0.000000,1.808501
0.020000,288.490959,35.003598,5.329658,26.959358,69.126560,0.000000,1.793772
0.020000,288.372909,35.543862,5.882670,28.341890,69.126560,0.000000,1.778024
0.020000,288.258206,36.113069,6.463333,29.724421,69.126560,-0.000000,1.761229
0.020000,288.148389,36.711383,7.071647,31.106952,69.126560,0.000000,1.743363
0.020000,288.045120,37.338886,7.707611,32.489483,69.126560,-0.000000,1.724405
0.020000,287.950153,37.995670,8.371226,33.872014,69.126560,0.000000,1.704338
0.020000,287.865362,38.681701,9.062492,35.254546,69.126560,0.000000,1.683156
0.020000,287.792711,39.396916,9.781408,36.637077,69.126560,0.000000,1.660858
0.020000,287.734257,40.141168,10.527975,38.019608,69.126560,-0.000000,1.637457
0.020000,287.692134,40.914227,11.302193,39.402139,69.126560,0.000000,1.612975
0.020000,287.668540,41.715717,12.104061,40.784670,69.126560,-0.000000,1.587453
0.020000,287.665712,42.545210,12.933579,42.167202,69.126560,-0.000000,1.560945
0.020000,287.685907,43.402116,13.790749,43.549733,69.126560,0.000000,1.533525
0.020000,287.731366,44.285737,14.675569,44.932264,69.126560,-0.000000,1.505285
0.020000,287.804287,45.195252,15.588039,46.314795,69.126560,0.000000,1.476335
0.020000,287.906792,46.129733,16.528161,47.697326,69.126560,-0.000000,1.446807
0.020000,288.040886,47.088134,17.495932,49.079858,69.126560,-0.000000,1.416847
0.020000,288.208422,48.069316,18.491355,50.462389,69.126560,0.000000,1.386618
0.020000,288.411074,49.072077,19.514428,51.844920,69.126560,0.000000,1.356295
0.020000,288.650300,50.095164,20.565152,53.227451,69.126560,0.000000,1.326060
0.020000,288.927320,51.137306,21.643526,54.609983,69.126560,0.000000,1.296103
0.020000,289.243100,52.197252,22.749551,55.992514,69.126560,-0.000000,1.266609
0.020000,289.598337,53.273791,23.883227,57.375045,69.126560,0.000000,1.237763
0.020000,289.993459,54.365792,25.044553,58.757576,69.126560,0.000000,1.209738
0.020000,290.428624,55.472232,26.233530,60.140107,69.126560,-0.000000,1.182699
0.020000,290.903730,56.592220,27.450157,61.522639,69.126560,0.000000,1.156797
0.020000,291.418426,57.725020,28.694435,62.905170,69.126560,-0.000000,1.132166
0.020000,291.972131,58.870071,29.966364,64.287701,69.126560,0.000000,1.108928
0.020000,292.564045,60.026996,31.265943,65.670232,69.126560,-0.000000,1.087189
0.020000,293.192336,61.194108,32.591445,66.879947,60.485740,-432.041001,1.067067
0.020000,293.854012,62.368480,33.939413,67.916845,51.844920,-432.041001,1.048680
0.020000,294.545729,63.547510,35.306391,68.780927,43.204100,-432.041001,1.032118
0.020000,295.263855,64.728887,36.688922,69.472193,34.563280,-432.041001,1.017442
0.020000,296.004540,65.910561,38.083550,69.990642,25.922460,-432.041001,1.004691
0.020000,296.763762,67.090698,39.486819,70.336275,17.281640,-432.041001,0.993887
0.020000,297.536786,68.266738,40.894173,70.399117,3.142119,-706.976049,0.985039
0.020000,298.317814,69.434833,42.299328,70.116327,-14.139521,-864.082002,0.978147
0.020000,299.101610,70.592167,43.697098,69.660720,-22.780341,-432.041001,0.973180
0.020000,299.883944,71.737387,45.084028,69.032297,-31.421161,-432.041001,0.970088
0.020000,300.660682,72.869112,46.456662,68.231057,-40.061981,-432.041001,0.968814
0.020000,301.427816,73.985897,47.811542,67.257001,-48.702801,-432.041001,0.969290
0.020000,302.181489,75.086196,49.145214,66.110129,-57.343621,-432.041001,0.971445
0.020000,302.918026,76.168327,50.454219,64.790440,-65.984441,-432.041001,0.975196
0.020000,303.634571,77.231362,51.736203,63.407909,-69.126560,-157.105953,0.980458
0.020000,304.329427,78.275641,52.990536,62.025378,-69.126560,0.000000,0.987151
0.020000,305.001417,79.301883,54.217218,60.642846,-69.126560,0.000000,0.995199
0.020000,305.649513,80.310664,55.416250,59.260315,-69.126560,0.000000,1.004532
0.020000,306.272832,81.302427,56.587631,57.877784,-69.126560,0.000000,1.015081
0.020000,306.870625,82.277490,57.731361,56.495253,-69.126560,-0.000000,1.026779
0.020000,307.442275,83.236047,58.847441,55.112722,-69.126560,0.000000,1.039556
0.020000,307.987295,84.178180,59.935870,53.730190,-69.126560,0.000000,1.053343
0.020000,308.505321,85.103858,60.996648,52.347659,-69.126560,0.000000,1.068069
0.020000,308.996116,86.012952,62.029776,50.965128,-69.126560,0.000000,1.083660
0.020000,309.459569,86.905236,63.035253,49.582597,-69.126560,0.000000,1.100037
0.020000,309.895695,87.780404,64.013080,48.200066,-69.126560,-0.000000,1.117120
0.020000,310.304628,88.638066,64.963256,46.817534,-69.126560,0.000000,1.134824
0.020000,310.686629,89.477770,65.885781,45.435003,-69.126560,0.000000,1.153061
0.020000,311.042079,90.299009,66.780656,44.052472,-69.126560,0.000000,1.171740
0.020000,311.371476,91.101225,67.647880,42.669941,-69.126560,0.000000,1.190768
0.020000,311.675432,91.883831,68.487454,41.287410,-69.126560,0.000000,1.210050
