dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,302.161730,34.592638,0.001712,0.171225,8.561262,428.063115,1.931871
0.020000,302.162568,34.590417,0.004086,0.118670,-2.627754,-559.450828,1.931688
0.020000,302.164454,34.585419,0.009428,0.267111,7.422063,502.490857,1.931277
0.020000,302.167803,34.576524,0.018932,0.475219,10.405367,149.165189,1.930546
0.020000,302.170870,34.568364,0.027649,0.435845,-1.968699,-618.703269,1.929402
0.020000,302.156800,34.605997,0.067826,2.008863,78.650902,4030.980019,1.927750
0.020000,302.137798,34.657126,0.122371,2.727242,35.918947,-2136.597717,1.925492
0.020000,302.113239,34.723741,0.193369,3.549907,41.133247,260.715007,1.922525
0.020000,302.082935,34.806794,0.281778,4.420442,43.526766,119.675911,1.918787
0.020000,302.047173,34.906076,0.387305,5.276344,42.795101,-36.583236,1.914261
0.020000,302.006277,35.021394,0.509660,6.117731,42.069326,-36.288750,1.908921
0.020000,301.960631,35.152495,0.648480,6.941034,41.165156,-45.208493,1.902741
0.020000,301.910677,35.299086,0.803349,7.743439,40.120269,-52.244367,1.895688
0.020000,301.856909,35.460834,0.973800,8.522525,38.954287,-58.299065,1.887725
0.020000,301.799893,35.637311,1.159258,9.272921,37.519807,-71.724024,1.878811
0.020000,301.740235,35.828082,1.359140,9.994099,36.058896,-73.045529,1.868897
0.020000,301.678609,36.032612,1.572752,10.680618,34.325948,-86.647439,1.857933
0.020000,301.615740,36.250311,1.799348,11.329769,32.457542,-93.420258,1.845860
0.020000,301.552405,36.480511,2.038101,11.937665,30.394807,-103.136767,1.832616
0.020000,301.489425,36.722482,2.288135,12.501676,28.200557,-109.712513,1.818130
0.020000,301.427670,36.975385,2.548468,13.016673,25.749829,-122.536368,1.802331
0.020000,301.368038,37.238334,2.818094,13.481293,23.231044,-125.939266,1.785138
0.020000,301.311453,37.510354,3.095937,13.892129,20.541799,-134.462277,1.766471
0.020000,301.258853,37.790413,3.380892,14.247795,17.783256,-137.927152,1.746243
0.020000,301.211174,38.077431,3.671843,14.547551,14.987822,-139.771679,1.724369
