dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,293.999973,120.026261,0.001726,0.172586,8.629316,431.465776,4.714409
0.020000,293.999985,120.019423,0.008564,0.341922,8.466801,-8.125718,4.713883
0.020000,293.999999,120.004035,0.023952,0.769376,21.372666,645.293220,4.712699
0.020000,293.999958,119.953121,0.074866,2.545688,88.815623,3372.147866,4.710594
0.020000,293.999662,119.867146,0.160841,4.298766,87.653912,-58.085521,4.707299
0.020000,293.998737,119.743218,0.284773,6.196609,94.892142,361.911496,4.702546
0.020000,293.996526,119.574307,0.453698,8.446243,112.481666,879.476189,4.696056
0.020000,293.991977,119.353322,0.674730,11.051599,130.267801,889.306738,4.687551
0.020000,293.983623,119.076575,0.951604,13.843688,139.604483,466.834125,4.676873
0.020000,293.969657,118.743848,1.284623,16.650958,140.363470,37.949324,4.664001
0.020000,293.947888,118.355020,1.674060,19.471878,141.046041,34.128580,4.648913
0.020000,293.915742,117.910137,2.120103,22.302114,141.511766,23.286217,4.631595
0.020000,293.870278,117.409520,2.622780,25.133856,141.587118,3.767594,4.612044
0.020000,293.808218,116.853872,3.181883,27.955167,141.065523,-26.079760,4.590276
0.020000,293.726002,116.244393,3.796882,30.749941,139.738708,-66.340731,4.566333
0.020000,293.619880,115.582943,4.466791,33.495461,137.276004,-123.135191,4.540290
0.020000,293.486031,114.872123,5.190103,36.165599,133.506908,-188.454827,4.512262
0.020000,293.320730,114.115407,5.964664,38.728023,128.121217,-269.284530,4.482416
0.020000,293.120543,113.317179,6.787612,41.147411,120.969379,-357.591875,4.450972
0.020000,292.882550,112.482739,7.655327,43.385757,111.917325,-452.602738,4.418208
0.020000,292.604568,111.618227,8.563433,45.405288,100.976531,-547.039699,4.384461
0.020000,292.285358,110.730446,9.506857,47.171232,88.297218,-633.965647,4.350121
0.020000,291.924777,109.826623,10.479952,48.654741,74.175422,-706.089768,4.315622
0.020000,291.523863,108.914117,11.476647,49.834741,59.000034,-758.769399,4.281432
0.020000,291.084833,108.000082,12.490653,50.700275,43.276652,-786.169111,4.248035
0.020000,290.610999,107.091175,13.515655,51.250128,27.492665,-789.199351,4.215916
0.020000,290.106614,106.193306,14.545496,51.492037,12.095468,-769.859883,4.185550
0.020000,289.576687,105.311481,15.574301,51.440242,-2.589751,-734.260935,4.157388
0.020000,289.026785,104.449740,16.596547,51.112327,-16.395776,-690.301229,4.131855
0.020000,288.462873,103.611206,17.607061,50.525681,-29.332267,-646.824578,4.109349
0.020000,287.891184,102.798205,18.600941,49.694030,-41.582562,-612.514753,4.090247
0.020000,287.318165,102.012469,19.573428,48.624344,-53.484299,-595.086836,4.074916
0.020000,286.750469,101.255384,20.519714,47.314303,-65.502051,-600.887575,4.063724
0.020000,286.194995,100.528276,21.434721,45.750348,-78.197733,-634.784121,4.057063
0.020000,285.658961,99.832737,22.312848,43.906344,-92.200206,-700.123627,4.055363
0.020000,285.149972,99.170981,23.147707,41.742963,-108.169060,-798.442743,4.059116
0.020000,284.676050,98.546233,23.931871,39.208171,-126.739594,-928.526693,4.068892
0.020000,284.245549,97.963139,24.656668,36.239830,-148.417039,-1083.872256,4.085358
0.020000,283.866878,97.428152,25.312108,32.772035,-173.389783,-1248.637178,4.109284
0.020000,283.547886,96.949785,25.887079,28.748537,-201.174867,-1389.254198,4.141522
0.020000,283.294778,96.538477,26.370026,24.147339,-230.059914,-1444.252355,4.182963
0.020000,283.110468,96.205678,26.750454,19.021411,-256.296415,-1311.825051,4.234413
0.020000,282.992545,95.961546,27.021575,13.556034,-273.268821,-848.620321,4.296396
0.020000,282.931555,95.810820,27.184172,8.129888,-271.307344,98.073855,4.368851
0.020000,282.911046,95.747221,27.250996,3.341189,-239.434948,1593.619794,4.450799
0.020000,282.910956,95.748523,27.252301,0.065232,-163.797846,3781.855107,4.540109
0.020000,282.881097,95.452022,27.550301,14.900024,741.739619,45276.873266,4.606461
0.020000,282.691680,93.886794,29.126948,78.832357,3196.616650,122743.851561,4.578639
0.020000,282.477224,92.408190,30.621024,74.703803,-206.427704,-170152.217722,4.559294
0.020000,282.253316,91.013733,32.033344,70.615953,-204.392504,101.759998,4.548364
0.020000,282.033948,89.703698,33.361618,66.413744,-210.110465,-285.898056,4.546024
0.020000,281.832038,88.482299,34.599593,61.898742,-225.750056,-781.979525,4.552753
0.020000,281.659598,87.358932,35.736118,56.826238,-253.625224,-1393.758394,4.569410
0.020000,281.527295,86.349554,36.754130,50.900587,-296.282548,-2132.866199,4.597306
0.020000,281.443028,85.478018,37.629731,43.780060,-356.026350,-2987.190130,4.638279
0.020000,281.408926,84.776500,38.332077,35.117285,-433.138727,-3855.618844,4.694700
0.020000,281.416397,84.282779,38.825854,24.688889,-521.419826,-4414.054934,4.769288
0.020000,281.440454,84.029966,39.079809,12.697736,-599.557645,-3906.890959,4.864450
0.020000,281.439349,84.023978,39.085899,0.304470,-619.663286,-1005.282037,4.980844
0.020000,281.371506,84.213569,39.287262,10.068191,488.186026,55392.465590,5.115296
0.020000,281.233516,84.481353,39.588509,15.062334,249.707141,-11923.944263,5.259565
0.020000,281.088043,84.688021,39.841242,12.636649,-121.284230,-18549.568550,5.402222
0.020000,281.039392,84.743166,39.914780,3.676907,-447.987091,-16335.143049,5.533203
0.020000,281.176480,84.632924,40.090696,8.795781,255.943681,35196.538594,5.647114
0.020000,281.541057,84.393022,40.527124,21.821389,651.280423,19766.837136,5.743102
0.020000,282.112424,84.082388,41.177473,32.517467,534.803879,-5823.827198,5.821887
0.020000,282.655231,83.838952,41.772368,29.744755,-138.635596,-33671.973789,5.909932
0.020000,282.985752,83.726617,42.121457,17.454468,-614.514352,-23793.937777,6.019011
0.020000,283.053690,83.709691,42.191472,3.500726,-697.687088,-4158.636781,6.151563
0.020000,282.874800,83.717190,42.370518,8.952331,272.580223,48513.365530,0.021824
0.020000,282.583766,83.686794,42.663136,14.630889,283.927906,567.384171,0.185480
0.020000,282.397417,83.639006,42.855515,9.618941,-250.597372,-26726.263902,0.342609
0.020000,282.483356,83.680977,42.951155,4.782014,-241.846381,437.549533,0.478500
0.020000,282.884593,83.922678,43.419569,23.420675,931.933068,58688.972463,0.586362
0.020000,283.559393,84.416017,44.255474,41.795277,918.730087,-660.149078,0.666229
0.020000,284.446469,85.158338,45.412170,57.834760,801.974173,-5837.795696,0.721177
0.020000,285.500217,86.120654,46.839208,71.351897,675.856814,-6305.867926,0.754687
0.020000,286.698922,87.268420,48.498803,82.979785,581.394449,-4723.118269,0.769400
0.020000,288.041951,88.569347,50.368600,93.489815,525.501500,-2794.647435,0.766766
0.020000,289.546818,89.994506,52.441207,103.630392,507.028847,-923.632640,0.747085
0.020000,291.078219,91.370028,54.499666,102.922906,-35.374326,-27120.158656,0.721681
0.020000,292.012384,92.224434,55.765633,63.298388,-1981.225920,-97292.579709,0.760361
0.020000,292.884531,93.087186,56.992410,61.338841,-97.977333,94162.429340,0.799940
0.020000,293.696782,93.957548,58.182907,59.524822,-90.700935,363.819896,0.840185
0.020000,294.451699,94.835132,59.340514,57.880357,-82.223276,423.882966,0.880837
0.020000,295.152110,95.719837,60.468910,56.419811,-73.027275,459.800040,0.921611
0.020000,295.800999,96.611810,61.571939,55.151445,-63.418316,480.447956,0.962213
0.020000,296.401381,97.511363,62.653444,54.075248,-53.809850,480.423318,1.002347
0.020000,296.956203,98.418877,63.717122,53.183902,-44.567296,462.127658,1.041728
0.020000,297.468267,99.334693,64.766373,52.462578,-36.066194,425.055121,1.080095
0.020000,297.940186,100.259014,65.804195,51.891099,-28.573954,374.611993,1.117218
0.020000,298.374366,101.191821,66.833099,51.445169,-22.296512,313.872106,1.152903
0.020000,298.773022,102.132826,67.855066,51.098386,-17.339147,247.868228,1.186997
0.020000,299.138200,103.081449,68.871550,50.824204,-13.709068,181.503958,1.219390
0.020000,299.471812,104.036821,69.883495,50.597220,-11.349242,117.991300,1.250008
0.020000,299.775669,104.997817,70.891385,50.394515,-10.135226,60.700817,1.278814
0.020000,300.051513,105.963099,71.895307,50.196114,-9.920055,10.758529,1.305802
0.020000,300.301035,106.931167,72.895016,49.985417,-10.534829,-30.738690,1.330989
0.020000,300.525890,107.900410,73.889999,49.749179,-11.811939,-63.855487,1.354417
0.020000,300.727706,108.869155,74.879543,49.477185,-13.599684,-89.387276,1.376139
0.020000,300.908081,109.835712,75.862786,49.162151,-15.751687,-107.600112,1.396222
0.020000,301.068581,110.798403,76.838765,48.798945,-18.160298,-120.430567,1.414740
0.020000,301.210735,111.755598,77.806458,48.384633,-20.715601,-127.765166,1.431771
0.020000,301.336028,112.705724,78.764810,47.917598,-23.351763,-131.808077,1.447396
0.020000,301.445891,113.647288,79.712762,47.397604,-25.999704,-132.397063,1.461698
0.020000,301.541698,114.578880,80.649267,46.825253,-28.617547,-130.892137,1.474756
0.020000,301.624762,115.499173,81.573301,46.201697,-31.177815,-128.013398,1.486649
0.020000,301.696323,116.406931,82.483875,45.528701,-33.649771,-123.597817,1.497454
0.020000,301.757555,117.301003,83.380041,44.808323,-36.018886,-118.455728,1.507243
0.020000,301.809556,118.180319,84.260894,44.042625,-38.284932,-113.302316,1.516086
0.020000,301.853351,119.043886,85.125570,43.233824,-40.440052,-107.756005,1.524049
0.020000,301.889893,119.890782,85.973255,42.384229,-42.479748,-101.984784,1.531195
