dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,268.000026,119.974009,0.001998,0.199815,9.990730,499.536487,4.714388
0.020000,268.000013,119.981926,0.009916,0.395868,9.802672,-9.402886,4.713779
0.020000,268.000000,119.999741,0.027731,0.890770,24.745110,747.121897,4.712409
0.020000,268.000000,119.999726,0.027746,0.000752,-44.500923,-3462.301640,4.709971
0.020000,267.999998,119.999379,0.028093,0.017373,0.831042,2266.598250,4.706155
0.020000,267.999995,119.999059,0.028413,0.015981,-0.069604,-45.032329,4.700800
0.020000,267.999994,119.998923,0.028549,0.006819,-0.458084,-19.424002,4.693894
0.020000,267.999999,119.999153,0.028779,0.011484,0.233268,34.567607,4.685422
0.020000,268.000025,119.999945,0.029571,0.039621,1.406829,58.678054,4.675371
0.020000,268.000092,120.001491,0.031120,0.077404,1.889174,24.117271,4.663724
0.020000,268.000229,120.003958,0.033590,0.123539,2.306751,20.878844,4.650469
0.020000,268.000473,120.007458,0.037098,0.175391,2.592595,14.292182,4.635597
0.020000,268.000862,120.012015,0.041672,0.228715,2.666212,3.680871,4.619106
0.020000,268.001430,120.017534,0.047221,0.277409,2.434681,-11.576573,4.601004
0.020000,268.002188,120.023754,0.053486,0.313283,1.793719,-32.048098,4.581309
0.020000,268.003107,120.030206,0.060003,0.325855,0.628580,-58.256953,4.560058
0.020000,268.004090,120.036171,0.066049,0.302277,-1.178901,-90.374036,4.537306
0.020000,268.004931,120.040640,0.070596,0.227364,-3.745663,-128.338115,4.513132
0.020000,268.005276,120.042280,0.072272,0.083806,-7.177863,-171.609990,4.487642
0.020000,268.004569,120.039418,0.075221,0.147408,3.180066,517.896449,4.460971
0.020000,268.002002,120.030036,0.084947,0.486318,16.945512,688.272320,4.433284
0.020000,267.996466,120.011795,0.104009,0.953128,23.340498,319.749287,4.404778
0.020000,267.986512,119.982075,0.135353,1.567158,30.701509,368.050578,4.375680
0.020000,267.970323,119.938042,0.182267,2.345722,38.928194,411.334213,4.346242
0.020000,267.945716,119.876735,0.248328,3.303067,47.867251,446.952875,4.316741
0.020000,267.910162,119.795156,0.337318,4.449503,57.321796,472.727224,4.287466
0.020000,267.860836,119.690367,0.453136,5.790876,67.068665,487.343476,4.258718
0.020000,267.794688,119.559573,0.599705,7.328468,76.879595,490.546501,4.230799
0.020000,267.708532,119.400181,0.780892,9.059350,86.544097,483.225072,4.204005
0.020000,267.599143,119.209831,1.000436,10.977167,95.890849,467.337626,4.178625
0.020000,267.463351,118.986393,1.261901,13.073252,104.804268,445.670927,4.154933
0.020000,267.298129,118.727930,1.568660,15.337948,113.234796,421.526390,4.133188
0.020000,267.100665,118.432629,1.923899,17.761987,121.201911,398.355755,4.113635
0.020000,266.868409,118.098700,2.330656,20.337829,128.792111,379.510021,4.096507
0.020000,266.599116,117.724265,2.791873,23.060830,136.150055,367.897194,4.082032
0.020000,266.290858,117.307216,3.310478,25.930294,143.473224,366.158454,4.070434
0.020000,265.942048,116.845072,3.889483,28.950239,150.997222,376.199876,4.061946
0.020000,265.551445,116.334810,4.532085,32.130087,158.992386,399.758230,4.056812
0.020000,265.118192,115.772702,5.241785,35.485005,167.745900,437.675692,4.055302
