dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.038707,12.999942,0.001991,0.199095,9.954732,497.736610,6.280208
0.020000,0.037848,12.999945,0.002850,0.042967,-7.806358,-888.054497,6.280274
0.020000,0.035914,12.999950,0.004784,0.096691,2.686166,524.626180,6.280423
0.020000,0.032475,12.999959,0.008223,0.171942,3.762584,53.820887,6.280687
0.020000,0.027099,12.999972,0.013599,0.268782,4.841995,53.970582,6.281101
0.020000,0.019569,12.999985,0.021130,0.376546,5.388172,27.308838,6.281680
0.020000,0.009877,12.999996,0.030821,0.484560,5.400697,0.626227,6.282426
0.020000,0.016322,13.000001,0.037266,0.322247,-8.115640,-675.816832,0.000153
0.020000,0.131784,13.000081,0.152728,5.773109,272.543102,14032.937084,0.001234
0.020000,0.264811,13.000328,0.285755,6.651345,43.911800,-11431.565082,0.002483
0.020000,0.415602,13.000810,0.436546,7.539571,44.411321,24.976063,0.003904
0.020000,0.583994,13.001601,0.604940,8.419681,44.005503,-20.290929,0.005497
0.020000,0.770101,13.002789,0.791051,9.305561,44.293986,14.424163,0.007266
0.020000,0.973680,13.004466,0.994637,10.179312,43.687553,-30.321655,0.009209
0.020000,1.194996,13.006739,1.215964,11.066347,44.351728,33.208762,0.011334
0.020000,1.433818,13.009721,1.454805,11.942039,43.784632,-28.354794,0.013639
0.020000,1.690101,13.013535,1.711116,12.815564,43.676246,-5.419331,0.016128
0.020000,1.963833,13.018316,1.984890,13.688706,43.657071,-0.958726,0.018804
0.020000,2.254990,13.024208,2.276107,14.560825,43.605979,-2.554591,0.021670
0.020000,2.563532,13.031368,2.584732,15.431279,43.522695,-4.164225,0.024731
0.020000,2.889408,13.039959,2.910721,16.299419,43.407006,-5.784424,0.027989
0.020000,3.232548,13.050159,3.254013,17.164595,43.258771,-7.411741,0.031448
0.020000,3.592871,13.062154,3.614536,18.026153,43.077922,-9.042468,0.035113
0.020000,3.970281,13.076142,3.992205,18.883443,42.864470,-10.672626,0.038988
0.020000,4.364665,13.092333,4.386921,19.735813,42.618511,-12.297945,0.043076
0.020000,4.776182,13.110957,4.798859,20.596913,43.055007,21.824812,0.047386
0.020000,5.204481,13.132239,5.227687,21.441366,42.222664,-41.617131,0.051920
0.020000,5.649574,13.156431,5.673437,22.287507,42.307024,4.217980,0.056684
0.020000,6.111356,13.183790,6.136028,23.129549,42.102098,-10.246281,0.061684
0.020000,6.589747,13.214594,6.615410,23.969095,41.977331,-6.238345,0.066927
0.020000,7.084503,13.249118,7.111369,24.797974,41.443955,-26.668796,0.072418
0.020000,7.595699,13.287676,7.624017,25.632377,41.720110,13.807714,0.078165
0.020000,8.123108,13.330577,8.153168,26.457562,41.259291,-23.040924,0.084175
0.020000,8.666557,13.378145,8.698694,27.276333,40.938522,-16.038463,0.090454
0.020000,9.225914,13.430724,9.260517,28.091135,40.740118,-9.920188,0.097010
0.020000,9.801025,13.488673,9.838540,28.901157,40.501108,-11.950532,0.103852
0.020000,10.391713,13.552364,10.432652,29.705602,40.222210,-13.944889,0.110987
0.020000,10.997778,13.622184,11.042726,30.503690,39.904441,-15.888436,0.118423
0.020000,11.619032,13.698536,11.668654,31.296400,39.635466,-13.448758,0.126170
0.020000,12.255394,13.781858,12.310448,32.089685,39.664241,1.438768,0.134239
0.020000,12.906440,13.872559,12.967782,32.866697,38.850600,-40.682076,0.142635
0.020000,13.572053,13.971109,13.640651,33.643445,38.837423,-0.658826,0.151370
0.020000,14.251938,14.077969,14.328882,34.411575,38.406492,-21.546546,0.160453
0.020000,14.945896,14.193638,15.032414,35.176611,38.251804,-7.734402,0.169895
0.020000,15.653538,14.318598,15.751004,35.929483,37.643591,-30.410658,0.179704
0.020000,16.374623,14.453380,16.484578,36.678674,37.459578,-9.200636,0.189891
0.020000,17.108923,14.598537,17.233088,37.425521,37.342326,-5.862636,0.200467
0.020000,17.856015,14.754604,17.996306,38.160919,36.769899,-28.621321,0.211441
0.020000,18.615557,14.922154,18.774110,38.890168,36.462433,-15.373301,0.222823
0.020000,19.387225,15.101781,19.566408,39.614927,36.237950,-11.224174,0.234623
0.020000,20.170666,15.294099,20.373108,40.335007,36.004049,-11.695047,0.246850
0.020000,20.965404,15.499708,21.194013,41.045253,35.512272,-24.588823,0.259512
0.020000,21.771030,15.719245,22.029016,41.750118,35.243265,-13.450379,0.272617
0.020000,22.587231,15.953396,22.878140,42.456200,35.304097,3.041614,0.286175
0.020000,23.413432,16.202794,23.741162,43.151098,34.744915,-27.959108,0.300190
0.020000,24.249218,16.468133,24.618055,43.844678,34.678960,-3.297745,0.314668
0.020000,25.094182,16.750137,25.508836,44.539030,34.717603,1.932161,0.329615
0.020000,25.947761,17.049492,26.413386,45.227527,34.424885,-14.635933,0.345032
0.020000,26.809471,17.366931,27.331706,45.915981,34.422660,-0.111249,0.360921
0.020000,27.678801,17.703194,28.263805,46.604944,34.448184,1.276237,0.377280
0.020000,28.555227,18.059030,29.209713,47.295383,34.521936,3.687583,0.394106
0.020000,29.438301,18.435237,30.169583,47.993541,34.907890,19.297680,0.411396
0.020000,30.327390,18.832549,31.143409,48.691255,34.885696,-1.109694,0.429141
0.020000,31.222002,19.251771,32.131375,49.398344,35.354468,23.438630,0.447329
0.020000,32.121581,19.693691,33.133640,50.113245,35.745065,19.529830,0.465947
0.020000,33.025629,20.159136,34.150470,50.841475,36.411457,33.319593,0.484980
0.020000,33.933561,20.648893,35.182071,51.580072,36.929865,25.920409,0.504406
0.020000,34.844850,21.163787,36.228763,52.334605,37.726636,39.838547,0.524203
0.020000,35.758966,21.704639,37.290898,53.106715,38.605505,43.943481,0.544343
0.020000,36.675372,22.272272,38.368862,53.898196,39.574067,48.428093,0.564797
0.020000,37.593532,22.867501,39.463080,54.710943,40.637359,53.164571,0.585531
0.020000,38.512930,23.491149,40.574040,55.547976,41.851624,60.713272,0.606510
0.020000,39.433047,24.144028,41.702253,56.410671,43.134769,64.157225,0.627694
0.020000,40.353340,24.826916,42.848236,57.299134,44.423162,64.419658,0.649040
0.020000,41.273317,25.540611,44.012588,58.217618,45.924173,75.050579,0.670507
0.020000,42.192448,26.285858,45.195887,59.164944,47.366316,72.107121,0.692047
0.020000,43.110223,27.063386,46.398742,60.142734,48.889507,76.159573,0.713614
0.020000,44.026134,27.873894,47.621778,61.151782,50.452409,78.145091,0.735160
0.020000,44.939676,28.718039,48.865619,62.192056,52.013667,78.062883,0.756637
0.020000,45.850346,29.596434,50.130885,63.263293,53.561864,77.409851,0.777998
0.020000,46.757646,30.509642,51.418184,64.364989,55.084804,76.147013,0.799196
0.020000,47.661086,31.458170,52.728112,65.496390,56.570042,74.261895,0.820184
0.020000,48.560188,32.442472,54.061242,66.656498,58.005398,71.767791,0.840919
0.020000,49.454481,33.462933,55.418113,67.843569,59.353579,67.409065,0.861359
0.020000,50.343513,34.519876,56.799239,69.056256,60.634352,64.038649,0.881465
0.020000,51.226856,35.613566,58.205102,70.293162,61.845255,60.545160,0.901200
0.020000,52.104091,36.744180,59.636126,71.551207,62.902276,52.851044,0.920531
0.020000,52.974843,37.911855,61.092722,72.829803,63.929796,51.375996,0.939426
0.020000,53.838761,39.116653,62.575252,74.126500,64.834860,45.253212,0.957859
0.020000,54.695512,40.358550,64.084004,75.437573,65.553659,35.939927,0.975805
0.020000,55.544832,41.637506,65.619279,76.763763,66.309459,37.789990,0.993242
0.020000,56.386478,42.953401,67.181312,78.101670,66.895366,29.295345,1.010153
0.020000,57.220257,44.306065,68.770301,79.449453,67.389133,24.688350,1.026523
0.020000,58.046018,45.695282,70.386409,80.805405,67.797635,20.425119,1.042338
0.020000,58.863661,47.120795,72.029769,82.167970,68.128236,16.530066,1.057588
0.020000,59.673138,48.582314,73.700484,83.535742,68.388610,13.018683,1.072265
0.020000,60.474450,50.079515,75.398633,84.907474,68.586574,9.898193,1.086363
0.020000,61.267653,51.612051,77.124275,86.282073,68.729943,7.168463,1.099878
0.020000,62.052855,53.179555,78.877447,87.658601,68.826404,4.823057,1.112807
0.020000,62.830220,54.781643,80.658172,89.036269,68.883411,2.850365,1.125149
0.020000,63.599961,56.417921,82.466461,90.414431,68.908106,1.234717,1.136902
0.020000,64.362334,58.087952,84.302275,91.790737,68.815289,-4.640839,1.148068
0.020000,65.117673,59.791353,86.165636,93.168015,68.863922,2.431655,1.158647
0.020000,65.866355,61.527721,88.056534,94.544917,68.845114,-0.940393,1.168641
0.020000,66.608789,63.296600,89.974903,95.918480,68.678107,-8.350381,1.178051
0.020000,67.345476,65.097628,91.920773,97.293490,68.750508,3.620052,1.186879
0.020000,68.076935,66.930370,93.894089,98.665788,68.614920,-6.779397,1.195126
0.020000,68.803764,68.794458,95.894865,100.038810,68.651071,1.807566,1.202794
0.020000,69.526593,70.689473,97.923058,101.409614,68.540203,-5.543429,1.209882
0.020000,70.246130,72.615071,99.978698,102.782044,68.621527,4.066246,1.216392
0.020000,70.963119,74.570866,102.061775,104.153845,68.590037,-1.574512,1.222323
0.020000,71.678370,76.556502,104.172304,105.526452,68.630359,2.016069,1.227673
0.020000,72.392756,78.571645,106.310329,106.901214,68.738110,5.387550,1.232440
0.020000,73.107204,80.615958,108.475890,108.278063,68.842417,5.215366,1.236621
0.020000,73.822710,82.689118,110.669047,109.657870,68.990369,7.397590,1.240210
0.020000,74.540332,84.790811,112.889879,111.041582,69.185581,9.760627,1.243202
0.020000,75.260574,86.918868,115.136516,112.331845,64.513189,-233.619621,1.245587
0.020000,75.983390,89.069228,117.405107,113.429584,54.886950,-481.311939,1.247355
0.020000,76.708807,91.237774,119.691769,114.333087,45.175142,-485.590403,1.248499
0.020000,77.436904,93.420346,121.992584,115.040713,35.381284,-489.692920,1.249014
0.020000,78.167462,95.611748,124.302553,115.498476,22.888176,-624.655396,1.248898
0.020000,78.900268,97.806735,126.616635,115.704086,10.280499,-630.383844,1.248151
0.020000,79.635427,100.001019,128.930795,115.708032,0.197304,-504.159756,1.246778
0.020000,80.373006,102.190285,131.240970,115.508747,-9.964273,-508.078848,1.244784
0.020000,81.113019,104.370195,133.543062,115.104595,-20.207618,-512.167220,1.242180
0.020000,81.855747,106.537400,135.834006,114.547164,-27.871525,-383.195360,1.238974
0.020000,82.602066,108.690465,138.112751,113.937253,-30.495537,-131.200587,1.235176
0.020000,83.353123,110.828878,140.379223,113.323623,-30.681517,-9.299009,1.230789
0.020000,84.110035,112.952138,142.633364,112.707039,-30.829183,-7.383324,1.225820
0.020000,84.873890,115.059763,144.875139,112.088758,-30.914081,-4.244909,1.220270
0.020000,85.645750,117.151272,147.104529,111.469517,-30.962015,-2.396676,1.214142
0.020000,86.426638,119.226160,149.321496,110.848350,-31.058383,-4.818393,1.207437
0.020000,87.217565,121.283955,151.526057,110.228044,-31.015296,2.154363,1.200156
0.020000,88.019504,123.324154,153.718206,109.607440,-31.030189,-0.744650,1.192298
0.020000,88.833408,125.346246,155.897953,108.987352,-31.004421,1.288398,1.183862
0.020000,89.660199,127.349712,158.065315,108.368120,-30.961605,2.140802,1.174847
0.020000,90.500776,129.334021,160.220321,107.750292,-30.891365,3.511994,1.165251
0.020000,91.355993,131.298584,162.362961,107.131969,-30.916166,-1.240066,1.155074
0.020000,92.226700,133.242859,164.493298,106.516865,-30.755220,8.047282,1.144313
0.020000,93.113686,135.166207,166.611319,105.901048,-30.790813,-1.779636,1.132968
0.020000,94.017708,137.067983,168.717027,105.285399,-30.782454,0.417940,1.121037
0.020000,94.939487,138.947516,170.810426,104.669978,-30.771059,0.569760,1.108521
0.020000,95.879701,140.804108,172.891516,104.054492,-30.774321,-0.163101,1.095421
0.020000,96.838975,142.637019,174.960277,103.438039,-30.822655,-2.416669,1.081739
0.020000,97.817867,144.445455,177.016650,102.818652,-30.969319,-7.333206,1.067477
0.020000,98.816879,146.228597,179.060572,102.196117,-31.126773,-7.872712,1.052642
0.020000,99.836442,147.985586,181.091956,101.569200,-31.345858,-10.954259,1.037239
0.020000,100.876911,149.715527,183.110687,100.936514,-31.634272,-14.420706,1.021278
0.020000,101.938564,151.417505,185.116637,100.297490,-31.951212,-15.846974,1.004769
0.020000,103.021573,153.090545,187.109617,99.649043,-32.422323,-23.555584,0.987726
0.020000,104.126008,154.733652,189.089409,98.989588,-32.972797,-27.523681,0.970166
0.020000,105.251834,156.345807,191.055758,98.317462,-33.606269,-31.673611,0.952107
0.020000,106.398919,157.926001,193.008402,97.632158,-34.265229,-32.947966,0.933572
0.020000,107.566983,159.473184,194.946997,96.929754,-35.120171,-42.747143,0.914586
0.020000,108.755624,160.986315,196.871167,96.208504,-36.062484,-47.115652,0.895178
0.020000,109.964324,162.464384,198.780524,95.467878,-37.031331,-48.442333,0.875378
0.020000,111.192408,163.906378,200.674604,94.703968,-38.195498,-58.208349,0.855221
0.020000,112.439077,165.311335,202.552924,93.916004,-39.398211,-60.135639,0.834744
0.020000,113.703402,166.678347,204.414976,93.102623,-40.669015,-63.540209,0.813988
0.020000,114.984307,168.006555,206.260201,92.261228,-42.069752,-70.036858,0.792995
0.020000,116.280601,169.295184,208.088026,91.391258,-43.498496,-71.437194,0.771808
0.020000,117.590973,170.543550,209.897857,90.491573,-44.984286,-74.289505,0.750475
0.020000,118.914001,171.751066,211.689086,89.561409,-46.508185,-76.194948,0.729040
0.020000,120.248170,172.917259,213.461094,88.600441,-48.048420,-77.011748,0.707553
0.020000,121.591885,174.041782,215.213271,87.608826,-49.580750,-76.616473,0.686060
0.020000,122.943471,175.124402,216.944989,86.585915,-51.145518,-78.238411,0.664609
0.020000,124.301211,176.165028,218.655650,85.533044,-52.643535,-74.900875,0.643245
0.020000,125.663375,177.163720,220.344697,84.452333,-54.035582,-69.602361,0.622015
0.020000,127.028164,178.120636,222.011530,83.341674,-55.532923,-74.867003,0.600960
0.020000,128.393829,179.036102,223.655647,82.205849,-56.791278,-62.917770,0.580121
0.020000,129.758629,179.910570,225.276565,81.045879,-57.998494,-60.360802,0.559536
0.020000,131.120832,180.744599,226.873813,79.862407,-59.173573,-58.753967,0.539241
0.020000,132.478754,181.538864,228.446965,78.657617,-60.239501,-53.296400,0.519267
0.020000,133.830771,182.294153,229.995646,77.434015,-61.180147,-47.032284,0.499644
0.020000,135.175337,183.011353,231.519533,76.194397,-61.980883,-40.036783,0.480396
0.020000,136.510997,183.691443,233.018370,74.941820,-62.628846,-32.398173,0.461546
0.020000,137.836305,184.335438,234.491859,73.674479,-63.367044,-36.909914,0.443113
0.020000,139.149960,184.944443,235.939815,72.397794,-63.834265,-23.361017,0.425113
0.020000,140.450729,185.519605,237.362070,71.112755,-64.251924,-20.882944,0.407557
0.020000,141.737520,186.062128,238.758553,69.824127,-64.431394,-8.973514,0.390457
0.020000,143.009203,186.573191,240.129087,68.526701,-64.871311,-21.995829,0.373818
0.020000,144.264824,187.054026,241.473626,67.226969,-64.986589,-5.763926,0.357646
0.020000,145.503539,187.505887,242.792184,65.927861,-64.955411,1.558893,0.341944
0.020000,146.724547,187.930005,244.084753,64.628484,-64.968872,-0.673041,0.326710
0.020000,147.927024,188.327577,245.351250,63.324858,-65.181309,-10.621871,0.311944
0.020000,149.110432,188.699856,246.591834,62.029156,-64.785088,19.811093,0.297643
0.020000,150.274261,189.048056,247.806634,60.740021,-64.456747,16.417023,0.283801
0.020000,151.417726,189.373270,248.995447,59.440641,-64.969013,-25.613316,0.270415
0.020000,152.540674,189.676731,250.158676,58.161436,-63.960240,50.438656,0.257475
0.020000,153.642501,189.959498,251.296208,56.876648,-64.239412,-13.958563,0.244976
0.020000,154.722903,190.222665,252.408200,55.599559,-63.854421,19.249530,0.232908
0.020000,155.781625,190.467291,253.494816,54.330824,-63.436770,20.882548,0.221263
0.020000,156.818384,190.694384,254.556154,53.066910,-63.195692,12.053892,0.210031
0.020000,157.832949,190.904917,255.592333,51.808924,-62.899309,14.819172,0.199204
0.020000,158.825144,191.099829,256.603492,50.557966,-62.547867,17.572069,0.188770
0.020000,159.794846,191.280029,257.589795,49.315129,-62.141865,20.300116,0.178720
0.020000,160.741778,191.446354,258.551224,48.071442,-62.184347,-2.124106,0.169045
0.020000,161.665943,191.599652,259.488016,46.839644,-61.589925,29.721123,0.159735
0.020000,162.567350,191.740728,260.400396,45.618964,-61.033991,27.796680,0.150778
0.020000,163.445688,191.870300,261.288240,44.392212,-61.337592,-15.180033,0.142167
0.020000,164.301139,191.989125,262.151904,43.183201,-60.450574,44.350868,0.133890
0.020000,165.133656,192.097887,262.991495,41.979566,-60.181744,13.441519,0.125939
0.020000,165.942983,192.197212,263.806894,40.769944,-60.481086,-14.967124,0.118305
0.020000,166.729328,192.287752,264.598434,39.577011,-59.646647,41.721970,0.110979
0.020000,167.492662,192.370096,265.366197,38.388156,-59.442749,10.194887,0.103952
0.020000,168.232981,192.444809,266.110277,37.203973,-59.209138,11.680571,0.097216
0.020000,168.950303,192.512424,266.830778,36.025060,-58.945638,13.175009,0.090763
0.020000,169.644666,192.573454,267.527818,34.852016,-58.652201,14.671825,0.084584
0.020000,170.316132,192.628384,268.201527,33.685438,-58.328905,16.164829,0.078672
0.020000,170.964499,192.677652,268.851764,32.511815,-58.681183,-17.613895,0.073023
0.020000,171.590051,192.721714,269.478865,31.355083,-57.836605,42.228852,0.067626
0.020000,172.192895,192.760982,270.082987,30.206112,-57.448508,19.404889,0.062474
0.020000,172.772695,192.795821,270.663833,29.042279,-58.191666,-37.157899,0.057566
0.020000,173.329965,192.826627,271.221954,27.906029,-56.812506,68.957969,0.052890
0.020000,173.864303,192.853723,271.756978,26.751217,-57.740592,-46.404282,0.048445
0.020000,174.376062,192.877450,272.269287,25.615442,-56.788745,47.592358,0.044223
0.020000,174.865274,192.898115,272.758935,24.482407,-56.651754,6.849525,0.040218
0.020000,175.331770,192.916001,273.225774,23.341931,-57.023830,-18.603803,0.036428
0.020000,175.775701,192.931382,273.669972,22.209900,-56.601519,21.115553,0.032847
0.020000,176.197154,192.944518,274.091629,21.082883,-56.350840,12.533946,0.029470
0.020000,176.596152,192.955645,274.490783,19.957670,-56.260687,4.507668,0.026295
0.020000,176.972731,192.964988,274.867477,18.834713,-56.147827,5.643009,0.023315
0.020000,177.326935,192.972753,275.221766,17.714469,-56.012228,6.779960,0.020529
0.020000,177.658822,192.979136,275.553714,16.597390,-55.853914,7.915705,0.017933
0.020000,177.968314,192.984314,275.863250,15.476788,-56.030136,-8.811100,0.015524
0.020000,178.255455,192.988452,276.150420,14.358534,-55.912695,5.872041,0.013300
0.020000,178.520438,192.991705,276.415424,13.250172,-55.418060,24.731748,0.011256
0.020000,178.763230,192.994212,276.658229,12.140234,-55.496924,-3.943197,0.009391
0.020000,178.983672,192.996096,276.878678,11.022484,-55.887482,-19.527900,0.007703
0.020000,179.182139,192.997474,277.077150,9.923594,-54.944518,47.148176,0.006189
0.020000,179.358223,192.998446,277.253237,8.804358,-55.961822,-50.865199,0.004850
0.020000,179.512319,192.999104,277.407335,7.704879,-54.973910,49.395632,0.003681
0.020000,179.644304,192.999523,277.539320,6.599272,-55.280343,-15.321657,0.002682
0.020000,179.754054,192.999772,277.649071,5.487520,-55.587606,-15.363169,0.001853
0.020000,179.841794,192.999906,277.736811,4.386989,-55.026556,28.052509,0.001191
0.020000,179.907490,192.999968,277.802506,3.284776,-55.110653,-4.204846,0.000696
0.020000,179.952276,192.999991,277.847292,2.239308,-52.273392,141.863052,0.000359
0.020000,179.979506,192.999998,277.874523,1.361523,-43.889268,419.206209,0.000154
0.020000,179.993592,193.000000,277.888609,0.704304,-32.860937,551.416512,0.000048
0.020000,179.998951,193.000000,277.893967,0.267914,-21.819512,552.071276,0.000008
0.020000,180.000000,193.000000,277.895017,0.052474,-10.771995,552.375858,0.000000
0.020000,180.000000,193.000000,277.895017,0.000000,-2.623707,407.414402,0.000000
