dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.001736,0.173640,8.681986,434.099311,6.280206
0.020000,0.000000,0.000000,0.008682,0.520919,17.363972,434.099311,6.280263
0.020000,0.000000,0.000000,0.024310,1.041838,26.045959,434.099311,6.280393
0.020000,0.000000,0.000000,0.052092,1.736397,34.727945,434.099311,6.280624
0.020000,0.000000,0.000000,0.095502,2.604596,43.409931,434.099311,6.280984
0.020000,0.000000,0.000000,0.158012,3.646434,52.091917,434.099311,6.281504
0.020000,0.000000,0.000000,0.243096,4.861912,60.773904,434.099311,6.282212
0.020000,0.000000,0.000000,0.354225,6.251030,69.455890,434.099311,6.283137
0.020000,0.133262,0.000074,0.493137,7.640148,69.455890,-0.000000,0.001112
0.020000,0.299905,0.000375,0.659831,9.029266,69.455890,0.000000,0.002507
0.020000,0.494431,0.001022,0.854307,10.418383,69.455890,0.000000,0.004140
0.020000,0.716563,0.002149,1.076566,11.807501,69.455890,-0.000000,0.006013
0.020000,0.966708,0.003918,1.326607,13.196619,69.455890,0.000000,0.008132
0.020000,1.244539,0.006506,1.604431,14.585737,69.455890,-0.000000,0.010498
0.020000,1.550108,0.010114,1.910037,15.974855,69.455890,0.000000,0.013115
0.020000,1.883448,0.014964,2.243425,17.363972,69.455890,0.000000,0.015987
0.020000,2.244566,0.021303,2.604596,18.753090,69.455890,0.000000,0.019120
0.020000,2.633450,0.029399,2.993549,20.142208,69.455890,-0.000000,0.022519
0.020000,3.050062,0.039546,3.410284,21.531326,69.455890,0.000000,0.026188
0.020000,3.494343,0.052060,3.854802,22.920444,69.455890,0.000000,0.030135
0.020000,3.966414,0.067288,4.327102,24.309561,69.455890,-0.000000,0.034367
0.020000,4.466193,0.085601,4.827184,25.698679,69.455890,0.000000,0.038890
0.020000,4.993561,0.107391,5.355049,27.087797,69.455890,0.000000,0.043711
0.020000,5.548626,0.133093,5.910696,28.476915,69.455890,-0.000000,0.048839
0.020000,6.131317,0.163161,6.494126,29.866033,69.455890,0.000000,0.054284
0.020000,6.741503,0.198079,7.105338,31.255150,69.455890,0.000000,0.060053
0.020000,7.379191,0.238369,7.744332,32.644268,69.455890,-0.000000,0.066157
0.020000,8.044353,0.284589,8.411108,34.033386,69.455890,0.000000,0.072606
0.020000,8.736926,0.337327,9.105667,35.422504,69.455890,0.000000,0.079411
0.020000,9.456810,0.397207,9.828008,36.811622,69.455890,0.000000,0.086585
0.020000,10.203869,0.464890,10.578132,38.200739,69.455890,0.000000,0.094138
0.020000,10.977927,0.541070,11.356038,39.589857,69.455890,0.000000,0.102083
0.020000,11.779177,0.626524,12.161726,40.978975,69.455890,-0.000000,0.110436
