dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.038734,-12.999942,0.001740,0.174045,8.702260,435.113018,6.280206
0.020000,-0.037983,-12.999945,0.002492,0.037561,-6.824203,-776.323172,6.280264
0.020000,-0.036292,-12.999949,0.004182,0.084523,2.348105,458.615396,6.280394
0.020000,-0.033286,-12.999957,0.007188,0.150300,3.288838,47.036659,6.280625
0.020000,-0.028776,-12.999968,0.011699,0.225538,3.761875,23.651868,6.280972
0.020000,-0.022758,-12.999980,0.017716,0.300880,3.767126,0.262521,6.281435
0.020000,-0.015231,-12.999991,0.025244,0.376363,3.774126,0.350033,6.282014
0.020000,-0.006191,-12.999999,0.034284,0.452020,3.782877,0.437545,6.282709
0.020000,0.044731,-12.999992,0.085206,2.546094,104.703703,5046.041280,0.000336
0.020000,0.168296,-12.999893,0.208771,6.178233,181.606941,3845.161906,0.001267
0.020000,0.307200,-12.999645,0.347675,6.945223,38.349488,-7162.872661,0.002315
0.020000,0.461595,-12.999197,0.502071,7.719783,38.727998,18.925494,0.003483
0.020000,0.631570,-12.998495,0.672047,8.498829,38.952297,11.214950,0.004772
0.020000,0.816868,-12.997481,0.857347,9.265005,38.308843,-32.172700,0.006182
0.020000,1.017913,-12.996084,1.058398,10.052516,39.375516,53.333664,0.007715
0.020000,1.234283,-12.994235,1.274776,10.818893,38.318882,-52.831715,0.009372
0.020000,1.466363,-12.991853,1.506868,11.604600,39.285315,48.321682,0.011154
0.020000,1.713939,-12.988856,1.754462,12.379724,38.756215,-26.455004,0.013063
0.020000,1.976981,-12.985152,2.017530,13.153407,38.684164,-3.602579,0.015099
0.020000,2.255860,-12.980638,2.296446,13.945768,39.618047,46.694155,0.017268
0.020000,2.550267,-12.975216,2.590902,14.722837,38.853443,-38.230189,0.019567
0.020000,2.860260,-12.968772,2.900962,15.502998,39.008053,7.730511,0.022000
0.020000,3.185892,-12.961189,3.226683,16.286026,39.151366,7.165640,0.024568
