dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.959281,130.291837,0.004000,0.400000,20.000000,1000.000000,6.283065
0.020000,65.959070,130.291837,0.004211,0.010551,-19.472457,-1973.622863,6.283083
0.020000,65.958719,130.291837,0.004562,0.017552,0.350043,991.125012,6.283112
0.020000,65.958229,130.291837,0.005052,0.024503,0.347565,-0.123909,6.283153
0.020000,65.971484,130.291837,0.018307,0.662727,31.911199,1578.181724,0.000020
0.020000,66.014720,130.291840,0.061543,2.161819,74.954615,2152.170766,0.000084
0.020000,66.065823,130.291846,0.112646,2.555140,19.666058,-2764.427850,0.000159
0.020000,66.124795,130.291858,0.171618,2.948592,19.672595,0.326888,0.000244
0.020000,66.191638,130.291877,0.238461,3.342174,19.679087,0.324590,0.000341
0.020000,66.266357,130.291907,0.313180,3.735942,19.688386,0.464950,0.000447
0.020000,66.348955,130.291949,0.395778,4.129895,19.697677,0.464564,0.000564
0.020000,66.439436,130.292005,0.486259,4.524057,19.708062,0.519217,0.000691
0.020000,66.537805,130.292080,0.584628,4.918447,19.719534,0.573592,0.000827
0.020000,66.644067,130.292176,0.690890,5.313081,19.731700,0.608339,0.000972
0.020000,66.758226,130.292295,0.805049,5.707978,19.744820,0.655974,0.001125
0.020000,66.880290,130.292442,0.927113,6.103180,19.760096,0.763810,0.001286
0.020000,67.010263,130.292621,1.057086,6.498667,19.774346,0.712503,0.001455
0.020000,67.148153,130.292833,1.194976,6.894503,19.791823,0.873856,0.001631
0.020000,67.293966,130.293085,1.340789,7.290662,19.807933,0.805510,0.001813
0.020000,67.447709,130.293378,1.494533,7.687201,19.826943,0.950472,0.002001
0.020000,67.609392,130.293717,1.656216,8.084124,19.846191,0.962395,0.002194
0.020000,67.779020,130.294106,1.825845,8.481451,19.866351,1.007993,0.002392
0.020000,67.956604,130.294549,2.003429,8.879203,19.887578,1.061389,0.002593
0.020000,68.142151,130.295049,2.188977,9.277400,19.909863,1.114230,0.002798
0.020000,68.335671,130.295611,2.382498,9.676063,19.933124,1.163046,0.003004
0.020000,68.537174,130.296237,2.584002,10.075194,19.956565,1.172063,0.003212
0.020000,68.746670,130.296932,2.793499,10.474849,19.982737,1.308587,0.003421
0.020000,68.964169,130.297699,3.010999,10.875010,20.008063,1.266320,0.003629
0.020000,69.189682,130.298541,3.236514,11.275727,20.035862,1.389950,0.003836
0.020000,69.423220,130.299461,3.470054,11.676989,20.063112,1.362474,0.004041
0.020000,69.664795,130.300462,3.711630,12.078842,20.092616,1.475212,0.004243
0.020000,69.914418,130.301546,3.961256,12.481294,20.122617,1.500064,0.004441
0.020000,70.172103,130.302715,4.218944,12.884365,20.153538,1.546024,0.004634
0.020000,70.437861,130.303972,4.484705,13.288075,20.185492,1.597714,0.004820
0.020000,70.711707,130.305317,4.758554,13.692444,20.218464,1.648617,0.005000
0.020000,70.993653,130.306751,5.040504,14.097487,20.252152,1.684366,0.005170
0.020000,71.283714,130.308274,5.330568,14.503229,20.287099,1.747379,0.005332
0.020000,71.581903,130.309887,5.628762,14.909694,20.323237,1.806901,0.005482
0.020000,71.888236,130.311588,5.935100,15.316884,20.359536,1.814947,0.005621
0.020000,72.202728,130.313376,6.249597,15.724840,20.397788,1.912604,0.005746
0.020000,72.525394,130.315248,6.572268,16.133570,20.436463,1.933738,0.005857
0.020000,72.856250,130.317202,6.903130,16.543091,20.476065,1.980097,0.005952
0.020000,73.195312,130.319234,7.242198,16.953430,20.516953,2.044410,0.006029
0.020000,73.542598,130.321339,7.589491,17.364604,20.558702,2.087420,0.006088
0.020000,73.898124,130.323511,7.945023,17.776632,20.601427,2.136269,0.006127
0.020000,74.261908,130.325743,8.308814,18.189535,20.645132,2.185238,0.006145
0.020000,74.633968,130.328029,8.680881,18.603334,20.689925,2.239677,0.006139
0.020000,75.014321,130.330359,9.061242,19.018046,20.735622,2.284820,0.006109
0.020000,75.402988,130.332724,9.449915,19.433696,20.782482,2.343019,0.006053
0.020000,75.799987,130.335111,9.846921,19.850298,20.830093,2.380551,0.005969
0.020000,76.201322,130.337485,10.248264,20.067126,10.841445,-499.432385,0.005857
0.020000,76.602986,130.339810,10.649934,20.083528,0.820090,-501.067764,0.005718
0.020000,77.004979,130.342076,11.051933,20.099932,0.820207,0.005851,0.005551
0.020000,77.407299,130.344272,11.454260,20.116349,0.820810,0.030132,0.005357
0.020000,77.809949,130.346385,11.856915,20.132761,0.820618,-0.009581,0.005136
0.020000,78.212928,130.348406,12.259899,20.149182,0.821043,0.021248,0.004887
0.020000,78.616235,130.350322,12.663211,20.165615,0.821641,0.029911,0.004611
0.020000,79.019872,130.352123,13.066852,20.182044,0.821492,-0.007461,0.004308
0.020000,79.423839,130.353798,13.470822,20.198490,0.822281,0.039460,0.003977
0.020000,79.828135,130.355334,13.875121,20.214944,0.822694,0.020608,0.003619
0.020000,80.232760,130.356722,14.279749,20.231398,0.822676,-0.000854,0.003233
0.020000,80.637716,130.357948,14.684706,20.247876,0.823909,0.061616,0.002820
0.020000,81.043002,130.359003,15.089993,20.264355,0.823965,0.002798,0.002380
0.020000,81.448617,130.359874,15.495610,20.280838,0.824164,0.009940,0.001912
0.020000,81.854564,130.360550,15.901557,20.297356,0.825908,0.087233,0.001416
0.020000,82.260841,130.361020,16.307835,20.313865,0.825453,-0.022742,0.000893
0.020000,82.667449,130.361272,16.714442,20.330388,0.826120,0.033346,0.000342
0.020000,83.074388,130.361295,17.121381,20.346946,0.827905,0.089256,6.282949
0.020000,83.481657,130.361076,17.528651,20.363493,0.827334,-0.028576,6.282343
0.020000,83.889258,130.360605,17.936252,20.380063,0.828504,0.058500,6.281710
0.020000,84.297191,130.359869,18.344186,20.396661,0.829937,0.071646,6.281049
0.020000,84.705455,130.358857,18.752451,20.413253,0.829573,-0.018201,6.280360
0.020000,85.114050,130.357557,19.161048,20.429877,0.831201,0.081403,6.279644
0.020000,85.522978,130.355958,19.569979,20.446520,0.832172,0.048547,6.278900
0.020000,85.932236,130.354047,19.979242,20.463162,0.832067,-0.005224,6.278128
0.020000,86.341827,130.351812,20.388839,20.479845,0.834181,0.105678,6.277328
0.020000,86.751750,130.349243,20.798770,20.496537,0.834605,0.021200,6.276500
0.020000,87.162004,130.346325,21.209034,20.513233,0.834799,0.009705,6.275645
0.020000,87.572591,130.343049,21.619634,20.529982,0.837410,0.130557,6.274762
0.020000,87.983509,130.339401,22.030568,20.546726,0.837229,-0.009058,6.273850
0.020000,88.394759,130.335370,22.441838,20.563481,0.837747,0.025886,6.272911
0.020000,88.806341,130.330943,22.853444,20.580298,0.840851,0.155241,6.271944
0.020000,89.218255,130.326108,23.265386,20.597099,0.840035,-0.040827,6.270949
