dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,75.997794,105.000000,0.004973,0.497276,24.863780,1243.188996,6.283016
0.020000,75.998257,105.000000,0.005436,0.023160,-23.705786,-2428.478310,6.283051
0.020000,75.999028,105.000000,0.006206,0.038514,0.767729,1223.675759,6.283111
0.020000,76.003425,105.000000,0.010603,0.219854,9.066954,414.961248,0.000008
0.020000,76.049555,105.000003,0.056734,2.306516,104.333148,4763.309726,0.000114
0.020000,76.105927,105.000013,0.113106,2.818619,25.605141,-3936.400387,0.000242
0.020000,76.172536,105.000034,0.179715,3.330432,25.590612,-0.726449,0.000393
0.020000,76.249374,105.000071,0.256553,3.841903,25.573577,-0.851722,0.000566
0.020000,76.336434,105.000129,0.343613,4.352989,25.554293,-0.964209,0.000760
0.020000,76.433707,105.000213,0.440885,4.863644,25.532751,-1.077106,0.000975
0.020000,76.541183,105.000330,0.548362,5.373823,25.508941,-1.190480,0.001209
0.020000,76.658852,105.000488,0.666031,5.883436,25.480643,-1.414939,0.001463
0.020000,76.786701,105.000692,0.793880,6.392497,25.453054,-1.379419,0.001734
0.020000,76.924719,105.000952,0.931898,6.900878,25.419057,-1.699867,0.002023
0.020000,77.072890,105.001274,1.080070,7.408595,25.385864,-1.659639,0.002328
0.020000,77.231201,105.001668,1.238381,7.915569,25.348710,-1.857694,0.002648
0.020000,77.399636,105.002142,1.406816,8.421753,25.309197,-1.975636,0.002981
0.020000,77.578176,105.002705,1.585358,8.927089,25.266782,-2.120748,0.003327
0.020000,77.766806,105.003367,1.773989,9.431528,25.221975,-2.240368,0.003684
0.020000,77.965505,105.004135,1.972690,9.935050,25.176070,-2.295277,0.004050
0.020000,78.174255,105.005020,2.181441,10.437550,25.125023,-2.552312,0.004425
0.020000,78.393033,105.006030,2.400221,10.939026,25.073788,-2.561745,0.004805
0.020000,78.621818,105.007173,2.629009,11.439411,25.019235,-2.727694,0.005191
0.020000,78.860588,105.008460,2.867783,11.938652,24.962070,-2.858206,0.005580
0.020000,79.109318,105.009896,3.116517,12.436705,24.902652,-2.970937,0.005970
0.020000,79.367983,105.011491,3.375187,12.933519,24.840684,-3.098369,0.006359
0.020000,79.636558,105.013251,3.643768,13.429028,24.775463,-3.261057,0.006746
0.020000,79.915016,105.015183,3.922232,13.923224,24.709803,-3.282997,0.007127
0.020000,80.203328,105.017293,4.210552,14.416011,24.639348,-3.522751,0.007502
0.020000,80.501467,105.019585,4.508700,14.907369,24.567870,-3.573914,0.007868
0.020000,80.809402,105.022063,4.816644,15.397242,24.493658,-3.710594,0.008222
0.020000,81.127102,105.024730,5.134356,15.885578,24.416804,-3.842700,0.008563
0.020000,81.454536,105.027587,5.461803,16.372330,24.337616,-3.959394,0.008887
0.020000,81.791671,105.030636,5.798951,16.857435,24.255268,-4.117405,0.009193
0.020000,82.138473,105.033874,6.145769,17.340871,24.171794,-4.173710,0.009477
0.020000,82.494908,105.037300,6.502220,17.822563,24.084576,-4.360880,0.009738
0.020000,82.860940,105.040908,6.868270,18.302477,23.995705,-4.443585,0.009972
0.020000,83.236532,105.044693,7.243881,18.780552,23.903771,-4.596697,0.010176
0.020000,83.621646,105.048646,7.629015,19.256742,23.809465,-4.715283,0.010347
0.020000,84.016245,105.052758,8.023635,19.730996,23.712706,-4.837946,0.010484
0.020000,84.420288,105.057015,8.427701,20.203264,23.613408,-4.964910,0.010582
0.020000,84.833734,105.061403,8.841171,20.673494,23.511480,-5.096388,0.010638
0.020000,85.256543,105.065905,9.264003,21.141631,23.406851,-5.231442,0.010649
0.020000,85.688671,105.070501,9.696156,21.607625,23.299699,-5.357597,0.010613
0.020000,86.130075,105.075168,10.137584,22.071422,23.189865,-5.491722,0.010524
0.020000,86.580710,105.079881,10.588243,22.532969,23.077362,-5.625148,0.010381
0.020000,87.040529,105.084610,11.048088,22.992209,22.962018,-5.767180,0.010179
0.020000,87.509487,105.089324,11.517069,23.449090,22.844017,-5.900077,0.009916
0.020000,87.987536,105.093988,11.995141,23.903557,22.723355,-6.033095,0.009586
0.020000,88.474625,105.098563,12.482251,24.355541,22.599205,-6.207508,0.009186
0.020000,88.970705,105.103006,12.978351,24.805002,22.473065,-6.306973,0.008714
0.020000,89.475725,105.107270,13.483389,25.251861,22.342925,-6.506999,0.008163
0.020000,89.989630,105.111306,13.997310,25.696075,22.210701,-6.611206,0.007531
0.020000,90.512368,105.115059,14.520062,26.137577,22.075091,-6.780519,0.006813
0.020000,91.043883,105.118468,15.051588,26.576297,21.936000,-6.954516,0.006005
0.020000,91.584119,105.121472,15.591831,27.012186,21.794480,-7.076001,0.005102
0.020000,92.133016,105.124002,16.140734,27.445157,21.648512,-7.298421,0.004101
0.020000,92.690515,105.125985,16.698237,27.875150,21.499684,-7.441391,0.002996
0.020000,93.256556,105.127342,17.264280,28.302119,21.348457,-7.561331,0.001783
0.020000,93.831075,105.127990,17.838799,28.725967,21.192361,-7.804818,0.000457
0.020000,94.414008,105.127840,18.421732,29.146627,21.033001,-7.968003,6.282198
0.020000,95.005287,105.126798,19.013012,29.564035,20.870398,-8.130163,6.280632
0.020000,95.604846,105.124765,19.612575,29.978110,20.703774,-8.331213,6.278937
0.020000,96.212614,105.121633,20.220350,30.388769,20.532970,-8.540199,6.277109
0.020000,96.828518,105.117290,20.836269,30.795969,20.359968,-8.650097,6.275142
0.020000,97.452483,105.111619,21.460261,31.199574,20.180265,-8.985109,6.273031
0.020000,98.084434,105.104494,22.092252,31.599564,19.999509,-9.037832,6.270771
0.020000,98.724291,105.095784,22.732168,31.995802,19.811876,-9.381621,6.268355
0.020000,99.371972,105.085351,23.379933,32.388241,19.621940,-9.496808,6.265778
0.020000,100.027392,105.073048,24.035469,32.776789,19.427446,-9.724730,6.263034
