dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,161.999987,79.982116,0.003958,0.395843,19.792153,989.607652,4.710899
0.020000,161.999990,79.984687,0.006530,0.128557,-13.364324,-1657.823857,4.711113
0.020000,161.999996,79.989832,0.011674,0.257222,6.433282,989.880299,4.711542
0.020000,162.000000,79.997554,0.019396,0.386106,6.444187,0.545274,4.712185
0.020000,162.000013,79.959549,0.057401,1.900236,75.706489,3463.115058,4.713044
0.020000,162.000092,79.893305,0.123644,3.312182,70.597302,-255.459342,4.714121
0.020000,162.000281,79.813848,0.203102,3.972889,33.035337,-1878.098254,4.715415
0.020000,162.000632,79.721200,0.295751,4.632446,32.977856,-2.874025,4.716931
0.020000,162.001204,79.615398,0.401555,5.290184,32.886917,-4.546957,4.718670
0.020000,162.002068,79.496457,0.520498,5.947180,32.849790,-1.856333,4.720634
0.020000,162.003301,79.364441,0.652520,6.601089,32.695449,-7.717087,4.722827
0.020000,162.004991,79.219379,0.797592,7.253598,32.625487,-3.498092,4.725252
0.020000,162.007235,79.061325,0.955663,7.903517,32.495927,-6.478002,4.727912
0.020000,162.010137,78.890302,1.126709,8.552345,32.441414,-2.725634,4.730812
0.020000,162.013815,78.706395,1.310654,9.197218,32.243642,-9.888619,4.733956
0.020000,162.018392,78.509663,1.507439,9.839263,32.102252,-7.069457,4.737349
0.020000,162.024004,78.300158,1.717019,10.478998,31.986748,-5.775245,4.740996
0.020000,162.030796,78.077961,1.939320,11.115039,31.802033,-9.235738,4.744903
0.020000,162.038922,77.843167,2.174254,11.746709,31.583490,-10.927130,4.749075
0.020000,162.048548,77.595853,2.421756,12.375091,31.419142,-8.217422,4.753519
0.020000,162.059851,77.336100,2.681755,12.999946,31.242744,-8.819887,4.758243
0.020000,162.073017,77.064029,2.954143,13.619430,30.974163,-13.429065,4.763252
0.020000,162.088244,76.779743,3.238838,14.234710,30.764030,-10.506621,4.768556
0.020000,162.105741,76.483348,3.535748,14.845537,30.541318,-11.135639,4.774163
0.020000,162.125726,76.175009,3.844734,15.449284,30.187357,-17.698014,4.780080
0.020000,162.148434,75.854811,4.165736,16.050101,30.040877,-7.324028,4.786318
0.020000,162.174107,75.522937,4.498602,16.643320,29.660949,-18.996407,4.792885
0.020000,162.203001,75.179535,4.843217,17.230725,29.370229,-14.535992,4.799793
0.020000,162.235381,74.824779,5.199448,17.811573,29.042427,-16.390080,4.807052
0.020000,162.271531,74.458825,5.567183,18.386721,28.757410,-14.250835,4.814672
0.020000,162.311738,74.081890,5.946256,18.953664,28.347132,-20.513900,4.822667
0.020000,162.356312,73.694153,6.336547,19.514531,28.043359,-15.188663,4.831047
0.020000,162.405565,73.295848,6.737886,20.066967,27.621791,-21.078394,4.839825
0.020000,162.459829,72.887199,7.150122,20.611791,27.241178,-19.030672,4.849014
0.020000,162.519445,72.468449,7.573095,21.148637,26.842308,-19.943515,4.858628
0.020000,162.584771,72.039835,8.006658,21.678173,26.476810,-18.274870,4.868680
0.020000,162.656171,71.601649,8.450623,22.198236,26.003124,-23.684309,4.879184
0.020000,162.734026,71.154167,8.904827,22.710234,25.599942,-20.159116,4.890154
0.020000,162.818730,70.697681,9.369105,23.213888,25.182693,-20.862456,4.901604
0.020000,162.910686,70.232512,9.843277,23.708579,24.734520,-22.408641,4.913549
0.020000,163.010315,69.758966,10.327189,24.195624,24.352290,-19.111471,4.926002
0.020000,163.118042,69.277397,10.820661,24.673578,23.897674,-22.730816,4.938977
0.020000,163.234312,68.788140,11.323544,25.144156,23.528900,-18.438679,4.952488
0.020000,163.359580,68.291554,11.835686,25.607085,23.146449,-19.122569,4.966547
0.020000,163.494308,67.788021,12.356932,26.062311,22.761298,-19.257531,4.981165
0.020000,163.638982,67.277888,12.887183,26.512547,22.511829,-12.473450,4.996354
0.020000,163.794087,66.761556,13.426308,26.956254,22.185349,-16.324028,5.012123
0.020000,163.960129,66.239406,13.974222,27.395732,21.973872,-10.573860,5.028478
0.020000,164.137627,65.711812,14.530874,27.832577,21.842234,-6.581888,5.045425
0.020000,164.327110,65.179168,15.096218,28.267185,21.730420,-5.590711,5.062966
0.020000,164.529129,64.641836,15.670271,28.702687,21.775111,2.234564,5.081101
0.020000,164.744245,64.100191,16.253070,29.139939,21.862618,4.375355,5.099827
0.020000,164.973040,63.554586,16.844705,29.581743,22.090164,11.377277,5.119137
0.020000,165.216112,63.005371,17.445305,30.030007,22.413236,16.153645,5.139018
0.020000,165.474082,62.452867,18.055067,30.488093,22.904297,24.553043,5.159455
0.020000,165.747595,61.897380,18.674240,30.958656,23.528135,31.191907,5.180428
0.020000,166.037314,61.339202,19.303128,31.444367,24.285544,37.870408,5.201910
0.020000,166.343937,60.778588,19.942115,31.949387,25.250997,48.272652,5.223870
0.020000,166.668177,60.215792,20.591631,32.475805,26.320897,53.495041,5.246272
0.020000,167.010778,59.651037,21.252180,33.027423,27.580915,63.000861,5.269074
0.020000,167.372514,59.084522,21.924335,33.607738,29.015751,71.741812,5.292229
0.020000,167.754174,58.516447,22.608713,34.218906,30.558379,77.131387,5.315684
0.020000,168.156573,57.946988,23.306000,34.864349,32.272144,85.688252,5.339383
0.020000,168.580542,57.376318,24.016924,35.546226,34.093873,91.086464,5.363265
0.020000,169.026918,56.804610,24.742253,36.266433,36.010340,95.823375,5.387266
0.020000,169.496550,56.232036,25.482789,37.026828,38.019733,100.469646,5.411319
0.020000,169.990273,55.658781,26.239350,37.828019,40.059581,101.992384,5.435356
0.020000,170.508912,55.085038,27.012763,38.670660,42.132055,103.623684,5.459308
0.020000,171.053270,54.511016,27.803855,39.554583,44.196127,103.203607,5.483107
0.020000,171.624111,53.936941,28.613436,40.479085,46.225119,101.449611,5.506684
0.020000,172.222159,53.363055,29.442295,41.442916,48.191523,98.320209,5.529974
0.020000,172.848083,52.789619,30.291182,42.444388,50.073608,94.104224,5.552915
0.020000,173.502491,52.216904,31.160810,43.481352,51.848185,88.728879,5.575447
0.020000,174.185923,51.645196,32.051837,44.551366,53.500700,82.625716,5.597515
0.020000,174.896223,51.076836,32.961540,45.485139,46.688662,-340.601874,5.618992
0.020000,175.625852,50.517797,33.880715,45.958773,23.681717,-1150.347266,5.639630
0.020000,176.366790,49.973394,34.800152,45.971834,0.653041,-1151.433819,5.659233
0.020000,177.115518,49.444948,35.716584,45.821626,-7.510416,-408.172811,5.677767
0.020000,177.870797,48.932007,36.629576,45.649610,-8.600794,-54.518898,5.695269
0.020000,178.631416,48.434122,37.538659,45.454123,-9.774355,-58.678061,5.711777
0.020000,179.396202,47.950838,38.443348,45.234439,-10.984173,-60.490909,5.727331
0.020000,180.164021,47.481703,39.343144,44.989817,-12.231103,-62.346479,5.741974
0.020000,180.933788,47.026267,40.237550,44.720309,-13.475392,-62.214491,5.755747
0.020000,181.704467,46.584077,41.126076,44.426294,-14.700765,-61.268642,5.768690
0.020000,182.475067,46.154691,42.008230,44.107710,-15.929175,-61.420484,5.780845
0.020000,183.244656,45.737669,42.883545,43.765737,-17.098700,-58.476234,5.792250
0.020000,184.012351,45.332580,43.751562,43.400846,-18.244546,-57.292313,5.802945
0.020000,184.777316,44.939002,44.611838,43.013783,-19.353124,-55.428927,5.812964
0.020000,185.538767,44.556525,45.463951,42.605665,-20.405903,-52.638936,5.822345
0.020000,186.295965,44.184750,46.307494,42.177156,-21.425443,-50.976988,5.831120
0.020000,187.048221,43.823293,47.142083,41.729468,-22.384421,-47.948889,5.839322
0.020000,187.794883,43.471782,47.967350,41.263313,-23.307746,-46.166276,5.846982
0.020000,188.535342,43.129863,48.782941,40.779563,-24.187500,-43.987680,5.854128
0.020000,189.269033,42.797193,49.588528,40.279360,-25.010143,-41.132158,5.860789
0.020000,189.995419,42.473448,50.383794,39.763318,-25.802089,-39.597307,5.866990
0.020000,190.714003,42.158320,51.168440,39.232274,-26.552187,-37.504908,5.872757
0.020000,191.424319,41.851515,51.942182,38.687117,-27.257855,-35.283366,5.878112
0.020000,192.125928,41.552757,52.704751,38.128448,-27.933463,-33.780418,5.883080
0.020000,192.818423,41.261784,53.455894,37.557114,-28.566696,-31.661655,5.887680
0.020000,193.501418,40.978352,54.195364,36.973502,-29.180593,-30.694863,5.891934
0.020000,194.174557,40.702232,54.922934,36.378502,-29.750020,-28.471338,5.895860
0.020000,194.837501,40.433208,55.638384,35.772528,-30.298675,-27.432761,5.899476
0.020000,195.489940,40.171079,56.341511,35.156355,-30.808664,-25.499438,5.902799
0.020000,196.131573,39.915662,57.032113,34.530076,-31.313932,-25.263409,5.905847
0.020000,196.762126,39.666784,57.710004,33.894573,-31.775169,-23.061827,5.908635
0.020000,197.381337,39.424288,58.375006,33.250084,-32.224456,-22.464345,5.911177
0.020000,197.988962,39.188027,59.026948,32.597090,-32.649685,-21.261481,5.913489
0.020000,198.584770,38.957869,59.665664,31.935826,-33.063191,-20.675304,5.915583
0.020000,199.168546,38.733694,60.291004,31.266967,-33.442988,-18.989826,5.917472
0.020000,199.740085,38.515393,60.902814,30.590523,-33.822162,-18.958687,5.919169
0.020000,200.299196,38.302867,61.500955,29.907037,-34.174323,-17.608084,5.920686
0.020000,200.845698,38.096029,62.085289,29.216712,-34.516272,-17.097456,5.922033
0.020000,201.379421,37.894801,62.655686,28.519853,-34.842907,-16.331714,5.923223
0.020000,201.900205,37.699114,63.212022,27.816799,-35.152739,-15.491601,5.924265
0.020000,202.407898,37.508910,63.754175,27.107652,-35.457320,-15.229056,5.925170
0.020000,202.902358,37.324137,64.282031,26.392771,-35.744059,-14.336964,5.925946
0.020000,203.383449,37.144752,64.795478,25.672361,-36.020526,-13.823350,5.926604
0.020000,203.851045,36.970720,65.294410,24.946595,-36.288283,-13.387820,5.927152
0.020000,204.305026,36.802012,65.778724,24.215731,-36.543187,-12.745232,5.927598
0.020000,204.745278,36.638606,66.248323,23.479948,-36.789142,-12.297750,5.927951
0.020000,205.171694,36.480486,66.703112,22.739436,-37.025622,-11.823967,5.928219
0.020000,205.584173,36.327641,67.142999,21.994369,-37.253353,-11.386563,5.928410
0.020000,205.982621,36.180066,67.567898,21.244938,-37.471529,-10.908826,5.928529
0.020000,206.366947,36.037759,67.977724,20.491317,-37.681062,-10.476619,5.928586
0.020000,206.737066,35.900724,68.372398,19.733665,-37.882592,-10.076494,5.928586
0.020000,207.092900,35.768968,68.751841,18.972150,-38.075776,-9.659214,5.928535
0.020000,207.434372,35.642501,69.115980,18.206938,-38.260572,-9.239791,5.928440
0.020000,207.761412,35.521337,69.464743,17.438182,-38.437822,-8.862535,5.928307
0.020000,208.073954,35.405491,69.798064,16.666051,-38.606517,-8.434721,5.928142
0.020000,208.371936,35.294982,70.115878,15.890673,-38.768915,-8.119903,5.927949
0.020000,208.655299,35.189828,70.418122,15.112229,-38.922211,-7.664795,5.927734
0.020000,208.923988,35.090051,70.704739,14.330848,-39.069041,-7.341512,5.927502
0.020000,209.177952,34.995672,70.975673,13.546711,-39.206875,-6.891686,5.927258
0.020000,209.417145,34.906716,71.230873,12.759957,-39.337667,-6.539614,5.927005
0.020000,209.641523,34.823204,71.470287,11.970721,-39.461827,-6.207995,5.926748
0.020000,209.851043,34.745161,71.693870,11.179156,-39.578227,-5.819978,5.926491
0.020000,210.045669,34.672609,71.901579,10.385457,-39.684935,-5.335447,5.926237
0.020000,210.225366,34.605571,72.093374,9.589736,-39.786065,-5.056456,5.925990
0.020000,210.390103,34.544069,72.269217,8.792138,-39.879883,-4.690913,5.925753
0.020000,210.539850,34.488123,72.429073,7.992826,-39.965649,-4.288303,5.925529
0.020000,210.674583,34.437753,72.572914,7.192027,-40.039930,-3.714056,5.925320
0.020000,210.794277,34.392979,72.700708,6.389726,-40.115034,-3.755212,5.925128
0.020000,210.898913,34.353815,72.812434,5.586286,-40.172018,-2.849203,5.924956
0.020000,210.988474,34.320277,72.908068,4.781688,-40.229910,-2.894599,5.924806
0.020000,211.062943,34.292379,72.987591,3.976165,-40.276111,-2.310055,5.924678
0.020000,211.122308,34.270132,73.050989,3.169871,-40.314728,-1.930818,5.924575
0.020000,211.166562,34.253543,73.098249,2.363007,-40.343187,-1.422942,5.924498
0.020000,211.195693,34.242620,73.129361,1.555600,-40.370333,-1.357322,5.924446
