dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,150.000000,80.000000,0.003958,0.395843,19.792153,989.607652,4.710899
0.020000,150.000000,80.000000,0.019792,1.187529,39.584306,989.607652,4.711113
0.020000,150.000000,80.000000,0.051460,1.979215,39.584306,0.000000,4.711542
0.020000,150.000000,80.000000,0.098961,2.770901,39.584306,0.000000,4.712185
0.020000,150.000016,79.951683,0.162296,3.562588,39.584306,0.000000,4.713044
0.020000,150.000110,79.872527,0.241464,4.354274,39.584306,0.000000,4.714121
0.020000,150.000336,79.777530,0.336467,5.145960,39.584306,-0.000000,4.715415
0.020000,150.000756,79.666693,0.447303,5.937646,39.584306,0.000000,4.716931
0.020000,150.001441,79.540027,0.573972,6.729332,39.584306,0.000000,4.718670
0.020000,150.002476,79.397513,0.716476,7.521018,39.584306,-0.000000,4.720634
0.020000,150.003955,79.239183,0.874813,8.312704,39.584306,0.000000,4.722827
0.020000,150.005984,79.065025,1.048984,9.104390,39.584306,-0.000000,4.725252
0.020000,150.008680,78.875052,1.238989,9.896077,39.584306,0.000000,4.727912
0.020000,150.012174,78.669233,1.444827,10.687763,39.584306,0.000000,4.730812
0.020000,150.016606,78.447605,1.666499,11.479449,39.584306,0.000000,4.733956
0.020000,150.022130,78.210171,1.904005,12.271135,39.584306,0.000000,4.737349
0.020000,150.028914,77.956918,2.157345,13.062821,39.584306,-0.000000,4.740996
0.020000,150.037138,77.687863,2.426518,13.854507,39.584306,0.000000,4.744903
0.020000,150.046996,77.403034,2.711525,14.646193,39.584306,0.000000,4.749075
0.020000,150.058697,77.102429,3.012366,15.437879,39.584306,-0.000000,4.753519
0.020000,150.072464,76.786048,3.329040,16.229565,39.584306,0.000000,4.758243
0.020000,150.088536,76.453932,3.661548,17.021252,39.584306,-0.000000,4.763252
0.020000,150.107167,76.106091,4.009890,17.812938,39.584306,0.000000,4.768556
0.020000,150.128629,75.742536,4.374066,18.604624,39.584306,-0.000000,4.774163
0.020000,150.153207,75.363341,4.754075,19.396310,39.584306,0.000000,4.780080
0.020000,150.181212,74.968477,5.149918,20.187996,39.584306,-0.000000,4.786318
0.020000,150.212964,74.558024,5.561595,20.979682,39.584306,0.000000,4.792885
0.020000,150.248808,74.132021,5.989106,21.771368,39.584306,-0.000000,4.799793
0.020000,150.289107,73.690523,6.432450,22.563054,39.584306,0.000000,4.807052
0.020000,150.334247,73.233563,6.891628,23.354741,39.584306,-0.000000,4.814672
0.020000,150.384631,72.761240,7.366639,24.146427,39.584306,0.000000,4.822667
0.020000,150.440691,72.273599,7.857485,24.938113,39.584306,0.000000,4.831047
0.020000,150.502873,71.770752,8.364164,25.729799,39.584306,0.000000,4.839825
0.020000,150.571654,71.252791,8.886677,26.521485,39.584306,-0.000000,4.849014
0.020000,150.647532,70.719829,9.425023,27.313171,39.584306,0.000000,4.858628
0.020000,150.731034,70.171968,9.979204,28.104857,39.584306,-0.000000,4.868680
0.020000,150.822708,69.609378,10.549218,28.896543,39.584306,0.000000,4.879184
0.020000,150.923130,69.032206,11.135065,29.688230,39.584306,0.000000,4.890154
0.020000,151.032904,68.440625,11.736747,30.479916,39.584306,-0.000000,4.901604
0.020000,151.152660,67.834844,12.354262,31.271602,39.584306,0.000000,4.913549
0.020000,151.283058,67.215063,12.987611,32.063288,39.584306,0.000000,4.926002
0.020000,151.424779,66.581548,13.636793,32.854974,39.584306,0.000000,4.938977
0.020000,151.578539,65.934557,14.301810,33.646660,39.584306,-0.000000,4.952488
0.020000,151.745075,65.274391,14.982660,34.438346,39.584306,0.000000,4.966547
0.020000,151.925149,64.601400,15.679344,35.230032,39.584306,0.000000,4.981165
0.020000,152.119558,63.915915,16.391861,36.021719,39.584306,0.000000,4.996354
0.020000,152.329106,63.218367,17.120212,36.813405,39.584306,-0.000000,5.012123
0.020000,152.554626,62.509190,17.864397,37.605091,39.584306,0.000000,5.028478
0.020000,152.796975,61.788853,18.624416,38.396777,39.584306,0.000000,5.045425
0.020000,153.057012,61.057895,19.400268,39.188463,39.584306,0.000000,5.062966
0.020000,153.335622,60.316863,20.191955,39.980149,39.584306,-0.000000,5.081101
0.020000,153.633685,59.566377,20.999474,40.771835,39.584306,0.000000,5.099827
0.020000,153.952092,58.807092,21.822828,41.563521,39.584306,0.000000,5.119137
0.020000,154.291721,58.039720,22.662015,42.355207,39.584306,0.000000,5.139018
0.020000,154.653450,57.265003,23.517036,43.146894,39.584306,-0.000000,5.159455
0.020000,155.038138,56.483737,24.387891,43.938580,39.584306,0.000000,5.180428
