dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,138.000013,80.017877,0.004000,0.400000,20.000000,1000.000000,4.710899
0.020000,138.000011,80.015929,0.005949,0.097427,-15.128665,-1756.433257,4.711062
0.020000,138.000007,80.012680,0.009197,0.162424,3.249877,918.927089,4.711332
0.020000,138.000003,80.008130,0.013747,0.227491,3.253357,0.174000,4.711711
0.020000,138.000000,80.002277,0.019600,0.292656,3.258228,0.243590,4.712199
0.020000,138.000007,79.965097,0.056780,1.858987,78.316572,3752.917166,4.712796
0.020000,138.000053,79.904623,0.117255,3.023748,58.238054,-1003.925892,4.713502
0.020000,138.000159,79.834829,0.187048,3.489673,23.296237,-1747.090833,4.714319
0.020000,138.000349,79.755712,0.266166,3.955891,23.310911,0.733662,4.715245
0.020000,138.000647,79.667240,0.354638,4.423613,23.386069,3.757925,4.716284
0.020000,138.001084,79.569441,0.452438,4.890010,23.319862,-3.310356,4.717434
0.020000,138.001693,79.462292,0.559588,5.357501,23.374543,2.734077,4.718698
0.020000,138.002508,79.345765,0.676118,5.826502,23.450035,3.774590,4.720075
0.020000,138.003570,79.219854,0.802034,6.295798,23.464809,0.738703,4.721568
0.020000,138.004921,79.084556,0.937339,6.765212,23.470725,0.295779,4.723177
0.020000,138.006607,78.939853,1.082051,7.235626,23.520706,2.499078,4.724903
0.020000,138.008678,78.785713,1.236205,7.707711,23.604239,4.176636,4.726749
0.020000,138.011187,78.622141,1.399797,8.179574,23.593152,-0.554378,4.728714
0.020000,138.014192,78.449131,1.572833,8.651802,23.611382,0.911533,4.730801
0.020000,138.017754,78.266647,1.755352,9.125959,23.707859,4.823835,4.733011
0.020000,138.021938,78.074660,1.947384,9.601596,23.781845,3.699278,4.735346
0.020000,138.026812,77.873183,2.148920,10.076817,23.761040,-1.040248,4.737808
0.020000,138.032451,77.662168,2.360010,10.554503,23.884333,6.164670,4.740399
0.020000,138.038931,77.441596,2.580677,11.033342,23.941942,2.880475,4.743121
0.020000,138.046334,77.211468,2.810924,11.512348,23.950308,0.418300,4.745975
0.020000,138.054746,76.971752,3.050788,11.993209,24.043022,4.635674,4.748964
0.020000,138.064260,76.722417,3.300305,12.475811,24.130101,4.353940,4.752091
0.020000,138.074970,76.463438,3.559505,12.960042,24.211533,4.071631,4.755358
0.020000,138.086979,76.194790,3.828421,13.445788,24.287319,3.789261,4.758767
0.020000,138.100392,75.916454,4.107080,13.932937,24.357466,3.507357,4.762321
0.020000,138.115321,75.628413,4.395508,14.421377,24.421995,3.226460,4.766023
0.020000,138.131881,75.330654,4.693727,14.910996,24.480937,2.947116,4.769876
0.020000,138.150198,75.023107,5.001819,15.404559,24.678160,9.861122,4.773883
0.020000,138.170398,74.705791,5.319777,15.897936,24.668833,-0.466310,4.778047
0.020000,138.192618,74.378651,5.647671,16.394691,24.837760,8.446319,4.782371
0.020000,138.216996,74.041699,5.985504,16.891632,24.847057,0.464838,4.786858
0.020000,138.243684,73.694857,6.333371,17.393361,25.086459,11.970113,4.791513
0.020000,138.272833,73.338134,6.691283,17.895618,25.112819,1.317993,4.796338
0.020000,138.304606,72.971506,7.059286,18.400109,25.224547,5.586401,4.801339
0.020000,138.339171,72.594946,7.437428,18.907117,25.350436,6.294475,4.806517
0.020000,138.376705,72.208434,7.825758,19.416504,25.469319,5.944123,4.811878
0.020000,138.417390,71.811954,8.224321,19.928127,25.581169,5.592526,4.817426
0.020000,138.461422,71.405468,8.633185,20.443205,25.753916,8.637356,4.823164
0.020000,138.509000,70.988961,9.052400,20.960780,25.878733,6.240817,4.829098
0.020000,138.560329,70.562457,9.481982,21.479091,25.915537,1.840239,4.835232
0.020000,138.615635,70.125871,9.922056,22.003713,26.231104,15.778322,4.841570
