dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.730968,17.611443,0.002643,0.264322,13.216085,660.804248,2.638391
0.020000,189.731587,17.611102,0.003350,0.035328,-11.449680,-1233.288268,2.638445
0.020000,189.732977,17.610337,0.004936,0.079334,2.200293,682.498677,2.638567
0.020000,189.731822,17.610972,0.006255,0.065944,-0.669481,-143.488693,2.638770
0.020000,189.686396,17.635947,0.058094,2.591915,126.298526,6348.400344,2.639052
0.020000,189.627951,17.668055,0.124778,3.334219,37.115227,-4459.164966,2.639412
0.020000,189.556455,17.707296,0.206335,4.077838,37.180924,3.284867,2.639848
0.020000,189.471873,17.753666,0.302793,4.822915,37.253844,3.645977,2.640358
0.020000,189.374161,17.807167,0.414194,5.570034,37.355940,5.104799,2.640938
0.020000,189.263269,17.867795,0.540577,6.319154,37.456034,5.004691,2.641586
0.020000,189.139142,17.935549,0.681992,7.070767,37.580616,6.229105,2.642297
0.020000,189.001718,18.010430,0.838492,7.825008,37.712089,6.573680,2.643068
0.020000,188.850929,18.092436,1.010138,8.582302,37.864682,7.629659,2.643894
0.020000,188.686703,18.181570,1.196994,9.342780,38.023900,7.960859,2.644770
0.020000,188.508961,18.277832,1.399130,10.106792,38.200603,8.835148,2.645690
0.020000,188.317619,18.381228,1.616621,10.874553,38.388067,9.373229,2.646649
0.020000,188.112588,18.491762,1.849548,11.646375,38.591066,10.149968,2.647641
0.020000,187.893778,18.609441,2.097996,12.422369,38.799708,10.432076,2.648659
0.020000,187.661090,18.734276,2.362056,13.203006,39.031879,11.608563,2.649696
0.020000,187.414422,18.866279,2.641823,13.988380,39.268695,11.840787,2.650744
0.020000,187.153670,19.005468,2.937399,14.778787,39.520324,12.581432,2.651796
0.020000,186.878725,19.151862,3.248889,15.574496,39.785480,13.257838,2.652845
0.020000,186.589476,19.305484,3.576402,16.375640,40.057168,13.584406,2.653880
0.020000,186.285809,19.466366,3.920054,17.182610,40.348515,14.567306,2.654894
0.020000,185.967606,19.634542,4.279966,17.995568,40.647898,14.969194,2.655877
0.020000,185.634748,19.810053,4.656261,18.814776,40.960405,15.625327,2.656820
0.020000,185.287116,19.992946,5.049069,19.640395,41.280937,16.026595,2.657713
0.020000,184.924586,20.183278,5.458525,20.472821,41.621287,17.017509,2.658545
0.020000,184.547035,20.381113,5.884769,21.312183,41.968098,17.340559,2.659305
0.020000,184.154338,20.586524,6.327944,22.158765,42.329121,18.051123,2.659984
0.020000,183.746371,20.799594,6.788201,23.012843,42.703905,18.739198,2.660568
0.020000,183.323008,21.020419,7.265694,23.874650,43.090336,19.321589,2.661046
0.020000,182.884124,21.249105,7.760584,24.744487,43.491883,20.077322,2.661406
0.020000,182.429596,21.485772,8.273036,25.622617,43.906489,20.730303,2.661634
0.020000,181.959299,21.730556,8.803223,26.509349,44.336567,21.503910,2.661719
0.020000,181.473111,21.983607,9.351323,27.404986,44.781872,22.265241,2.661646
0.020000,180.970912,22.245093,9.917520,28.309866,45.243986,23.105703,2.661400
0.020000,180.452581,22.515200,10.502007,29.224320,45.722719,23.936623,2.660968
0.020000,179.918004,22.794137,11.104981,30.148724,46.220199,24.874001,2.660333
0.020000,179.367067,23.082131,11.726650,31.083456,46.736579,25.819000,2.659480
0.020000,178.799658,23.379435,12.367230,32.028997,47.277074,27.024795,2.658393
0.020000,178.215673,23.686329,13.026944,32.985691,47.834684,27.880465,2.657053
0.020000,177.615009,24.003117,13.706026,33.954100,48.420452,29.288411,2.655444
0.020000,176.997570,24.330138,14.404720,34.934719,49.030947,30.524752,2.653546
0.020000,176.363265,24.667758,15.123281,35.928054,49.666740,31.789661,2.651340
0.020000,175.712010,25.016384,15.861979,36.934863,50.340463,33.686152,2.648805
0.020000,175.043729,25.376457,16.621090,37.955579,51.035784,34.766042,2.645919
0.020000,174.358358,25.748458,17.400911,38.991016,51.771860,36.803778,2.642660
0.020000,173.655839,26.132916,18.201748,40.041856,52.542028,38.508420,2.639005
0.020000,172.936127,26.530405,19.023930,41.109102,53.362303,41.013771,2.634927
0.020000,172.199195,26.941551,19.867795,42.193278,54.208759,42.322792,2.630402
0.020000,171.445029,27.367032,20.733706,43.295524,55.112338,45.178940,2.625401
0.020000,170.673636,27.807590,21.622040,44.416730,56.060280,47.397106,2.619894
0.020000,169.885044,28.264028,22.533201,45.558010,57.064026,50.187279,2.613852
0.020000,169.079310,28.737216,23.467607,46.720301,58.114544,52.525931,2.607242
0.020000,168.256517,29.228099,24.425706,47.904948,59.232327,55.889128,2.600029
0.020000,167.416790,29.737700,25.407966,49.113013,60.403268,58.547037,2.592177
0.020000,166.560294,30.267120,26.414877,50.345561,61.627389,61.206078,2.583649
0.020000,165.687241,30.817553,27.446962,51.604226,62.933251,65.293088,2.574405
0.020000,164.797908,31.390283,28.504758,52.889832,64.280314,67.353127,2.564402
