dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,196.000000,29.000000,0.001742,0.174208,8.710399,435.519971,2.638386
0.020000,196.000000,29.000000,0.008710,0.522624,17.420799,435.519971,2.638422
0.020000,196.000000,29.000000,0.024389,1.045248,26.131198,435.519971,2.638502
0.020000,196.000000,29.000000,0.052262,1.742080,34.841598,435.519971,2.638645
0.020000,195.981273,29.010299,0.094072,2.438912,34.841598,-0.000000,2.638858
0.020000,195.932419,29.037152,0.149819,3.135744,34.841598,0.000000,2.639141
0.020000,195.871343,29.070699,0.219502,3.832576,34.841598,0.000000,2.639492
0.020000,195.798036,29.110927,0.303122,4.529408,34.841598,0.000000,2.639910
0.020000,195.712490,29.157821,0.400678,5.226240,34.841598,-0.000000,2.640391
0.020000,195.614694,29.211365,0.512171,5.923072,34.841598,0.000000,2.640935
0.020000,195.504641,29.271538,0.637601,6.619904,34.841598,0.000000,2.641538
0.020000,195.382317,29.338320,0.776968,7.316736,34.841598,0.000000,2.642198
0.020000,195.247711,29.411688,0.930271,8.013567,34.841598,0.000000,2.642910
0.020000,195.100807,29.491618,1.097510,8.710399,34.841598,-0.000000,2.643671
0.020000,194.941596,29.578083,1.278687,9.407231,34.841598,0.000000,2.644478
0.020000,194.770059,29.671058,1.473800,10.104063,34.841598,-0.000000,2.645325
0.020000,194.586183,29.770515,1.682849,10.800895,34.841598,-0.000000,2.646209
0.020000,194.389955,29.876425,1.905835,11.497727,34.841598,0.000000,2.647123
0.020000,194.181357,29.988762,2.142758,12.194559,34.841598,0.000000,2.648064
0.020000,193.960376,30.107496,2.393618,12.891391,34.841598,-0.000000,2.649025
0.020000,193.726997,30.232601,2.658414,13.588223,34.841598,0.000000,2.650001
0.020000,193.481206,30.364049,2.937147,14.285055,34.841598,-0.000000,2.650984
0.020000,193.222989,30.501816,3.229816,14.981887,34.841598,-0.000000,2.651970
0.020000,192.952335,30.645877,3.536422,15.678719,34.841598,0.000000,2.652951
0.020000,192.669231,30.796210,3.856965,16.375551,34.841598,-0.000000,2.653921
0.020000,192.373668,30.952795,4.191444,17.072383,34.841598,0.000000,2.654871
0.020000,192.065637,31.115616,4.539860,17.769215,34.841598,0.000000,2.655794
0.020000,191.745132,31.284659,4.902213,18.466047,34.841598,0.000000,2.656682
0.020000,191.412147,31.459916,5.278502,19.162879,34.841598,0.000000,2.657528
0.020000,191.066681,31.641380,5.668728,19.859711,34.841598,0.000000,2.658323
0.020000,190.708732,31.829051,6.072890,20.556543,34.841598,0.000000,2.659057
0.020000,190.338305,32.022934,6.490990,21.253375,34.841598,0.000000,2.659722
0.020000,189.955405,32.223040,6.923025,21.950207,34.841598,0.000000,2.660309
0.020000,189.560041,32.429386,7.368998,22.647039,34.841598,0.000000,2.660808
0.020000,189.152226,32.641997,7.828907,23.343870,34.841598,0.000000,2.661209
0.020000,188.731977,32.860905,8.302753,24.040702,34.841598,0.000000,2.661501
0.020000,188.299315,33.086150,8.790535,24.737534,34.841598,0.000000,2.661674
0.020000,187.854266,33.317783,9.292254,25.434366,34.841598,0.000000,2.661717
0.020000,187.396862,33.555862,9.807910,26.131198,34.841598,-0.000000,2.661618
0.020000,186.927137,33.800458,10.337502,26.828030,34.841598,0.000000,2.661367
0.020000,186.445135,34.051651,10.881031,27.524862,34.841598,-0.000000,2.660949
0.020000,185.950905,34.309536,11.438497,28.221694,34.841598,0.000000,2.660354
0.020000,185.444501,34.574216,12.009899,28.918526,34.841598,0.000000,2.659568
0.020000,184.925987,34.845814,12.595238,29.615358,34.841598,0.000000,2.658576
0.020000,184.395434,35.124461,13.194513,30.312190,34.841598,-0.000000,2.657366
0.020000,183.852921,35.410308,13.807725,31.009022,34.841598,0.000000,2.655922
0.020000,183.298537,35.703522,14.434874,31.705854,34.841598,-0.000000,2.654229
0.020000,182.732382,36.004284,15.075959,32.402686,34.841598,0.000000,2.652271
0.020000,182.154564,36.312798,15.730981,33.099518,34.841598,-0.000000,2.650032
0.020000,181.565206,36.629284,16.399940,33.796350,34.841598,0.000000,2.647494
0.020000,180.964443,36.953984,17.082835,34.493182,34.841598,0.000000,2.644638
0.020000,180.352425,37.287161,17.779667,35.190014,34.841598,0.000000,2.641447
0.020000,179.729314,37.629103,18.490436,35.886846,34.841598,-0.000000,2.637899
0.020000,179.095292,37.980120,19.215141,36.583678,34.841598,0.000000,2.633974
0.020000,178.450557,38.340548,19.953783,37.280510,34.841598,0.000000,2.629651
0.020000,177.795329,38.710752,20.706362,37.977342,34.841598,-0.000000,2.624905
0.020000,177.129849,39.091120,21.472877,38.674173,34.841598,0.000000,2.619714
0.020000,176.454381,39.482075,22.253328,39.371005,34.841598,0.000000,2.614050
0.020000,175.769215,39.884068,23.047717,40.067837,34.841598,-0.000000,2.607888
0.020000,175.074670,40.297584,23.856042,40.764669,34.841598,0.000000,2.601200
0.020000,174.371097,40.723140,24.678304,41.461501,34.841598,0.000000,2.593956
0.020000,173.658882,41.161287,25.514502,42.158333,34.841598,-0.000000,2.586124
0.020000,172.938446,41.612615,26.364637,42.855165,34.841598,0.000000,2.577673
0.020000,172.210253,42.077750,27.228709,43.551997,34.841598,0.000000,2.568569
0.020000,171.474814,42.557355,28.106717,44.248829,34.841598,-0.000000,2.558777
0.020000,170.732686,43.052132,28.998662,44.945661,34.841598,0.000000,2.548259
0.020000,169.984484,43.562823,29.904543,45.642493,34.841598,0.000000,2.536978
0.020000,169.230879,44.090209,30.824361,46.339325,34.841598,-0.000000,2.524894
0.020000,168.472610,44.635108,31.758116,47.036157,34.841598,0.000000,2.511967
0.020000,167.710486,45.198374,32.705808,47.732989,34.841598,0.000000,2.498157
0.020000,166.945387,45.780901,33.667436,48.429821,34.841598,-0.000000,2.483423
0.020000,166.179644,46.382523,34.641259,48.952445,26.131198,-435.519971,2.467752
0.020000,165.416941,47.001903,35.623792,49.300861,17.420799,-435.519971,2.451169
0.020000,164.660889,47.637536,36.611551,49.475069,8.710399,-435.519971,2.433712
0.020000,163.916073,48.286770,37.599621,49.331986,-7.154115,-793.225745,2.415460
0.020000,163.186876,48.946657,38.583088,49.014696,-15.864515,-435.519971,2.396509
0.020000,162.476413,49.614919,39.558467,48.523198,-24.574914,-435.519971,2.376950
0.020000,161.787601,50.289033,40.522274,47.857492,-33.285314,-435.519971,2.356886
0.020000,161.122140,50.967248,41.472456,47.160660,-34.841598,-77.814198,2.336404
0.020000,160.480391,51.648922,42.408700,46.463828,-34.841598,-0.000000,2.315560
0.020000,159.862437,52.333577,43.331009,45.766996,-34.841598,0.000000,2.294407
0.020000,159.268308,53.020686,44.239380,45.070164,-34.841598,-0.000000,2.273002
0.020000,158.697981,53.709677,45.133815,44.373332,-34.841598,0.000000,2.251400
0.020000,158.151372,54.399941,46.014314,43.676500,-34.841598,-0.000000,2.229662
0.020000,157.628339,55.090835,46.880875,42.979668,-34.841598,0.000000,2.207846
0.020000,157.128678,55.781688,47.733500,42.282836,-34.841598,-0.000000,2.186011
0.020000,156.652128,56.471811,48.572189,41.586004,-34.841598,0.000000,2.164215
0.020000,156.198369,57.160498,49.396940,40.889172,-34.841598,-0.000000,2.142515
0.020000,155.767024,57.847038,50.207756,40.192340,-34.841598,0.000000,2.120966
0.020000,155.357665,58.530716,51.004634,39.495508,-34.841598,0.000000,2.099619
0.020000,154.969811,59.210822,51.787576,38.798676,-34.841598,-0.000000,2.078522
0.020000,154.602941,59.886656,52.556581,38.101844,-34.841598,0.000000,2.057722
0.020000,154.256487,60.557535,53.311650,37.405012,-34.841598,0.000000,2.037258
0.020000,153.929851,61.222791,54.052782,36.708180,-34.841598,-0.000000,2.017168
0.020000,153.622402,61.881784,54.779977,36.011348,-34.841598,0.000000,1.997485
