dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,202.269071,40.388536,0.001971,0.197058,9.852889,492.644442,2.638387
0.020000,202.268610,40.388790,0.002497,0.026344,-8.535694,-919.429157,2.638428
0.020000,202.267572,40.389361,0.003681,0.059188,1.642206,508.895030,2.638519
0.020000,202.265734,40.390372,0.005780,0.104930,2.287103,32.244838,2.638680
0.020000,202.231608,40.409138,0.044725,1.947265,92.116760,4491.482835,2.638931
0.020000,202.167186,40.444540,0.118234,3.675431,86.408284,-285.423773,2.639280
0.020000,202.084386,40.489998,0.212691,4.722885,52.372726,-1701.777897,2.639725
0.020000,201.983230,40.545470,0.328059,5.768356,52.273509,-4.960881,2.640262
0.020000,201.863746,40.610902,0.464286,6.811358,52.150097,-6.170577,2.640888
0.020000,201.725966,40.686235,0.621316,7.851498,52.007042,-7.152781,2.641599
0.020000,201.569927,40.771397,0.799082,8.888308,51.840495,-8.327329,2.642389
0.020000,201.395672,40.866315,0.997511,9.921467,51.657913,-9.129087,2.643252
0.020000,201.203251,40.970905,1.216520,10.950420,51.447669,-10.512193,2.644183
0.020000,200.992719,41.085076,1.456017,11.974865,51.222268,-11.270051,2.645174
0.020000,200.764138,41.208735,1.715903,12.994318,50.972651,-12.480862,2.646217
0.020000,200.517576,41.341781,1.996071,14.008381,50.703111,-13.476986,2.647305
0.020000,200.253110,41.484112,2.296405,15.016696,50.415767,-14.367235,2.648428
0.020000,199.970821,41.635620,2.616782,16.018882,50.109307,-15.322968,2.649577
0.020000,199.670802,41.796198,2.957071,17.014448,49.778304,-16.550159,2.650742
0.020000,199.353150,41.965736,3.317135,18.003185,49.436851,-17.072677,2.651912
0.020000,199.017974,42.144124,3.696826,18.984540,49.067730,-18.456022,2.653076
0.020000,198.665392,42.331254,4.095990,19.958218,48.683892,-19.191899,2.654222
0.020000,198.295527,42.527020,4.514468,20.923905,48.284352,-19.977019,2.655338
0.020000,197.908519,42.731318,4.952090,21.881106,47.860072,-21.213970,2.656411
